ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-27,-3.9134
2009-11-30,-0.6932
2009-12-01,2.9668
2009-12-02,0.0847
2009-12-03,-0.9314
2009-12-04,2.8205
2009-12-07,1.9119000000000002
2009-12-08,0.4894
2009-12-09,-0.4058
2009-12-10,2.0375
2009-12-11,1.9169
2009-12-14,0.7837
2009-12-15,1.3997
2009-12-16,2.3773
2009-12-17,-0.9738
2009-12-18,0.9077
2009-12-21,2.6237
2009-12-22,-0.5844
2009-12-23,-0.7348
2009-12-24,0.9623
2009-12-28,0.1466
2009-12-29,2.2694
2009-12-30,-0.4295
2009-12-31,-1.5816
2010-01-04,1.7530999999999999
2010-01-05,0.2872
2010-01-06,1.6463999999999999
2010-01-07,-1.4085
2010-01-08,0.8571
2010-01-11,-0.2833
2010-01-12,-4.4744
2010-01-13,-0.8178
2010-01-14,0.7496
2010-01-15,-1.8601
2010-01-19,1.5920999999999998
2010-01-20,-2.5373
2010-01-21,-1.6844999999999999
2010-01-22,-3.3489
2010-01-25,2.0145
2010-01-26,0.8689
2010-01-27,-0.9397
2010-01-28,-1.0277
2010-01-29,0.7188
2010-02-01,-0.6344
2010-02-02,1.8356
2010-02-03,7.1317
2010-02-04,-4.0966
2010-02-05,-1.1442
2010-02-08,-2.4691
2010-02-09,2.1361
2010-02-10,-2.3238
2010-02-11,2.5377
2010-02-12,1.2374
2010-02-16,2.521
2010-02-17,0.2235
2010-02-18,0.3717
2010-02-19,0.5926
2010-02-22,-0.6627
2010-02-23,-2.298
2010-02-24,2.352
2010-02-25,-0.5189
2010-02-26,-0.3726
2010-03-01,2.917
2010-03-02,0.5814
2010-03-03,-1.0116
2010-03-04,1.4599
2010-03-05,3.8129
2010-03-08,-0.5198
2010-03-09,-0.07
2010-03-10,0.0701
2010-03-11,-0.1401
2010-03-12,-1.6129
2010-03-15,-0.4277
2010-03-16,0.3579
2010-03-17,-0.0713
2010-03-18,0.0714
2010-03-19,-0.214
2010-03-22,0.143
2010-03-23,0.2141
