test_year,feature_names,importance
2005,energy_7,0.0
2005,environment_10,0.0
2005,environment_12,0.004965444627969326
2005,environment_19,0.0
2005,environment_2,0.0
2005,environment_20,0.0
2005,environment_3,0.005133942442495892
2005,fed_12,0.0
2005,fed_6,0.004676793763055984
2005,federal_13,0.0005650925007705565
2005,federal_16,0.0
2005,federal_18,0.0
2005,federal_19,0.0
2005,federal_6,0.016755645069292963
2005,federal_7,0.0072195627494950785
2005,federal_8,0.0
2005,finance_14,0.004872580280547567
2005,finance_15,0.0
2005,finance_17,0.0
2005,finance_18,0.0
2005,finance_2,0.0
2005,finance_4,0.0
2005,finance_5,0.0
2005,finance_7,0.0
2005,finance_8,0.0
2005,finance_9,0.0
2005,financial_15,0.0
2005,financial_17,0.005768329710717403
2005,financial_19,0.0
2005,financial_2,0.02393192808236516
2005,financial_4,0.0
2005,financial_7,0.0
2005,financial_9,0.0031174764806102804
2005,fine_1,0.0
2005,fine_16,0.0
2005,fine_5,0.005792246918148794
2005,fine_8,0.0
2005,firm_1,0.0
2005,firm_10,0.0
2005,firm_14,0.0
2005,firm_19,0.0
2005,firm_20,0.0
2005,firm_3,0.0
2005,firm_4,0.0
2005,firm_5,0.0
2005,fond_13,0.0
2005,fond_4,0.0
2005,fond_8,0.0033320248197236235
2005,food_1,0.0
2005,food_10,0.0
2005,food_15,0.0
2005,food_16,0.0
2005,food_19,0.0
2005,food_2,0.0
2005,food_3,0.0
2005,food_4,0.0
2005,food_5,0.004165028232922205
2005,food_6,0.0
2005,food_8,0.0
2005,forex_15,0.0
2005,forex_20,0.0
2005,founded_10,0.0
2005,founded_11,0.0
2005,founded_14,0.0
2005,founded_17,0.0
2005,founded_18,0.0
2005,founded_2,0.0
2005,founded_6,0.0
2005,freedom_10,0.0
2005,freedom_11,0.0
2005,freedom_16,0.0
2005,freedom_17,0.0
2005,freedom_18,0.0
2005,freedom_20,0.0
2005,freedom_3,0.0
2005,fun_1,0.0
2005,fun_17,0.0
2005,fun_4,0.0
2005,fun_7,0.0
2005,fun_9,0.0
2005,gain_13,0.0
2005,gain_18,0.0
2005,gain_19,0.0
2005,gain_9,0.0
2005,gains_15,0.0033204774729466012
2005,gains_17,0.0
2005,gains_19,0.006452451041272347
2005,gains_7,0.0
2005,garden_10,0.0
2005,garden_12,0.0
2005,garden_15,0.0
2005,garden_16,0.0037560242864448875
2005,garden_20,0.006828330573168563
2005,garden_4,0.0
2005,garden_6,0.0
2005,garden_7,0.0
2005,georgia_11,0.0
2005,georgia_12,0.0036727723638163554
2005,georgia_14,0.004327806522213846
2005,georgia_16,0.0
2005,georgia_2,0.0
2005,georgia_20,0.0
2005,georgia_3,0.006637811976403121
2005,georgia_7,0.010884362049088927
2005,georgia_8,0.0
2005,georgia_9,0.0
2005,global_1,0.0
2005,global_17,0.0
2005,global_3,0.005031372332127554
2005,global_8,0.0026812439358849653
2005,gold_12,0.0
2005,gold_13,0.0
2005,gold_2,0.0
2005,gold_5,0.0
2005,gold_9,0.0
2005,government_1,0.004392584727360164
2005,government_12,0.0
2005,government_4,0.0
2005,government_7,0.0020928264944612743
2005,government_9,0.006211255695294762
2005,governor_13,0.0034573885077338446
2005,governor_14,0.0
2005,governor_15,0.0
2005,governor_18,0.0
2005,governor_2,0.0
2005,governor_8,0.0
2005,growth_10,0.0
2005,growth_13,0.003684014762537911
2005,growth_15,0.0
2005,growth_17,0.0
2005,happy_1,0.0
2005,happy_11,0.0
2005,happy_12,0.0
2005,happy_14,0.0
2005,happy_15,0.0
2005,happy_18,0.0
2005,happy_19,0.0022939352344016396
2005,happy_20,0.0
2005,happy_6,0.0
2005,happy_9,0.0
2005,headlines_1,0.0
2005,headlines_11,0.0
2005,headlines_15,0.0
2005,headlines_17,0.0
2005,headlines_7,0.0
2005,headlines_8,0.0
2005,health_1,0.008488528722977139
2005,health_12,0.0
2005,health_13,0.0
2005,health_14,0.0
2005,health_15,0.005558339691928063
2005,health_16,0.0
2005,health_20,0.0
2005,health_4,0.0
2005,health_7,0.0
2005,health_9,0.0
2005,hedge_17,0.0
2005,hedge_20,0.0
2005,hedge_3,0.0
2005,hedge_6,0.0
2005,holiday_1,0.0037178750665308236
2005,holiday_12,0.0
2005,holiday_13,0.0
2005,holiday_14,0.0
2005,holiday_15,0.0
2005,holiday_18,0.0
2005,holiday_19,0.0
2005,holiday_4,0.010622903782361845
2005,holiday_8,0.0
2005,home_11,0.0
2005,home_12,0.0
2005,home_13,0.0
2005,home_14,0.002058128657784046
2005,home_15,0.0
2005,home_3,0.0
2005,home_4,0.0027788990654274777
2005,home_5,0.0
2005,home_6,0.0
2005,home_7,0.002771118190500871
2005,house_10,0.0
2005,house_12,0.003973574051200992
2005,house_13,0.0
2005,house_14,0.0
2005,house_19,0.011918209618264
2005,house_20,0.0
2005,house_3,0.0
2005,house_6,0.0
2005,housing_10,0.0
2005,housing_17,0.0034231346359975454
2005,housing_19,0.0
2005,housing_2,0.0
2005,housing_3,0.0
2005,housing_4,0.0
2005,housing_6,0.0
2005,housing_7,0.001974100247867027
2005,illinois_10,0.0
2005,illinois_12,0.0
2005,illinois_16,0.007767852988725119
2005,illinois_17,0.0
2005,illinois_20,0.0
2005,illinois_7,0.0
2005,illinois_9,0.0
2005,inc_1,0.0
2005,inc_11,0.002935251172450592
2005,inc_17,0.0
2005,inc_2,0.0
2005,inc_20,0.0
2005,inc_4,0.007658935409158507
2005,inc_9,0.004118242652240539
2005,industry_10,0.0
2005,industry_13,0.0
2005,industry_14,0.0
2005,industry_15,0.0
2005,industry_16,0.0
2005,industry_17,0.0
2005,industry_18,0.0
2005,industry_19,0.0
2005,industry_2,0.0
2005,industry_3,0.0
2005,industry_4,0.0
2005,industry_7,0.006183961864960306
2005,inflation_10,0.0
2005,inflation_13,0.0
2005,inflation_16,0.0
2005,inflation_18,0.0
2005,inflation_3,0.0
2005,inflation_5,0.0
2005,inflation_7,0.0
2005,invest_15,0.0
2005,invest_4,0.0
2005,invest_5,0.0
2005,invest_8,0.0
2005,investment_16,0.0
2005,investment_3,0.0
2005,investment_8,0.0
2005,judge_14,0.0
2005,judge_15,0.0
2005,judge_19,0.0
2005,judge_2,0.0
2005,judge_20,0.0
2005,judge_5,0.005652313349944568
2005,judge_8,0.0
2005,justice_20,0.0
2005,kentucky_11,0.0018142591718709755
2005,kentucky_12,0.0
2005,kentucky_15,0.0
2005,kentucky_16,0.0
2005,kentucky_18,0.0028617816325902674
2005,kentucky_4,0.0
2005,kentucky_9,0.0
2005,kitchen_14,0.0
2005,kitchen_2,0.0
2005,kitchen_20,0.007093315377017794
2005,kitchen_8,0.0
2005,labor_10,0.0
2005,labor_3,0.0
2005,labor_5,0.0
2005,labor_7,0.006038416400486434
2005,law_1,0.0
2005,law_13,0.0
2005,law_15,0.0
2005,law_20,0.006870735019911328
2005,law_3,0.0
2005,law_6,0.0
2005,law_8,0.0
2005,legal_10,0.0
2005,legal_12,0.0
2005,legal_17,0.0
2005,legal_2,0.0
2005,legal_4,0.005234576327817136
2005,legal_5,0.0
2005,leverage_15,0.0
2005,leverage_2,0.0
2005,leverage_9,0.0
2005,lifestyle_1,0.0025066815040442315
2005,lifestyle_11,0.0
2005,lifestyle_12,0.0
2005,lifestyle_17,0.0
2005,lifestyle_19,0.0
2005,lifestyle_20,0.0
2005,lifestyle_4,0.0
2005,lifestyle_6,0.0
2005,lifestyle_9,0.004750082157583495
2005,loss_10,0.0
2005,loss_12,0.0
2005,loss_15,0.005905154767074306
2005,loss_2,0.0
2005,loss_20,0.0
2005,loss_6,0.0
2005,loss_7,0.0
2005,loss_8,0.0
2005,ltd_1,0.0
2005,ltd_14,0.0
2005,ltd_17,0.0
2005,ltd_19,0.0
2005,ltd_3,0.0
2005,management_15,0.0
2005,management_19,0.0
2005,management_2,0.0
2005,management_4,0.0029038958062768063
2005,management_5,0.005101597393995994
2005,management_7,0.0
2005,market_12,0.0
2005,market_13,0.0
2005,market_15,0.0
2005,market_18,0.004231456783722499
2005,market_19,0.006010067336510741
2005,market_2,0.007923299618720512
2005,market_4,0.0
2005,marketing_17,0.006791477500038564
2005,marketing_2,0.0
2005,marketing_6,0.0
2005,markets_12,0.0
2005,marriage_13,0.0
2005,marriage_14,0.0033738248710593875
2005,marriage_2,0.0038374964475068594
2005,marriage_20,0.005241705768583952
2005,marriage_6,0.0
2005,massachusetts_11,0.0
2005,massachusetts_13,0.0
2005,massachusetts_17,0.0
2005,massachusetts_6,0.005814907791985205
2005,media_10,0.0
2005,media_13,0.0
2005,media_14,0.0
2005,media_19,0.0
2005,members_1,0.0
2005,members_15,0.0
2005,members_16,0.0
2005,members_17,0.0
2005,members_18,0.0
2005,members_7,0.0
2005,members_8,0.0
2005,metals_1,0.0
2005,metals_10,0.004304017738990329
2005,metals_11,0.0
2005,metals_17,0.0
2005,metals_18,0.0
2005,metals_4,0.0034198345888106513
2005,million_1,0.0
2005,million_10,0.006305169224015798
2005,million_14,0.0
2005,million_18,0.0
2005,million_20,0.0
2005,million_3,0.0
2005,million_8,0.0
2005,minister_18,0.0
2005,minister_20,0.0
2005,minister_4,0.0
2005,minister_8,0.0
2005,ministry_1,0.0
2005,ministry_11,0.0
2005,ministry_15,0.0
2005,ministry_16,0.0
2005,ministry_19,0.0
2005,ministry_3,0.0
2005,missouri_2,0.009248013699846425
2005,missouri_20,0.004235919484460495
2005,missouri_6,0.0
2005,missouri_7,0.0
2005,missouri_8,0.0
2005,money_14,0.0
2005,money_15,0.0
2005,money_16,0.0
2005,money_17,0.0020446550715180435
2005,money_18,0.0
2005,money_2,0.0
2005,money_3,0.0
2005,money_7,0.013633596508696123
2005,money_8,0.0
2005,movement_11,0.0
2005,movement_14,0.0
2005,movement_3,0.0
2005,movement_4,0.0
2005,movement_7,0.0019006927711849976
2005,movie_1,0.0
2005,movie_10,0.0
2005,movie_13,0.005789640266884662
2005,movie_14,0.00397634301345358
2005,movie_16,0.0
2005,movie_18,0.0
2005,movie_19,0.006181458450095643
2005,movie_20,0.0
2005,movie_4,0.0
2005,movie_7,0.0
2005,nasdaq_1,0.0
2005,nasdaq_4,0.0
2005,nyse_14,0.0
2005,nyse_4,0.0
2005,nyse_8,0.0
2005,office_10,0.0
2005,office_14,0.0
2005,office_15,0.0
2005,office_19,0.004438201312150615
2005,office_2,0.0
2005,office_20,0.0
2005,office_3,0.0
2005,office_4,0.0
2005,office_5,0.0
2005,office_6,0.0
2005,office_8,0.0
2005,ohio_1,0.0
2005,ohio_10,0.0
2005,ohio_11,0.0
2005,ohio_12,0.004835968609389742
2005,ohio_15,0.0
2005,ohio_16,0.0
2005,ohio_18,0.0
2005,ohio_2,0.004192361448302679
2005,ohio_6,0.0
2005,oil_10,0.0
2005,oil_11,0.0
2005,oil_13,0.0
2005,oil_14,0.0
2005,oil_16,0.0
2005,oil_17,0.0
2005,oil_18,0.0
2005,oil_19,0.004687090679170366
