ticker,PPL UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-23,-1.3435000000000001
2016-05-24,1.6288
2016-05-25,-0.1576
2016-05-26,1.4474
2016-05-27,0.3372
2016-05-31,-0.3619
2016-06-01,0.2595
2016-06-02,-0.1812
2016-06-03,1.8927
2016-06-06,-0.2036
2016-06-07,0.051
2016-06-08,0.0255
2016-06-09,0.9776
2016-06-10,0.1783
2016-06-13,-1.3733
2016-06-14,0.5673
2016-06-15,-0.4359
2016-06-16,0.4378
2016-06-17,0.1026
2016-06-20,1.6393
2016-06-21,-0.0252
2016-06-22,-0.9075
2016-06-23,0.3307
2016-06-24,-5.7302
2016-06-27,-1.6407
2016-06-28,0.2461
2016-06-29,1.0638
2016-06-30,1.8893
2016-07-01,-0.3974
2016-07-05,0.0532
2016-07-06,-0.8506
2016-07-07,-0.8847
2016-07-08,1.3254000000000001
2016-07-11,0.4805
2016-07-12,-0.9033
2016-07-13,0.5898
2016-07-14,-1.1461000000000001
2016-07-15,0.1618
2016-07-18,0.4576
2016-07-19,-0.4019
2016-07-20,-0.5919
2016-07-21,0.4871
2016-07-22,1.5351
2016-07-25,-0.4509
2016-07-26,-0.5329
2016-07-27,-0.8304
2016-07-28,0.5943
2016-07-29,1.2621
2016-08-01,-0.2917
2016-08-02,-1.1702
2016-08-03,-0.1615
2016-08-04,-0.3774
2016-08-05,-0.5411
2016-08-08,-0.3264
2016-08-09,-1.0644
2016-08-10,-0.6069
2016-08-11,1.0269
2016-08-12,-0.3846
2016-08-15,-2.3166
2016-08-16,-1.2705
2016-08-17,1.1438
2016-08-18,0.5937
2016-08-19,-1.2085
2016-08-22,0.7681
2016-08-23,-0.4517
2016-08-24,0.0
2016-08-25,0.1702
2016-08-26,-1.8686
2016-08-29,0.9233
2016-08-30,-1.3436
2016-08-31,0.7824
2016-09-01,-0.9776
2016-09-02,1.7130999999999998
2016-09-06,0.7993
2016-09-07,-0.6231
2016-09-08,0.6626
2016-09-09,-3.7493
2016-09-12,1.7247
2016-09-13,-1.3446
2016-09-14,1.1259000000000001
2016-09-15,1.6115
2016-09-16,1.1822
2016-09-19,0.057
2016-09-20,-0.9684
2016-09-21,1.9557
2016-09-22,1.0437
2016-09-23,-0.335
2016-09-26,0.1681
2016-09-27,-1.4541
2016-09-28,-0.3689
2016-09-29,-0.826
2016-09-30,-0.718
2016-10-03,-1.7934999999999999
2016-10-04,-3.0928
2016-10-05,-0.7599
2016-10-06,-0.4594
2016-10-07,-0.7692
2016-10-10,0.8062
2016-10-11,-0.9843
2016-10-12,1.0252
2016-10-13,1.476
2016-10-14,-0.2424
2016-10-17,0.4253
2016-10-18,1.0587
2016-10-19,-0.1497
2016-10-20,0.6595
2016-10-21,-0.7743
2016-10-24,0.6303
2016-10-25,0.507
2016-10-26,0.4154
2016-10-27,-0.4728
2016-10-28,0.386
2016-10-31,1.5676
2016-11-01,-0.9901
2016-11-02,-0.2647
2016-11-03,0.5603
2016-11-04,-0.2346
2016-11-07,1.5579
2016-11-08,0.5499
2016-11-09,-3.3391
2016-11-10,-1.3996
2016-11-11,0.1208
2016-11-14,-0.8748
2016-11-15,1.1564
2016-11-16,-1.1131
2016-11-17,-0.1217
2016-11-18,0.0305
2016-11-21,1.5225
2016-11-22,-0.06
2016-11-23,-1.5306
2016-11-25,1.5544
2016-11-28,2.491
2016-11-29,0.1171
2016-11-30,-2.1351
2016-12-01,-1.0759
2016-12-02,0.7251
2016-12-05,-0.2699
2016-12-06,-0.5113
2016-12-07,1.2092
2016-12-08,0.0302
2016-12-09,1.2081
2016-12-12,1.2832
2016-12-13,0.7955
