ticker,AAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-12-17,0.5784
2003-12-18,2.1086
2003-12-19,-1.1264
2003-12-22,-0.2785
2003-12-23,0.4062
2003-12-24,-0.2528
2003-12-26,0.621
2003-12-29,0.8061
2003-12-30,1.237
2003-12-31,0.469
2004-01-02,0.0246
2004-01-05,-0.9089
2004-01-06,1.7848000000000002
2004-01-07,3.1417
2004-01-08,-2.6446
2004-01-09,-0.1213
2004-01-12,1.1899
2004-01-13,0.552
2004-01-14,0.4773
2004-01-15,-0.7838
2004-01-16,0.2155
2004-01-20,-1.8395000000000001
2004-01-21,1.7279
2004-01-22,0.2392
2004-01-23,-0.6683
2004-01-26,0.0
2004-01-27,-2.1624
2004-01-28,-2.1365
2004-01-29,-2.6851000000000003
2004-01-30,0.361
2004-02-02,0.8479
2004-02-03,0.3822
2004-02-04,0.2284
2004-02-05,1.1395
2004-02-06,2.9044
2004-02-09,0.3893
2004-02-10,-0.824
2004-02-11,1.7351
2004-02-12,1.0569
2004-02-13,-0.4041
2004-02-17,1.432
2004-02-18,-1.1294
2004-02-19,-5.9971
2004-02-20,1.3165
2004-02-23,-1.7741
2004-02-24,-0.7886
2004-02-25,0.2564
2004-02-26,2.4297
2004-02-27,-1.4981
2004-03-01,1.1407
2004-03-02,0.2506
2004-03-03,-1.025
2004-03-04,2.1217
2004-03-05,2.3992
2004-03-08,0.3623
2004-03-09,-0.7702
2004-03-10,-1.237
2004-03-11,-1.498
2004-03-12,-0.6233
2004-03-15,-0.1254
2004-03-16,-0.2261
2004-03-17,0.4783
2004-03-18,-0.2756
2004-03-19,-1.5327
2004-03-22,-1.6841
2004-03-23,0.1298
2004-03-24,0.6998
2004-03-25,1.1583
2004-03-26,-0.3053
2004-03-29,0.5105
2004-03-30,1.3205
2004-03-31,1.9298
2004-04-01,-0.7622
2004-04-02,-1.0159
2004-04-05,2.9537
2004-04-06,-0.2188
2004-04-07,0.1462
2004-04-08,-0.1703
2004-04-12,0.3168
2004-04-13,-0.6803
2004-04-14,-0.4892
2004-04-15,-0.0492
2004-04-16,0.6886
2004-04-19,0.4152
2004-04-20,2.7001
2004-04-21,1.6106
2004-04-22,3.3333
2004-04-23,-0.2256
2004-04-26,-2.3513
2004-04-27,2.2227
2004-04-28,-1.5175999999999998
2004-04-29,-1.035
2004-04-30,0.2789
2004-05-03,0.9502
2004-05-04,-1.8595000000000002
2004-05-05,2.6433
2004-05-06,-3.031
2004-05-07,-1.8096
2004-05-10,-3.0637
2004-05-11,1.9752999999999998
2004-05-12,0.8475
2004-05-13,0.2401
2004-05-14,-0.6467
2004-05-17,-1.6635
2004-05-18,2.9909
2004-05-19,1.6425
2004-05-20,-2.3888
2004-05-21,0.7198
2004-05-24,0.2859
2004-05-25,0.5938
2004-05-26,0.2125
2004-05-27,-0.2121
2004-05-28,1.2279
2004-06-01,-0.9797
2004-06-02,1.0365
2004-06-03,-1.4922
2004-06-04,-0.6391
2004-06-07,1.9533
2004-06-08,1.0514000000000001
2004-06-09,0.5087
2004-06-10,-1.1962
2004-06-14,0.9546
2004-06-15,0.1153
2004-06-16,1.8199
2004-06-17,0.3167
2004-06-18,0.406
2004-06-21,1.0782
2004-06-22,-0.1111
2004-06-23,0.0222
2004-06-24,-0.089
2004-06-25,2.1817
2004-06-28,0.0218
2004-06-29,-1.5029
2004-06-30,-2.2999
2004-07-01,-0.928
2004-07-02,-0.7539
2004-07-06,-0.6446
2004-07-07,-1.0658
2004-07-08,-4.0984
2004-07-09,-0.0733
2004-07-12,-0.0489
2004-07-13,-1.467
2004-07-14,-3.3251
2004-07-15,-2.9004
2004-07-16,-1.0574
2004-07-19,-4.2212
2004-07-20,2.7336
2004-07-21,1.0589
2004-07-22,-2.4181
2004-07-23,-0.3029
2004-07-26,-0.58
2004-07-27,1.3889
2004-07-28,-1.5342
2004-07-29,3.1998
2004-07-30,0.0809
2004-08-02,-0.0269
2004-08-03,-1.6438000000000001
2004-08-04,-1.9178
2004-08-05,-3.6313
2004-08-06,-1.1594
2004-08-09,0.6745
2004-08-10,2.7964
2004-08-11,-2.607
2004-08-12,-2.2403
2004-08-13,-1.3393
2004-08-16,2.9864
2004-08-17,4.2765
2004-08-18,0.4213
2004-08-19,1.3427
2004-08-20,-0.3864
2004-08-23,-1.0252
2004-08-24,0.224
2004-08-25,2.8491999999999997
2004-08-26,2.0641
2004-08-27,-0.8249
2004-08-30,0.8586
2004-08-31,-1.4099
2004-09-01,0.7555
2004-09-02,-0.616
2004-09-03,0.9162
2004-09-07,1.0414
2004-09-08,-0.3171
2004-09-09,-2.5186
2004-09-10,-1.4958
