date,BIVV UW Equity
2017-09-13,-1.1901
2017-09-14,-0.0354
2017-09-15,-2.2325
2017-09-16,
2017-09-17,
2017-09-18,1.6854
2017-09-19,0.499
2017-09-20,0.7093
2017-09-21,-1.3735
2017-09-22,1.0712
2017-09-23,
2017-09-24,
2017-09-25,0.0883
2017-09-26,-0.1412
2017-09-27,1.1842
2017-09-28,-0.8734
2017-09-29,0.5639
2017-09-30,
2017-10-01,
2017-10-02,1.7873
2017-10-03,-0.6197
2017-10-04,-0.2598
2017-10-05,-0.2952
2017-10-06,2.6475999999999997
2017-10-07,
2017-10-08,
2017-10-09,-0.1188
2017-10-10,1.7328999999999999
2017-10-11,-1.4028
2017-10-12,0.2202
2017-10-13,-0.8619
2017-10-14,
2017-10-15,
2017-10-16,0.8524
2017-10-17,1.5382
2017-10-18,-0.1831
2017-10-19,-0.3836
2017-10-20,0.8204
2017-10-21,
2017-10-22,
2017-10-23,-2.1588
2017-10-24,0.611
2017-10-25,-0.9278
2017-10-26,-2.52
2017-10-27,-2.4629
2017-10-28,
2017-10-29,
2017-10-30,0.0
2017-10-31,1.1819
2017-11-01,-3.2743
2017-11-02,-1.8298
2017-11-03,0.671
2017-11-04,
2017-11-05,
2017-11-06,-2.1478
2017-11-07,1.0596
2017-11-08,1.3668
2017-11-09,-0.8681
2017-11-10,-0.0186
2017-11-11,
2017-11-12,
2017-11-13,0.4659
2017-11-14,0.8904
2017-11-15,1.4525000000000001
2017-11-16,0.1993
2017-11-17,1.4830999999999999
2017-11-18,
2017-11-19,
2017-11-20,-9.5348
2017-11-21,-0.0788
2017-11-22,-0.9464
2017-11-23,
2017-11-24,0.6568
2017-11-25,
2017-11-26,
2017-11-27,-2.1159
2017-11-28,0.6667
2017-11-29,-1.6456
2017-11-30,2.0608
2017-12-01,-1.3195000000000001
2017-12-02,
2017-12-03,
2017-12-04,1.9043999999999999
2017-12-05,-0.0994
2017-12-06,0.8557
2017-12-07,0.0592
2017-12-08,1.4987
2017-12-09,
2017-12-10,
2017-12-11,2.7006
2017-12-12,1.1918
2017-12-13,-0.0374
2017-12-14,0.0
2017-12-15,-0.4863
2017-12-16,
2017-12-17,
2017-12-18,0.5826
2017-12-19,0.2242
2017-12-20,0.1305
2017-12-21,0.4096
2017-12-22,0.204
2017-12-23,
2017-12-24,
2017-12-25,
2017-12-26,0.5736
2017-12-27,-0.2208
2017-12-28,-0.461
2017-12-29,-0.1112
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,1.9102000000000001
2018-01-03,0.8007
2018-01-04,1.2638
2018-01-05,-0.517
2018-01-06,
2018-01-07,
2018-01-08,-1.2006999999999999
2018-01-09,7.0742
2018-01-10,-0.4743
2018-01-11,6.7404
2018-01-12,1.6583999999999999
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,0.1882
2018-01-17,-2.4268
2018-01-18,0.69
2018-01-19,2.1673
2018-01-20,
2018-01-21,
2018-01-22,61.8936
2018-01-23,-0.607
2018-01-24,0.2908
2018-01-25,-0.058
2018-01-26,-0.3578
2018-01-27,
2018-01-28,
2018-01-29,-0.1262
2018-01-30,0.1944
2018-01-31,-0.0388
2018-02-01,0.4463
2018-02-02,0.454
2018-02-03,
2018-02-04,
2018-02-05,-0.4712
2018-02-06,-0.2512
2018-02-07,0.0194
2018-02-08,-0.1162
2018-02-09,-0.0873
2018-02-10,
2018-02-11,
2018-02-12,0.5337
2018-02-13,0.0965
2018-02-14,-0.1736
2018-02-15,0.0193
2018-02-16,0.0676
2018-02-17,
2018-02-18,
2018-02-19,
2018-02-20,0.193
2018-02-21,0.0963
2018-02-22,0.3753
2018-02-23,0.4219
2018-02-24,
2018-02-25,
2018-02-26,-0.0382
2018-02-27,-0.0096
2018-02-28,-0.0096
2018-03-01,-0.0096
2018-03-02,0.0573
2018-03-03,
2018-03-04,
2018-03-05,0.1432
2018-03-06,-0.1526
2018-03-07,-0.0668
2018-03-08,0.3153
