date,VIAC UW Equity
2020-07-15,2.8866
2020-07-16,2.2044
2020-07-17,-1.2157
2020-07-18,
2020-07-19,
2020-07-20,-2.8583
2020-07-21,0.2043
2020-07-22,1.3866
2020-07-23,1.0861
2020-07-24,-1.5121
2020-07-25,
2020-07-26,
2020-07-27,0.3232
2020-07-28,-1.2485
2020-07-29,3.1403
2020-07-30,2.0561
2020-07-31,1.0074
2020-08-01,
2020-08-02,
2020-08-03,-1.4001000000000001
2020-08-04,3.2873
2020-08-05,-2.0716
2020-08-06,3.4231
2020-08-07,-2.5288
2020-08-08,
2020-08-09,
2020-08-10,0.3815
2020-08-11,0.7602
2020-08-12,-1.0185
2020-08-13,1.7149
2020-08-14,2.885
2020-08-15,
2020-08-16,
2020-08-17,-0.8376
2020-08-18,-0.9548
2020-08-19,1.2977
2020-08-20,-2.306
2020-08-21,-0.6744
2020-08-22,
2020-08-23,
2020-08-24,4.2625
2020-08-25,-0.2533
2020-08-26,1.1607
2020-08-27,1.3625
2020-08-28,-0.9904
2020-08-29,
2020-08-30,
2020-08-31,-0.5002
2020-09-01,-0.5386
2020-09-02,2.2022
2020-09-03,-0.2119
2020-09-04,1.7699
2020-09-05,
2020-09-06,
2020-09-07,
2020-09-08,-0.1391
2020-09-09,0.0
2020-09-10,2.055
2020-09-11,-0.0683
2020-09-12,
2020-09-13,
2020-09-14,2.3566
2020-09-15,1.3454
2020-09-16,1.8254000000000001
2020-09-17,-1.369
2020-09-18,-0.3305
2020-09-19,
2020-09-20,
2020-09-21,-3.8792999999999997
2020-09-22,1.4315
2020-09-23,-1.9895
2020-09-24,1.145
2020-09-25,1.3035999999999999
2020-09-26,
2020-09-27,
2020-09-28,1.0498
2020-09-29,-2.9491
2020-09-30,-3.2804
2020-10-01,-1.1782
2020-10-02,1.0477
2020-10-03,
2020-10-04,
2020-10-05,1.5016
2020-10-06,0.2113
2020-10-07,1.4060000000000001
2020-10-08,2.6343
2020-10-09,-2.3472
2020-10-10,
2020-10-11,
2020-10-12,-2.0405
2020-10-13,-3.0891
2020-10-14,-0.4007
2020-10-15,1.7922
2020-10-16,0.3953
2020-10-17,
2020-10-18,
2020-10-19,-2.8991
2020-10-20,1.2164
2020-10-21,3.6781
2020-10-22,2.2129
2020-10-23,0.6186
2020-10-24,
2020-10-25,
2020-10-26,-1.8101
2020-10-27,-1.8782999999999999
2020-10-28,-1.4534
2020-10-29,1.1871
2020-10-30,1.5642
2020-10-31,
2020-11-01,
2020-11-02,3.6052
2020-11-03,1.7905
2020-11-04,-1.1948
2020-11-05,5.1058
2020-11-06,-6.3599
2020-11-07,
2020-11-08,
2020-11-09,-0.8532
2020-11-10,3.5112
2020-11-11,0.4323
2020-11-12,-3.1457
2020-11-13,3.2479
2020-11-14,
2020-11-15,
2020-11-16,5.6291
2020-11-17,1.2226
2020-11-18,1.2697
2020-11-19,2.2324
2020-11-20,1.6751
2020-11-21,
2020-11-22,
2020-11-23,1.8535
2020-11-24,-0.3177
2020-11-25,0.8983
2020-11-26,
2020-11-27,0.7036
2020-11-28,
2020-11-29,
2020-11-30,0.6131
2020-12-01,3.0612
2020-12-02,0.0275
2020-12-03,0.5911
2020-12-04,0.9977
2020-12-05,
2020-12-06,
2020-12-07,-0.3518
2020-12-08,-0.4617
2020-12-09,-0.573
2020-12-10,-1.5642
2020-12-11,-0.7527
2020-12-12,
2020-12-13,
2020-12-14,-1.9382000000000001
2020-12-15,1.3556
2020-12-16,2.1343
2020-12-17,0.8638
2020-12-18,-2.5967000000000002
2020-12-19,
2020-12-20,
2020-12-21,-1.1628
2020-12-22,0.1148
2020-12-23,3.0381
2020-12-24,0.1113
2020-12-25,
2020-12-26,
2020-12-27,
2020-12-28,2.0561
2020-12-29,-0.0272
2020-12-30,0.4902
2020-12-31,0.9756
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,-1.7713
2021-01-05,1.0656
2021-01-06,8.678
2021-01-07,-0.199
2021-01-08,-0.1496
2021-01-09,
2021-01-10,
2021-01-11,2.4963
2021-01-12,1.7534999999999998
2021-01-13,3.2073
2021-01-14,6.679
2021-01-15,-1.5217
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,-3.4215999999999998
2021-01-20,-0.8914
2021-01-21,4.036
2021-01-22,1.0419
2021-01-23,
2021-01-24,
2021-01-25,4.6731
2021-01-26,8.8241
