,ticker,field,value,exchange,stock
47,1566019D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1566019D
48,1649858D UN Equity,INDUSTRY_SECTOR,Financial,UN,1649858D
49,1649858D UQ Equity,INDUSTRY_SECTOR,Financial,UQ,1649858D
50,1649858D UW Equity,INDUSTRY_SECTOR,Financial,UW,1649858D
51,1654539D UN Equity,INDUSTRY_SECTOR,Communications,UN,1654539D
52,1683351D UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,1683351D
53,1683997D UQ Equity,INDUSTRY_SECTOR,Technology,UQ,1683997D
54,1683997D UW Equity,INDUSTRY_SECTOR,Technology,UW,1683997D
55,1684442D UN Equity,INDUSTRY_SECTOR,Industrial,UN,1684442D
56,1697067D UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,1697067D
57,1699947D US Equity,INDUSTRY_SECTOR,Industrial,US,1699947D
58,1704453D UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,1704453D
59,1715651D UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,1715651D
60,1719868D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1719868D
61,1746513D UQ Equity,INDUSTRY_SECTOR,Communications,UQ,1746513D
62,1746513D UW Equity,INDUSTRY_SECTOR,Communications,UW,1746513D
63,1752754D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1752754D
64,1799685D UN Equity,INDUSTRY_SECTOR,Energy,UN,1799685D
65,1806854D UN Equity,INDUSTRY_SECTOR,Technology,UN,1806854D
66,1810430D UN Equity,INDUSTRY_SECTOR,Energy,UN,1810430D
67,1812212D UW Equity,INDUSTRY_SECTOR,Communications,UW,1812212D
68,1822785D UN Equity,INDUSTRY_SECTOR,Financial,UN,1822785D
69,1825471D UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,1825471D
70,1831877D UN Equity,INDUSTRY_SECTOR,Financial,UN,1831877D
71,1831877D US Equity,INDUSTRY_SECTOR,Financial,US,1831877D
72,1837572D UN Equity,INDUSTRY_SECTOR,Communications,UN,1837572D
73,1844053D US Equity,INDUSTRY_SECTOR,Financial,US,1844053D
74,1856613D UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,1856613D
75,1858968D UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,1858968D
76,2307532Q UQ Equity,INDUSTRY_SECTOR,Industrial,UQ,2307532Q
77,2307532Q UW Equity,INDUSTRY_SECTOR,Industrial,UW,2307532Q
78,2641504Q UN Equity,INDUSTRY_SECTOR,Industrial,UN,2641504Q
79,2676187Q UQ Equity,INDUSTRY_SECTOR,Financial,UQ,2676187Q
80,2727195Q UN Equity,INDUSTRY_SECTOR,Financial,UN,2727195Q
81,2942331Q UN Equity,INDUSTRY_SECTOR,Financial,UN,2942331Q
82,2968900Q UN Equity,INDUSTRY_SECTOR,Communications,UN,2968900Q
83,297504Q UN Equity,INDUSTRY_SECTOR,Industrial,UN,297504Q
84,2987536Q UN Equity,INDUSTRY_SECTOR,Industrial,UN,2987536Q
85,2999130Q UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,2999130Q
86,3022239Q UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,3022239Q
87,3026360Q UN Equity,INDUSTRY_SECTOR,Communications,UN,3026360Q
88,3029830Q UQ Equity,INDUSTRY_SECTOR,Technology,UQ,3029830Q
89,3080867Q UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,3080867Q
90,3133754Q UN Equity,INDUSTRY_SECTOR,Financial,UN,3133754Q
91,3153670Q UQ Equity,INDUSTRY_SECTOR,Technology,UQ,3153670Q
92,3286728Q UN Equity,INDUSTRY_SECTOR,Industrial,UN,3286728Q
93,3362726Q UN Equity,INDUSTRY_SECTOR,Financial,UN,3362726Q
94,3393199Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,3393199Q
95,3403545Q UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,3403545Q
96,3414924Q US Equity,INDUSTRY_SECTOR,Communications,US,3414924Q
97,3423152Q UN Equity,INDUSTRY_SECTOR,Technology,UN,3423152Q
98,3517233Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,3517233Q
99,355488Q UN Equity,INDUSTRY_SECTOR,Financial,UN,355488Q
100,3605818Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,3605818Q
101,3621240Q UN Equity,INDUSTRY_SECTOR,Financial,UN,3621240Q
102,3692470Q UN Equity,INDUSTRY_SECTOR,Communications,UN,3692470Q
103,4621824Q UN Equity,INDUSTRY_SECTOR,Energy,UN,4621824Q
104,502466Q US Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",US,502466Q
105,519239Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,519239Q
106,519239Q UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,519239Q
107,5656565D UN Equity,INDUSTRY_SECTOR,Industrial,UN,5656565D
108,605018Q UN Equity,INDUSTRY_SECTOR,Financial,UN,605018Q
109,605555Q UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,605555Q
110,653707Q UN Equity,INDUSTRY_SECTOR,Communications,UN,653707Q
111,723588Q UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,723588Q
112,748957Q UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,748957Q
113,764144Q UN Equity,INDUSTRY_SECTOR,Technology,UN,764144Q
114,8206908Q UQ Equity,INDUSTRY_SECTOR,Financial,UQ,8206908Q
115,8206908Q UW Equity,INDUSTRY_SECTOR,Financial,UW,8206908Q
116,8277831Q UN Equity,INDUSTRY_SECTOR,Technology,UN,8277831Q
117,8394653Q UN Equity,INDUSTRY_SECTOR,Financial,UN,8394653Q
118,929530Q UN Equity,INDUSTRY_SECTOR,Energy,UN,929530Q
119,945852Q UN Equity,INDUSTRY_SECTOR,Communications,UN,945852Q
120,987200Q UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,987200Q
121,9876544D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,9876544D
122,9876549D UN Equity,INDUSTRY_SECTOR,Communications,UN,9876549D
123,9876566D UN Equity,INDUSTRY_SECTOR,Financial,UN,9876566D
124,9995522D UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,9995522D
125,A UN Equity,INDUSTRY_SECTOR,Industrial,UN,A
126,AA UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,AA
127,AAL UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,AAL
128,AAMRQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,AAMRQ
129,AAP UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,AAP
130,AAPL UQ Equity,INDUSTRY_SECTOR,Technology,UQ,AAPL
131,AAPL UW Equity,INDUSTRY_SECTOR,Technology,UW,AAPL
132,ABBV UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ABBV
133,ABC UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ABC
134,ABKFQ UN Equity,INDUSTRY_SECTOR,Financial,UN,ABKFQ
135,ABMD UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ABMD
136,ABT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ABT
137,ACAS UW Equity,INDUSTRY_SECTOR,Financial,UW,ACAS
138,ACN UN Equity,INDUSTRY_SECTOR,Technology,UN,ACN
139,ADBE UQ Equity,INDUSTRY_SECTOR,Technology,UQ,ADBE
140,ADBE UW Equity,INDUSTRY_SECTOR,Technology,UW,ADBE
141,ADI UN Equity,INDUSTRY_SECTOR,Technology,UN,ADI
142,ADI UW Equity,INDUSTRY_SECTOR,Technology,UW,ADI
143,ADM UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ADM
144,ADNT UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,ADNT
145,ADP UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ADP
146,ADP UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ADP
147,ADS UN Equity,INDUSTRY_SECTOR,Financial,UN,ADS
148,ADSK UQ Equity,INDUSTRY_SECTOR,Technology,UQ,ADSK
149,ADSK UW Equity,INDUSTRY_SECTOR,Technology,UW,ADSK
150,AEE UN Equity,INDUSTRY_SECTOR,Utilities,UN,AEE
151,AEP UN Equity,INDUSTRY_SECTOR,Utilities,UN,AEP
152,AEP UW Equity,INDUSTRY_SECTOR,Utilities,UW,AEP
153,AES UN Equity,INDUSTRY_SECTOR,Utilities,UN,AES
154,AET UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,AET
155,AFL UN Equity,INDUSTRY_SECTOR,Financial,UN,AFL
156,AGN UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,AGN
157,AIG UN Equity,INDUSTRY_SECTOR,Financial,UN,AIG
158,AIRC UN Equity,INDUSTRY_SECTOR,Financial,UN,AIRC
159,AIV UN Equity,INDUSTRY_SECTOR,Financial,UN,AIV
160,AIZ UN Equity,INDUSTRY_SECTOR,Financial,UN,AIZ
161,AJG UN Equity,INDUSTRY_SECTOR,Financial,UN,AJG
162,AKAM UW Equity,INDUSTRY_SECTOR,Technology,UW,AKAM
163,AKS UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,AKS
164,ALB UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ALB
165,ALGN UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ALGN
166,ALK UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,ALK
167,ALL UN Equity,INDUSTRY_SECTOR,Financial,UN,ALL
168,ALLE UN Equity,INDUSTRY_SECTOR,Industrial,UN,ALLE
169,ALXN UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,ALXN
170,AMAT UQ Equity,INDUSTRY_SECTOR,Technology,UQ,AMAT
171,AMAT UW Equity,INDUSTRY_SECTOR,Technology,UW,AMAT
172,AMCC UQ Equity,INDUSTRY_SECTOR,Technology,UQ,AMCC
173,AMCR UN Equity,INDUSTRY_SECTOR,Industrial,UN,AMCR
174,AMD UN Equity,INDUSTRY_SECTOR,Technology,UN,AMD
175,AMD UR Equity,INDUSTRY_SECTOR,Technology,UR,AMD
176,AMD UW Equity,INDUSTRY_SECTOR,Technology,UW,AMD
177,AME UN Equity,INDUSTRY_SECTOR,Industrial,UN,AME
178,AMG UN Equity,INDUSTRY_SECTOR,Financial,UN,AMG
179,AMGN UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,AMGN
180,AMGN UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,AMGN
181,AMP UN Equity,INDUSTRY_SECTOR,Financial,UN,AMP
182,AMT UN Equity,INDUSTRY_SECTOR,Financial,UN,AMT
183,AMZN UQ Equity,INDUSTRY_SECTOR,Communications,UQ,AMZN
184,AMZN UW Equity,INDUSTRY_SECTOR,Communications,UW,AMZN
185,AN UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,AN
186,ANDV UN Equity,INDUSTRY_SECTOR,Energy,UN,ANDV
187,ANDV US Equity,INDUSTRY_SECTOR,Energy,US,ANDV
188,ANDW UQ Equity,INDUSTRY_SECTOR,Communications,UQ,ANDW
189,ANDW UW Equity,INDUSTRY_SECTOR,Communications,UW,ANDW
190,ANET UN Equity,INDUSTRY_SECTOR,Communications,UN,ANET
191,ANF UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,ANF
192,ANRZQ UN Equity,INDUSTRY_SECTOR,Energy,UN,ANRZQ
193,ANSS UW Equity,INDUSTRY_SECTOR,Technology,UW,ANSS
194,ANTM UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ANTM
195,AON UN Equity,INDUSTRY_SECTOR,Financial,UN,AON
196,AOS UN Equity,INDUSTRY_SECTOR,Industrial,UN,AOS
197,APA UN Equity,INDUSTRY_SECTOR,Energy,UN,APA
198,APA UW Equity,INDUSTRY_SECTOR,Energy,UW,APA
199,APC UN Equity,INDUSTRY_SECTOR,Energy,UN,APC
200,APD UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,APD
201,APH UN Equity,INDUSTRY_SECTOR,Industrial,UN,APH
202,APOL UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,APOL
203,APOL UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,APOL
204,APTV UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,APTV
205,ARE UN Equity,INDUSTRY_SECTOR,Financial,UN,ARE
206,ARG UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ARG
207,ARNC UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ARNC
208,ASH UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ASH
209,ASIX UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ASIX
210,ATGE UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,ATGE
211,ATI UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,ATI
212,ATO UN Equity,INDUSTRY_SECTOR,Utilities,UN,ATO
213,ATVI UW Equity,INDUSTRY_SECTOR,Technology,UW,ATVI
214,AVB UN Equity,INDUSTRY_SECTOR,Financial,UN,AVB
215,AVGO UW Equity,INDUSTRY_SECTOR,Technology,UW,AVGO
216,AVP UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,AVP
217,AVY UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,AVY
218,AW UN Equity,INDUSTRY_SECTOR,Industrial,UN,AW
219,AWE UN Equity,INDUSTRY_SECTOR,Communications,UN,AWE
220,AWK UN Equity,INDUSTRY_SECTOR,Utilities,UN,AWK
221,AXP UN Equity,INDUSTRY_SECTOR,Financial,UN,AXP
222,AYE UN Equity,INDUSTRY_SECTOR,Utilities,UN,AYE
223,AYI UN Equity,INDUSTRY_SECTOR,Industrial,UN,AYI
224,AZO UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,AZO
225,BA UN Equity,INDUSTRY_SECTOR,Industrial,UN,BA
226,BAC UN Equity,INDUSTRY_SECTOR,Financial,UN,BAC
227,BAX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BAX
228,BBBY UQ Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UQ,BBBY
229,BBBY UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,BBBY
230,BBY UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,BBY
231,BC UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,BC
232,BCR UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BCR
233,BCR US Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",US,BCR
234,BDK UN Equity,INDUSTRY_SECTOR,Industrial,UN,BDK
235,BDX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BDX
236,BEN UN Equity,INDUSTRY_SECTOR,Financial,UN,BEN
237,BGEN UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,BGEN
238,BHF UW Equity,INDUSTRY_SECTOR,Financial,UW,BHF
239,BHI UN Equity,INDUSTRY_SECTOR,Energy,UN,BHI
240,BIG UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,BIG
241,BIIB UQ Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UQ,BIIB
242,BIIB UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,BIIB
243,BIO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BIO
244,BIVV UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,BIVV
245,BK UN Equity,INDUSTRY_SECTOR,Financial,UN,BK
246,BKNG UW Equity,INDUSTRY_SECTOR,Communications,UW,BKNG
247,BKR UN Equity,INDUSTRY_SECTOR,Energy,UN,BKR
248,BLK UN Equity,INDUSTRY_SECTOR,Financial,UN,BLK
249,BLL UN Equity,INDUSTRY_SECTOR,Industrial,UN,BLL
250,BLS UN Equity,INDUSTRY_SECTOR,Communications,UN,BLS
251,BMC UN Equity,INDUSTRY_SECTOR,Technology,UN,BMC
252,BMC UW Equity,INDUSTRY_SECTOR,Technology,UW,BMC
253,BMS UN Equity,INDUSTRY_SECTOR,Industrial,UN,BMS
254,BMY UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BMY
255,BNI UN Equity,INDUSTRY_SECTOR,Industrial,UN,BNI
256,BOL UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BOL
257,BR UN Equity,INDUSTRY_SECTOR,Technology,UN,BR
258,BRCM UQ Equity,INDUSTRY_SECTOR,Technology,UQ,BRCM
259,BRCM UW Equity,INDUSTRY_SECTOR,Technology,UW,BRCM
260,BRL UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BRL
261,BSX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BSX
262,BTUUQ UN Equity,INDUSTRY_SECTOR,Energy,UN,BTUUQ
263,BWA UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,BWA
264,BXLT UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,BXLT
265,BXP UN Equity,INDUSTRY_SECTOR,Financial,UN,BXP
266,C UN Equity,INDUSTRY_SECTOR,Financial,UN,C
267,CA UN Equity,INDUSTRY_SECTOR,Technology,UN,CA
268,CA UW Equity,INDUSTRY_SECTOR,Technology,UW,CA
269,CAG UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CAG
270,CAH UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CAH
271,CAM UN Equity,INDUSTRY_SECTOR,Energy,UN,CAM
272,CAR UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CAR
273,CARR UN Equity,INDUSTRY_SECTOR,Industrial,UN,CARR
274,CAT UN Equity,INDUSTRY_SECTOR,Industrial,UN,CAT
275,CB UN Equity,INDUSTRY_SECTOR,Financial,UN,CB
276,CBE UN Equity,INDUSTRY_SECTOR,Industrial,UN,CBE
277,CBOE UF Equity,INDUSTRY_SECTOR,Financial,UF,CBOE
278,CBOE UW Equity,INDUSTRY_SECTOR,Financial,UW,CBOE
279,CBRE UN Equity,INDUSTRY_SECTOR,Financial,UN,CBRE
280,CCEP UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CCEP
281,CCI UN Equity,INDUSTRY_SECTOR,Financial,UN,CCI
282,CCL UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CCL
283,CCTYQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CCTYQ
284,CDNS UW Equity,INDUSTRY_SECTOR,Technology,UW,CDNS
285,CDW UW Equity,INDUSTRY_SECTOR,Communications,UW,CDW
286,CE UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,CE
287,CEG UN Equity,INDUSTRY_SECTOR,Utilities,UN,CEG
288,CELG UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,CELG
289,CEPH UW Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UW,CEPH
290,CERN UW Equity,INDUSTRY_SECTOR,Technology,UW,CERN
291,CF UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,CF
292,CFC UN Equity,INDUSTRY_SECTOR,Financial,UN,CFC
293,CFG UN Equity,INDUSTRY_SECTOR,Financial,UN,CFG
294,CFN UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CFN
295,CHD UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CHD
296,CHKAQ UN Equity,INDUSTRY_SECTOR,Energy,UN,CHKAQ
297,CHRW UW Equity,INDUSTRY_SECTOR,Industrial,UW,CHRW
298,CHTR UW Equity,INDUSTRY_SECTOR,Communications,UW,CHTR
299,CHX UN Equity,INDUSTRY_SECTOR,Energy,UN,CHX
300,CI UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CI
301,CIEN UA Equity,INDUSTRY_SECTOR,Communications,UA,CIEN
302,CIEN UQ Equity,INDUSTRY_SECTOR,Communications,UQ,CIEN
303,CIEN UW Equity,INDUSTRY_SECTOR,Communications,UW,CIEN
304,CIN UN Equity,INDUSTRY_SECTOR,Utilities,UN,CIN
305,CINF UQ Equity,INDUSTRY_SECTOR,Financial,UQ,CINF
306,CINF UW Equity,INDUSTRY_SECTOR,Financial,UW,CINF
307,CITGQ UN Equity,INDUSTRY_SECTOR,Financial,UN,CITGQ
308,CL UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CL
309,CLF UN Equity,INDUSTRY_SECTOR,Basic Materials,UN,CLF
310,CLX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CLX
311,CMA UN Equity,INDUSTRY_SECTOR,Financial,UN,CMA
312,CMCSA UA Equity,INDUSTRY_SECTOR,Communications,UA,CMCSA
313,CMCSA UQ Equity,INDUSTRY_SECTOR,Communications,UQ,CMCSA
314,CMCSA UW Equity,INDUSTRY_SECTOR,Communications,UW,CMCSA
315,CMCSK UQ Equity,INDUSTRY_SECTOR,Communications,UQ,CMCSK
316,CMCSK UW Equity,INDUSTRY_SECTOR,Communications,UW,CMCSK
317,CME UN Equity,INDUSTRY_SECTOR,Financial,UN,CME
318,CME UW Equity,INDUSTRY_SECTOR,Financial,UW,CME
319,CMG UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CMG
320,CMI UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CMI
321,CMS UN Equity,INDUSTRY_SECTOR,Utilities,UN,CMS
322,CMVT UQ Equity,INDUSTRY_SECTOR,Communications,UQ,CMVT
323,CMX UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CMX
324,CNC UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CNC
325,CNP UN Equity,INDUSTRY_SECTOR,Utilities,UN,CNP
326,CNX UN Equity,INDUSTRY_SECTOR,Energy,UN,CNX
327,COF UN Equity,INDUSTRY_SECTOR,Financial,UN,COF
328,COG UN Equity,INDUSTRY_SECTOR,Energy,UN,COG
329,COL UN Equity,INDUSTRY_SECTOR,Industrial,UN,COL
330,COO UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,COO
331,COP UN Equity,INDUSTRY_SECTOR,Energy,UN,COP
332,COST UA Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UA,COST
333,COST UQ Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UQ,COST
334,COST UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,COST
335,COTY UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,COTY
336,COV UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,COV
337,CPB UN Equity,INDUSTRY_SECTOR,"Consumer, Non-cyclical",UN,CPB
338,CPGX UN Equity,INDUSTRY_SECTOR,Energy,UN,CPGX
339,CPGX US Equity,INDUSTRY_SECTOR,Energy,US,CPGX
340,CPNLQ UN Equity,INDUSTRY_SECTOR,Utilities,UN,CPNLQ
341,CPPRQ UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CPPRQ
342,CPRI UN Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UN,CPRI
343,CPRT UW Equity,INDUSTRY_SECTOR,"Consumer, Cyclical",UW,CPRT
