ticker,CNF US Equity
2019-04-04,7.0175
2019-04-05,8.3607
2019-04-08,-1.6641
2019-04-09,-2.1538
2019-04-10,1.1006
2019-04-11,0.0
2019-04-12,1.7201
2019-04-15,-3.755
2019-04-16,-4.7307
2019-04-17,-1.0221
2019-04-18,1.9222000000000001
2019-04-22,-0.4959
2019-04-23,9.3023
2019-04-24,-5.7751
2019-04-25,-2.4194
2019-04-26,-2.1488
2019-04-29,1.0135
2019-04-30,-1.4431
2019-05-01,0.1069
2019-05-02,0.1695
2019-05-03,-1.0152
2019-05-06,2.3504
2019-05-07,-3.1315
2019-05-08,-0.3259
2019-05-09,-0.8839
2019-05-10,-2.4066
2019-05-13,-4.3293
2019-05-14,0.0
2019-05-15,2.8037
2019-05-16,0.1818
2019-05-17,0.8094
2019-05-20,8.0186
2019-05-21,-1.6667
2019-05-22,-5.0847
2019-05-23,-2.6786
2019-05-24,-1.6514
2019-05-28,0.7463
2019-05-29,2.7778
2019-05-30,-0.1261
2019-05-31,0.2941
2019-06-03,-1.0667
2019-06-04,3.2727
2019-06-05,3.2746
2019-06-06,-1.9775
2019-06-07,2.6087
2019-06-10,4.5763
2019-06-11,0.4862
2019-06-12,2.4194
2019-06-13,-0.4724
2019-06-14,-0.4747
2019-06-17,-1.4308
2019-06-18,-0.3226
2019-06-19,0.1618
2019-06-20,-3.0695
2019-06-21,-0.3333
2019-06-24,-1.9482
2019-06-25,-5.3466000000000005
2019-06-26,5.9459
2019-06-27,0.8418
2019-06-28,0.0084
2019-07-02,-2.0236
2019-07-05,0.8606
2019-07-08,-2.6672000000000002
2019-07-09,-1.5025
2019-07-10,1.4596
2019-07-11,2.6316
2019-07-12,-2.3932
2019-07-15,0.0
2019-07-16,1.5762
2019-07-18,-0.0638
2019-07-19,-3.2141
2019-07-22,0.713
2019-07-23,-0.885
2019-07-24,-1.25
2019-07-26,-0.1808
2019-07-29,1.2663
2019-07-30,0.0018
2019-07-31,0.1807
2019-08-01,0.1768
2019-08-02,-4.6346
2019-08-05,4.2991
2019-08-06,2.1505
2019-08-07,-0.5298
2019-08-09,-1.7602
2019-08-12,-4.3088
2019-08-13,1.3133
2019-08-14,0.0
2019-08-16,-1.6667
2019-08-19,-3.7664999999999997
2019-08-20,6.2622
2019-08-21,-4.2357
2019-08-22,0.0
2019-08-23,-3.4615
2019-08-26,0.7968
2019-08-27,8.498
2019-08-28,-4.3716
2019-08-29,-1.1429
2019-08-30,-9.6339
2019-09-03,4.2644
2019-09-04,-2.2495
2019-09-05,-0.3285
2019-09-06,-0.3001
2019-09-09,1.8947
2019-09-10,-1.8037
2019-09-11,2.0473
2019-09-12,-0.5299
2019-09-13,-0.2094
2019-09-16,1.9899
2019-09-17,3.4949
2019-09-18,-2.4441
2019-09-19,3.5079000000000002
2019-09-20,1.7286000000000001
2019-09-23,1.5326
2019-09-24,2.8302
2019-09-25,4.4037
2019-09-26,0.1757
2019-09-27,2.6316
2019-09-30,3.4188
2019-10-01,-5.7851
2019-10-02,-4.5579
2019-10-04,1.0992
2019-10-07,-1.5455
2019-10-08,-8.2179
2019-10-09,-9.6579
2019-10-10,-1.7816999999999998
2019-10-11,5.2154
2019-10-14,1.2931
2019-10-15,-2.5766
2019-10-16,-0.4128
2019-10-17,-0.0329
2019-10-18,5.0784
2019-10-21,1.6701000000000001
2019-10-22,-1.0267
2019-10-23,1.6598000000000002
2019-10-24,-0.4082
2019-10-25,-1.6393
2019-10-28,1.25
2019-10-30,-1.5432000000000001
2019-10-31,-2.8213
2019-11-01,7.5269
2019-11-04,0.0
2019-11-05,1.4
2019-11-06,-1.5049000000000001
2019-11-07,-0.0921
2019-11-08,0.018
2019-11-11,-1.2024
2019-11-12,3.8763
2019-11-13,-2.3647
2019-11-14,2.8
2019-11-15,-0.6809
2019-11-18,1.0774
2019-11-19,-4.6512
2019-11-20,2.2358000000000002
2019-11-21,-6.163
2019-11-22,1.9068
2019-11-25,-0.6237
2019-11-26,2.9289
2019-11-27,0.1992
2019-12-02,2.0325
2019-12-03,-0.5964
2019-12-04,2.0
2019-12-05,-2.8569
2019-12-06,0.1151
2019-12-10,0.0
2019-12-12,2.8205999999999998
2019-12-16,0.7863
2019-12-17,0.0
2019-12-18,-2.4319
2019-12-19,3.6889
2019-12-20,-1.9231
2019-12-23,0.0157
2019-12-26,-0.994
2019-12-27,-0.596
2019-12-30,-9.761
2019-12-31,-11.6998
2020-01-02,8.0
2020-01-03,5.5556
2020-01-06,1.3158
2020-01-07,5.71
2020-01-08,2.5841
2020-01-09,-1.1976
2020-01-10,-2.4242
2020-01-13,-7.6605
2020-01-15,3.8117
2020-01-16,1.5119
2020-01-17,-1.4894
2020-01-21,2.7127
2020-01-22,-1.064
2020-01-23,-0.7439
2020-01-24,2.1413
2020-01-27,-2.5157
2020-01-28,-1.9355
2020-01-29,-0.2193
2020-01-30,-0.9077
2020-01-31,-5.516
2020-02-03,16.1972
2020-02-04,1.0101
2020-02-05,-4.2
2020-02-06,0.2797
2020-02-10,0.3456
2020-02-11,-1.6099999999999999
2020-02-12,-0.2615
2020-02-13,2.1142
2020-02-14,-2.7619
2020-02-18,-2.2697
2020-02-19,-1.0893
2020-02-20,-0.3238
2020-02-21,-1.443
2020-02-24,8.520199999999999
2020-02-25,-5.9917
2020-02-26,5.4945
2020-02-27,-5.2083
2020-02-28,-4.8615
2020-03-02,0.0901
2020-03-03,-0.0969
2020-03-05,3.7311
2020-03-06,-2.9555
2020-03-09,-5.7582
2020-03-10,-1.2931
2020-03-11,9.7871
2020-03-12,-1.1236
2020-03-13,-3.4091
2020-03-16,-3.5271
2020-03-17,-1.2219
2020-03-18,0.0
2020-03-19,-1.2346
2020-03-20,0.0
2020-03-24,-2.1175
2020-03-25,15.6999
2020-03-26,-0.6623
2020-03-27,-11.5444
2020-03-30,-4.5346
2020-03-31,-5.2632
2020-04-01,5.5556
2020-04-02,-5.0
2020-04-03,1.7175
2020-04-06,3.2135
2020-04-07,-4.2216
2020-04-08,1.1019
2020-04-09,-1.7439
2020-04-13,0.1109
2020-04-14,-0.1551
2020-04-15,0.3773
2020-04-16,3.372
2020-04-17,-3.4759
2020-04-21,-3.2298999999999998
2020-04-22,-2.8167
2020-04-23,4.5655
2020-04-24,-0.2817
2020-04-27,30.5085
2020-04-28,-11.2576
2020-04-29,1.4683
2020-04-30,-6.2523
2020-05-01,0.0
2020-05-04,-0.7692
2020-05-05,-0.7726
2020-05-06,-0.0026
2020-05-07,-2.3438
2020-05-08,14.6667
2020-05-11,-8.7209
2020-05-12,9.5541
2020-05-13,-6.7442
2020-05-14,4.2394
2020-05-15,-11.244
2020-05-18,7.8167
2020-05-19,-1.25
2020-05-20,-2.9114
2020-05-22,4.3025
2020-05-26,-7.25
2020-05-28,-2.1563
2020-05-29,-0.8237
2020-06-02,1.3860999999999999
2020-06-04,4.9315
2020-06-05,-0.4465
2020-06-08,-0.0761
2020-06-09,-3.9370000000000003
2020-06-10,9.2896
2020-06-11,-2.25
2020-06-12,1.5345
2020-06-15,-4.2821
2020-06-16,0.0
2020-06-17,1.1842
2020-06-19,4.0312
2020-06-22,-2.75
2020-06-23,-5.9126
2020-06-25,1.9125999999999999
2020-06-29,0.8043
2020-06-30,2.6596
2020-07-01,-4.6632
2020-07-02,0.0
2020-07-06,1.3587
2020-07-08,0.0
2020-07-09,-3.1448
2020-07-10,1.4477
2020-07-13,3.9127
2020-07-14,-5.4721
2020-07-15,0.2778
2020-07-16,2.9307
2020-07-17,0.9204
2020-07-20,-3.2213
2020-07-22,-0.8046
2020-07-24,0.0
2020-07-27,-0.2778
2020-07-29,2.8691
2020-07-30,-4.9553
2020-07-31,-0.1966
