ticker,AQQSQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-02,-0.037
2007-03-05,-6.25
2007-03-06,1.4201
2007-03-07,-0.9724
2007-03-08,0.9819
2007-03-09,1.2835
2007-03-12,-0.768
2007-03-13,0.5805
2007-03-14,-0.1539
2007-03-15,0.2312
2007-03-16,0.2691
2007-03-19,0.8436
2007-03-20,0.3422
2007-03-21,2.3115
2007-03-22,0.037
2007-03-23,0.5183
2007-03-26,0.6262
2007-03-27,0.0732
2007-03-28,-0.2195
2007-03-29,0.1466
2007-03-30,-1.0981
2007-04-02,0.8882
2007-04-03,0.6236
2007-04-04,1.2395
2007-04-05,-0.2881
2007-04-09,-1.1557
2007-04-10,-1.5711
2007-04-11,-1.4477
2007-04-12,-1.0546
2007-04-13,-0.6471
2007-04-16,-0.9579
2007-04-17,1.0832
2007-04-18,-2.832
2007-04-19,1.1421999999999999
2007-04-20,0.9735
2007-04-23,-1.8511
2007-04-24,0.9037
2007-04-25,-2.5701
2007-04-26,0.3197
2007-04-30,-0.996
2007-05-01,-2.0121
2007-05-02,-0.0411
2007-05-03,-1.3969
2007-05-04,-1.0417
2007-05-07,-2.1053
2007-05-08,-2.1505
2007-05-09,-2.5495
2007-05-10,-0.5413
2007-05-11,0.6803
2007-05-14,2.7027
2007-05-16,0.0
2007-05-17,0.0
2007-05-18,0.8772
2007-05-21,-3.2609
2007-05-23,3.1101
2007-05-24,-4.5419
2007-05-25,5.7078
2007-05-30,-3.2397
2007-06-01,4.0179
2007-06-04,0.0
2007-06-05,0.0
2007-06-07,-1.2876
2007-06-08,0.0
2007-06-11,-1.087
2007-06-12,-3.2967
2007-06-13,-2.2727
2007-06-14,4.6506
2007-06-15,2.1783
2007-06-18,-2.1749
2007-06-19,-3.2895
2007-06-22,-0.0468
2007-06-25,-2.2999
2007-06-26,-1.1294
2007-06-28,-1.1911
2007-07-05,0.0
2007-07-09,1.2048
2007-07-10,2.3810000000000002
2007-07-17,-2.3256
2007-07-19,-0.981
2007-07-23,-2.6161
2007-07-24,-6.9136
2007-07-26,0.7958
2007-07-30,-0.2632
2007-08-01,-3.6939
2007-08-02,-1.589
2007-08-03,-0.0557
2007-08-06,-1.3928
2007-08-08,0.0
2007-08-10,3.1073
2007-08-13,0.0
2007-08-14,2.7397
2007-08-15,-1.3333
2007-08-16,0.0
2007-08-17,-1.3514
2007-08-20,1.3699
2007-08-21,-3.7838000000000003
2007-08-22,7.5843
2007-08-23,1.8277
2007-08-24,-1.2827
2007-08-27,-0.7786
2007-08-28,0.0
2007-08-29,-1.3089
2007-08-30,1.3263
2007-08-31,2.6178
2007-09-04,1.2755
2007-09-10,-0.7053
2007-09-18,-1.0654
2007-09-20,-1.2814
2007-09-21,0.0
2007-09-24,-0.0006
2007-09-25,-0.7792
2007-09-26,-3.1414
2007-09-27,9.4595
2007-09-28,-1.2346
2007-10-03,-1.25
2007-10-04,-1.2658
2007-10-09,-2.5641
2007-10-11,-2.6316
2007-10-15,-2.7027
2007-10-16,-2.7778
2007-10-17,-2.8571
2007-10-18,-1.4706000000000001
2007-10-19,1.4925
2007-10-23,5.8824
2007-10-26,-1.3889
2007-10-29,-2.8169
2007-10-31,-1.4493
2007-11-01,12.9412
2007-11-02,-0.2604
2007-11-05,-1.0444
2007-11-07,-3.0607
2007-11-08,0.0
2007-11-09,-1.3609
2007-11-12,8.9956
2007-11-13,-0.8101
2007-11-14,-4.0327
2007-11-15,-4.2553
2007-11-16,0.0
2007-11-19,0.0
2007-11-20,0.5556
2007-11-21,-0.2762
2007-11-23,1.662
2007-11-26,-1.9074
2007-11-27,4.1667
2007-11-28,1.3333
2007-11-29,-1.3158
2007-11-30,-4.0
2007-12-03,0.0
2007-12-04,0.3444
2007-12-05,-0.2879
2007-12-06,0.3887
2007-12-07,-0.3872
2007-12-10,0.0555
2007-12-11,-0.111
2007-12-12,-0.2778
2007-12-13,-2.5063
2007-12-14,1.4278
2007-12-17,-2.5352
2007-12-18,-1.1553
2007-12-19,2.6308
2007-12-20,2.5641
2007-12-21,-1.3889
2007-12-26,29.5775
2007-12-27,3.2609
2007-12-28,-7.3684
2007-12-31,2.3182
2008-01-04,-2.2212
2008-01-07,6.9514
2008-01-08,3.6109
2008-01-09,0.451
2008-01-10,-2.0408
2008-01-11,6.25
2008-01-14,0.0
2008-01-15,-1.9607999999999999
2008-01-16,0.0
2008-01-17,0.8
2008-01-18,-1.5873
2008-01-23,0.8065
2008-01-25,0.9195
2008-01-29,-0.7129
2008-01-30,1.3573
2008-01-31,-0.9846
2008-02-04,-1.1535
2008-02-05,3.3803
2008-02-06,-1.3235000000000001
2008-02-07,-0.9862
