ticker,DWIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-24,-20.0
2007-07-25,15.0
2007-07-26,0.0
2007-07-30,0.0
2007-08-03,-39.1304
2007-08-06,42.8571
2007-08-08,-25.0
2007-08-09,33.3333
2007-08-14,0.0
2007-08-27,-25.0
2007-09-05,13.3333
2007-09-07,-5.8824
2007-09-11,-31.25
2007-09-13,54.5455
2007-09-14,-5.8824
2007-09-17,-3.125
2007-09-21,-3.2258
2007-09-25,0.0
2007-09-28,0.0
2007-10-02,0.0
2007-10-04,3.3333
2007-10-05,-9.6774
2007-10-08,0.0
2007-10-09,-7.1429
2007-10-12,-15.3846
2007-10-15,-19.0909
2007-10-16,12.3596
2007-10-17,0.0
2007-10-18,-10.0
2007-10-24,0.0
2007-10-29,-44.4444
2007-11-01,40.0
2007-11-02,0.0
2007-11-05,0.0
2007-11-09,14.2857
2007-11-12,0.0
2007-11-14,12.5
2007-11-15,0.0
2007-11-16,11.1111
2007-11-21,-10.0
2007-11-26,-11.1111
2007-11-27,0.0
2007-11-29,0.0
2007-12-03,0.0
2007-12-07,-12.5
2007-12-10,0.0
2007-12-11,14.2857
2007-12-14,-12.5
2007-12-24,-55.7143
2007-12-28,93.5484
2007-12-31,16.6667
2008-01-03,0.0
2008-01-04,0.0
2008-01-08,-28.5714
2008-01-16,0.0
2008-01-28,-68.0
2008-01-29,25.0
2008-02-06,50.0
2008-02-07,-33.3333
2008-02-11,40.0
2008-02-12,0.0
2008-02-14,-28.5714
2008-02-19,30.0
2008-02-20,0.0
2008-02-22,-42.3077
2008-02-25,73.3333
2008-02-26,0.0
2008-03-03,-75.0
2008-03-05,100.0
2008-03-06,-15.3846
2008-03-07,0.0
2008-03-10,9.0909
2008-03-14,-8.3333
2008-03-20,-36.3636
2008-03-25,0.0
2008-03-27,-7.1429
2008-03-31,7.6923
2008-04-03,-7.1429
2008-04-15,0.0
2008-05-02,84.6154
2008-05-13,-50.0
2008-05-27,100.0
2008-05-29,-58.3333
2008-06-02,0.0
2008-06-05,100.0
2008-06-17,-20.0
2008-06-24,25.0
2008-06-26,-50.0
2008-07-07,100.0
2008-08-12,-50.0
2008-08-25,180.0
2008-08-27,0.0
2008-09-18,0.0
2008-09-26,-64.2857
2008-12-19,-80.0
2008-12-31,0.0
2009-02-18,0.0
2009-03-03,0.0
2009-03-04,0.0
2009-03-19,400.0
2009-03-20,-80.0
2009-03-27,0.0
2009-03-30,0.0
2009-04-13,0.0
2009-04-27,0.0
2009-06-15,0.0
2009-07-17,31.25
2009-07-28,23.8095
2009-08-06,392.3077
2009-08-18,-87.5
2009-09-23,12.5
2009-11-02,5.5556
2009-11-10,573.6842
2009-11-11,-75.0
2009-11-17,6.25
2009-12-07,0.0
2009-12-09,0.0
2010-01-12,-5.8824
2010-02-10,0.0
2010-05-04,0.0
2010-07-01,0.0
2010-07-09,0.0
2010-09-23,100.0
2010-09-28,146.875
2010-10-01,1.2658
2010-11-04,400.0
2010-11-09,-56.0
2010-11-10,4.5455
2010-11-18,8.6957
2010-11-23,4.0
2010-11-24,3.8462
2010-12-03,11.1111
2010-12-08,6.6667
2010-12-09,9.375
2010-12-10,0.0
2010-12-15,-14.2857
2010-12-22,16.6667
2011-02-15,-14.2857
2011-02-28,0.0
2011-03-01,-3.3333
2011-03-28,20.6897
2011-03-29,20.0
2011-03-31,-2.3810000000000002
2011-04-01,19.5122
2011-04-04,22.449
2011-04-05,0.0
2011-04-06,33.3333
2011-04-08,18.75
2011-04-11,-10.526299999999999
2011-04-14,0.0
2011-04-18,-17.647100000000002
2011-04-19,21.4286
2011-04-27,0.0
2011-04-29,0.0
2011-05-03,-29.4118
2011-05-05,31.6667
2011-05-06,38.6076
2011-05-09,-4.1096
2011-05-10,4.7619
2011-05-11,-0.9091
2011-05-12,0.0
2011-05-13,19.2661
2011-05-16,26.9231
2011-05-17,-3.0303
2011-05-18,-13.125
2011-05-19,0.7194
2011-05-20,-0.7143
2011-05-23,-1.4388
2011-05-24,9.4891
2011-05-25,0.0
2011-05-26,-0.6667
2011-05-27,-6.0403
2011-05-31,2.1429
2011-06-01,-19.5804
2011-06-02,21.7391
2011-06-03,7.1429
2011-06-07,0.5833
2011-06-08,-33.72
2011-06-09,51.0
2011-06-14,-33.7748
2011-06-16,40.0
2011-06-21,-28.5714
2011-06-24,20.0
2011-06-27,-25.0
2011-06-28,33.1944
2011-06-30,-16.5798
2011-07-01,10.0
2011-07-08,-27.2727
2011-07-13,0.0
2011-08-01,25.0
2011-08-03,5.0
2011-08-04,14.2857
2011-08-05,-16.6667
2011-08-08,15.0
2011-08-09,-4.3478
2011-08-10,0.0
2011-08-11,-31.8182
2011-08-12,-6.6667
2011-08-15,7.1429
