ticker,TMDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-09-23,-0.2831
2019-09-24,-3.4874
2019-09-25,-2.521
2019-09-26,0.6466
2019-09-27,1.4561
2019-09-30,0.2533
2019-10-01,-8.8842
2019-10-02,-7.2551
2019-10-03,-6.1784
2019-10-04,-3.9299
2019-10-07,-4.2565
2019-10-08,-1.7898
2019-10-09,3.351
2019-10-10,10.5233
2019-10-11,-4.9408
2019-10-14,-3.8982
2019-10-15,0.338
2019-10-16,0.5053
2019-10-17,1.7318
2019-10-18,-2.581
2019-10-21,-0.0564
2019-10-22,0.5076
2019-10-23,-0.1122
2019-10-24,1.4045
2019-10-25,-1.108
2019-10-28,2.521
2019-10-29,-1.694
2019-10-30,-1.0006
2019-10-31,0.7299
2019-11-01,8.7514
2019-11-04,2.8703
2019-11-05,-3.5874
2019-11-06,-10.8527
2019-11-07,-3.7100999999999997
2019-11-08,2.047
2019-11-11,-0.649
2019-11-12,3.5629
2019-11-13,-1.2041
2019-11-14,3.7145
2019-11-15,2.4622
2019-11-18,-0.6554
2019-11-19,-1.1545
2019-11-20,-0.723
2019-11-21,-3.1373
2019-11-22,4.1064
2019-11-25,4.0556
2019-11-26,1.0144
2019-11-27,0.2643
2019-11-29,-1.1597
2019-12-02,-6.72
2019-12-03,1.2579
2019-12-04,-0.0565
2019-12-05,5.4237
2019-12-06,1.9828999999999999
2019-12-09,5.0972
2019-12-10,0.05
2019-12-11,-3.1484
2019-12-12,-9.2879
2019-12-13,6.6553
2019-12-16,0.2667
2019-12-17,0.4255
2019-12-18,1.4830999999999999
2019-12-19,-3.6013
2019-12-20,0.8121
2019-12-23,2.7927
2019-12-24,-0.418
2019-12-26,0.3148
2019-12-27,-2.7720000000000002
2019-12-30,1.0758
2019-12-31,1.1708
2020-01-02,0.3156
2020-01-03,-1.2061
2020-01-06,-5.4671
2020-01-07,0.9545
2020-01-08,-0.9455
2020-01-09,0.8422
2020-01-10,4.2316
2020-01-13,1.8162
2020-01-14,1.9412
2020-01-15,-2.7277
2020-01-16,1.5873
2020-01-17,2.6563
2020-01-21,2.4859999999999998
2020-01-22,-3.0198
2020-01-23,2.0929
2020-01-24,-0.25
2020-01-27,-1.0025
2020-01-28,1.4177
2020-01-29,-6.1408
2020-01-30,-5.0
2020-01-31,-1.9597
2020-02-03,1.4278
2020-02-04,-2.5901
2020-02-05,3.0058
2020-02-06,-2.1324
2020-02-07,0.2867
2020-02-10,3.259
2020-02-11,1.5504
2020-02-12,2.6718
2020-02-13,1.3808
2020-02-14,0.5238
2020-02-18,2.6576
2020-02-19,1.8782
2020-02-20,-4.9327
2020-02-21,-2.9874
2020-02-24,-5.8347
2020-02-25,-2.8686
2020-02-26,-1.5356999999999998
2020-02-27,-3.1794000000000002
2020-02-28,-2.7260999999999997
2020-03-02,-4.7134
2020-03-03,3.8102
2020-03-04,3.4127
2020-03-05,-4.3587
2020-03-06,0.9766
2020-03-09,-10.8317
2020-03-10,6.1461
2020-03-11,-7.2207
2020-03-12,-12.3348
2020-03-13,7.4539
2020-03-16,-18.1606
2020-03-17,20.7619
2020-03-18,11.987400000000001
2020-03-19,1.5493000000000001
2020-03-20,-4.7157
2020-03-23,-0.0728
2020-03-24,0.3642
2020-03-25,-5.3701
2020-03-26,-1.1503
2020-03-27,-8.7665
2020-03-30,1.9558
2020-03-31,0.7506
2020-04-01,-3.4768
2020-04-02,4.2882
2020-04-03,-2.3026
2020-04-06,2.3569
2020-04-07,11.9243
2020-04-08,11.4622
2020-04-09,-0.791
2020-04-13,-3.588
2020-04-14,-2.55
2020-04-15,6.3649000000000004
2020-04-16,4.3218
2020-04-17,5.6724
2020-04-20,-2.2316
2020-04-21,-0.8637
2020-04-22,8.0274
2020-04-23,-0.9793
2020-04-24,3.4322
2020-04-27,-2.1372
2020-04-28,2.7011
2020-04-29,2.1824
2020-04-30,-0.931
2020-05-01,-8.2919
2020-05-04,1.2055
2020-05-05,1.1912
2020-05-06,-0.7652
2020-05-07,-6.8802
2020-05-08,5.6051
2020-05-11,1.8697
2020-05-12,-5.0326
2020-05-13,-4.4264
2020-05-14,0.0
2020-05-15,-5.8056
2020-05-18,14.473700000000001
2020-05-19,-3.9927
2020-05-20,3.7807
2020-05-21,-6.0716
2020-05-22,3.426
2020-05-26,-0.3125
2020-05-27,-12.3511
2020-05-28,-1.073
2020-05-29,-4.483
2020-06-01,-0.9841
2020-06-02,3.3639
2020-06-03,4.142
2020-06-04,0.8523
2020-06-05,5.6338
2020-06-08,5.7333
2020-06-09,-6.6204
2020-06-10,-1.1479
2020-06-11,-2.459
2020-06-12,4.9719999999999995
2020-06-15,4.2028
2020-06-16,4.4814
2020-06-17,1.1029
2020-06-18,2.0
2020-06-19,1.0695000000000001
2020-06-22,-0.7643
2020-06-23,0.3555
2020-06-24,-0.8264
2020-06-25,3.0952
2020-06-26,-3.1178
2020-06-29,2.801
2020-06-30,3.8841
2020-07-01,-7.3103
2020-07-02,4.8766
2020-07-06,0.0574
2020-07-07,-1.5491000000000001
2020-07-08,0.5828
2020-07-09,1.4484
2020-07-10,-3.8264
2020-07-13,3.0285
2020-07-14,-4.1499
2020-07-15,3.7282
2020-07-16,-1.6812
2020-07-17,2.8302
2020-07-20,1.1468
2020-07-21,1.9841
2020-07-22,-1.1673
2020-07-23,-1.1811
2020-07-24,-1.366
2020-07-27,0.577
2020-07-28,1.4917
2020-07-29,4.0701
2020-07-30,-0.7605
2020-07-31,-1.1494
