ticker,MDRR US Equity
2019-06-24,0.0
2019-06-25,0.6849
2019-06-26,11.1111
2019-06-27,-6.9388
2019-06-28,-3.9474
2019-07-01,6.1644
2019-07-02,-2.5806
2019-07-03,5.298
2019-07-05,0.6289
2019-07-08,0.2083
2019-07-09,-0.4158
2019-07-10,-1.0459
2019-07-11,-2.4241
2019-07-12,-3.1461
2019-07-15,2.0882
2019-07-16,1.1364
2019-07-17,-0.2247
2019-07-18,-0.9009
2019-07-19,-0.2318
2019-07-22,0.9158
2019-07-23,-0.6772
2019-07-24,-0.6818
2019-07-25,0.4577
2019-07-26,0.4123
2019-07-29,-1.7717
2019-07-30,-1.6143
2019-07-31,-0.0023
2019-08-01,4.4601
2019-08-02,-3.5955
2019-08-05,0.9324
2019-08-06,-0.6928
2019-08-07,2.093
2019-08-08,-2.9613
2019-08-09,0.0563
2019-08-12,1.5859999999999999
2019-08-13,0.6928
2019-08-14,0.0
2019-08-15,-0.9472
2019-08-19,0.7572
2019-08-20,-0.0322
2019-08-21,0.2621
2019-08-22,-1.6371
2019-08-23,-0.2331
2019-08-28,1.4019
2019-08-29,0.6912
2019-08-30,-10.7551
2019-09-03,6.0872
2019-09-04,-1.8707
2019-09-05,8.3744
2019-09-06,1.1364
2019-09-09,-1.7978
2019-09-10,-2.746
2019-09-11,1.1671
2019-09-12,-0.2233
2019-09-13,-0.9324
2019-09-16,3.5294
2019-09-17,-2.1591
2019-09-18,-0.1161
2019-09-19,-2.3256
2019-09-20,0.2381
2019-09-23,-0.2375
2019-09-24,1.1905000000000001
2019-09-25,1.4118
2019-09-26,-3.7123
2019-09-27,-1.2048
2019-09-30,3.6585
2019-10-01,-0.7059
2019-10-02,-1.4218
2019-10-03,0.0
2019-10-04,0.2404
2019-10-07,0.2398
2019-10-08,0.0
2019-10-09,-0.2392
2019-10-10,-0.2398
2019-10-11,0.2404
2019-10-14,-0.2398
2019-10-15,-0.9615
2019-10-16,-0.7282
2019-10-17,0.0
2019-10-18,-0.978
2019-10-21,-0.9877
2019-10-22,1.995
2019-10-23,-0.489
2019-10-24,-0.9828
2019-10-25,-1.4888
2019-10-28,-0.2519
2019-10-29,-0.7576
2019-10-30,3.145
2019-10-31,-0.3355
2019-11-01,0.7426
2019-11-04,1.7199
2019-11-05,1.2077
2019-11-06,1.9093
2019-11-07,-0.4684
2019-11-08,2.9741
2019-11-11,1.2225
2019-11-12,1.0181
2019-11-13,-6.2791
2019-11-14,0.4963
2019-11-15,-0.1235
2019-11-18,0.9147
2019-11-19,-2.0088
2019-11-20,-2.25
2019-11-21,0.0
2019-11-22,0.0
2019-11-25,2.7877
2019-11-26,-2.9609
2019-11-27,2.1821
2019-11-29,-1.6336
2019-12-02,3.5714
2019-12-03,-0.2463
2019-12-04,0.2469
2019-12-05,0.1084
2019-12-06,-2.3226
2019-12-09,0.0
2019-12-10,1.5466
2019-12-11,-3.5075
2019-12-12,-0.5141
2019-12-13,0.2584
2019-12-16,-5.1418
2019-12-17,-0.3206
2019-12-18,-3.2355
2019-12-19,-2.3971999999999998
2019-12-20,2.4561
2019-12-23,-3.6338
2019-12-24,-0.3215
2019-12-26,2.0264
2019-12-27,0.023
2019-12-30,-4.0202
2019-12-31,3.5928
2020-01-02,3.8324
2020-01-03,2.4328
2020-01-06,2.5815
2020-01-07,-0.9801
2020-01-08,0.848
2020-01-09,0.9391
2020-01-10,0.0972
2020-01-13,-0.3623
2020-01-14,1.1621
2020-01-15,0.521
2020-01-16,-0.9458
2020-01-17,1.4676
2020-01-21,-0.2243
2020-01-22,0.2584
2020-01-23,-0.2577
2020-01-24,1.0336
2020-01-27,-0.2558
2020-01-28,0.5128
2020-01-29,-0.0051
2020-01-30,-1.0664
2020-01-31,-0.3352
2020-02-03,0.3881
2020-02-04,0.2577
2020-02-05,0.3856
2020-02-06,1.7337
2020-02-07,6.7284
2020-02-10,-4.7028
2020-02-11,-0.6538
2020-02-12,-7.0694
2020-02-13,-0.9682
2020-02-14,0.2207
2020-02-18,-2.4499
2020-02-19,2.2857
2020-02-20,0.2793
2020-02-21,1.1142
2020-02-24,0.5427
2020-02-25,5.7128
2020-02-26,-5.1371
2020-02-27,-20.3169
2020-02-28,-5.7057
2020-03-02,3.6364
2020-03-03,7.0246
2020-03-04,-8.6945
2020-03-05,0.1113
2020-03-06,-8.1812
2020-03-09,-2.3437
2020-03-10,-0.824
2020-03-11,-7.2356
2020-03-12,-21.7391
2020-03-13,-0.5556
2020-03-16,6.7039
2020-03-17,2.0942
2020-03-18,-9.7436
2020-03-19,-14.7727
2020-03-20,14.1133
2020-03-23,-4.1888
2020-03-24,3.8171
2020-03-25,6.5723
2020-03-26,0.8542
2020-03-27,-3.2787
2020-03-30,-3.9492000000000003
2020-03-31,-0.0059
2020-04-01,0.5882
2020-04-02,-21.0526
2020-04-03,-5.1852
2020-04-06,9.375
2020-04-07,2.8571
2020-04-08,10.9722
2020-04-09,-0.5006
2020-04-13,6.2893
2020-04-14,-14.2012
2020-04-15,2.4138
2020-04-16,-0.3367
2020-04-17,-5.4054
2020-04-20,5.1429
2020-04-21,2.5747
2020-04-22,0.0066
2020-04-23,2.7815
2020-04-24,-2.7062
2020-04-27,13.9073
2020-04-28,-1.1628
2020-04-29,0.0
2020-04-30,5.8824
2020-05-01,-5.0
2020-05-04,1.1696
2020-05-05,-7.5145
2020-05-06,6.25
2020-05-07,5.8824
2020-05-08,1.0611
2020-05-11,-5.9975000000000005
2020-05-12,-0.5848
2020-05-13,-0.2941
2020-05-14,-0.295
2020-05-15,0.0592
2020-05-18,3.1461
2020-05-19,2.6258
2020-05-20,5.5866
2020-05-21,-8.4603
2020-05-22,-0.5838
2020-05-26,1.7442
2020-05-27,0.5714
2020-05-28,-0.5682
2020-05-29,5.1429
2020-06-01,-2.1848
2020-06-02,-1.6557
2020-06-03,6.2147
2020-06-04,-1.0638
2020-06-05,7.5269
2020-06-08,7.25
2020-06-09,-0.6993
2020-06-10,3.7559
2020-06-11,-4.9774
2020-06-12,0.4762
2020-06-15,5.5592
2020-06-16,1.4681
2020-06-17,3.5398
2020-06-18,15.3846
2020-06-19,-7.4074
2020-06-22,-11.2
2020-06-23,9.4595
2020-06-24,-5.3621
2020-06-25,-0.8566
2020-06-26,-4.6053
2020-06-29,-12.1839
2020-06-30,-4.1832
2020-07-01,1.0928
2020-07-02,-1.0864
2020-07-06,1.6448
2020-07-07,-1.6181999999999999
2020-07-08,-3.623
2020-07-09,3.7591
2020-07-10,-3.8251
2020-07-13,-0.5682
2020-07-14,2.8571
2020-07-15,-2.2222
2020-07-16,1.1364
2020-07-17,1.6236000000000002
2020-07-20,1.1665
2020-07-21,-2.1967
2020-07-22,-0.1173
2020-07-23,-2.1368
2020-07-24,-5.6815999999999995
2020-07-27,4.2361
2020-07-28,1.1628
2020-07-29,3.4483
2020-07-30,-0.5833
2020-07-31,-3.8838
