ticker,INN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-12-17,3.298
2012-12-18,1.8244
2012-12-19,1.2318
2012-12-20,3.0973
2012-12-21,-0.2146
2012-12-24,0.2151
2012-12-26,-0.4292
2012-12-27,0.3233
2012-12-28,0.3222
2012-12-31,1.7130999999999998
2013-01-02,1.2631999999999999
2013-01-03,0.104
2013-01-04,0.4154
2013-01-07,-1.758
2013-01-08,-3.7895
2013-01-09,-1.3129
2013-01-10,0.8869
2013-01-11,0.2198
2013-01-14,0.2193
2013-01-15,0.3282
2013-01-16,-0.1091
2013-01-17,1.2009
2013-01-18,0.3236
2013-01-22,2.043
2013-01-23,-0.3161
2013-01-24,-0.1057
2013-01-25,-0.2116
2013-01-28,0.4242
2013-01-29,-0.1056
2013-01-30,-2.2199
2013-01-31,-0.6486
2013-02-01,2.5027
2013-02-04,0.0
2013-02-05,-0.3185
2013-02-06,-0.213
2013-02-07,-1.0672
2013-02-08,1.5102
2013-02-11,0.3454
2013-02-12,0.6431
2013-02-13,-0.426
2013-02-14,2.1390000000000002
2013-02-15,-1.5707
2013-02-19,-0.3191
2013-02-20,-1.174
2013-02-21,-0.432
2013-02-22,0.5423
2013-02-25,-1.0787
2013-02-26,1.0905
2013-02-27,2.2654
2013-02-28,1.2658
2013-03-01,1.875
2013-03-04,0.9202
2013-03-05,-1.1145
2013-03-06,0.7172
2013-03-07,-0.1017
2013-03-08,0.9165
2013-03-11,-2.1191
2013-03-12,0.2062
2013-03-13,0.4115
2013-03-14,1.2295
2013-03-15,4.3522
2013-03-18,-1.9399
2013-03-19,0.1978
2013-03-20,-1.1846
2013-03-21,0.6993
2013-03-22,-0.496
2013-03-25,0.5982
2013-03-26,0.3964
2013-03-27,1.8756
2013-03-28,1.4535
2013-04-01,-3.2474
2013-04-02,1.8756
2013-04-03,-3.3915
2013-04-04,1.7050999999999998
2013-04-05,0.5917
2013-04-08,-0.4902
2013-04-09,1.0836999999999999
2013-04-10,1.462
2013-04-11,-0.6724
2013-04-12,0.9671
2013-04-15,-4.2146
2013-04-16,1.7
2013-04-17,-2.5564999999999998
2013-04-18,-1.4127
2013-04-19,0.8188
2013-04-22,-0.4061
2013-04-23,2.5484
2013-04-24,-0.5964
2013-04-25,1.2
2013-04-26,-1.7787
2013-04-29,-0.9054
2013-04-30,1.4213
2013-05-01,-1.4014
2013-05-02,1.3197999999999999
2013-05-03,3.6071999999999997
2013-05-06,-1.1605
2013-05-07,0.3914
2013-05-08,1.0721
2013-05-09,0.1929
2013-05-10,-0.77
2013-05-13,-0.291
2013-05-14,2.4562
2013-05-15,0.096
2013-05-16,-0.5753
2013-05-17,-0.2893
2013-05-20,0.0967
2013-05-21,0.0
2013-05-22,-1.8357
2013-05-23,-0.689
2013-05-24,0.9911
2013-05-28,-0.6869
2013-05-29,-1.581
2013-05-30,0.3012
2013-05-31,-1.2012
2013-06-03,-0.304
2013-06-04,-3.252
2013-06-05,-0.8403
2013-06-06,0.7415
2013-06-07,-0.9464
2013-06-10,0.5308
2013-06-11,-1.056
2013-06-12,0.1067
2013-06-13,2.7719
2013-06-14,-1.4523
2013-06-17,1.0526
2013-06-18,0.2083
2013-06-19,-1.3514
2013-06-20,-3.7935
2013-06-21,2.9573
2013-06-24,-2.0213
2013-06-25,2.2801
2013-06-26,0.1062
2013-06-27,1.8028
2013-06-28,-1.5625
2013-07-01,0.8466
2013-07-02,0.9444
2013-07-03,-1.5593
2013-07-05,0.9504
2013-07-08,-0.1046
2013-07-09,2.199
2013-07-10,1.0246
2013-07-11,2.0284
2013-07-12,-0.1988
2013-07-15,-0.1992
2013-07-16,0.1996
2013-07-17,-0.3984
2013-07-18,0.7
2013-07-19,2.3833
2013-07-22,0.0
2013-07-23,-0.582
2013-07-24,-0.7805
2013-07-25,1.4748999999999999
2013-07-26,-0.8721
2013-07-29,-1.6618
2013-07-30,-0.2982
2013-07-31,0.8973
2013-08-01,-1.4822
2013-08-02,-0.6018
2013-08-05,-2.1191
2013-08-06,-1.134
2013-08-07,-0.1043
2013-08-08,-0.1044
2013-08-09,1.1494
2013-08-12,0.2066
2013-08-13,0.1031
2013-08-14,-0.1802
2013-08-15,-2.0877
2013-08-16,0.533
2013-08-19,-0.8484
2013-08-20,1.4973
2013-08-21,-0.3161
2013-08-22,1.0571
2013-08-23,0.9414
2013-08-26,-1.8653
2013-08-27,-0.1056
2013-08-28,0.3171
2013-08-29,0.9484
2013-08-30,-0.4175
2013-09-03,-0.1048
2013-09-04,0.8395
2013-09-05,0.4162
2013-09-06,-0.1036
2013-09-09,0.1037
2013-09-10,1.8653
2013-09-11,0.3052
2013-09-12,-1.0142
2013-09-13,-6.7623
2013-09-16,1.0989
2013-09-17,-0.1087
2013-09-18,1.9586999999999999
2013-09-19,-0.2134
2013-09-20,-0.6417
2013-09-23,0.0
2013-09-24,0.2153
2013-09-25,1.6112
2013-09-26,0.3171
2013-09-27,-2.2129
2013-09-30,-0.9698
2013-10-01,0.7617
2013-10-02,-0.6479
2013-10-03,-1.8477999999999999
2013-10-04,0.9967
2013-10-07,0.1096
2013-10-08,0.1095
2013-10-09,-0.9847
2013-10-10,1.8784999999999998
2013-10-11,0.3254
2013-10-14,0.4324
2013-10-15,-1.3994
2013-10-16,-0.1092
2013-10-17,0.5464
2013-10-18,-0.5435
2013-10-21,0.5464
2013-10-22,1.7391
2013-10-23,-0.1068
2013-10-24,-0.2139
2013-10-25,-0.3215
2013-10-28,0.3226
2013-10-29,-0.8574
2013-10-30,-0.973
2013-10-31,0.3275
2013-11-01,0.3264
2013-11-04,1.3014999999999999
2013-11-05,-1.1777
2013-11-06,-2.6002
2013-11-07,-2.0022
2013-11-08,-0.1135
2013-11-11,-0.5682
2013-11-12,2.7429
2013-11-13,-0.3059
2013-11-14,-0.113
2013-11-15,0.905
2013-11-18,0.6726
2013-11-19,-1.0022
2013-11-20,-0.225
2013-11-21,0.9019
2013-11-22,-1.3408
2013-11-25,-1.6987999999999999
2013-11-26,3.1106
2013-11-27,1.4525000000000001
2013-11-29,0.0
2013-12-02,-2.0925
2013-12-03,-0.8999
2013-12-04,-1.2486
2013-12-05,0.1149
2013-12-06,2.2962
2013-12-09,-0.5612
2013-12-10,-1.2415
2013-12-11,-0.8
2013-12-12,-0.4608
2013-12-13,-0.463
2013-12-16,1.0465
2013-12-17,-0.4603
2013-12-18,0.578
2013-12-19,1.1494
2013-12-20,2.0455
2013-12-23,0.0
2013-12-24,-0.2227
2013-12-26,-0.1116
2013-12-27,0.5587
2013-12-30,0.5556
2013-12-31,-0.5525
2014-01-02,-1.7778
2014-01-03,0.3394
2014-01-06,0.451
2014-01-07,0.6734
2014-01-08,-0.3344
2014-01-09,0.8949
2014-01-10,-0.4435
2014-01-13,-1.2248999999999999
2014-01-14,0.9019
2014-01-15,0.4469
2014-01-16,-0.4449
2014-01-17,-0.3352
2014-01-21,-0.2242
2014-01-22,-0.3371
2014-01-23,-0.2255
2014-01-24,-1.3559
2014-01-27,-0.2291
2014-01-28,2.7555
2014-01-29,-0.6704
2014-01-30,0.5624
2014-01-31,-0.3356
2014-02-03,-0.5612
2014-02-04,0.6772
2014-02-05,-2.6906
2014-02-06,1.8433000000000002
2014-02-07,0.5656
2014-02-10,1.1249
2014-02-11,0.4449
2014-02-12,1.2458
2014-02-13,0.6645
2014-02-14,0.44
2014-02-18,-0.2191
2014-02-19,0.2195
2014-02-20,0.7667
2014-02-21,-0.7609
2014-02-24,0.9858
2014-02-25,-0.3254
2014-02-26,0.7617
2014-02-27,-1.6199
2014-02-28,1.427
2014-03-03,0.3247
2014-03-04,2.2654
2014-03-05,-1.1602999999999999
2014-03-06,0.2134
2014-03-07,-1.1715
2014-03-10,0.0
2014-03-11,-0.6466
2014-03-12,0.1085
2014-03-13,-1.4085
2014-03-14,0.8791
2014-03-17,-1.0893
2014-03-18,0.0
2014-03-19,-0.3304
2014-03-20,0.1105
2014-03-21,3.532
2014-03-24,-2.9851
2014-03-25,-0.2198
2014-03-26,0.5507
2014-03-27,0.3286
2014-03-28,-0.5459
2014-03-31,1.8660999999999999
2014-04-01,2.0474
2014-04-02,0.0
2014-04-03,-0.2112
2014-04-04,-0.9524
2014-04-07,-1.3889
2014-04-08,0.4334
2014-04-09,0.0
2014-04-10,-1.0787
2014-04-11,-0.1091
2014-04-14,-0.9825
2014-04-15,-0.5513
2014-04-16,0.5543
2014-04-17,0.5513
2014-04-21,0.7675
2014-04-22,0.6529
2014-04-23,-0.6486
2014-04-24,-0.7617
2014-04-25,-1.2061
2014-04-28,0.333
