ticker,ADDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-25,5.931
2006-05-26,2.6042
2006-06-23,-4.1878
2006-06-26,5.9603
2006-06-29,-0.625
2006-07-12,-4.4025
2006-07-14,0.0
2006-07-17,1.9737
2006-08-24,-1.9355
2006-08-25,0.6579
2006-08-31,-1.9607999999999999
2006-09-01,-2.6667
2006-09-05,2.7397
2006-09-07,6.6667
2006-11-06,-5.625
2006-11-28,5.9603
2006-11-29,-3.125
2006-12-01,3.2258
2006-12-04,0.0
2006-12-05,-3.125
2006-12-07,9.6774
2006-12-08,0.0
2006-12-21,-1.1764999999999999
2006-12-26,4.7619
2006-12-28,10.7955
2007-01-23,-7.9229
2007-02-05,0.0
2007-02-21,-0.1163
2007-03-08,-12.6892
2007-03-30,6.6667
2007-04-24,1.25
2007-05-01,11.1111
2007-05-04,0.0
2007-06-06,-2.7778
2007-06-08,14.2857
2007-08-24,0.0
2007-09-07,0.0
2007-09-14,0.1281
2007-09-18,4.8656
2007-09-19,-4.7619
2007-11-09,1.0
2007-11-26,-0.9901
2007-11-27,2.0
2008-01-17,4.1667
2008-02-21,0.9756
2008-03-05,8.6957
2008-03-14,-8.0
2008-05-20,-2.8986
2008-06-05,5.4726
2008-07-21,-5.1887
2008-08-14,-10.4478
2008-08-18,11.1111
2008-10-10,-10.0
2008-10-16,2.7778
2008-12-16,-13.5135
2009-02-18,-14.9215
2009-02-24,-23.0769
2009-05-13,40.0
2009-05-22,10.7143
2009-06-30,9.6774
2009-07-06,5.8824
2009-07-08,2.7778
2009-07-30,-2.7027
2009-07-31,1.6667
2009-09-14,1.0929
2009-09-24,0.0
2009-09-29,-1.6216
2009-09-30,0.1099
2009-10-08,9.7695
2009-10-13,-7.5
2009-11-04,-8.1081
2009-11-25,1.1764999999999999
2010-01-21,6.0241
2010-05-24,-6.25
2010-05-27,0.0
2010-05-28,-9.0909
2010-06-01,0.0
2010-06-02,0.0
2010-09-02,3.3333
2010-09-17,1.2903
2010-10-04,-4.4586
2010-11-03,0.0
2010-12-01,20.0
2010-12-27,1.6667
2011-02-17,-9.2971
2011-02-24,0.0
2011-02-28,0.0
2011-03-07,12.5
2011-04-07,-8.3333
2011-04-11,9.0909
2011-05-24,0.0
2011-05-26,0.0
2011-07-12,0.0
2011-09-08,-3.8889
2011-09-29,0.0
2011-12-06,15.6069
2011-12-07,0.0
2011-12-30,24.0951
2012-05-15,-12.9167
2012-05-17,0.0
2012-05-18,0.0
2012-05-31,0.4785
2012-06-01,3.8095
2012-06-14,-3.6696999999999997
2012-07-24,-1.9048
2012-08-03,-2.8155
2012-08-06,-8.4915
2012-08-08,4.1485
2012-08-10,-0.4193
2012-09-26,10.526299999999999
2012-10-03,-11.8095
2012-10-12,13.3909
2012-10-18,-4.7619
2012-11-30,9.0
2013-04-03,-22.2222
2013-05-03,8.9588
2013-07-01,0.0
2013-12-13,-3.2222
2013-12-17,14.2365
2013-12-27,45.1245
2014-01-23,-38.5275
2014-01-24,16.2791
2014-01-29,0.0
2014-02-06,2.5
2014-02-07,0.0
2014-03-10,1.9512
2014-03-11,0.0
2014-04-08,-8.9952
2014-04-09,0.6309
2014-05-15,-0.627
2014-05-23,-3.2597
2014-05-28,0.1087
2014-06-06,13.4636
2014-06-09,0.0
2014-06-11,0.9569
2014-06-12,1.8957000000000002
2014-07-07,-0.4651
2014-07-28,-11.4953
2014-08-06,10.8765
2014-09-15,-12.7619
2014-09-19,0.0
2014-11-21,1.5284
2014-12-02,12.9032
2014-12-18,-1.5238
2014-12-26,1.0
2015-01-13,7.9208
2015-01-14,0.9174
2015-01-15,-4.5455
2015-01-16,4.7619
2015-03-03,-4.5455
2015-03-09,4.7619
2015-04-10,0.0
2015-06-18,0.4545
2015-07-22,0.0
2015-07-23,0.4525
2015-07-27,0.0
2015-08-05,-0.4505
2015-08-12,0.0905
2015-08-18,1.1754
2015-09-08,-1.0724
2015-09-10,3.8844
2015-09-14,-3.7391
2015-09-15,7.9494
2015-09-30,0.0
2015-11-05,-1.6736
2016-01-07,9.7454
2016-01-14,0.0
2016-01-15,4.0
2016-01-20,-1.9231
2016-03-22,-4.2353
2016-03-28,6.4701
2016-04-25,-7.6923
2016-05-09,0.0
2016-06-03,0.0
2016-06-24,0.0
2016-07-05,-4.1667
2016-07-20,8.6957
2016-08-04,0.0
2016-08-05,-2.0
2016-08-18,4.0816
2017-01-03,25.1009
2017-04-27,-8.9677
2017-05-01,3.5436
2017-05-02,0.0
2017-08-23,9.514
2017-10-19,-3.75
2017-12-05,4.5695
2018-01-04,13.9962
2018-01-08,-1.3889
2018-01-18,0.0
2018-01-30,-1.9718
2018-02-01,2.0115
2018-02-09,2.5352
2018-03-01,2.4725
2018-03-06,13.941
2018-04-03,-1.1764999999999999
2018-06-05,-2.3810000000000002
2018-07-12,-2.439
2018-08-06,-1.25
2018-08-24,1.2658
2018-08-27,-1.25
2018-09-27,1.2658
2018-10-15,-1.25
2018-12-17,-2.5316
2018-12-18,-2.5974
2018-12-19,-2.6667
2018-12-28,-1.768
2019-02-13,-0.4499
2019-03-05,-0.8475
2019-03-11,-0.8547
2019-03-12,-1.4368
2019-03-20,-0.8746
2019-05-14,0.0
2019-05-22,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-13,0.0
2019-06-19,0.0588
2019-07-10,-0.0588
2019-08-05,0.0
2019-08-16,-2.9412000000000003
2019-09-20,1.8182
2019-09-27,-3.8689999999999998
2019-10-29,0.0
2019-12-02,-0.6192
2019-12-11,0.9346
2020-01-21,12.2971
2020-02-27,0.0556
2020-03-05,0.0
2020-03-09,-5.5556
2020-03-10,-5.8824
2020-03-11,-3.125
2020-03-12,-3.2258
2020-03-24,0.0
2020-04-03,0.0
2020-05-15,0.0
