ticker,DGLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-22,-1.4815
2014-12-23,-9.0226
2014-12-24,-0.8264
2014-12-26,0.0
2014-12-29,4.1667
2014-12-30,-11.2
2014-12-31,21.6216
2015-01-05,-8.1481
2015-01-06,12.0968
2015-01-07,-7.9137
2015-01-08,-17.9687
2015-01-09,4.7619
2015-01-12,-1.8182
2015-01-13,-6.4815
2015-01-14,7.0297
2015-01-15,-7.4931
2015-01-16,2.0
2015-01-20,7.8431
2015-01-21,-7.2727
2015-01-22,1.9607999999999999
2015-01-23,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,10.5769
2015-01-29,-1.7391
2015-01-30,-0.885
2015-02-04,-1.7856999999999998
2015-02-05,-9.0909
2015-02-06,0.0
2015-02-09,0.0
2015-02-10,0.0
2015-02-12,0.0
2015-02-13,5.0
2015-02-18,0.0
2015-02-19,1.9048
2015-02-20,-5.6075
2015-02-23,-0.9901
2015-02-26,2.0
2015-02-27,2.9412000000000003
2015-03-02,2.8571
2015-03-03,-7.4074
2015-03-04,-5.0
2015-03-05,0.0
2015-03-06,-5.2632
2015-03-09,-0.5556
2015-03-10,0.5587
2015-03-11,-0.0139
2015-03-12,-1.0974
2015-03-13,-4.5084
2015-03-16,-11.7517
2015-03-17,0.0
2015-03-18,0.0
2015-03-19,-5.3333
2015-03-20,-8.4507
2015-03-23,15.3846
2015-03-24,-2.6667
2015-03-25,6.8493
2015-03-26,11.2179
2015-03-30,-9.0634
2015-03-31,1.2676
2015-04-02,-6.118
2015-04-06,-6.6667
2015-04-07,-14.2857
2015-04-08,-16.6667
2015-04-09,49.6
2015-04-16,0.2674
2015-04-17,0.0
2015-04-21,0.0
2015-04-22,0.0
2015-04-27,-20.0
2015-04-28,16.6667
2015-04-29,-14.2857
2015-04-30,16.6667
2015-05-04,-7.1429
2015-05-05,-9.2308
2015-05-06,0.0
2015-05-07,10.1695
2015-05-11,0.0
2015-05-12,-13.8462
2015-05-13,5.3571
2015-05-14,-10.1695
2015-05-15,1.8868
2015-05-20,18.1481
2015-05-21,-13.7931
2015-05-22,0.0
2015-05-26,-3.6364
2015-05-27,1.8868
2015-05-28,-5.5556
2015-05-29,-27.4265
2015-06-01,8.0716
2015-06-02,0.0
2015-06-03,12.5
2015-06-04,6.6667
2015-06-05,-10.4167
2015-06-08,0.0
2015-06-09,-6.9767
2015-06-10,-2.5
2015-06-11,2.5641
2015-06-12,27.5
2015-06-15,-3.9215999999999998
2015-06-16,-6.1224
2015-06-17,-4.3478
2015-06-22,11.3636
2015-06-23,-8.1888
2015-06-24,-19.9778
2015-06-25,19.4444
2015-06-26,0.0
2015-06-29,2.3256
2015-06-30,25.0
2015-07-01,-27.2727
2015-07-02,19.9688
2015-07-06,-16.645
2015-07-07,5.0
2015-07-08,-4.7619
2015-07-09,-9.9688
2015-07-10,5.5189
2015-07-13,-7.8947
2015-07-14,45.7143
2015-07-16,-17.647100000000002
2015-07-20,-2.3810000000000002
2015-07-21,4.878
2015-07-22,2.3256
2015-07-23,-2.2727
2015-07-24,-6.9767
2015-07-27,10.0
2015-07-28,-4.7727
2015-07-29,0.2387
2015-07-30,-4.7619
2015-07-31,-7.4688
2015-08-03,8.0716
2015-08-04,-10.0
2015-08-05,11.1111
2015-08-06,12.5
2015-08-12,0.0
2015-08-13,11.1111
2015-08-14,40.0
2015-08-17,2.8571
2015-08-18,-15.2778
2015-08-19,1.6393
2015-08-20,3.2258
2015-08-21,9.375
2015-08-24,0.0
2015-08-25,-2.8571
2015-08-26,0.0
2015-08-27,-1.4706000000000001
2015-08-28,1.4925
2015-08-31,-8.8235
2015-09-01,0.0
2015-09-02,-3.2258
2015-09-03,16.6667
2015-09-04,4.2857
2015-09-08,-4.1096
2015-09-09,-1.4285999999999999
2015-09-10,1.4493
2015-09-11,2.8571
2015-09-14,-1.3889
