ticker,BUSC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-14,4.3478
2007-11-15,-0.8333
2007-11-16,-7.563
2007-11-19,4.5455
2007-11-20,0.8696
2007-11-21,-5.1724
2007-11-23,0.0
2007-11-26,0.0
2007-11-27,0.0
2007-11-28,11.818200000000001
2007-11-29,0.0
2007-11-30,-12.1951
2007-12-03,-5.5556
2007-12-04,-2.9412000000000003
2007-12-05,-4.0404
2007-12-06,0.0
2007-12-07,4.2105
2007-12-10,-3.0303
2007-12-12,3.125
2007-12-13,1.0101
2007-12-14,-10.0
2007-12-17,0.0
2007-12-18,0.0
2007-12-24,-4.4444
2007-12-26,4.6512
2007-12-27,13.3333
2007-12-31,-0.9804
2008-01-03,0.0
2008-01-07,8.9109
2008-01-08,-8.1818
2008-01-11,0.0
2008-01-15,-0.9901
2008-01-16,0.0
2008-01-17,10.0
2008-01-18,0.0
2008-01-22,-16.3636
2008-01-23,0.0
2008-01-24,-7.6087
2008-01-28,2.3529
2008-01-29,0.0
2008-01-30,-2.2989
2008-01-31,-11.7647
2008-02-01,13.3333
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,-5.8824
2008-02-08,0.0
2008-02-11,0.0
2008-02-12,6.25
2008-02-13,0.0
2008-02-14,0.0
2008-02-26,0.0
2008-02-27,-10.3529
2008-02-28,4.9869
2008-02-29,6.25
2008-03-03,2.3529
2008-03-04,-2.2989
2008-03-06,0.0
2008-03-10,-5.8824
2008-03-11,-4.75
2008-03-12,0.0
2008-03-13,0.0
2008-03-18,1.0499
2008-03-19,-2.5974
2008-03-20,-13.3333
2008-03-26,0.0
2008-03-27,-6.1538
2008-03-31,-15.5738
2008-04-01,-12.6214
2008-04-02,-22.2222
2008-04-07,11.4286
2008-04-10,15.3846
2008-04-11,-33.3333
2008-04-14,50.0
2008-04-15,-22.2222
2008-04-16,28.5714
2008-04-17,0.0
2008-04-18,-4.4444
2008-04-22,-6.9767
2008-04-23,0.0
2008-04-24,-12.5
2008-04-25,14.2857
2008-04-28,25.0
2008-04-29,2.0
2008-04-30,-1.9607999999999999
2008-05-01,-10.0
2008-05-02,4.4444
2008-05-06,-2.1277
2008-05-07,-2.1739
2008-05-08,13.3333
2008-05-15,17.647100000000002
2008-05-16,-6.6667
2008-05-19,7.1429
2008-05-21,-6.6667
2008-05-23,7.1429
2008-05-30,10.0
2008-06-03,6.0606
2008-06-09,0.0
2008-06-12,-7.1429
2008-06-13,-7.6923
2008-06-16,-8.3333
2008-06-23,3.6364
2008-06-26,5.2632
2008-06-27,31.6667
2008-06-30,-8.8608
2008-07-01,-1.3889
