ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,-0.4153
2014-02-03,-1.2889
2014-02-04,0.576
2014-02-05,0.0391
2014-02-06,-0.0391
2014-02-07,-0.3126
2014-02-10,-0.4312
2014-02-11,-1.7323
2014-02-12,-0.8013
2014-02-13,-0.1212
2014-02-14,0.4448
2014-02-18,0.0403
2014-02-19,0.0805
2014-02-20,0.8042
2014-02-21,0.1596
2014-02-24,0.7567
2014-02-25,-0.1976
2014-02-26,-0.5149
2014-02-27,0.1194
2014-02-28,0.1988
2014-03-03,0.9921
2014-03-04,0.3929
2014-03-05,0.0391
2014-03-06,-3.3646
2014-03-07,0.0405
2014-03-10,-0.8499
2014-03-11,0.5714
2014-03-12,0.5276
2014-03-13,-0.8882
2014-03-14,-4.0733
2014-03-17,3.5669
2014-03-18,0.123
2014-03-19,0.6552
2014-03-20,1.0171
2014-03-21,0.2819
2014-03-24,-0.0402
2014-03-25,0.6027
2014-03-26,-0.3594
2014-03-27,0.0
2014-03-28,0.0
2014-03-31,0.8016
2014-04-01,0.1988
2014-04-02,-0.7143
2014-04-03,-0.0799
2014-04-04,-0.24
2014-04-07,-0.0401
2014-04-08,0.6017
2014-04-09,0.3987
2014-04-10,-1.2708
2014-04-11,-1.6492
2014-04-14,-0.6953
2014-04-15,0.4942
2014-04-16,0.082
2014-04-17,-0.4505
2014-04-21,0.6582
2014-04-22,0.9399
2014-04-23,-1.0931
2014-04-24,0.3684
2014-04-25,0.3263
2014-04-28,0.0407
2014-04-29,-0.0406
2014-04-30,0.4878
2014-05-01,1.6181
2014-05-02,0.0816
2014-05-05,-0.489
2014-05-06,-1.5152
2014-05-07,-0.6237
2014-05-08,0.3347
2014-05-09,0.5421
2014-05-12,1.2858
2014-05-13,-0.3686
2014-05-14,-0.1233
2014-05-15,0.4115
2014-05-16,1.3934
2014-05-19,-0.768
2014-05-20,-0.3259
2014-05-21,0.1635
2014-05-22,-0.8568
2014-05-23,0.6173
2014-05-27,0.1636
2014-05-28,0.1633
2014-05-29,-4.6474
2014-05-30,1.5391
2014-06-02,0.8421
2014-06-03,-0.6263
2014-06-04,1.6387
2014-06-05,0.4961
2014-06-06,-0.3291
2014-06-09,-0.9905
2014-06-10,-0.4168
2014-06-11,0.5023
2014-06-12,-0.2499
2014-06-13,0.6263
2014-06-16,0.2905
2014-06-17,0.4551
2014-06-18,0.0412
2014-06-19,0.5764
2014-06-20,-1.7191999999999998
2014-06-23,-0.708
2014-06-24,-0.1678
2014-06-25,0.8824
2014-06-26,0.0
2014-06-27,0.2915
2014-06-30,0.6229
2014-07-01,-1.2381
2014-07-02,0.4597
2014-07-03,0.2496
2014-07-07,-0.4149
