ticker,WLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-06,0.7444
2011-04-07,-0.9821
2011-04-08,3.2306
2011-04-11,1.2048
2011-04-12,0.5952
2011-04-13,-5.3254
2011-04-15,0.0
2011-04-18,-2.25
2011-04-19,2.3018
2011-04-20,3.25
2011-04-21,2.9055999999999997
2011-04-25,1.1764999999999999
2011-04-26,-0.2326
2011-04-27,0.6993
2011-04-28,-0.2315
2011-04-29,1.1601
2011-05-02,0.9174
2011-05-03,-3.4091
2011-05-04,-2.1176
2011-05-05,0.2404
2011-05-06,0.0
2011-05-09,1.0552
2011-05-10,3.7019
2011-05-11,-5.0315
2011-05-12,4.5722000000000005
2011-05-13,-1.8405
2011-05-16,0.0
2011-05-17,-3.0516
2011-05-18,-0.9685
2011-05-19,3.423
2011-05-20,-0.9456
2011-05-23,-4.5316
2011-05-24,7.4966
2011-05-25,0.0
2011-05-26,-4.4186
2011-05-27,-2.1898
2011-05-31,1.4925
2011-06-01,-2.6961
2011-06-02,2.0151
2011-06-03,-1.4815
2011-06-06,0.5013
2011-06-07,-1.995
2011-06-08,1.5267
2011-06-09,1.0025
2011-06-10,-4.4665
2011-06-13,1.5584
2011-06-14,-0.5115
2011-06-15,0.7712
2011-06-16,-0.7653
2011-06-17,-0.5141
2011-06-20,-0.7752
2011-06-21,1.5625
2011-06-22,7.6923
2011-06-24,-7.1429
2011-06-27,1.0256
2011-06-28,1.5228000000000002
2011-06-29,-2.25
2011-06-30,1.023
2011-07-01,-3.038
2011-07-05,-0.7833
2011-07-06,-0.7895
2011-07-07,5.8355
2011-07-08,0.2506
2011-07-11,0.25
2011-07-13,1.7456
2011-07-14,-1.0585
2011-07-15,1.5653000000000001
2011-07-18,-3.9024
2011-07-19,2.0305
2011-07-21,-1.2438
2011-07-25,1.5112999999999999
2011-07-26,-2.4225
2011-07-27,-2.0948
2011-07-28,0.7792
2011-07-29,1.8041
2011-08-01,-0.2532
2011-08-03,0.5076
2011-08-04,-0.2525
2011-08-05,-2.2785
2011-08-08,-2.8497
2011-08-09,1.3333
2011-08-10,-2.1053
2011-08-11,0.0
2011-08-12,0.2688
2011-08-18,4.5576
2011-08-19,0.0
2011-08-22,-2.5641
2011-08-23,0.0
2011-08-24,0.2632
2011-08-25,-1.5748
2011-08-26,3.7333
2011-08-29,-1.4396
2011-08-30,-1.9301
2011-08-31,7.7128
2011-09-01,0.2438
2011-09-02,-0.9822
2011-09-06,-2.9851
2011-09-07,-2.5641
2011-09-12,-0.7895
2011-09-13,2.9177999999999997
2011-09-14,0.5155
2011-09-16,-0.2564
2011-09-19,-3.599
2011-09-20,4.0
2011-09-23,-1.5385
2011-09-26,-3.125
2011-09-27,4.5699
2011-09-30,-4.1131
2011-10-03,4.8257
2011-10-04,-1.5249000000000001
2011-10-06,2.5874
2011-10-07,0.0
2011-10-10,-2.2785
2011-10-12,0.0
2011-10-13,0.2591
2011-10-14,2.0672
2011-10-17,1.2658
2011-10-18,-0.25
2011-10-20,-4.5113
2011-10-25,3.4121
2011-10-26,0.2538
2011-10-27,0.0
2011-10-28,-4.8101
2011-10-31,3.9894
2011-11-01,-1.5345
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,0.0
2011-11-11,4.4156
2011-11-14,1.7412999999999998
2011-11-15,-1.2225
2011-11-16,2.2246
2011-11-17,-4.3555
2011-11-18,3.038
2011-11-22,-1.2285
2011-11-23,-0.2488
2011-11-25,1.4963
2011-11-28,-1.4742
2011-11-30,0.0
2011-12-01,0.0
2011-12-02,0.0
2011-12-05,0.7481
2011-12-06,-0.495
2011-12-08,1.99
2011-12-09,-2.1951
2011-12-12,0.0
2011-12-13,-0.7481
2011-12-16,-1.7164000000000001
2011-12-20,-0.0431
2011-12-21,-0.2558
2011-12-22,-1.2821
2011-12-23,-0.987
2011-12-27,5.9811
2011-12-28,-1.4851
2011-12-29,1.005
2011-12-30,-1.4925
2012-01-03,-0.2525
2012-01-04,3.7975
2012-01-05,-0.7317
2012-01-06,-1.4742
2012-01-09,0.9975
2012-01-10,-1.4815
2012-01-11,-2.2556
2012-01-13,2.5641
2012-01-17,-2.25
2012-01-19,0.0
2012-01-20,2.046
2012-01-23,-3.0075
2012-01-24,-1.5472000000000001
2012-01-25,2.3556
2012-01-27,-2.561
2012-01-30,-0.5263
2012-01-31,-0.2646
2012-02-01,0.0
2012-02-02,-1.061
2012-02-03,0.8043
2012-02-06,0.7447
2012-02-07,0.3168
2012-02-08,-1.8420999999999998
2012-02-09,0.5362
2012-02-10,-0.8
2012-02-13,3.4946
2012-02-14,-3.1169000000000002
2012-02-15,3.4853
2012-02-17,-0.7772
2012-02-21,0.5222
2012-02-22,-2.5974
2012-02-23,0.5333
2012-02-24,-1.061
2012-02-27,1.3405
2012-02-28,0.5291
2012-02-29,-1.3158
2012-03-02,-5.3333
2012-03-05,-0.5634
2012-03-06,3.3994
2012-03-07,1.3699
2012-03-08,2.7027
2012-03-09,-3.4211
2012-03-12,-0.1635
2012-03-14,6.441
2012-03-15,-7.1763
2012-03-16,4.6925
2012-03-19,-2.1108
2012-03-20,2.1563
2012-03-21,-2.1108
2012-03-22,-1.6173
2012-03-23,4.1096
2012-03-26,0.9211
2012-03-27,0.3911
2012-03-28,-4.1558
2012-03-29,-4.878
2012-03-30,3.9886
2012-04-02,0.9589
2012-04-03,0.385
2012-04-04,-1.6
2012-04-05,-1.1023
