ticker,AIPG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-09,15.0
2008-10-17,160.8696
2008-10-20,-33.3333
2008-10-21,0.0
2008-10-22,-66.6667
2008-10-23,-20.0
2008-10-24,-12.5
2008-10-27,-57.1429
2008-10-28,133.3333
2008-10-29,0.0
2008-10-30,-14.2857
2008-10-31,0.0
2008-11-03,31.6667
2008-11-04,1.2658
2008-11-05,0.0
2008-11-07,0.0
2008-11-10,0.0
2008-11-17,-25.0
2008-11-18,33.3333
2008-11-21,37.5
2008-11-24,-18.1818
2008-11-26,11.1111
2008-11-28,-40.0
2008-12-03,33.3333
2008-12-05,62.5
2008-12-08,0.0
2008-12-09,0.0
2008-12-12,-19.2308
2008-12-18,22.381
2008-12-22,-53.3074
2008-12-23,233.3333
2008-12-30,0.0
2008-12-31,0.0
2009-01-06,-50.0
2009-01-08,100.0
2009-01-14,-50.0
2009-01-15,0.0
2009-01-16,100.0
2009-01-23,0.0
2009-01-26,0.0
2009-01-27,0.0
2009-01-29,-2.5
2009-02-04,2.5641
2009-02-09,0.0
2009-02-10,-50.0
2009-02-11,-30.0
2009-02-23,185.7143
2009-02-25,0.0
2009-02-26,0.0
2009-03-03,-57.5
2009-03-06,123.5294
2009-03-09,-42.1053
2009-03-12,72.7273
2009-03-24,0.0
2009-03-26,0.0
2009-04-02,-21.0526
2009-04-06,26.6667
2009-04-07,0.0
2009-04-14,0.0
2009-04-20,0.0
2009-04-27,-21.0526
2009-05-01,26.6667
2009-05-08,0.0
2009-05-15,31.5789
2009-05-19,40.0
2009-05-22,-42.8571
2009-05-27,0.0
2009-05-29,-15.0
2009-06-01,17.647100000000002
2009-06-02,36.0
2009-06-15,-19.1176
2009-06-16,0.0
2009-06-17,9.0909
2009-06-19,0.0
2009-06-26,-8.3333
2009-06-29,0.0
2009-06-30,9.0909
2009-07-01,0.0
2009-07-02,0.0
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,2.0833
2009-07-10,0.0
2009-07-13,0.0
2009-07-14,0.0
2009-07-16,-2.0408
2009-07-17,0.0
2009-07-20,-2.0833
2009-07-21,6.383
2009-07-24,-4.0
2009-07-28,0.0
2009-07-29,-4.1667
2009-07-30,4.3478
2009-07-31,0.0
2009-08-03,-4.1667
2009-08-04,-69.5652
2009-08-05,228.5714
2009-08-06,0.0
2009-08-07,0.0
2009-08-10,-2.1739
2009-08-12,2.2222
2009-08-17,0.0
2009-08-21,0.0
2009-08-24,0.0
2009-08-25,0.0
2009-08-27,0.0
2009-09-03,0.0
2009-09-04,0.0
2009-09-10,0.0
2009-09-11,2.1739
2009-09-14,0.0
2009-09-18,-2.1277
2009-09-21,0.0
2009-09-24,0.0
2009-10-02,0.0
2009-10-13,0.0
2009-10-15,-8.6957
2009-10-16,0.0
2009-10-19,4.7619
2009-10-20,4.5455
2009-10-26,0.0
2009-10-29,0.0
2009-10-30,0.0
2009-11-03,0.0
2009-11-25,-2.1739
2009-11-27,0.0
2009-12-01,2.2222
2009-12-02,0.0
2009-12-03,0.0
2009-12-07,0.0
2009-12-11,0.0
2009-12-17,0.0
2009-12-18,0.0
2009-12-21,0.0
2009-12-23,2.1739
2009-12-28,-4.2553
2009-12-29,4.4444
2009-12-31,-2.1277
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,0.0
2010-01-07,0.0
2010-01-08,-5.0
2010-01-11,5.2632
2010-01-12,0.0
2010-01-14,0.0
2010-01-19,1.3043
2010-01-20,11.588
2010-01-21,188.4615
2010-01-22,0.0
2010-01-26,-1.3333
2010-01-27,-5.4054
2010-01-28,0.0
2010-01-29,-7.1429
2010-02-01,-7.6923
2010-02-02,-51.6667
2010-02-04,120.6897
2010-02-08,-1.5625
2010-02-09,-7.9365
2010-02-10,-5.1724
2010-02-11,14.5455
2010-02-16,1.5873
2010-02-17,0.0
2010-02-22,0.0
2010-02-25,-54.6875
2010-02-26,37.931
2010-03-01,25.0
2010-03-04,-52.0
2010-03-09,8.3333
2010-03-18,0.0
2010-03-19,15.3846
2010-03-23,0.0
2010-03-29,0.0
2010-03-30,-83.3333
2010-04-01,900.0
2010-04-06,-70.0
2010-04-07,233.3333
2010-04-09,0.0
2010-04-23,0.0
2010-04-27,0.0
2010-04-28,-68.0
2010-04-29,137.5
2010-04-30,0.0
2010-05-20,-2.6316
2010-05-21,-5.4054
2010-05-24,0.0
2010-05-25,14.2857
2010-05-26,0.0
2010-05-27,25.0
2010-06-04,0.0
2010-06-29,-16.0
2010-06-30,19.0476
2010-07-02,0.0
2010-08-09,0.0
2010-08-25,0.0
2010-08-30,0.0
2010-09-01,0.0
2010-09-02,0.0
2010-09-15,-20.0
2010-09-16,-2.5
2010-09-20,28.2051
2010-09-28,0.0
2010-11-05,20.0
2010-11-08,0.0
2010-11-15,-1.6667
2010-11-18,-3.3898
2010-11-19,0.0
2010-12-01,0.0
2010-12-15,0.0
2010-12-16,0.0
2010-12-30,0.0
2011-01-06,-5.2632
2011-01-10,-7.4074
2011-01-20,16.0
2011-01-21,0.0
2011-02-10,-89.6552
2011-02-11,733.3333
