ticker,FBIP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-18,1.2173
2008-03-27,0.0
2008-04-15,-0.0654
2008-04-22,-0.2616
2008-04-30,-1.2131
2008-05-06,1.228
2008-06-11,0.8787
2008-06-12,0.2288
2008-07-11,-3.4888
2008-07-21,4.223
2008-07-23,-0.1621
2008-08-04,-2.5974
2008-08-05,0.6667
2008-08-06,2.1523
2008-09-02,-0.1621
2008-09-09,-2.5974
2008-09-22,-2.789
2008-09-25,0.6897
2008-09-26,-1.3699
2008-10-06,-0.6944
2008-10-10,-34.965
2008-10-24,2.1505
2008-10-28,5.2632
2008-10-30,30.0
2008-11-03,0.0
2008-11-04,1.1538
2009-03-04,-14.7334
2009-03-09,0.9009
2009-03-11,3.4286
2009-05-11,0.0
2009-05-28,-7.8261
2009-05-29,5.6604
2009-07-16,6.1533
2009-07-17,1.6949
2009-07-31,-2.9167
2009-08-12,3.03
2009-08-28,-1.6912
2009-08-31,4.2373
2009-09-11,-1.7682
2009-09-22,5.0
2009-12-16,5.069
2009-12-22,0.7634
2009-12-30,0.0
2010-01-19,0.0
2010-01-20,1.5152
2010-04-01,-0.8711
2010-04-12,0.0
2010-05-06,1.5152
2010-06-14,2.1328
2010-06-16,0.0
2010-07-21,-0.7353
2010-07-22,0.7407
2010-07-23,0.1838
2010-07-28,-0.1835
2010-07-30,0.0
2010-08-05,0.0
2010-09-08,0.0
2010-10-05,-7.517
2010-10-06,8.8
2010-10-18,1.4706000000000001
2010-10-20,-0.5435
2010-11-16,-0.9107
2010-12-08,0.0
2010-12-17,-0.1337
2011-01-05,-0.3717
2011-02-02,1.4925
2011-02-04,-2.5735
2011-02-17,1.1320999999999999
2011-04-26,-0.1202
2011-06-07,0.7519
2011-07-18,-0.1202
2011-08-08,-13.5338
2011-08-11,-0.8696
2011-08-29,5.2632
2011-09-20,-9.3656
2011-10-04,-6.4815
2011-11-17,3.7129
2011-11-18,0.2387
2011-12-30,-10.7832
2012-02-03,-0.5405
2012-02-09,1.6303999999999998
2012-02-10,2.6738
2012-02-13,-3.125
2012-02-14,1.0753
2012-02-29,0.0
2012-03-06,4.2553
2012-03-13,0.0
2012-04-09,-2.2231
2012-04-10,0.0
2012-04-17,10.526299999999999
2012-05-01,-9.5238
2012-05-03,10.526299999999999
2012-05-18,-4.7619
2012-06-07,0.0
2012-07-10,-1.1698
2012-07-25,12.2449
2012-07-26,-9.0909
2012-07-31,-3.0
2012-08-02,4.1237
2012-08-08,1.8812
2012-08-31,6.8999
2012-10-09,1.8322
2012-10-11,-1.0435
2012-10-31,9.0909
2012-11-07,3.3333
2012-12-20,5.1516
2012-12-21,-4.6512
2013-01-14,5.6911000000000005
2013-02-06,0.7692
2013-03-11,-2.2901
2013-03-19,0.6606
2013-04-11,3.5156
2013-04-17,20.7547
2013-05-16,-18.1188
2013-06-06,6.8544
2013-06-07,0.0071
2013-07-09,4.1966
2013-07-11,0.0
2013-08-07,0.0
2013-08-26,-6.0345
2013-10-08,5.7898
2013-10-09,4.712
2013-11-21,-1.0
2013-12-09,1.6902
2014-01-02,1.3761999999999999
2014-01-27,0.4942
2014-03-07,1.3115
2014-03-21,3.4752
2014-04-01,1.1006
2014-04-14,0.1555
2014-04-22,0.0
2014-04-30,-13.0435
2014-05-08,13.5714
2014-06-12,2.8452
2014-07-09,-0.2521
2014-07-25,-0.6965
2014-09-11,0.5865
2014-09-12,0.4838
2014-09-23,-1.0
2014-11-04,-2.731
2014-11-06,1.9231
2014-11-13,0.0
2014-11-17,0.0
2014-11-18,1.2579
2014-12-03,-1.5528
2014-12-10,0.5174
2014-12-30,-0.6329
2014-12-31,-3.8217
2015-01-06,0.3311
2015-01-07,0.0
2015-01-09,0.9901
2015-01-21,0.0
2015-02-13,-0.3268
2015-02-17,1.6393
2015-02-25,-1.7742
2015-03-17,-0.2708
2015-03-18,0.0
2015-05-19,3.9735
2015-08-25,-2.0172
2015-08-28,-0.0065
