ticker,SOLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-15,-13.4771
2019-07-16,-10.4673
2019-07-17,-3.2011
2019-07-18,-7.0453
2019-07-19,-6.5739
2019-07-22,21.8543
2019-07-23,-4.7554
2019-07-24,-0.5706
2019-07-25,-8.967
2019-07-26,0.5516
2019-07-29,-0.5486
2019-07-30,-4.0977
2019-07-31,-0.3287
2019-08-01,1.5664
2019-08-02,-5.5195
2019-08-05,0.8591
2019-08-06,-1.3629
2019-08-07,-3.6269
2019-08-08,-9.5878
2019-08-09,-10.7037
2019-08-12,20.9767
2019-08-13,-7.0642
2019-08-14,-1.3820000000000001
2019-08-15,-2.7027
2019-08-16,7.6132
2019-08-19,5.7361
2019-08-20,14.0145
2019-08-21,1.5067
2019-08-22,7.3438
2019-08-23,-6.4774
2019-08-26,-1.9455
2019-08-27,-9.3651
2019-08-28,3.0648
2019-08-29,4.418
2019-08-30,-2.6851000000000003
2019-09-03,2.0067
2019-09-04,2.541
2019-09-05,4.7962
2019-09-06,0.1526
2019-09-09,0.9901
2019-09-10,4.2232
2019-09-11,-3.7627
2019-09-12,-1.5789
2019-09-13,1.2987
2019-09-16,6.9382
2019-09-17,-1.6925
2019-09-18,-0.0717
2019-09-19,-2.2972
2019-09-20,-2.0573
2019-09-23,-8.2521
2019-09-24,-1.2265
2019-09-25,-0.1656
2019-09-26,-6.4677
2019-09-27,-2.7481999999999998
2019-09-30,-2.5524
2019-10-01,0.8419
2019-10-02,-2.1336
2019-10-03,7.7725
2019-10-04,-1.5831
2019-10-07,-1.7873
2019-10-08,4.0946
2019-10-09,12.5874
2019-10-10,6.677
2019-10-11,-6.8413
2019-10-14,-1.9531
2019-10-15,2.4701
2019-10-16,2.0995
2019-10-17,-0.0762
2019-10-18,0.6098
2019-10-21,9.2424
2019-10-22,2.4272
2019-10-23,-6.7028
2019-10-24,-1.1611
2019-10-25,-8.1498
2019-10-28,-9.5124
2019-10-29,5.5654
2019-10-30,-2.8452
2019-10-31,-4.2205
2019-11-01,0.4496
2019-11-04,-2.6858
2019-11-05,-0.828
2019-11-06,-1.2059
2019-11-07,-5.5399
2019-11-08,5.2684
2019-11-11,-3.966
2019-11-12,4.6213999999999995
2019-11-13,-1.3158
2019-11-14,-0.1905
2019-11-15,3.5305
2019-11-18,2.1198
2019-11-19,-2.5271
2019-11-20,0.0
2019-11-21,0.0926
2019-11-22,-0.9251
2019-11-25,7.7498000000000005
2019-11-26,0.6066
2019-11-27,-1.8949
2019-11-29,-0.2634
2019-12-02,-2.6408
2019-12-03,-3.255
2019-12-04,-0.6542
2019-12-05,5.4563
2019-12-06,-2.8546
2019-12-09,-1.6529
2019-12-10,-1.2138
2019-12-11,-1.1342
2019-12-12,-1.3384
2019-12-13,0.0
2019-12-16,5.7171
2019-12-17,2.1082
2019-12-18,-3.1418
2019-12-19,-0.3707
2019-12-20,1.6743999999999999
2019-12-23,7.5023
2019-12-24,4.8511
2019-12-26,-1.8669
2019-12-27,-8.7676
2019-12-30,-0.1813
2019-12-31,-0.2725
2020-01-02,0.0
2020-01-03,2.1858
2020-01-06,-0.5348
2020-01-07,0.8961
2020-01-08,2.8419
2020-01-09,0.2591
2020-01-10,1.5504
2020-01-13,1.0178
2020-01-14,-1.6793
2020-01-15,0.5978
2020-01-16,2.9711
2020-01-17,11.2943
2020-01-21,6.0
2020-01-22,-0.9085
2020-01-23,6.6996
2020-01-24,-3.1725
2020-01-27,-10.9898
2020-01-28,-4.9847
2020-01-29,-2.502
2020-01-30,1.7384
2020-01-31,-2.6851000000000003
2020-02-03,2.0067
2020-02-04,-4.0164
2020-02-05,-0.3416
2020-02-06,6.5123999999999995
2020-02-07,3.3789
2020-02-10,-0.1556
2020-02-11,0.9353
2020-02-12,-1.9304999999999999
2020-02-13,0.7087
2020-02-14,-1.4855
2020-02-18,3.5714
2020-02-19,-1.0728
2020-02-20,0.0775
2020-02-21,-1.161
2020-02-24,-5.8731
2020-02-25,-1.3311
2020-02-26,-4.2159
2020-02-27,-5.8099
2020-02-28,-1.5888
2020-03-02,3.8936
2020-03-03,5.9415
2020-03-04,7.4202
2020-03-05,-1.8474
2020-03-06,-6.4648
2020-03-09,-12.7734
2020-03-10,6.9208
2020-03-11,0.0
2020-03-12,-21.7636
2020-03-13,19.0647
2020-03-16,-19.1339
2020-03-17,11.9552
2020-03-18,-14.238
2020-03-19,3.7613
2020-03-20,-9.0
2020-03-23,0.8242
2020-03-24,11.9891
2020-03-25,2.3114
2020-03-26,4.6373
2020-03-27,-5.5682
2020-03-30,2.0457
2020-03-31,-4.4811
2020-04-01,-10.2469
2020-04-02,-0.1376
2020-04-03,-2.2039
2020-04-06,12.6761
2020-04-07,-4.75
2020-04-08,3.0184
2020-04-09,2.9299
2020-04-13,-1.3614
2020-04-14,4.3915
2020-04-15,-3.4856
2020-04-16,3.3624
2020-04-17,4.8193
2020-04-20,4.3678
2020-04-21,-2.4229
2020-04-22,4.5147
2020-04-23,-5.7235
2020-04-24,2.7491
2020-04-27,-0.4459
2020-04-28,0.6719
2020-04-29,4.0044
2020-04-30,-3.4225
2020-05-01,-3.3223
2020-05-04,-1.7182
2020-05-05,4.1958
2020-05-06,-1.4541
2020-05-07,3.2917
2020-05-08,6.4835
2020-05-11,1.6512
2020-05-12,-2.7411
2020-05-13,-4.1754
2020-05-14,-3.5948
2020-05-15,-0.565
2020-05-18,5.7955
2020-05-19,-2.9001
2020-05-20,1.3274
2020-05-21,0.2183
2020-05-22,0.9804
2020-05-26,4.2071
2020-05-27,1.1387
2020-05-28,1.1259000000000001
2020-05-29,0.5061
2020-06-01,10.9768
2020-06-02,1.8149
2020-06-03,-0.9804
2020-06-04,-3.9604
2020-06-05,2.8116
2020-06-08,11.577
2020-06-09,5.2288
2020-06-10,2.1739
2020-06-11,-4.7112
2020-06-12,10.1276
2020-06-15,5.3584
2020-06-16,-8.1787
2020-06-17,-2.5449
2020-06-18,-1.6129
2020-06-19,1.0148
2020-06-22,-2.6275
2020-06-23,1.1111
2020-06-24,-6.1224
2020-06-25,-0.9197
2020-06-26,-36.2025
2020-06-29,4.1005
2020-06-30,-1.1436
2020-07-01,-1.4139
2020-07-02,0.2608
2020-07-06,8.4525
2020-07-07,-2.2782
2020-07-08,-2.0859
2020-07-09,-3.1328
2020-07-10,1.8111000000000002
2020-07-13,-6.7344
2020-07-14,4.0872
2020-07-15,6.5445
2020-07-16,-1.3514
2020-07-17,2.9888
2020-07-20,-0.2418
2020-07-21,-3.5152
2020-07-22,-2.0101
2020-07-23,-2.1795
2020-07-24,-2.228
2020-07-27,1.7426
2020-07-28,-5.2701
2020-07-29,-4.5897
2020-07-30,-2.3324
2020-07-31,-3.8806000000000003
