ticker,EYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-16,-1.5284
2018-03-19,3.1992
2018-03-20,1.5654
2018-03-21,1.5715
2018-03-22,-3.2431
2018-03-23,-1.722
2018-03-26,2.5657
2018-03-27,-2.3185000000000002
2018-03-28,1.1868
2018-03-29,-0.2778
2018-04-02,-1.7023000000000001
2018-04-03,1.8892
2018-04-04,2.1632
2018-04-05,-0.1512
2018-04-06,-1.5753
2018-04-09,1.6928
2018-04-10,0.3329
2018-04-11,0.0603
2018-04-12,0.0301
2018-04-13,-1.748
2018-04-16,-0.7975
2018-04-17,0.2165
2018-04-18,-1.2342
2018-04-19,-1.1871
2018-04-20,-0.0632
2018-04-23,-0.2214
2018-04-24,1.2682
2018-04-25,0.0313
2018-04-26,2.2848
2018-04-27,0.6426
2018-04-30,1.1858
2018-05-01,0.4808
2018-05-02,0.5981
2018-05-03,-1.4566
2018-05-04,-1.0256
2018-05-07,-1.463
2018-05-08,1.9796
2018-05-09,-0.1213
2018-05-10,1.3362
2018-05-11,-0.9589
2018-05-14,-0.1513
2018-05-15,-3.1212
2018-05-16,5.599
2018-05-17,2.5178000000000003
2018-05-18,1.4158
2018-05-21,2.2507
2018-05-22,-0.4737
2018-05-23,0.7279
2018-05-24,0.4725
2018-05-25,0.4149
2018-05-29,-0.6061
2018-05-30,0.1109
2018-05-31,0.7752
2018-06-01,0.467
2018-06-04,2.2423
2018-06-05,1.8721999999999999
2018-06-06,-0.5776
2018-06-07,0.2905
2018-06-08,-0.6319
2018-06-11,3.2591
2018-06-12,-1.3344
2018-06-13,-3.251
2018-06-14,-2.0968
2018-06-15,1.5375999999999999
2018-06-18,2.7582
2018-06-19,2.4211
2018-06-20,-0.2312
2018-06-21,0.0773
2018-06-22,-1.4925
2018-06-25,0.7053
2018-06-26,1.0117
2018-06-27,-3.1073
2018-06-28,-2.8359
2018-06-29,-0.2455
2018-07-02,2.4063
2018-07-03,2.6969
2018-07-05,0.13
2018-07-06,0.8569
2018-07-09,0.309
2018-07-10,2.1047
2018-07-11,-0.553
2018-07-12,-0.6572
2018-07-13,1.5776
2018-07-16,0.8517
2018-07-17,0.0994
2018-07-18,0.9429
2018-07-19,-0.5162
2018-07-20,0.0494
2018-07-23,1.062
2018-07-24,-2.6882
2018-07-25,1.9337
2018-07-26,-2.71
2018-07-27,-0.4811
2018-07-30,2.1374
2018-07-31,1.2955
2018-08-01,-0.0246
2018-08-02,-0.123
2018-08-03,1.0591
2018-08-06,2.5347
2018-08-07,1.7351999999999999
2018-08-08,1.0047
2018-08-09,3.6086
2018-08-10,0.2456
2018-08-13,-2.5612
2018-08-14,-0.2743
2018-08-15,-8.1366
2018-08-16,-1.0105
2018-08-17,1.9786000000000001
2018-08-20,3.3366
2018-08-21,1.9613
2018-08-22,0.7506
2018-08-23,0.8615
2018-08-24,-1.8006
2018-08-27,1.0108
2018-08-28,-0.0233
2018-08-29,0.3259
2018-08-30,0.5336
2018-08-31,2.1232
2018-09-04,1.4237
2018-09-05,1.4706000000000001
2018-09-06,-1.076
2018-09-07,1.4872
2018-09-10,-0.4156
2018-09-11,-0.9005
2018-09-12,-0.5541
2018-09-13,0.0446
2018-09-14,-0.4678
2018-09-17,-2.8424
2018-09-18,0.3225
2018-09-19,-0.8955
2018-09-20,1.228
2018-09-21,-0.8011
2018-09-24,-0.1615
2018-09-25,1.6871
2018-09-26,0.3409
2018-09-27,2.1518
2018-09-28,0.0887
2018-10-01,-1.3957
2018-10-02,-1.8647
2018-10-03,2.6557
2018-10-04,-1.8733
2018-10-05,-0.3409
2018-10-08,-2.5542
2018-10-09,-0.6787
2018-10-10,-5.3723
2018-10-11,-0.5727
2018-10-12,5.735
2018-10-15,-0.0947
2018-10-16,0.7587
2018-10-17,-0.2118
2018-10-18,-1.5327
2018-10-19,-0.455
2018-10-22,1.8282
2018-10-23,-0.3071
2018-10-24,-1.4692
2018-10-25,-1.3228
2018-10-26,0.3168
2018-10-29,0.3887
2018-10-30,2.3475
2018-10-31,-2.0336
2018-11-01,3.2826
2018-11-02,1.0049
2018-11-05,2.2675
2018-11-06,0.7466
2018-11-07,0.539
2018-11-08,0.5137
2018-11-09,-2.5556
2018-11-12,-3.1015
2018-11-13,-3.2949
2018-11-14,1.6792
2018-11-15,-4.2604
2018-11-16,-2.025
2018-11-19,-5.0523
2018-11-20,-3.0906
2018-11-21,2.4958
2018-11-23,-0.487
2018-11-26,-1.6040999999999999
2018-11-27,1.3816
2018-11-28,2.8891
2018-11-29,-0.7417
2018-11-30,-1.8681999999999999
2018-12-03,4.2426
2018-12-04,-5.1918
2018-12-06,-2.2565
2018-12-07,-8.8964
2018-12-10,-1.4215
2018-12-11,1.442
2018-12-12,-1.5451000000000001
2018-12-13,-3.6723
2018-12-14,-2.7696
2018-12-17,-2.0442
2018-12-18,-0.5474
2018-12-19,0.0344
2018-12-20,-7.0839
2018-12-21,-2.2576
2018-12-24,0.2651
2018-12-26,6.7221
2018-12-27,2.8308999999999997
2018-12-28,-0.2753
2018-12-31,-2.795
2019-01-02,-0.8165
2019-01-03,-2.6843
2019-01-04,1.986
2019-01-07,3.2456
2019-01-08,1.7464
2019-01-09,1.5105
2019-01-10,-0.744
2019-01-11,5.3492
2019-01-14,-1.6171
2019-01-15,0.5917
2019-01-16,4.281
2019-01-17,1.9743
2019-01-18,2.1819
2019-01-22,-3.8496
2019-01-23,-0.3128
2019-01-24,1.8199
2019-01-25,1.2327
2019-01-28,-3.379
