ticker,AMH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-20,-0.2343
2015-04-21,0.411
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.5848
2015-04-27,-0.1163
2015-04-28,0.2328
2015-04-29,-0.9292
2015-04-30,-0.9965
2015-05-01,-0.3552
2015-05-04,0.0594
2015-05-05,-1.6033
2015-05-06,-0.4225
2015-05-07,0.6061
2015-05-08,1.1446
2015-05-11,-0.3574
2015-05-12,-0.8368
2015-05-13,-1.6275
2015-05-14,0.7966
2015-05-15,0.2432
2015-05-18,1.0916
2015-05-19,0.4799
2015-05-20,0.4776
2015-05-21,0.0594
2015-05-22,-0.1188
2015-05-26,-0.4162
2015-05-27,-0.1194
2015-05-28,-0.4782
2015-05-29,0.2402
2015-06-01,0.5392
2015-06-02,0.3576
2015-06-03,0.0594
2015-06-04,-0.8309
2015-06-05,-1.3764
2015-06-08,1.6989999999999998
2015-06-09,1.1337
2015-06-10,0.885
2015-06-11,0.2924
2015-06-12,-1.1111
2015-06-15,-2.2472
2015-06-16,0.1815
2015-06-17,0.7246
2015-06-18,0.6595
2015-06-19,-0.0596
2015-06-22,-0.8939
2015-06-23,-0.3007
2015-06-24,-1.6284999999999998
2015-06-25,-0.6131
2015-06-26,0.2468
2015-06-29,-1.9691999999999998
2015-06-30,0.6905
2015-07-01,2.182
2015-07-02,0.2441
2015-07-06,0.2435
2015-07-07,0.3643
2015-07-08,-0.9074
2015-07-09,-0.6716
2015-07-10,0.4917
2015-07-13,0.6728
2015-07-14,-1.0936
2015-07-15,-0.1229
2015-07-16,0.738
2015-07-17,-1.16
2015-07-20,-0.2471
2015-07-21,-0.1858
2015-07-22,0.3722
2015-07-23,-0.7417
2015-07-24,0.1245
2015-07-27,-0.8085
2015-07-28,1.3166
2015-07-29,1.9183
2015-07-30,0.4857
2015-07-31,0.0
2015-08-03,1.571
2015-08-04,-0.7139
2015-08-05,-0.3595
2015-08-06,-0.7817
2015-08-07,-3.7576
2015-08-10,-1.0076
2015-08-11,-0.0636
2015-08-12,-0.3183
2015-08-13,0.3831
2015-08-14,-0.2545
2015-08-17,0.0
2015-08-18,-0.1276
2015-08-19,-0.894
2015-08-20,0.3866
2015-08-21,0.4493
2015-08-24,-2.2364
2015-08-25,0.6536
2015-08-26,0.2597
2015-08-27,2.9793
2015-08-28,1.3836
2015-08-31,-0.8685
2015-09-01,-2.1277
2015-09-02,0.7033
2015-09-03,-0.254
2015-09-04,-0.7638
2015-09-08,1.2187000000000001
2015-09-09,-0.8238
2015-09-10,-0.5751
2015-09-11,1.0283
2015-09-14,0.0
2015-09-15,0.8934
2015-09-16,1.3283
2015-09-17,0.8115
2015-09-18,0.6811
2015-09-21,1.5375
2015-09-22,-0.4846
2015-09-23,0.3043
2015-09-24,-2.1845
2015-09-25,-0.3102
2015-09-28,-1.6179000000000001
2015-09-29,0.506
2015-09-30,1.1957
2015-10-01,0.9328
2015-10-02,1.5404
2015-10-05,-0.2427
2015-10-06,-0.3041
2015-10-07,1.7694
2015-10-08,0.4197
2015-10-09,-0.1791
2015-10-12,0.1794
2015-10-13,-1.4328
2015-10-14,0.7268
2015-10-15,0.7216
2015-10-16,0.2985
2015-10-19,0.5357
2015-10-20,0.6513
2015-10-21,-1.2353
2015-10-22,1.1316
2015-10-23,-0.8245
2015-10-26,-0.2375
2015-10-27,-0.119
2015-10-28,-1.1323
2015-10-29,0.3014
2015-10-30,-0.8413
2015-11-02,2.0606
2015-11-03,-0.4157
2015-11-04,0.9541
2015-11-05,-2.8943
2015-11-06,-0.7299
2015-11-09,-0.0613
2015-11-10,2.0233
2015-11-11,0.4207
2015-11-12,-1.8552
2015-11-13,-0.9756
2015-11-16,1.4163000000000001
2015-11-17,-1.2143
2015-11-18,-0.3073
2015-11-19,0.7398
2015-11-20,1.1628
2015-11-23,0.605
2015-11-24,1.2628
2015-11-25,-1.3658000000000001
2015-11-27,0.2408
2015-11-30,0.7808
2015-12-01,0.0596
2015-12-02,-0.2382
2015-12-03,-4.5969999999999995
2015-12-04,0.7509
2015-12-07,-1.5528
2015-12-08,1.8296999999999999
2015-12-09,-0.2478
2015-12-10,0.9938
2015-12-11,-1.845
2015-12-14,0.8799
2015-12-15,0.6854
2015-12-16,1.5470000000000002
2015-12-17,-0.9141
2015-12-18,-1.23
2015-12-21,1.6189
2015-12-22,0.3064
2015-12-23,0.1833
2015-12-24,-0.4878
2015-12-28,0.6127
2015-12-29,1.3397999999999999
2015-12-30,0.0
2015-12-31,0.1202
2016-01-04,-1.8007
2016-01-05,0.1222
2016-01-06,-0.7326
2016-01-07,-2.091
2016-01-08,-1.4447
2016-01-11,-0.1912
2016-01-12,-1.2771
2016-01-13,-1.8758
2016-01-14,-1.1206
2016-01-15,-1.0667
2016-01-19,0.1348
2016-01-20,-0.4711
2016-01-21,-1.0142
2016-01-22,2.2541
2016-01-25,-2.1376
2016-01-26,2.5256
2016-01-27,-0.8655
