ticker,NVFY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-02-21,7.7151
2014-02-24,7.5758
2014-02-25,-1.1524
2014-02-26,-4.4041
2014-02-27,-1.2195
2014-02-28,-0.4115
2014-03-03,3.0303
2014-03-04,0.1337
2014-03-05,-1.7356
2014-03-06,12.6359
2014-03-07,5.7901
2014-03-10,-4.1049
2014-03-11,-2.6159
2014-03-12,-6.2271
2014-03-13,-9.5052
2014-03-14,2.446
2014-03-17,2.3876
2014-03-18,7.2702
2014-03-19,-1.6623999999999999
2014-03-20,-1.9506000000000001
2014-03-21,3.3156
2014-03-24,5.5199
2014-03-25,0.6083
2014-03-26,-5.8041
2014-03-27,-2.6958
2014-03-28,0.3958
2014-03-31,4.5992
2014-04-01,-2.2613
2014-04-02,1.4139
2014-04-03,-0.1267
2014-04-04,-1.5228000000000002
2014-04-07,-2.5773
2014-04-08,0.9921
2014-04-09,3.7328
2014-04-10,-1.5152
2014-04-11,-1.2821
2014-04-14,-20.3896
2014-04-15,-18.9233
2014-04-16,4.4266
2014-04-17,-3.4682
2014-04-21,-0.7984
2014-04-22,3.8228999999999997
2014-04-23,-0.5814
2014-04-24,-3.5088
2014-04-25,-4.6465
2014-04-28,-6.7797
2014-04-29,-7.0455
2014-04-30,8.5575
2014-05-01,0.2252
2014-05-02,-1.1236
2014-05-05,-1.1364
2014-05-06,-0.6897
2014-05-07,-1.8519
2014-05-08,-0.9434
2014-05-09,0.0
2014-05-12,-2.1429
2014-05-13,-0.2433
2014-05-14,2.439
2014-05-15,-0.7143
2014-05-16,-2.3981
2014-05-19,1.7199
2014-05-20,2.1739
2014-05-21,-0.7092
2014-05-22,0.9524
2014-05-23,-3.066
2014-05-27,0.4866
2014-05-28,-2.9055999999999997
2014-05-29,-1.7456
2014-05-30,1.7766
2014-06-02,0.9975
2014-06-03,0.7407
2014-06-04,-0.2451
2014-06-05,-1.4742
2014-06-06,2.7431
2014-06-09,-0.9709
2014-06-10,0.4902
2014-06-11,0.7317
2014-06-12,2.1792
2014-06-13,-0.4739
2014-06-16,1.6667
2014-06-17,-0.2342
2014-06-18,0.0
2014-06-19,-2.1127
2014-06-20,1.199
2014-06-23,1.4218
2014-06-24,-0.9346
2014-06-25,0.0
2014-06-26,1.6509
2014-06-27,2.7842000000000002
2014-06-30,5.4176
2014-07-01,-1.0707
2014-07-02,3.4632
2014-07-03,-2.0921
2014-07-07,-2.9915000000000003
2014-07-08,-1.7649
2014-07-09,0.227
2014-07-10,0.0
2014-07-11,2.4609
2014-07-14,0.8734
2014-07-15,-0.4329
2014-07-16,0.4348
2014-07-17,-2.3810000000000002
2014-07-18,-2.6608
2014-07-21,-0.4556
2014-07-22,-0.4577
2014-07-23,-0.2299
2014-07-24,-3.2258
2014-07-25,-0.2381
2014-07-28,0.2387
2014-07-29,-0.2381
2014-07-30,0.0
2014-07-31,-0.9547
2014-08-01,0.7229
2014-08-04,0.0
2014-08-05,-0.9569
2014-08-06,-0.2415
2014-08-07,0.2421
2014-08-08,0.9662
2014-08-11,-1.9139
2014-08-12,5.3659
2014-08-13,-0.9259
2014-08-14,0.0
2014-08-15,-1.8692
2014-08-18,0.4762
2014-08-19,1.4218
2014-08-20,1.4019
2014-08-21,1.3825
2014-08-22,0.0
2014-08-25,-0.4545
2014-08-26,-0.4566
2014-08-27,0.2294
2014-08-28,0.0
2014-08-29,-0.2288
2014-09-02,6.8807
2014-09-03,2.5751
2014-09-04,8.3682
2014-09-05,0.0
2014-09-08,1.9304999999999999
2014-09-09,-1.7045
2014-09-10,-7.8998
2014-09-11,5.0209
2014-09-12,-4.1833
