ticker,QTNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-06,-1.487
2015-10-07,1.5093999999999999
2015-10-08,-1.1152
2015-10-09,1.5038
2015-10-12,2.7407
2015-10-13,-3.8933
2015-10-14,-4.2011
2015-10-15,1.3312
2015-10-16,-0.541
2015-10-19,-4.0404
2015-10-20,-0.8097
2015-10-21,2.0408
2015-10-22,-3.84
2015-10-23,0.0832
2015-10-26,-6.4838000000000005
2015-10-27,1.1556
2015-10-28,5.2285
2015-10-29,-2.9645
2015-10-30,11.833
2015-11-02,-1.7314
2015-11-03,1.8001
2015-11-04,0.001
2015-11-05,-2.2308
2015-11-06,1.967
2015-11-09,-2.0062
2015-11-10,-2.6772
2015-11-11,1.5372
2015-11-12,0.4781
2015-11-13,1.1895
2015-11-16,1.8809
2015-11-17,-0.3077
2015-11-18,-2.4691
2015-11-19,-0.3165
2015-11-20,-0.4762
2015-11-23,0.4785
2015-11-24,0.1587
2015-11-25,1.3471
2015-11-27,1.4073
2015-11-30,4.8574
2015-12-01,8.2353
2015-12-02,9.6467
2015-12-03,-3.4077
2015-12-04,-2.9506
2015-12-07,1.1897
2015-12-08,3.6577
2015-12-09,-2.3322
2015-12-10,3.2266
2015-12-11,-3.4375
2015-12-14,3.4951
2015-12-15,-2.7205
2015-12-16,1.6393
2015-12-17,0.3795
2015-12-18,0.7561
2015-12-21,-1.5009000000000001
2015-12-22,7.0476
2015-12-23,-5.1008
2015-12-24,-0.125
2015-12-28,0.1252
2015-12-29,-0.0625
2015-12-30,0.0
2015-12-31,0.0625
2016-01-04,-2.125
2016-01-05,0.7024
2016-01-06,-2.8535
2016-01-07,-3.3943
2016-01-08,-1.5541
2016-01-11,0.4804
2016-01-12,-2.6639
2016-01-13,-1.7544
2016-01-14,0.0
2016-01-15,-0.1429
2016-01-19,-0.6438
2016-01-20,0.072
2016-01-21,-1.0791
2016-01-22,1.0182
2016-01-25,-3.8157
2016-01-26,1.0479
2016-01-27,-3.3333
2016-01-28,-9.8851
2016-01-29,1.9558
2016-02-01,1.5013
2016-02-02,-1.3969
2016-02-03,-4.9167
2016-02-04,-9.7283
2016-02-05,-27.3786
2016-02-08,-1.8717000000000001
2016-02-09,-4.0872
2016-02-10,-1.9886
2016-02-11,7.1014
2016-02-12,8.1191
2016-02-16,-1.1264
2016-02-17,3.1646
2016-02-18,3.5583
2016-02-19,-1.0664
2016-02-22,2.9939999999999998
2016-02-23,-6.7442
2016-02-24,1.3716
2016-02-25,-1.476
2016-02-26,-1.3733
2016-02-29,-4.8101
2016-03-01,1.7287
2016-03-02,0.6536
2016-03-03,1.8182
2016-03-04,5.8673
2016-03-07,3.012
2016-03-08,0.4678
2016-03-09,0.6985
2016-03-10,-5.7803
2016-03-11,3.3129
2016-03-14,4.8694
2016-03-15,-1.812
2016-03-16,-1.6148
2016-03-17,1.4068
2016-03-18,0.1156
2016-03-21,-0.6943
2016-03-22,-1.3939
2016-03-23,0.1179
2016-03-24,-2.1201
2016-03-28,-0.8424
2016-03-29,4.3689
2016-03-30,2.4419
2016-03-31,-0.1135
2016-04-01,-0.6818
2016-04-04,-4.5767
2016-04-05,0.598
2016-04-06,4.7691
2016-04-07,-3.2992
2016-04-08,-1.8824
2016-04-11,3.1175
2016-04-12,-0.3488
2016-04-13,-0.1167
2016-04-14,15.6542
2016-04-15,5.1515
2016-04-18,0.5764
2016-04-19,-0.382
2016-04-20,0.1918
2016-04-21,-1.1482999999999999
2016-04-22,0.8712
2016-04-25,3.167
2016-04-26,-3.2558
2016-04-27,0.4808
2016-04-28,0.9569
2016-04-29,-0.237
2016-05-02,-0.3325
2016-05-03,0.9533
2016-05-04,-1.4163999999999999
2016-05-05,-5.1245
2016-05-06,-4.4927
2016-05-09,2.8541
2016-05-10,-0.3083
2016-05-11,-1.5464
2016-05-12,-0.733
2016-05-13,-4.9051
2016-05-16,-0.2773
2016-05-17,-1.1123
2016-05-18,-5.0619
2016-05-19,8.8863
2016-05-20,-5.3319
2016-05-23,14.9425
2016-05-24,5.7
2016-05-25,0.1892
2016-05-26,1.4163999999999999
2016-05-27,0.1397
2016-05-31,10.8322
2016-06-01,-10.612400000000001
2016-06-02,-3.8949
2016-06-03,-3.3203
2016-06-06,-8.4848
2016-06-07,-0.3311
2016-06-08,7.4211
2016-06-09,4.1224
2016-06-10,-0.396
2016-06-13,-5.5666
2016-06-14,-4.0
2016-06-15,-0.3289
2016-06-16,2.3102
2016-06-17,-3.6559
2016-06-20,-0.3348
2016-06-21,1.5676999999999999
2016-06-22,-0.2205
2016-06-23,2.0994
2016-06-24,-1.8397999999999999
2016-06-27,-8.0485
2016-06-28,-4.7962
2016-06-29,-3.6524
2016-06-30,1.3072
2016-07-01,0.0
2016-07-05,0.3871
2016-07-06,-3.599
2016-07-07,3.5217
2016-07-08,0.5909
2016-07-11,-1.2804
2016-07-12,3.7613
2016-07-13,-3.0
2016-07-14,1.1598
2016-07-15,-5.8599
2016-07-18,-1.3532
2016-07-19,0.0
2016-07-20,-1.9203999999999999
2016-07-21,-2.3776
2016-07-22,5.1576
2016-07-25,3.8147
2016-07-26,1.706
2016-07-27,1.0968
2016-07-28,-4.2757
2016-07-29,-22.6667
2016-08-01,1.5516999999999999
2016-08-02,1.6978
2016-08-03,4.6745
2016-08-04,-1.2759
2016-08-05,0.9693
2016-08-08,-0.16
2016-08-09,2.2436
2016-08-10,-4.3887
2016-08-11,0.1639
2016-08-12,-0.6547
2016-08-15,-0.4922
2016-08-16,0.9913
2016-08-17,0.0
2016-08-18,0.8197
2016-08-19,-0.4878
2016-08-22,-1.3072
2016-08-23,1.8212000000000002
2016-08-24,-0.813
2016-08-25,-0.5738
2016-08-26,-1.2366
2016-08-29,2.0033
2016-08-30,0.982
2016-08-31,-0.6483
2016-09-01,-0.8157
2016-09-02,1.8092000000000001
2016-09-06,8.2391
2016-09-07,7.0149
2016-09-08,-2.371
2016-09-09,9.857099999999999
2016-09-12,-0.6502
2016-09-13,1.0471
2016-09-14,1.0363
2016-09-15,3.7179
2016-09-16,-0.8653
2016-09-19,2.1197
2016-09-20,-0.3663
2016-09-21,-3.1863
2016-09-22,0.6329
2016-09-23,-1.1320999999999999
2016-09-26,1.7812000000000001
2016-09-27,-0.375
2016-09-28,-1.0038
2016-09-29,-3.2953
2016-09-30,2.4902
2016-10-03,0.6394
2016-10-04,0.0
2016-10-05,0.0
2016-10-06,-2.4142
2016-10-07,-0.2604
2016-10-10,-0.7833
2016-10-11,-0.0658
2016-10-12,-3.2258
2016-10-13,1.2245
2016-10-14,2.4194
2016-10-17,0.5249
2016-10-18,-1.436
2016-10-19,-1.0596
2016-10-20,1.6064
2016-10-21,-8.8274
2016-10-24,-6.7919
2016-10-25,0.5426
2016-10-26,-7.0162
2016-10-27,-4.4776
2016-10-28,-0.5208
2016-10-31,-5.5846
2016-11-01,-10.9982
2016-11-02,2.8037
2016-11-03,-11.9192
2016-11-04,-3.4404
2016-11-07,-4.2755
2016-11-08,0.7444
2016-11-09,2.9557
2016-11-10,-6.2201
2016-11-11,13.2653
2016-11-14,5.8559
2016-11-15,5.3191
2016-11-16,-1.6162
2016-11-17,2.6694
2016-11-18,-2.0
2016-11-21,-7.3469
2016-11-22,-7.7093
2016-11-23,-0.716
2016-11-25,1.6827
2016-11-28,-1.6548
2016-11-29,6.4904
2016-11-30,-2.9345
2016-12-01,-1.8605
2016-12-02,3.0806
2016-12-05,4.1379
2016-12-06,11.2583
2016-12-07,-0.1984
2016-12-08,4.3738
2016-12-09,-1.9048
2016-12-12,-7.5728
2016-12-13,-3.9916
2016-12-14,-5.9081
2016-12-15,5.1163
2016-12-16,-1.3274
2016-12-19,-6.5022
2016-12-20,0.7194
2016-12-21,4.2857
2016-12-22,-1.5981999999999998
2016-12-23,7.6566
2016-12-27,9.0517
2016-12-28,-3.5573
2016-12-29,2.2541
2016-12-30,-3.006
2017-01-03,0.4132
2017-01-04,4.1152
2017-01-05,6.5217
2017-01-06,16.3265
2017-01-09,-1.1164
