ticker,RETO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-23,-3.9936
2018-04-24,-8.3195
2018-04-25,1.4519
2018-04-26,-6.0823
2018-04-27,0.9524
2018-04-30,4.9056999999999995
2018-05-01,-5.9353
2018-05-02,1.912
2018-05-03,2.8143000000000002
2018-05-04,-1.6423
2018-05-07,5.5659
2018-05-08,-4.3937
2018-05-09,-5.1471
2018-05-10,-2.907
2018-05-11,-0.5988
2018-05-14,0.4016
2018-05-15,0.0
2018-05-16,0.2
2018-05-17,-0.998
2018-05-18,0.4032
2018-05-21,1.2048
2018-05-22,-0.5952
2018-05-23,1.3972
2018-05-24,-1.1791
2018-05-25,-0.2012
2018-05-29,2.9939999999999998
2018-05-30,1.3566
2018-05-31,0.5736
2018-06-01,-1.7109999999999999
2018-06-04,-0.9671
2018-06-05,-0.1953
2018-06-06,-2.3483
2018-06-07,-2.6052
2018-06-08,-2.0576
2018-06-11,6.5126
2018-06-12,-1.3807
2018-06-13,0.0
2018-06-14,-0.8
2018-06-15,4.4355
2018-06-18,0.9653
2018-06-19,-1.7208
2018-06-20,2.5292
2018-06-21,-2.4668
2018-06-22,1.5564
2018-06-25,5.364
2018-06-26,-2.3636
2018-06-27,-3.9106
2018-06-28,0.7752
2018-06-29,1.7308
2018-07-02,1.1342
2018-07-03,2.4299
2018-07-05,-8.0292
2018-07-06,-1.3889
2018-07-09,-4.829
2018-07-10,0.6342
2018-07-11,-0.4202
2018-07-12,0.4219
2018-07-13,7.7731
2018-07-16,-0.3899
2018-07-17,-0.7828
2018-07-18,1.3807
2018-07-19,-3.3074
2018-07-20,-6.1388
2018-07-23,5.2541
2018-07-24,-4.277
2018-07-25,-0.7447
2018-07-26,-6.7524
2018-07-27,6.6667
2018-07-30,-19.181
2018-07-31,2.9333
2018-08-01,-1.6451
2018-08-02,-1.0931
2018-08-03,-2.2636
2018-08-06,-10.3542
2018-08-07,7.9331
2018-08-08,7.0121
2018-08-09,3.9474
2018-08-10,-1.2658
2018-08-13,-3.3333
2018-08-14,1.061
2018-08-15,-8.399000000000001
2018-08-16,2.0057
2018-08-17,-0.2809
2018-08-20,5.0704
2018-08-21,-2.681
2018-08-22,-3.2314
2018-08-23,-2.3543
2018-08-24,5.2478
2018-08-27,-0.277
2018-08-28,1.6667
2018-08-29,3.0055
2018-08-30,-7.1618
2018-08-31,0.0
2018-09-04,-2.8571
2018-09-05,-0.2941
2018-09-06,0.295
2018-09-07,12.3529
2018-09-10,0.7853
2018-09-11,2.3377
2018-09-12,2.2843
2018-09-13,1.4888
2018-09-14,7.5795
2018-09-17,5.9091000000000005
2018-09-18,-5.5794
2018-09-19,3.6364
2018-09-20,-2.6316
2018-09-21,-11.9369
2018-09-24,-7.1611
2018-09-25,-3.5813
2018-09-26,4.8571
2018-09-27,-10.6267
2018-09-28,5.4878
2018-10-01,-2.8902
2018-10-02,8.631
2018-10-03,-6.5753
2018-10-04,-2.6393
2018-10-05,-3.3133
2018-10-08,-0.3115
2018-10-09,-9.375
2018-10-10,-8.2759
2018-10-11,0.0
2018-10-12,-1.1278
2018-10-15,-0.3802
2018-10-16,5.3435
2018-10-17,-6.8841
2018-10-18,-4.6693
2018-10-19,-5.7143
2018-10-22,-2.5974
2018-10-23,5.7778
2018-10-24,-8.4034
2018-10-25,5.5046
2018-10-26,-3.0435
2018-10-29,-0.4484
2018-10-30,3.6036
2018-10-31,8.2609
2018-11-01,-3.2129
2018-11-02,13.0705
2018-11-05,-0.1835
2018-11-06,1.1029
2018-11-07,0.0
2018-11-09,9.4545
2018-11-12,-3.6545
2018-11-13,0.0
2018-11-14,2.4138
2018-11-15,-12.4579
2018-11-16,-0.7692
2018-11-19,-5.4264
2018-11-20,0.8197
2018-11-21,-5.2846
2018-11-23,4.2918
2018-11-26,0.4115
2018-11-27,-0.4098
2018-11-28,-2.0576
2018-11-29,7.563
2018-11-30,3.9063
2018-12-03,-8.2707
2018-12-04,-9.4262
2018-12-06,-2.7149
2018-12-07,-6.0465
2018-12-10,-7.9208
2018-12-11,1.2366
2018-12-12,9.3999
2018-12-13,-8.2524
2018-12-14,-11.8519
2018-12-17,-19.2677
2018-12-18,-2.2305
2018-12-19,2.6616
2018-12-20,-10.3704
2018-12-21,23.9669
2018-12-24,-16.6667
2018-12-26,8.0
2018-12-27,-5.9259
2018-12-28,6.2992
2018-12-31,-3.7037
2019-01-02,0.7692
2019-01-03,2.0992
2019-01-04,4.6729
2019-01-07,0.0
2019-01-08,14.2857
2019-01-09,-5.0
2019-01-10,0.0
2019-01-11,3.7434
2019-01-14,-2.34
2019-01-15,7.1429
2019-01-16,-1.2121
2019-01-17,11.4908
2019-01-18,1.7993999999999999
2019-01-22,8.9189
2019-01-23,20.5955
2019-01-24,-12.5514
2019-01-25,-0.7059
2019-01-28,-6.6350999999999996
2019-01-29,-3.5533
2019-01-30,-3.6842
2019-01-31,-3.2787
2019-02-01,2.8249
2019-02-04,2.7473
2019-02-05,-0.5348
2019-02-06,-3.7634
2019-02-07,1.1173
2019-02-08,-2.2099
2019-02-11,-8.5819
2019-02-12,6.9155
2019-02-13,5.7803
2019-02-14,0.5464
2019-02-15,3.2609
2019-02-19,-3.1579
2019-02-21,3.2609
2019-02-22,3.1579
2019-02-25,1.5306
2019-02-26,-0.5025
2019-02-27,-11.1111
2019-02-28,4.5455
2019-03-01,0.538
2019-03-04,2.7083
2019-03-05,0.0
2019-03-06,-2.6316
2019-03-08,-4.3243
2019-03-11,0.565
2019-03-12,3.9326
2019-03-13,0.0
2019-03-14,-12.973
2019-03-15,1.8634
2019-03-18,2.439
2019-03-19,-4.1667
2019-03-20,3.7267
2019-03-21,3.5928
2019-03-22,-5.7803
2019-03-25,1.454
2019-03-26,-3.2473
2019-03-27,5.0
2019-03-28,0.5952
2019-03-29,0.0
2019-04-01,5.3254
2019-04-02,2.2472
2019-04-03,-2.1978
2019-04-04,-0.5618
2019-04-05,-0.565
2019-04-08,-2.2727
2019-04-09,-1.1628
2019-04-10,-0.5882
2019-04-11,1.7751000000000001
2019-04-12,-2.3256
2019-04-15,4.1667
2019-04-16,-1.1429
2019-04-17,1.1156
2019-04-18,0.04
2019-04-22,13.7086
2019-04-23,8.4175
2019-04-24,-4.5147
2019-04-25,-3.8834999999999997
2019-04-26,-0.5051
2019-04-29,-6.0914
2019-04-30,-1.6216
2019-05-01,9.3956
2019-05-02,-1.0547
2019-05-03,-8.6294
2019-05-06,2.7778
2019-05-07,-4.3243
2019-05-08,5.0904
2019-05-09,1.0698
2019-05-10,6.383
2019-05-13,-12.5
2019-05-14,4.6857
2019-05-15,-3.9301
2019-05-16,1.4432
2019-05-20,-1.9827
2019-05-21,0.0
2019-05-22,-0.2857
2019-05-28,-7.6619
2019-05-29,-0.0807
2019-05-30,1.8634
2019-05-31,3.0488
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,-10.8107
2019-06-10,-1.8046
2019-06-11,0.6689
2019-06-12,-2.6846
2019-06-13,-2.7586
2019-06-14,-13.4752
2019-06-17,-5.7377
2019-06-18,-8.1478
2019-06-19,4.1371
2019-06-20,0.9091
2019-06-21,-9.009
2019-06-24,2.9703
2019-06-25,-0.9615
2019-06-26,0.0
2019-06-27,-1.9515
2019-06-28,3.9707
2019-07-01,10.4762
2019-07-02,18.9655
2019-07-03,18.1159
2019-07-05,10.4294
2019-07-08,-16.6667
2019-07-09,-10.0
2019-07-10,3.7037
2019-07-11,4.2
2019-07-12,-4.7231
2019-07-15,-7.907
2019-07-16,8.5937
2019-07-17,-2.8849
2019-07-18,-7.4005
2019-07-19,4.112
2019-07-22,-1.6444
2019-07-24,-5.4688
2019-07-25,6.6116
2019-07-26,-20.155
2019-07-29,5.8252
2019-07-30,1.8349
2019-07-31,4.4685
2019-08-01,1.7591999999999999
2019-08-02,0.0
2019-08-05,0.0
2019-08-06,-9.1356
2019-08-07,-6.7338000000000005
2019-08-08,5.0
2019-08-09,-9.5238
2019-08-12,5.2632
2019-08-13,-5.0
2019-08-14,2.2737
2019-08-15,-9.4483
2019-08-16,7.9791
2019-08-19,21.0526
2019-08-20,-4.3478
2019-08-21,-0.4455
2019-08-22,-6.8487
2019-08-26,-1.9704000000000002
