ticker,UMBF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-15,1.2357
2006-06-16,-0.5359
2006-06-19,-2.0952
2006-06-20,-0.3974
2006-06-21,1.3505
2006-06-22,-0.8783
2006-06-23,-0.8249
2006-06-26,0.8626
2006-06-27,-1.0996
2006-06-28,0.0618
2006-06-29,3.2716
2006-06-30,-0.3586
2006-07-03,0.5399
2006-07-05,-0.0895
2006-07-06,0.0299
2006-07-07,-1.194
2006-07-10,-0.1813
2006-07-11,0.2421
2006-07-12,-2.0833
2006-07-13,-1.1718
2006-07-14,0.6552
2006-07-17,0.31
2006-07-18,2.3795
2006-07-19,3.0184
2006-07-20,-3.223
2006-07-21,-0.6055
2006-07-24,3.1678
2006-07-25,1.0924
2006-07-26,0.5549
2006-07-27,-1.2199
2006-07-28,0.9409
2006-07-31,0.1165
2006-08-01,-1.8620999999999999
2006-08-02,1.8678
2006-08-03,0.6985
2006-08-04,-0.4335
2006-08-07,-0.6386
2006-08-08,-1.3731
2006-08-09,-1.3329
2006-08-10,0.3002
2006-08-11,-0.3592
2006-08-14,0.4506
2006-08-15,2.0335
2006-08-16,1.4361
2006-08-17,-0.1734
2006-08-18,-0.2315
2006-08-21,-1.1604
2006-08-22,0.2348
2006-08-23,-1.1127
2006-08-24,0.0
2006-08-25,-0.4446
2006-08-28,0.7142
2006-08-29,1.4471
2006-08-30,0.5531
2006-08-31,0.9554
2006-09-01,0.2581
2006-09-05,0.6579
2006-09-06,-1.0799
2006-09-07,-1.4651
2006-09-08,0.0
2006-09-11,-0.3219
2006-09-12,2.3782
2006-09-13,0.9177
2006-09-14,-0.2842
2006-09-15,1.8524
2006-09-18,0.7275
2006-09-19,-1.1111
2006-09-20,2.5843
2006-09-21,-0.575
2006-09-22,-0.8538
2006-09-25,1.4444
2006-09-26,0.8488
2006-09-27,0.1901
2006-09-28,-0.2439
2006-09-29,-0.652
2006-10-02,-0.7657
2006-10-03,-0.2756
2006-10-04,1.879
2006-10-05,0.4611
2006-10-06,-0.594
2006-10-09,0.8148
2006-10-10,-0.6196
2006-10-11,-1.1114
2006-10-12,1.8366
2006-10-13,0.1346
2006-10-16,-0.2688
2006-10-17,-0.4043
2006-10-18,0.1894
2006-10-19,-0.054
2006-10-20,0.027
2006-10-23,0.7295
2006-10-24,-1.0461
2006-10-25,-1.7891
2006-10-26,0.276
2006-10-27,-1.046
2006-10-30,0.5563
2006-10-31,-0.8022
2006-11-01,-0.725
2006-11-02,-0.6461
2006-11-03,1.1309
2006-11-06,2.1806
2006-11-07,0.3557
2006-11-08,1.0632
2006-11-09,-0.7823
2006-11-10,0.5166
2006-11-13,1.4064999999999999
2006-11-14,0.7469
2006-11-15,0.556
2006-11-16,0.0263
2006-11-17,-0.737
2006-11-20,0.3447
2006-11-21,-0.185
2006-11-22,-0.4501
2006-11-24,-0.1596
2006-11-27,-2.1577
2006-11-28,0.3267
2006-11-29,0.19
2006-11-30,-0.3792
2006-12-01,-0.9244
2006-12-04,0.494
2006-12-05,-0.1638
2006-12-06,-0.3556
2006-12-07,-0.549
2006-12-08,-0.6348
2006-12-11,1.0036
2006-12-12,0.3864
2006-12-13,0.11
2006-12-14,-0.0275
2006-12-15,0.2747
2006-12-18,-0.6575
2006-12-19,-0.1931
2006-12-20,0.4974
2006-12-21,-0.4399
2006-12-22,-0.1933
2006-12-26,1.9092
2006-12-27,1.2218
2006-12-28,-0.7242
2006-12-29,-1.351
2007-01-03,1.4243000000000001
2007-01-04,0.4591
2007-01-05,-1.7742
2007-01-08,-0.1368
2007-01-09,-0.3015
2007-01-10,0.4123
2007-01-11,0.6296
2007-01-12,0.1632
2007-01-16,-1.0592
2007-01-17,-1.2352
2007-01-18,-1.0839
2007-01-19,1.152
2007-01-22,-1.3889
2007-01-23,0.9296
2007-01-24,1.2001
2007-01-25,-2.096
2007-01-26,1.4085
2007-01-29,1.5278
2007-01-30,0.1368
2007-01-31,-0.082
2007-02-01,0.3281
2007-02-02,0.4361
2007-02-05,-0.1085
2007-02-06,0.5162
2007-02-07,1.3514
2007-02-08,0.6133
2007-02-09,-0.5831
2007-02-12,1.0664
2007-02-13,0.7122
2007-02-14,0.3143
2007-02-15,-0.1044
2007-02-16,0.1307
2007-02-20,0.7831
2007-02-21,-0.1036
2007-02-22,0.8297
2007-02-23,-0.1286
2007-02-26,-0.8754
2007-02-27,-1.974
2007-02-28,-0.0265
2007-03-01,0.2915
2007-03-02,-1.5063
2007-03-05,-1.3952
2007-03-06,2.8299
2007-03-07,-0.2382
2007-03-08,0.4775
2007-03-09,0.2915
2007-03-12,0.3699
2007-03-13,-1.8689
2007-03-14,0.4828
2007-03-15,1.1479
2007-03-16,-1.0293
2007-03-19,0.72
2007-03-20,0.6089
2007-03-21,2.4211
2007-03-22,-0.5653
2007-03-23,-0.0775
2007-03-26,-0.2327
2007-03-27,-1.1146
2007-03-28,-1.0223
2007-03-29,0.4237
2007-03-30,-0.4219
2007-04-02,-0.2648
2007-04-03,1.2215
2007-04-04,-0.6558
2007-04-05,-1.0034
2007-04-09,-0.3468
2007-04-10,0.6156
2007-04-11,-1.0907
2007-04-12,0.0
2007-04-13,0.5917
2007-04-16,3.2086
2007-04-17,-0.5699
2007-04-18,-0.5472
2007-04-19,-0.393
2007-04-20,1.4992
2007-04-23,-1.0625
2007-04-24,0.4976
2007-04-25,2.945
2007-04-26,1.1899
2007-04-27,-0.2252
2007-04-30,-1.9057
2007-05-01,0.9714
2007-05-02,1.2405
2007-05-03,1.2253
2007-05-04,0.5435
2007-05-07,-0.5405
2007-05-08,1.3093
2007-05-09,-0.1951
2007-05-10,-2.7852
2007-05-11,1.2063
2007-05-14,-0.7946
2007-05-15,-0.7259
2007-05-16,-0.0756
2007-05-17,-0.4542
2007-05-18,-0.7351
2007-05-21,-0.2809
2007-05-22,-0.1024
2007-05-23,-1.2048
2007-05-24,-0.6746
2007-05-25,0.3918
2007-05-29,-0.1301
2007-05-30,0.4169
2007-05-31,0.1816
2007-06-01,1.7871000000000001
2007-06-04,-0.229
2007-06-05,-0.9436
2007-06-06,-0.1802
2007-06-07,-1.367
2007-06-08,1.0499
2007-06-11,0.0519
2007-06-12,-1.4538
2007-06-13,1.0274
2007-06-14,-0.7562
2007-06-15,0.762
2007-06-18,-0.5476
2007-06-19,0.4195
2007-06-20,-1.7492999999999999
2007-06-21,-0.5049
2007-06-22,-0.8547
2007-06-25,-0.458
2007-06-26,0.1083
2007-06-27,1.541
2007-06-28,-0.1331
2007-06-29,-1.7062
2007-07-02,1.6002
2007-07-03,0.5873
2007-07-05,-0.5308
2007-07-06,0.0
2007-07-09,0.1868
2007-07-10,-1.9174
2007-07-11,0.1358
2007-07-12,3.0098
2007-07-13,-0.3685
2007-07-16,-0.1585
2007-07-17,1.1908
2007-07-18,-1.1768
2007-07-19,0.2382
2007-07-20,-2.0063
2007-07-23,0.4041
2007-07-24,3.3271
2007-07-25,1.4022000000000001
2007-07-26,-1.7414
2007-07-27,-1.7983
2007-07-30,0.0265
2007-07-31,-0.9286
2007-08-01,1.9014
2007-08-02,0.5256
2007-08-03,-3.3987
2007-08-06,5.3045
2007-08-07,3.2896
2007-08-08,1.3685
2007-08-09,0.8837
2007-08-10,-7.2263
2007-08-13,1.1539
2007-08-14,0.1556
2007-08-15,1.4238
2007-08-16,9.4946
2007-08-17,1.0956
2007-08-20,0.1614
2007-08-21,1.8646
2007-08-22,0.339
2007-08-23,-1.2612999999999999
2007-08-24,2.0073
2007-08-27,-1.4758
2007-08-28,-1.6114000000000002
2007-08-29,1.015
2007-08-30,-0.3882
2007-08-31,1.5589
2007-09-04,-0.6998
2007-09-05,-0.3637
2007-09-06,-0.3879
2007-09-07,-2.7943
2007-09-10,0.8483
2007-09-11,1.6643
2007-09-12,0.4381
2007-09-13,0.0459
2007-09-14,1.9734
2007-09-17,-2.3177
2007-09-18,5.736
2007-09-19,0.5882
2007-09-20,-2.9023
2007-09-21,-1.0484
2007-09-24,-2.0514
2007-09-25,-0.069
2007-09-26,-0.4606
2007-09-27,2.013
2007-09-28,-2.7897
2007-10-01,1.3532
2007-10-02,3.6142
2007-10-03,-1.3553
2007-10-04,0.6532
2007-10-05,1.4768
2007-10-08,-0.4631
2007-10-09,-0.1551
2007-10-10,-0.1997
2007-10-11,-0.9337
2007-10-12,-0.4264
2007-10-15,-2.3890000000000002
2007-10-16,0.1154
2007-10-17,0.3229
2007-10-18,-0.3218
2007-10-19,-2.0065
2007-10-22,2.1181
2007-10-23,-0.6453
2007-10-24,0.9743
2007-10-25,-2.9405
2007-10-26,0.7811
2007-10-29,-0.6106
2007-10-30,-0.7089
2007-10-31,-0.0476
2007-11-01,-4.9524
2007-11-02,0.977
2007-11-05,-1.6621000000000001
2007-11-06,2.4975
2007-11-07,-4.5533
2007-11-08,2.5013
2007-11-09,1.6101
2007-11-12,0.4457
2007-11-13,2.9825
2007-11-14,-1.3164
2007-11-15,-3.0318
2007-11-16,0.2251
2007-11-19,-3.0696
2007-11-20,0.4892
2007-11-21,-1.6909999999999998
2007-11-23,3.2578
2007-11-26,-5.3256
2007-11-27,0.7198
2007-11-28,4.8438
2007-11-29,-2.7518000000000002
2007-11-30,-2.3364
2007-12-03,-1.2493
2007-12-04,-0.646
2007-12-05,1.0295
2007-12-06,0.8581
2007-12-07,-1.4092
2007-12-10,1.7872
2007-12-11,-5.2142
2007-12-12,0.6175
2007-12-13,5.2162
2007-12-14,-2.0679
2007-12-17,-1.4348
2007-12-18,4.2571
2007-12-19,1.7650000000000001
2007-12-20,0.8025
2007-12-21,1.4381
2007-12-24,0.0759
2007-12-26,1.3155000000000001
2007-12-27,-3.3458
2007-12-28,-0.155
2007-12-31,-0.7503
2008-01-02,-2.4244
2008-01-03,-0.3473
2008-01-04,-1.8231000000000002
2008-01-07,5.0519
2008-01-08,-3.4572
2008-01-09,2.3425000000000002
2008-01-10,2.8414
2008-01-11,-1.6372
2008-01-14,-2.7308
2008-01-15,-0.8289
2008-01-16,2.1839
2008-01-17,-2.0317
2008-01-18,-1.5082
2008-01-22,4.4846
2008-01-23,6.1502
2008-01-24,2.9832
2008-01-25,-3.1362
2008-01-28,2.7682
2008-01-29,-0.3608
2008-01-30,-2.1723
2008-01-31,3.9477
2008-02-01,1.8514
2008-02-04,-1.911
2008-02-05,-2.4709
2008-02-06,-1.4616
2008-02-07,1.6811
2008-02-08,-1.9451
2008-02-11,-0.7439
2008-02-12,0.7494
2008-02-13,0.7687
2008-02-14,-1.9439
2008-02-15,-0.0502
2008-02-19,-1.8328
2008-02-20,1.5601
2008-02-21,-1.0577
2008-02-22,0.789
2008-02-25,0.0253
2008-02-26,1.54
2008-02-27,0.3481
2008-02-28,-0.9415
2008-02-29,-4.2521
