ticker,AXGT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-28,-4.1204
2015-10-29,3.5537
2015-10-30,-2.7135
2015-11-02,9.6801
2015-11-03,15.4076
2015-11-04,6.6105
2015-11-05,-3.5866
2015-11-06,1.0719
2015-11-09,3.0568
2015-11-10,6.477
2015-11-11,-3.8658
2015-11-12,-4.6718
2015-11-13,-1.6749
2015-11-16,0.8833
2015-11-17,-2.8768000000000002
2015-11-18,6.9543
2015-11-19,-2.4082
2015-11-20,2.7144
2015-11-23,5.6456
2015-11-24,3.8658
2015-11-25,-3.6672000000000002
2015-11-27,-1.8182
2015-11-30,9.838
2015-12-01,-0.4742
2015-12-02,0.7941
2015-12-03,0.7353
2015-12-04,-0.1564
2015-12-07,-2.0888
2015-12-08,1.3867
2015-12-09,-0.5786
2015-12-10,5.5556
2015-12-11,-2.1554
2015-12-14,0.0512
2015-12-15,3.1234
2015-12-16,3.0288
2015-12-17,-1.9277
2015-12-18,-11.7445
2015-12-21,2.784
2015-12-22,-0.4334
2015-12-23,3.7541
2015-12-24,0.2622
2015-12-28,-0.3138
2015-12-29,1.5215
2015-12-30,0.4134
2015-12-31,-7.2054
2016-01-04,-11.8136
2016-01-05,1.5723
2016-01-06,0.1858
2016-01-07,-1.4833
2016-01-08,1.8193000000000001
2016-01-11,-1.4171
2016-01-12,3.3125
2016-01-13,-1.3309
2016-01-14,7.7866
2016-01-15,-4.38
2016-01-19,0.5949
2016-01-20,4.0213
2016-01-21,-4.2069
2016-01-22,5.7567
2016-01-25,-4.7699
2016-01-26,0.825
2016-01-27,-10.2864
2016-01-28,-2.3453
2016-01-29,6.2708
2016-02-01,4.5198
2016-02-02,-17.958
2016-02-03,-3.0747
2016-02-04,1.1329
2016-02-05,-16.1314
2016-02-08,-15.3161
2016-02-09,5.8885
2016-02-10,3.9722
2016-02-11,0.8596
2016-02-12,3.7879
2016-02-16,4.562
2016-02-17,9.5113
2016-02-18,-1.1952
2016-02-19,2.7419000000000002
2016-02-22,0.0785
2016-02-23,-4.0784
2016-02-24,4.2518
2016-02-25,-1.5686
2016-02-26,1.1952
2016-02-29,-0.7087
2016-03-01,-2.4584
2016-03-02,4.3089
2016-03-03,-4.2089
2016-03-04,-0.8137
2016-03-07,2.6250999999999998
2016-03-08,-2.6379
2016-03-09,-6.8144
2016-03-10,-0.8811
2016-03-11,2.2222
2016-03-14,0.2609
2016-03-15,-1.2142
2016-03-16,-1.3169
2016-03-17,0.089
2016-03-18,0.5333
2016-03-21,0.2653
2016-03-22,1.5873
2016-03-23,-3.2118
2016-03-24,-2.2422
2016-03-28,4.1284
2016-03-29,0.793
2016-03-30,0.1748
2016-03-31,0.1745
2016-04-01,3.6585
2016-04-04,-0.5042
2016-04-05,-2.1959
2016-04-06,8.3765
2016-04-07,1.1155
2016-04-08,-6.5405999999999995
2016-04-11,-2.3609
2016-04-12,2.7634
2016-04-13,4.5378
2016-04-14,0.1608
2016-04-15,-1.3644
2016-04-18,2.0342
2016-04-19,-1.3557000000000001
2016-04-20,0.8892
2016-04-21,2.7244
2016-04-22,7.4883
2016-04-25,-0.2903
2016-04-26,-0.1456
2016-04-27,-2.6239
2016-04-28,-1.7216
2016-04-29,-0.9901
2016-05-02,8.6923
2016-05-03,-4.5294
2016-05-04,-3.8547000000000002
2016-05-05,-5.8597
2016-05-06,-4.2588
2016-05-09,0.941
2016-05-10,-0.1695
2016-05-11,-4.6689
2016-05-12,-2.1371
2016-05-13,0.9099
2016-05-16,3.6069
2016-05-17,-2.0888
2016-05-18,0.1778
2016-05-19,-2.2183
2016-05-20,2.6316
2016-05-23,-0.1768
2016-05-24,5.9345
2016-05-25,1.1706
2016-05-26,5.3719
2016-05-27,0.4706
2016-05-31,3.1226
2016-06-01,-0.5299
2016-06-02,0.6088
2016-06-03,-1.8154
2016-06-06,1.3096999999999999
2016-06-07,8.1369
2016-06-08,5.1336
2016-06-09,1.9398
2016-06-10,-2.8871
2016-06-13,-9.7297
2016-06-14,-2.9939999999999998
2016-06-15,0.2315
2016-06-16,-4.311
2016-06-17,-5.0684
2016-06-20,0.5932
2016-06-21,-2.1904
2016-06-22,-2.1532999999999998
2016-06-23,7.8345
2016-06-24,-4.0
2016-06-27,-2.466
2016-06-28,8.6312
2016-06-29,3.7721
2016-06-30,-0.6961
2016-07-01,4.3614
2016-07-05,-3.4328
2016-07-06,0.0
2016-07-07,-0.2318
2016-07-08,1.2393
2016-07-11,-1.3007
