ticker,TRVI US Equity
2019-09-24,-0.2273
2019-09-25,-2.9613
2019-09-26,-1.4085
2019-09-27,9.2857
2019-09-30,-1.9607999999999999
2019-10-01,0.0
2019-10-02,-4.2222
2019-10-03,-4.4084
2019-10-04,5.3932
2019-10-07,-6.0384
2019-10-08,0.4902
2019-10-09,-10.2439
2019-10-10,-9.7826
2019-10-11,34.0361
2019-10-14,5.618
2019-10-15,-15.8511
2019-10-16,2.402
2019-10-17,-6.4198
2019-10-18,2.3747
2019-10-21,-0.7732
2019-10-22,-2.5974
2019-10-23,-1.3333
2019-10-24,0.0
2019-10-25,-0.8108
2019-10-28,0.545
2019-10-29,-9.4851
2019-10-30,-7.485
2019-10-31,-4.5306999999999995
2019-11-01,-5.7627
2019-11-04,7.1942
2019-11-05,9.349
2019-11-06,5.8737
2019-11-07,-2.029
2019-11-08,7.1893
2019-11-11,4.8855
2019-11-12,-4.1447
2019-11-13,2.9513
2019-11-14,4.0
2019-11-15,7.8744
2019-11-18,-0.6584
2019-11-19,4.2016
2019-11-20,-5.6257
2019-11-21,3.4063
2019-11-22,-2.3529
2019-11-25,-8.3928
2019-11-26,-7.9359
2019-11-27,-5.9
2019-11-29,6.8772
2019-12-02,1.4205
2019-12-03,-4.2017
2019-12-04,4.6784
2019-12-05,8.9385
2019-12-06,-6.9231
2019-12-09,-0.8264
2019-12-10,-2.8528000000000002
2019-12-11,7.5115
2019-12-12,0.0
2019-12-13,-9.5745
2019-12-16,10.6882
2019-12-17,-4.3418
2019-12-18,2.2222
2019-12-19,-2.9891
2019-12-20,7.2829
2019-12-23,-2.0888
2019-12-24,-3.8133
2019-12-26,1.1921
2019-12-27,1.9178
2019-12-30,0.8065
2019-12-31,0.0
2020-01-02,0.0
2020-01-03,14.2347
2020-01-06,2.0589
2020-01-07,0.0892
2020-01-08,0.7793
2020-01-09,17.2268
2020-01-10,1.1663999999999999
2020-01-13,-0.5736
2020-01-14,-3.6538
2020-01-15,5.7884
2020-01-16,0.9434
2020-01-17,-0.3738
2020-01-21,-2.439
2020-01-22,-0.5769
2020-01-23,-3.4816
2020-01-24,3.8076
2020-01-27,-6.1776
2020-01-28,5.7613
2020-01-29,3.8911
2020-01-30,-1.6854
2020-01-31,-5.1429
2020-02-03,-6.2249
2020-02-04,-0.439
2020-02-05,15.7114
2020-02-06,-2.2695
2020-02-10,0.9909
2020-02-11,-1.6949
2020-02-12,-3.4234
2020-02-13,9.0988
2020-02-14,-6.1818
2020-02-18,0.7752
2020-02-19,6.9885
2020-02-20,2.9946
2020-02-21,-4.014
2020-02-24,6.6527
2020-02-25,-2.3168
2020-02-26,1.2216
2020-02-27,-5.1724
2020-02-28,-5.6364
2020-03-03,-4.817
2020-03-04,1.3381
2020-03-05,-7.5128
2020-03-06,7.9914
2020-03-09,-6.7
2020-03-10,-16.3987
2020-03-11,-17.9487
2020-03-12,4.6875
2020-03-13,-25.3731
2020-03-16,48.304
2020-03-17,10.3139
2020-03-18,-20.6504
2020-03-19,14.9319
2020-03-20,-20.3753
2020-03-23,-20.5387
2020-03-24,9.7458
2020-03-25,1.5444
2020-03-26,0.2662
2020-03-27,-12.7797
2020-03-30,-25.6522
2020-03-31,92.3977
2020-04-01,-4.5593
2020-04-02,-15.2866
2020-04-03,1.5038
2020-04-06,-1.8519
2020-04-07,1.1283
2020-04-08,-3.3061
2020-04-09,4.1948
2020-04-13,0.7407
2020-04-14,9.9265
2020-04-15,-4.5151
2020-04-16,-7.1804
2020-04-17,2.6414999999999997
2020-04-20,1.0993
2020-04-21,-0.36
2020-04-22,-3.6496
2020-04-23,2.2727
2020-04-24,6.6667
2020-04-27,1.7361
2020-04-28,0.0
2020-04-29,-2.3891
2020-04-30,0.3497
2020-05-01,-6.2718
2020-05-04,-6.6914
2020-05-05,7.9681
2020-05-06,-2.214
2020-05-07,0.566
2020-05-08,-0.5629
2020-05-11,5.283
2020-05-12,2.1505
2020-05-13,-1.4035
2020-05-14,-0.3559
2020-05-15,0.3571
2020-05-18,-1.7793999999999999
2020-05-19,-3.6231999999999998
2020-05-20,1.5038
2020-05-21,-1.4815
2020-05-22,1.5038
2020-05-26,-0.3704
2020-05-27,2.974
2020-05-28,0.0
2020-05-29,-1.083
2020-06-01,24.0876
2020-06-02,5.8824
2020-06-03,4.4444
2020-06-04,13.0319
2020-06-05,4.2353
2020-06-08,-9.2551
2020-06-09,-0.2488
2020-06-10,3.7406
2020-06-11,-1.4423
2020-06-12,10.7317
2020-06-15,8.1498
2020-06-16,4.888
2020-06-17,4.8544
2020-06-18,3.8889
2020-06-19,-4.1889
2020-06-22,6.7907
2020-06-23,0.0
2020-06-24,-4.5296
2020-06-25,5.8394
2020-06-26,4.3103
2020-06-29,13.5537
2020-06-30,-4.2213
2020-07-01,6.079
2020-07-02,9.0974
2020-07-06,-8.338799999999999
2020-07-07,-21.3467
2020-07-08,0.0
2020-07-09,-0.3643
2020-07-10,6.3985
2020-07-13,-15.4639
2020-07-14,4.4715
2020-07-15,4.4747
2020-07-16,1.1173
2020-07-17,-2.7624
2020-07-20,-2.4621
2020-07-21,-4.0777
2020-07-22,4.8583
2020-07-23,3.0888
2020-07-24,-2.4345
2020-07-27,-2.1113
2020-07-28,0.9804
2020-07-29,-1.9417
2020-07-30,-4.0594
2020-07-31,2.58
