ticker,PTOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-02,-11.25
2013-01-03,40.8451
2013-01-04,-17.5
2013-01-07,21.2121
2013-01-08,-15.0
2013-01-09,5.8824
2013-01-10,-11.1111
2013-01-11,25.0
2013-01-14,-20.0
2013-01-15,0.0
2013-01-16,-1.25
2013-01-17,-2.5316
2013-01-18,29.8701
2013-01-22,-20.0
2013-01-23,-1.25
2013-01-24,1.2658
2013-01-25,0.0
2013-01-28,7.5
2013-01-29,-15.6977
2013-01-30,-3.4483
2013-01-31,14.1071
2013-02-01,-6.1033
2013-02-04,-6.6667
2013-02-05,14.1071
2013-02-06,-12.3631
2013-02-07,-14.2857
2013-02-08,25.8333
2013-02-11,-20.5298
2013-02-12,-14.7917
2013-02-13,-2.2005
2013-02-14,-2.0
2013-02-15,-18.3673
2013-02-19,-8.4375
2013-02-20,-0.3413
2013-02-21,-0.8562
2013-02-22,0.8636
2013-02-26,-31.5068
2013-02-27,-36.0
2013-02-28,-6.25
2013-03-01,13.3333
2013-03-04,47.7941
2013-03-05,-0.4975
2013-03-06,0.0
2013-03-07,-20.0
2013-03-08,45.0
2013-03-11,-31.0345
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-18,0.0
2013-03-20,0.0
2013-03-21,-10.0
2013-03-22,0.0
2013-03-25,-11.8056
2013-03-26,-5.5118
2013-03-27,60.0
2013-03-28,0.0
2013-04-01,-16.6667
2013-04-02,75.0
2013-04-03,-57.1429
2013-04-04,30.0
2013-04-05,-2.5641
2013-04-08,-5.2632
2013-04-09,5.5556
2013-04-10,-0.9868
2013-04-11,-25.5814
2013-04-12,25.0
2013-04-15,-2.8571
2013-04-16,-11.7647
2013-04-17,-13.3333
2013-04-18,7.6923
2013-04-19,7.1429
2013-04-22,-33.3333
2013-04-23,45.0
2013-04-25,-30.1724
2013-04-26,28.3951
2013-04-29,-23.0769
2013-04-30,-20.0
2013-05-01,25.0
2013-05-02,10.0
2013-05-03,-4.5455
2013-05-06,22.619
2013-05-07,-6.7961
2013-05-08,12.5
2013-05-09,-32.4074
2013-05-10,20.5479
2013-05-13,13.6364
2013-05-14,-20.0
2013-05-15,0.0
2013-05-16,20.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,8.3333
2013-05-23,19.2308
2013-05-28,3.2258
2013-05-29,75.0
2013-05-30,0.0
2013-05-31,6.6964
2013-06-03,-33.0544
2013-06-04,15.0
2013-06-06,0.5435
2013-06-10,-22.1622
2013-06-11,27.7778
2013-06-12,0.0
2013-06-13,-39.1304
2013-06-14,20.0893
2013-06-17,36.803
2013-06-18,-13.0435
2013-06-19,14.375
2013-06-20,0.5464
2013-06-21,13.0435
2013-06-25,-30.7692
2013-06-26,-16.6667
2013-06-27,60.0
2013-07-01,-4.1667
2013-07-02,-34.7826
2013-07-03,40.0
2013-07-05,-23.8095
2013-07-08,0.0
2013-07-09,-31.25
2013-07-10,0.0
2013-07-11,4.5455
2013-07-12,39.1304
2013-07-15,-6.25
2013-07-17,-33.3333
2013-07-18,40.0
2013-07-19,-41.9643
2013-07-22,60.0
2013-07-23,0.0
2013-07-25,0.0
2013-07-26,22.1154
2013-07-30,-49.6063
2013-07-31,50.0
2013-08-01,-33.3333
2013-08-02,0.0
2013-08-08,0.0
2013-08-09,0.0
2013-08-12,6.25
2013-08-13,76.4706
2013-08-14,-13.3333
2013-08-15,0.0
2013-08-16,-23.0769
2013-08-20,28.75
2013-08-22,-2.9126
2013-08-23,12.0
2013-08-26,-28.5714
2013-08-27,30.0
2013-08-28,7.6923
2013-08-29,7.1429
2013-08-30,-33.3333
2013-09-03,0.0
2013-09-04,20.0
2013-09-06,-16.6667
2013-09-09,-6.875
2013-09-10,25.5034
2013-09-11,-1.6042999999999998
2013-09-13,-13.0435
2013-09-16,0.0
2013-09-17,5.0
2013-09-18,14.2857
2013-09-19,8.3333
2013-09-20,10.5769
2013-09-23,-2.6087
2013-09-24,4.9107
2013-09-26,-11.4894
2013-09-27,-15.3846
2013-09-30,36.3636
2013-10-01,20.0
2013-10-02,22.2222
2013-10-03,0.0
2013-10-04,-30.1136
2013-10-07,2.8455
2013-10-08,-3.1621
2013-10-09,1.2245
2013-10-10,9.6774
2013-10-11,-11.7647
2013-10-14,26.6667
2013-10-15,31.5789
2013-10-16,24.0
2013-10-17,0.0
2013-10-18,-3.2258
2013-10-21,-32.9167
2013-10-22,63.9752
2013-10-23,-9.0909
2013-10-24,10.0
2013-10-25,18.1818
2013-10-28,19.2308
2013-10-29,3.2258
2013-10-30,18.75
2013-10-31,-3.5088
2013-11-01,-3.6364
2013-11-04,-5.6604
2013-11-05,19.625
2013-11-06,-1.3584
2013-11-07,0.0
2013-11-08,1.3771
2013-11-11,15.047
2013-11-12,-12.8065
2013-11-13,0.0
2013-11-14,-25.0
2013-11-15,15.5556
2013-11-18,9.6154
2013-11-19,0.0
2013-11-20,-5.2632
2013-11-21,10.532399999999999
2013-11-22,-1.1518
2013-11-25,-10.1695
2013-11-26,12.9717
2013-11-27,-4.8017
2013-11-29,-5.2632
2013-12-02,3.4722
2013-12-03,-2.4609
2013-12-04,-8.2569
2013-12-05,11.75
2013-12-06,-3.3557
2013-12-09,3.3565
2013-12-10,-3.2475
2013-12-11,-7.4074
2013-12-12,-40.0
2013-12-13,36.6667
2013-12-16,12.1951
2013-12-17,-2.1739
2013-12-18,-11.1111
2013-12-20,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-27,5.0
2013-12-30,0.0
2013-12-31,-4.7619
2014-01-02,5.0
2014-01-03,-4.7619
2014-01-07,0.0
2014-01-08,-22.1875
2014-01-09,28.5141
2014-01-10,-0.3125
2014-01-14,-19.7492
2014-01-15,-44.1406
2014-01-16,-1.049
2014-01-17,13.0742
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,2.5
2014-01-24,21.9512
2014-01-27,0.0
2014-01-28,14.0
2014-01-29,-12.2807
2014-01-30,0.0
2014-01-31,-24.0
