ticker,KULR US Equity
2019-09-23,0.0
2019-09-25,-2.9412000000000003
2019-09-26,0.0
2019-10-04,21.2121
2019-10-07,-17.5
2019-10-08,0.0
2019-10-10,3.0303
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,2.9412000000000003
2019-10-25,0.0
2019-10-28,-8.5714
2019-10-29,6.25
2019-10-30,0.0
2019-10-31,0.0
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,7.0588
2019-11-06,2.1978
2019-11-07,-5.3763
2019-11-08,-3.4091
2019-11-11,0.0
2019-11-12,0.0
2019-11-13,-2.9412000000000003
2019-11-14,-3.0303
2019-11-15,2.1875
2019-11-18,3.9755000000000003
2019-11-19,2.9412000000000003
2019-11-20,0.0
2019-11-21,-2.8571
2019-11-22,-4.7059
2019-11-25,1.8519
2019-11-26,-3.6364
2019-11-27,-0.6289
2019-12-02,0.0
2019-12-03,3.1646
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,1.227
2019-12-09,0.0
2019-12-10,1.2121
2019-12-11,0.0
2019-12-12,-4.1916
2019-12-13,0.0
2019-12-16,-1.25
2019-12-17,-5.0633
2019-12-18,6.0
2019-12-23,-5.6604
2020-01-02,0.0
2020-01-13,-2.6667
2020-01-14,0.0
2020-01-16,-0.6849
2020-01-23,0.6897
2020-02-05,-3.4247
2020-02-06,-0.7092
2020-02-07,-10.7143
2020-02-12,5.6
2020-02-19,-9.0909
2020-02-20,4.1667
2020-02-21,-4.0
2020-02-24,4.1667
2020-02-25,3.2
2020-02-26,0.7752
2020-02-27,0.0
2020-02-28,0.0
2020-03-04,-7.6923
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,10.0
2020-03-10,-1.5152
2020-03-11,7.6923
2020-03-13,-3.5714
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-31,-6.6667
2020-04-01,-6.3492
2020-04-02,5.9322
2020-04-06,-4.0
2020-04-07,0.0
2020-04-13,62.5
2020-04-14,-10.7692
2020-04-15,-2.2989
2020-04-16,-1.1764999999999999
2020-04-17,-1.7856999999999998
2020-04-21,0.7576
2020-04-22,10.9774
2020-04-23,-0.271
2020-04-24,-2.7174
2020-04-27,-16.2011
2020-04-28,-5.3333
2020-04-29,-19.0141
2020-04-30,-4.3478
2020-05-01,-13.6364
2020-05-04,5.2632
2020-05-06,-12.0
2020-05-07,5.1136
2020-05-08,8.1081
2020-05-11,15.0
2020-05-12,-4.3478
2020-05-13,0.0
2020-05-14,-13.6364
2020-05-15,7.3684
2020-05-18,7.8431
2020-05-19,-13.6364
2020-05-20,5.2632
2020-05-21,0.0
2020-05-22,0.0
2020-05-26,0.0
2020-05-27,-0.5
2020-05-28,0.5025
2020-05-29,0.0
2020-06-01,4.0
2020-06-02,-13.461500000000001
2020-06-03,3.3333
2020-06-04,-3.2258
2020-06-05,6.6667
2020-06-08,4.1667
2020-06-09,14.0
2020-06-10,12.2807
2020-06-11,-17.9688
2020-06-12,-4.7619
2020-06-15,-5.0
2020-06-16,5.2632
2020-06-17,0.0
2020-06-18,36.0
2020-06-19,36.0294
2020-06-22,37.2973
2020-06-23,-20.8661
2020-06-24,-19.403
2020-06-25,26.5432
2020-06-26,-2.439
2020-06-29,-4.0
2020-06-30,1.5625
2020-07-01,4.1026
2020-07-02,-2.9557
2020-07-06,-12.4365
2020-07-07,-0.5797
2020-07-08,-9.621
2020-07-09,0.6452
2020-07-10,0.0
2020-07-13,0.641
2020-07-14,-5.7643
2020-07-15,-1.9939
2020-07-16,-0.6897
2020-07-17,-2.0833
2020-07-20,0.0
2020-07-21,-1.4184
2020-07-22,1.4388
2020-07-23,12.766
2020-07-24,-6.9182
2020-07-27,-12.8378
2020-07-28,0.7752
2020-07-29,0.0
2020-07-30,-0.7692
2020-07-31,0.7752
