ticker,POAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-02-05,-10.0
2013-02-06,-11.1111
2013-02-07,6.25
2013-02-08,7.3529
2013-02-11,-24.6575
2013-02-12,0.0
2013-02-13,1.8182
2013-02-14,16.0714
2013-02-15,26.1538
2013-02-19,-14.6341
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,6.4286
2013-02-25,0.0
2013-02-26,-2.0134
2013-02-27,-15.0685
2013-02-28,-17.7419
2013-03-01,21.5686
2013-03-04,-3.2258
2013-03-05,8.3333
2013-03-06,6.1538
2013-03-07,7.2464
2013-03-08,1.1824
2013-03-11,-1.1686
2013-03-12,-12.1622
2013-03-13,15.3846
2013-03-14,0.6667
2013-03-15,4.6358
2013-03-18,20.2532
2013-03-19,26.3158
2013-03-20,-12.5
2013-03-21,14.7619
2013-03-22,-4.5643
2013-03-25,13.0435
2013-03-26,7.6923
2013-03-27,0.0
2013-03-28,1.4285999999999999
2013-04-01,-8.4507
2013-04-02,3.8462
2013-04-03,0.0
2013-04-04,0.0
2013-04-05,-3.7037
2013-04-08,0.0
2013-04-09,9.2308
2013-04-10,40.1408
2013-04-11,5.5276
2013-04-12,-4.7619
2013-04-15,25.0
2013-04-16,-2.0
2013-04-17,-18.3673
2013-04-18,-4.5
2013-04-19,4.712
2013-04-22,-2.5
2013-04-23,-3.8462
2013-04-24,-1.3333
2013-04-25,1.2838
2013-04-26,12.0747
2013-04-29,-16.1905
2013-04-30,2.2727
2013-05-01,0.0
2013-05-02,-5.5556
2013-05-03,-5.8824
2013-05-06,9.0625
2013-05-07,-2.0057
2013-05-08,-0.5848
2013-05-09,4.1176
2013-05-10,-1.1299
2013-05-13,2.8571
2013-05-14,-8.3333
2013-05-15,3.0303
2013-05-16,7.0588
2013-05-17,-2.6442
2013-05-20,-3.7743
2013-05-22,-5.8651
2013-05-23,12.1495
2013-05-24,-3.6111
2013-05-28,-7.7089
2013-05-29,8.6651
2013-05-30,1.7241
2013-05-31,0.565
2013-06-03,1.1236
2013-06-04,-11.1111
2013-06-05,0.0
2013-06-06,6.25
2013-06-07,0.0
2013-06-10,0.0
2013-06-11,5.8824
2013-06-12,-0.5556
2013-06-13,-5.0279
2013-06-14,2.9412000000000003
2013-06-17,0.0
2013-06-18,-2.8571
2013-06-20,-2.9412000000000003
2013-06-21,3.0303
2013-06-24,-2.9412000000000003
2013-06-25,3.0303
2013-06-26,-20.5882
2013-06-27,0.0
2013-06-28,11.1111
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,3.3333
2013-07-05,-3.2258
2013-07-08,0.0
2013-07-09,-11.6667
2013-07-10,5.6604
2013-07-11,3.5714
2013-07-12,-8.6207
2013-07-15,9.434
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,-3.4483
2013-07-19,7.1429
2013-07-22,6.6667
2013-07-23,0.0
2013-07-24,3.125
2013-07-25,15.1515
2013-07-26,3.9474
2013-07-29,8.8608
2013-07-30,-6.9767
2013-07-31,6.5
2013-08-01,-5.6338
2013-08-02,6.9652
2013-08-05,-2.3256
2013-08-06,7.1429
2013-08-07,20.0
2013-08-08,-7.4074
2013-08-09,2.0
2013-08-12,1.5686
2013-08-13,-11.1969
2013-08-14,12.9891
2013-08-15,-3.7999
2013-08-16,-8.0
2013-08-19,8.6957
2013-08-20,0.0
2013-08-21,-12.0
2013-08-22,9.0909
2013-08-23,16.6667
2013-08-26,7.1429
2013-08-27,39.9583
2013-08-28,-14.2602
2013-08-29,-1.3889
2013-08-30,-4.2254
2013-09-03,8.3824
2013-09-04,-2.3066
2013-09-05,1.3889
2013-09-06,3.4247
2013-09-09,3.3113
2013-09-10,-5.1282
2013-09-11,10.8108
2013-09-12,-4.878
2013-09-13,-0.2564
2013-09-16,2.8278
2013-09-17,-9.0
2013-09-18,-6.5934
2013-09-19,-2.9412000000000003
2013-09-20,3.0303
2013-09-23,-2.9412000000000003
2013-09-24,6.0606
2013-09-25,-2.4286
2013-09-26,0.1464
2013-09-27,-4.9708
2013-09-30,-2.1538
2013-10-01,-5.6604
2013-10-02,-9.9583
2013-10-03,12.9107
2013-10-04,-4.5902
2013-10-07,-0.3436
2013-10-08,-6.8966
2013-10-09,1.4815
2013-10-10,-1.4599
2013-10-11,0.0
2013-10-14,0.0
2013-10-15,0.7407
2013-10-16,6.6176
2013-10-17,3.4483
2013-10-18,-6.6667
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,-3.5714
2013-10-25,-1.8519
2013-10-28,2.8302
2013-10-29,-2.7523
2013-10-30,3.7736
2013-10-31,-1.8182
2013-11-01,0.0
2013-11-04,0.0
2013-11-05,-8.8889
2013-11-06,-6.9106
2013-11-07,4.8035
2013-11-08,-1.6667
2013-11-11,-0.4237
2013-11-12,9.5745
2013-11-13,5.8252
2013-11-14,13.7615
2013-11-15,-9.6774
2013-11-18,3.5714
2013-11-19,-3.4483
2013-11-20,0.0
2013-11-21,3.5714
2013-11-22,-6.8966
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,-7.4074
2013-11-29,16.0
2013-12-02,-5.1724
2013-12-03,3.6364
2013-12-04,-3.5088
2013-12-05,-5.4545
2013-12-06,0.0
2013-12-09,0.0
2013-12-10,-3.8462
2013-12-11,-8.0
2013-12-12,0.0
2013-12-13,4.3478
2013-12-16,-4.1667
2013-12-17,-2.1739
2013-12-18,11.1111
2013-12-19,6.0
2013-12-20,7.5472
2013-12-23,-2.1053
2013-12-24,-3.2258
2013-12-26,0.0
2013-12-27,0.0
2013-12-30,0.0
2013-12-31,0.0
2014-01-02,1.8519
2014-01-03,0.0
2014-01-06,-7.2727
2014-01-07,0.0
2014-01-08,1.9607999999999999
2014-01-09,0.0
2014-01-10,-1.875
2014-01-13,-1.0289
2014-01-14,0.9901
2014-01-15,-5.8824
2014-01-16,0.0
2014-01-17,-4.1146
2014-01-21,-2.2271
2014-01-22,-2.2222
2014-01-23,0.0
2014-01-24,11.3636
2014-01-27,-6.1224
2014-01-28,-4.3478
2014-01-29,2.2727
2014-01-30,12.2222
2014-01-31,-4.9505
2014-02-03,-4.1667
2014-02-04,4.3478
2014-02-05,-4.1667
2014-02-06,0.0
2014-02-07,0.0
2014-02-10,-1.087
2014-02-11,5.4945
2014-02-13,-4.1667
2014-02-14,4.3478
2014-02-18,4.1667
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,0.0
2014-02-24,0.0
2014-02-25,0.0
2014-02-26,3.6
2014-02-27,-1.5444
2014-02-28,-11.7647
2014-03-03,2.2222
2014-03-04,0.0
2014-03-05,2.1739
2014-03-06,-2.1277
2014-03-07,-4.3478
2014-03-10,4.5455
2014-03-11,-4.3478
2014-03-12,-0.9091
2014-03-13,-3.6696999999999997
2014-03-14,-4.7619
2014-03-17,0.0
2014-03-18,5.0
2014-03-19,-4.7619
2014-03-20,5.0
2014-03-21,-4.7619
2014-03-24,-2.5
2014-03-25,2.5641
2014-03-26,-7.5
2014-03-27,2.7027
2014-03-28,-5.2632
2014-03-31,2.7778
2014-04-01,-2.7027
2014-04-02,2.7778
2014-04-03,-8.6486
2014-04-04,-1.7751000000000001
2014-04-07,7.8313
2014-04-08,-1.1173
2014-04-09,-6.7797
2014-04-10,3.6364
2014-04-11,-0.5848
2014-04-14,-5.8824
2014-04-15,0.0
2014-04-16,-3.125
2014-04-17,-3.2258
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,-5.3333
2014-04-25,0.0
2014-04-28,-1.4085
2014-04-29,-4.2857
2014-04-30,-2.9851
2014-05-01,23.0769
2014-05-02,6.25
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,-3.0147
2014-05-08,-2.9568
2014-05-09,0.0
2014-05-12,-6.25
2014-05-13,-0.0833
2014-05-14,6.7556
2014-05-15,-9.375
2014-05-16,-3.4483
2014-05-19,-3.5714
2014-05-20,-3.7037
2014-05-21,11.538499999999999
2014-05-22,-6.8966
2014-05-23,0.0
2014-05-27,14.8148
