ticker,BBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-24,12.5714
2008-01-25,-2.0305
2008-01-28,3.3309
2008-01-29,-2.5072
2008-01-30,-3.6738
2008-01-31,3.9664
2008-02-01,1.9809
2008-02-04,0.4317
2008-02-05,-7.3065999999999995
2008-02-06,-1.7774
2008-02-07,0.3934
2008-02-08,-2.0376
2008-02-11,-3.04
2008-02-12,6.6007
2008-02-13,0.6192
2008-02-14,-20.4615
2008-02-15,6.383
2008-02-19,4.3636
2008-02-20,-5.8362
2008-02-21,0.8326
2008-02-22,0.1835
2008-02-25,4.1209
2008-02-26,7.8276
2008-02-27,-1.6313
2008-02-28,0.9121
2008-02-29,-4.5193
2008-03-03,-0.3442
2008-03-04,3.2815
2008-03-05,1.5886
2008-03-06,-4.9383
2008-03-07,-4.329
2008-03-10,-0.9955
2008-03-11,-18.0987
2008-03-12,-4.6875
2008-03-13,-0.4684
2008-03-14,-4.0
2008-03-17,0.6127
2008-03-18,9.257
2008-03-19,-6.3545
2008-03-20,5.2381
2008-03-24,8.0317
2008-03-25,0.4188
2008-03-26,-1.4599
2008-03-27,-1.6931
2008-03-28,-2.7987
2008-03-31,0.6645
2008-04-01,8.6909
2008-04-02,-3.7449
2008-04-03,-4.4164
2008-04-04,3.4103
2008-04-07,-3.617
2008-04-08,-1.6556
2008-04-09,-3.5915
2008-04-10,2.2119
2008-04-11,-3.5308
2008-04-14,2.3613
2008-04-15,3.5755
2008-04-16,-0.4454
2008-04-17,-7.83
2008-04-18,8.8592
2008-04-21,-0.7804
2008-04-22,-2.809
2008-04-23,1.3873
2008-04-24,2.6226000000000003
2008-04-25,12.7778
2008-04-28,6.5024999999999995
2008-04-29,1.5726
2008-04-30,-0.7286
2008-05-01,0.6422
2008-05-02,-1.0939
2008-05-05,-1.8433000000000002
2008-05-06,1.0329
2008-05-07,1.3941
2008-05-08,-2.3830999999999998
2008-05-09,-3.4742
2008-05-12,-9.2412
2008-05-13,-0.8574
2008-05-14,1.1892
2008-05-15,0.0
2008-05-16,-5.4487
2008-05-19,-1.6949
2008-05-20,2.5286999999999997
2008-05-21,-1.7936999999999999
2008-05-22,0.7991
2008-05-23,-2.6048
2008-05-27,0.0
2008-05-28,2.093
2008-05-29,4.1002
2008-05-30,0.1094
2008-06-02,-5.1366
2008-06-03,2.765
2008-06-04,-0.6726
2008-06-05,1.3544
2008-06-06,-3.5635
2008-06-09,-2.8868
2008-06-10,-0.8323
2008-06-11,-1.5588
2008-06-12,4.9939
2008-06-13,-0.348
2008-06-16,-3.8417
2008-06-17,-2.3002000000000002
2008-06-18,-0.1239
2008-06-19,2.6055
2008-06-20,-6.2878
2008-06-23,-0.6452
2008-06-24,-0.5195
2008-06-25,3.3943
2008-06-26,-4.4192
2008-06-27,-1.1889
2008-06-30,-2.8075
2008-07-01,0.2751
2008-07-02,-2.0576
2008-07-03,1.9607999999999999
2008-07-07,-14.6978
2008-07-08,17.7134
2008-07-09,-12.4487
2008-07-10,1.875
2008-07-11,-2.3006
2008-07-14,-3.9246
2008-07-15,-0.3268
2008-07-16,1.1475
2008-07-17,5.1864
2008-07-18,2.0031
2008-07-21,1.0574
2008-07-22,7.6233
2008-07-23,5.2778
2008-07-24,-7.9155999999999995
2008-07-25,-6.5903
2008-07-28,-1.8405
2008-07-29,3.4375
2008-07-30,3.0211
2008-07-31,-3.9589
2008-08-01,3.6641
2008-08-04,-4.1237
2008-08-05,1.6897
2008-08-06,0.0
2008-08-07,-2.8701
2008-08-08,4.6655999999999995
2008-08-11,2.526
2008-08-12,0.0
2008-08-13,1.3043
2008-08-14,4.1488
2008-08-15,0.0
