ticker,WRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-11-02,1.2658
2018-11-05,-3.75
2018-11-06,0.0
2018-11-07,-3.8961
2018-11-08,5.4054
2018-11-09,-1.2821
2018-11-12,-1.2987
2018-11-13,-5.0
2018-11-14,2.4931
2018-11-15,10.8108
2018-11-16,-1.2195
2018-11-19,-1.2346
2018-11-20,-0.25
2018-11-21,5.2632
2018-11-23,-3.5714
2018-11-26,-3.9506
2018-11-27,-1.7995
2018-11-28,8.377
2018-11-29,2.657
2018-11-30,5.8824
2018-12-03,8.8889
2018-12-04,-3.0612
2018-12-06,-16.9116
2018-12-07,-4.4772
2018-12-10,-2.122
2018-12-11,-11.1111
2018-12-12,2.1341
2018-12-13,-4.1791
2018-12-14,-0.6231
2018-12-17,0.4545
2018-12-18,-2.949
2018-12-19,2.2508
2018-12-20,-0.7453
2018-12-21,-3.3679
2018-12-24,-4.823
2018-12-26,9.5456
2018-12-27,-0.6289
2018-12-28,1.2658
2018-12-31,-1.5625
2019-01-02,2.8571
2019-01-03,0.3086
2019-01-04,0.0
2019-01-07,-3.9969
2019-01-08,-2.2467
2019-01-09,3.2787
2019-01-10,-1.5873
2019-01-11,4.6452
2019-01-14,1.4149
2019-01-15,-7.3072
2019-01-16,5.755
2019-01-17,6.3566
2019-01-18,6.2012
2019-01-22,-1.1722
2019-01-23,-2.7778
2019-01-24,2.8571
2019-01-25,3.3333
2019-01-28,-7.7957
2019-01-29,4.2274
2019-01-30,-6.2937
2019-01-31,8.6567
2019-02-01,0.2747
2019-02-04,10.9589
2019-02-05,6.1728
2019-02-06,-1.1628
2019-02-07,-2.3529
2019-02-08,6.506
2019-02-11,1.3575
2019-02-12,-6.6964
2019-02-13,-0.7177
2019-02-14,3.1325
2019-02-15,0.2336
2019-02-19,-1.3986
2019-02-20,4.9645
2019-02-21,4.5045
2019-02-22,1.2931
2019-02-25,-5.9574
2019-02-26,7.4661
2019-02-27,-1.8947
2019-02-28,3.4335
2019-03-01,6.8465
2019-03-04,8.7379
2019-03-05,-1.0286
2019-03-06,1.0393
2019-03-07,-1.0714
2019-03-08,7.4007
2019-03-11,4.2017
2019-03-12,6.4516
2019-03-13,-12.1212
2019-03-14,2.2414
2019-03-15,-8.769
2019-03-18,-1.2939
2019-03-19,12.3596
2019-03-20,3.3333
2019-03-21,-2.0968
2019-03-22,7.743
2019-03-25,-4.4343
2019-03-26,0.8
2019-03-27,3.4920999999999998
2019-03-28,4.2945
2019-03-29,4.4118
2019-04-01,-2.5352
2019-04-02,0.578
2019-04-03,-1.2931
2019-04-04,-5.3857
2019-04-05,-1.8462
2019-04-08,8.1505
2019-04-09,1.7391
2019-04-10,4.2735
2019-04-11,1.776
2019-04-12,0.6711
2019-04-15,4.0
2019-04-16,-2.5641
2019-04-17,4.8684
2019-04-18,-0.7528
2019-04-22,-1.3906
2019-04-23,-4.7436
2019-04-24,-3.0956
2019-04-25,-2.0833
2019-04-26,-3.6879
2019-04-29,-0.5891
2019-04-30,0.1481
2019-05-01,-0.8876
2019-05-02,-1.194
2019-05-03,3.1722
2019-05-06,0.0
2019-05-07,-1.4641
2019-05-08,-1.0401
2019-05-09,2.2523
2019-05-10,-1.1747
2019-05-13,-1.4859
2019-05-14,0.3017
2019-05-15,1.5038
2019-05-16,4.2963000000000005
2019-05-17,-0.7102
2019-05-20,-0.4292
2019-05-21,2.7298999999999998
2019-05-22,1.2587
2019-05-23,-3.453
2019-05-24,2.0029
2019-05-28,-2.805
2019-05-29,-12.8427
2019-05-30,2.1523
2019-05-31,0.3241
2019-06-03,-2.2617
2019-06-04,0.4959
2019-06-05,11.5132
2019-06-06,-1.1799
2019-06-07,2.3881
2019-06-10,-0.8746
2019-06-11,-1.7647
2019-06-12,4.0419
2019-06-13,1.295
2019-06-14,-3.8352
2019-06-17,-4.4313
2019-06-18,0.3091
2019-06-19,-1.3867
2019-06-20,3.9063
2019-06-21,-3.0075
2019-06-24,-5.5814
2019-06-25,0.4926
2019-06-26,4.4118
2019-06-27,-8.6072
2019-06-28,6.5068
2019-07-01,-2.2508
2019-07-02,0.4934
2019-07-03,-1.6367
2019-07-05,-6.3228
2019-07-08,0.1776
2019-07-09,0.3546
2019-07-10,-3.3569
2019-07-11,-3.8391
2019-07-12,-2.8517
2019-07-15,3.1311
2019-07-16,1.1385
2019-07-17,0.1876
2019-07-18,-5.0562
2019-07-19,0.5917
2019-07-22,0.0
2019-07-23,-0.5882
2019-07-24,-0.3945
2019-07-25,-14.0594
2019-07-26,0.6912
2019-07-29,-9.611
2019-07-30,23.2911
2019-07-31,-1.0267
2019-08-01,-4.1494
2019-08-02,-3.8961
2019-08-05,-3.6036
2019-08-06,-3.7382999999999997
2019-08-07,-1.9417
2019-08-08,5.5693
