ticker,DAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-05,-1.6762000000000001
2007-03-06,-0.4574
2007-03-07,0.4177
2007-03-08,0.208
2007-03-09,1.6189
2007-03-12,1.1438
2007-03-13,-0.2019
2007-03-14,-1.4163999999999999
2007-03-15,-0.0411
2007-03-16,0.3696
2007-03-19,2.2913
2007-03-20,3.12
2007-03-21,1.0861
2007-03-22,0.3473
2007-03-23,1.4512
2007-03-26,-0.0754
2007-03-27,-0.0377
2007-03-28,-0.0755
2007-03-29,-0.4909
2007-03-30,-0.0759
2007-04-02,0.7596
2007-04-03,2.5254
2007-04-04,0.2206
2007-04-05,3.5216
2007-04-09,-2.7994
2007-04-10,-2.1509
2007-04-11,0.2981
2007-04-12,1.263
2007-04-13,1.5407
2007-04-16,0.6864
2007-04-17,0.1794
2007-04-18,-0.1791
2007-04-19,-0.2512
2007-04-20,1.1511
2007-04-23,-0.6401
2007-04-24,-0.3221
2007-04-25,0.6822
2007-04-26,2.1041
2007-04-27,1.0129
2007-04-30,-0.5187
2007-05-01,0.7994
2007-05-02,1.3448
2007-05-03,3.4542
2007-05-04,0.5008
2007-05-07,1.8937
2007-05-08,-2.1845
2007-05-09,1.6667
2007-05-10,-0.8197
2007-05-11,0.4959
2007-05-14,0.1974
2007-05-15,0.4596
2007-05-16,0.9804
2007-05-17,4.3689
2007-05-18,0.155
2007-05-21,-1.2384
2007-05-22,1.4107
2007-05-23,-1.0819
2007-05-24,-0.625
2007-05-25,1.1006
2007-05-29,-0.4666
2007-05-30,0.0
2007-05-31,0.0
2007-06-01,0.9375
2007-06-04,-1.7647
2007-06-05,0.5358
2007-06-06,0.0313
2007-06-07,-2.6324
2007-06-08,-0.2897
2007-06-11,2.9051
2007-06-12,-0.8783
2007-06-13,1.1076
2007-06-14,0.1565
2007-06-15,-3.0625
2007-06-18,0.7415
2007-06-19,0.416
2007-06-20,0.7011
2007-06-21,-0.9494
2007-06-22,-0.1597
2007-06-25,-3.584
2007-06-26,0.3319
2007-06-27,-1.3563
2007-06-28,2.5151
2007-06-29,2.8786
2007-07-02,1.0175
2007-07-03,0.8813
