ticker,EFOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-02,0.0
2009-06-03,0.0
2009-06-04,-11.1111
2009-06-05,12.5
2009-06-08,0.0
2009-06-09,0.0
2009-06-10,0.0
2009-06-12,-22.2222
2009-06-15,-42.8571
2009-06-16,50.0
2009-06-19,16.6667
2009-06-23,7.1429
2009-06-24,20.0
2009-06-25,0.0
2009-07-02,0.0
2009-07-06,-55.5556
2009-07-07,0.0
2009-07-08,25.0
2009-07-09,70.0
2009-07-13,-41.1765
2009-07-14,0.0
2009-07-15,20.0
2009-07-16,0.0
2009-07-20,25.0
2009-07-23,6.6667
2009-07-24,0.0
2009-07-27,25.0
2009-07-28,80.0
2009-07-29,-11.1111
2009-07-30,46.875
2009-07-31,-14.8936
2009-08-03,10.0
2009-08-04,13.6364
2009-08-05,8.0
2009-08-06,-1.8519
2009-08-07,1.8868
2009-08-10,-3.7037
2009-08-11,0.0
2009-08-12,-13.461500000000001
2009-08-13,8.8889
2009-08-14,-51.0204
2009-08-17,8.3333
2009-08-18,26.9231
2009-08-21,15.1515
2009-08-24,5.2632
2009-08-26,20.0
2009-08-27,-5.0
2009-08-28,0.8772
2009-08-31,-8.6957
2009-09-01,-9.5238
2009-09-02,10.526299999999999
2009-09-03,14.2857
2009-09-04,8.3333
2009-09-08,-19.2308
2009-09-09,9.5238
2009-09-10,-13.0435
2009-09-11,15.0
2009-09-16,21.7391
2009-09-17,-17.8571
2009-09-18,4.3478
2009-09-21,8.3333
2009-09-22,11.538499999999999
2009-09-23,-1.7241
2009-09-25,-1.7544
2009-09-29,-25.0
2009-09-30,4.7619
2009-10-01,13.6364
2009-10-06,4.0
2009-10-09,-13.461500000000001
2009-10-12,2.2222
2009-10-13,0.0
2009-10-14,4.3478
2009-10-15,-4.1667
2009-10-19,-13.0435
2009-10-20,5.0
2009-10-21,-4.7619
2009-10-22,0.0
2009-10-26,0.0
2009-10-27,-5.0
2009-10-28,5.2632
2009-10-29,15.0
2009-10-30,17.3913
2009-11-02,11.1111
2009-11-03,-5.0
2009-11-04,-8.7719
2009-11-05,11.538499999999999
2009-11-06,-13.7931
2009-11-09,4.0
2009-11-11,-19.2308
2009-11-12,9.5238
2009-11-13,-8.6957
2009-11-16,0.0
2009-11-17,2.3810000000000002
2009-11-18,-2.3256
2009-11-19,-4.7619
2009-11-20,5.0
2009-11-23,-4.7619
2009-11-24,5.0
2009-11-27,-4.7619
2009-12-01,-10.0
2009-12-02,0.0
2009-12-03,0.0
2009-12-07,5.5556
2009-12-08,-5.2632
2009-12-09,11.1111
2009-12-11,5.0
2009-12-14,-14.2857
2009-12-15,5.5556
2009-12-16,0.0
