ticker,RVIV US Equity
2019-10-16,-6.25
2019-10-17,0.0
2019-10-18,8.3333
2019-10-21,-15.3846
2019-10-22,-5.4545
2019-10-23,25.0
2019-10-24,-0.7692
2019-10-25,0.0
2019-10-28,-14.7287
2019-10-29,26.3636
2019-10-30,-20.8633
2019-10-31,-1.8182
2019-11-01,-1.8519
2019-11-04,0.0
2019-11-05,-1.8868
2019-11-06,-4.7115
2019-11-07,29.1625
2019-11-08,-21.875
2019-11-11,0.0
2019-11-13,0.0
2019-11-14,0.0
2019-11-15,0.0
2019-11-19,-6.0
2019-11-20,0.0
2019-11-25,-6.383
2019-11-27,0.0
2019-12-03,34.0909
2019-12-10,-35.5932
2019-12-11,-7.8947
2019-12-13,0.0
2019-12-16,-15.9714
2019-12-17,17.9871
2019-12-20,-7.781
2019-12-30,56.25
2019-12-31,0.0
2020-01-02,-4.0
2020-01-07,-8.3333
2020-01-09,-43.1818
2020-01-10,75.2
2020-01-14,22.8311
2020-01-15,-34.9442
2020-01-16,57.1429
2020-01-22,-9.4545
2020-01-23,-39.759
2020-01-24,-16.6667
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-31,-4.0
2020-02-03,4.1667
2020-02-04,2.8
2020-02-05,1.1673
2020-02-06,0.0
2020-02-07,15.3846
2020-02-10,6.6667
2020-02-11,40.625
2020-02-12,-35.5556
2020-02-13,-13.7931
2020-02-14,-1.8
2020-02-18,1.833
2020-02-19,-8.0
2020-02-20,-13.0435
2020-02-21,0.0
2020-02-24,70.0
2020-02-25,-41.1765
2020-02-26,-5.0
2020-02-27,3.6842
2020-02-28,-3.5533
2020-03-02,2.1053
2020-03-03,28.866
2020-03-04,-12.0
2020-03-05,2.5
2020-03-06,10.8647
2020-03-09,-22.4
2020-03-10,13.3505
2020-03-11,-9.0496
2020-03-12,-11.5
2020-03-13,1.6949
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,11.1111
2020-03-19,-5.0
2020-03-20,2.1053
2020-03-23,3.0928
2020-03-25,10.0
2020-03-26,35.4545
2020-03-27,-5.8725000000000005
2020-03-30,-3.9394
2020-03-31,-0.9093
2020-04-01,-6.4045
2020-04-06,-8.9636
2020-04-08,-16.4835
2020-04-13,-5.2632
2020-04-14,11.1111
2020-04-15,-15.0
2020-04-16,11.7647
2020-04-17,29.4211
2020-04-20,-26.7995
2020-04-21,-5.5556
2020-04-22,11.7647
2020-04-23,0.0
2020-04-24,2.6316
2020-04-27,-12.8205
2020-04-30,-5.8235
2020-05-04,-0.0625
2020-05-06,0.0
2020-05-07,25.0
2020-05-11,-30.0
2020-05-13,-7.1429
2020-05-14,7.6154
2020-05-18,-7.0765
2020-05-19,0.0
2020-05-20,-7.7692
2020-05-21,-17.0142
2020-05-26,20.603
2020-06-02,40.8333
2020-06-04,42.0118
2020-06-05,-21.2083
2020-06-08,-13.413499999999999
2020-06-10,-16.939
2020-06-11,30.8824
2020-06-12,-4.8315
2020-06-15,-23.2586
2020-06-16,0.0
2020-06-17,53.8462
2020-06-18,-35.75
2020-06-19,1.1673
2020-06-22,1.9231
2020-06-25,-7.5472
2020-06-29,1.8367
2020-06-30,4.2084
2020-07-02,-11.538499999999999
2020-07-06,-8.6957
2020-07-07,1.9048
2020-07-09,0.514
2020-07-10,-6.927
2020-07-13,29.8701
2020-07-16,0.0
2020-07-17,0.0
2020-07-20,-38.4615
2020-07-21,62.5
2020-07-22,-23.0769
2020-07-23,29.9
2020-07-24,0.0
2020-07-27,0.0
2020-07-29,-3.7721
2020-07-30,0.0
