ticker,OPTL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-11,-14.2857
2010-06-15,0.0
2010-06-16,16.6667
2010-06-17,39.2857
2010-06-18,-1.2821
2010-06-21,-37.6623
2010-06-22,54.1667
2010-06-23,0.0
2010-06-24,-10.8108
2010-06-25,0.0
2010-06-28,-27.2727
2010-06-29,0.0
2010-06-30,4.1667
2010-07-02,0.0
2010-07-06,0.0
2010-07-07,0.0
2010-07-08,12.0
2010-07-09,10.7143
2010-07-12,0.0
2010-07-13,-9.6774
2010-07-14,0.0
2010-07-20,-42.8571
2010-07-21,0.0
2010-07-22,0.0
2010-07-23,50.0
2010-07-26,0.0
2010-07-27,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-08-09,-33.3333
2010-08-11,-25.0
2010-08-12,100.0
2010-08-13,-37.5
2010-08-18,0.0
2010-08-19,0.0
2010-08-24,0.0
2010-08-25,-3.3333
2010-08-26,3.4483
2010-08-27,0.0
2010-08-31,-3.3333
2010-09-01,0.0
2010-09-03,-6.8966
2010-09-09,-40.7407
2010-09-13,31.25
2010-09-14,-14.2857
2010-09-21,77.7778
2010-09-22,0.0
2010-09-24,-34.375
2010-10-01,52.381
2010-10-04,0.0
2010-10-12,-25.0
2010-10-14,45.8333
2010-10-15,5.7143
2010-10-19,8.1081
2010-10-20,-5.0
2010-10-22,-31.5789
2010-10-25,0.0
2010-10-26,-7.6923
2010-10-27,0.0
2010-11-01,0.0
2010-11-02,0.0
2010-11-03,0.0
2010-11-04,0.0
2010-11-05,-20.8333
2010-11-10,-5.2632
2010-11-11,0.0
2010-11-12,0.0
2010-11-16,0.0
2010-11-17,0.0
2010-11-18,-11.1111
2010-11-19,0.0
2010-11-24,137.5
2010-11-29,-15.7895
2010-11-30,-25.0
2010-12-01,8.3333
2010-12-02,-7.6923
2010-12-03,33.3333
2010-12-06,-25.0
2010-12-07,8.3333
2010-12-09,23.0769
2010-12-10,-18.75
2010-12-15,0.0
2010-12-16,0.0
2010-12-17,0.0
2010-12-20,-7.6923
2010-12-21,0.0
2010-12-23,0.0
2010-12-27,-33.3333
2010-12-28,0.0
2010-12-29,100.0
2010-12-30,-50.0
2010-12-31,-37.5
2011-01-03,60.0
2011-01-07,0.0
2011-01-11,68.75
2011-01-14,-3.7037
2011-01-18,0.0
2011-01-19,0.0
2011-01-24,-26.9231
2011-01-27,0.0
2011-02-09,-57.8947
2011-02-10,225.0
2011-02-11,-15.3846
2011-02-17,9.0909
2011-02-18,8.3333
2011-02-22,0.0
2011-02-23,0.0
2011-02-24,0.0
2011-02-25,-69.2308
2011-03-02,200.0
2011-03-03,0.0
2011-03-07,-8.3333
2011-03-09,-13.6364
2011-03-11,-15.7895
2011-03-15,37.5
2011-03-16,45.4545
2011-03-17,0.0
2011-03-18,-43.75
2011-03-21,77.7778
2011-03-22,0.0
2011-03-23,0.0
2011-03-24,-43.75
2011-03-28,0.0
2011-03-30,0.0
2011-03-31,0.0
2011-04-04,0.0
2011-04-05,-22.2222
2011-04-06,0.0
2011-04-07,14.2857
2011-04-08,-50.0
2011-04-15,200.0
2011-04-21,0.0
2011-04-25,0.0
2011-04-26,0.0
2011-04-27,-45.8333
2011-04-28,84.6154
2011-04-29,-12.5
2011-05-02,38.0952
2011-05-03,-17.2414
2011-05-04,-45.8333
2011-05-09,7.6923
2011-05-10,71.4286
2011-05-11,-66.6667
2011-05-12,200.0
2011-05-13,0.0
2011-05-16,-66.6667
2011-05-17,200.0
2011-05-19,-66.6667
2011-05-24,0.0
2011-05-27,0.0
2011-05-31,200.0
2011-06-01,-66.6667
2011-06-08,-25.0
2011-06-13,0.0
2011-06-16,0.0
2011-06-17,166.6667
2011-06-27,-37.5
2011-06-28,-50.0
2011-06-29,100.0
2011-07-01,-20.0
2011-07-05,0.0
2011-07-14,-75.0
2011-07-15,150.0
2011-07-19,100.0
2011-07-21,-80.0
2011-07-22,600.0
2011-07-25,-64.2857
2011-07-27,0.0
2011-08-01,-60.0
2011-08-08,0.0
2011-08-25,150.0
2011-08-30,-60.0
2011-08-31,150.0
2011-09-13,180.0
2011-09-14,0.0
2011-09-16,-7.1429
2011-09-20,-84.6154
2011-09-21,0.0
2011-09-22,600.0
2011-09-23,0.0
2011-09-28,-42.8571
2011-09-29,-75.0
2011-09-30,0.0
2011-10-14,0.0
2011-10-17,200.0
2011-10-20,0.0
