ticker,YOGAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-29,1.0714
2018-01-02,-3.1802
2018-01-03,2.5547
2018-01-04,-2.4911
2018-01-05,-2.5547
2018-01-08,2.2472
2018-01-09,-1.4652
2018-01-10,-1.1152
2018-01-11,4.5113
2018-01-12,1.0791
2018-01-16,-0.7117
2018-01-17,-0.7168
2018-01-18,1.8051
2018-01-19,3.1915
2018-01-22,-2.0619
2018-01-23,-0.3509
2018-01-24,2.1127
2018-01-25,1.0345
2018-01-26,3.413
2018-01-29,0.33
2018-01-30,-3.6184
2018-01-31,-0.6826
2018-02-01,-0.6873
2018-02-02,-1.3841
2018-02-05,-4.2105
2018-02-06,-3.2967
2018-02-07,4.9242
2018-02-08,-2.5271
2018-02-09,-1.8519
2018-02-12,1.5093999999999999
2018-02-13,2.6022
2018-02-14,2.5362
2018-02-15,0.0
2018-02-16,1.0601
2018-02-20,0.6993
2018-02-21,-5.5556
2018-02-22,2.3897
2018-02-23,0.5386
2018-02-26,-0.3571
2018-02-27,0.0
2018-02-28,-0.3584
2018-03-01,0.3597
2018-03-02,0.0
2018-03-05,-3.2258
2018-03-06,2.2222
2018-03-07,-2.1739
2018-03-08,2.2222
2018-03-09,-2.1739
2018-03-12,1.4815
2018-03-13,0.7299
2018-03-14,-0.3623
2018-03-15,0.3636
2018-03-16,0.0
2018-03-19,-2.8986
2018-03-20,3.7313
2018-03-21,0.3597
2018-03-22,6.8100000000000005
2018-03-23,-3.6913
2018-03-26,0.6969
2018-03-27,-2.4221
2018-03-28,1.4184
2018-03-29,0.6993
2018-04-02,-0.0035
2018-04-03,-18.3999
2018-04-04,-2.1277
2018-04-05,1.3043
2018-04-06,-5.5794
2018-04-09,-3.6364
2018-04-10,3.3019
2018-04-11,-1.3699
2018-04-12,-1.3889
2018-04-13,2.3474
2018-04-16,-4.5872
2018-04-17,1.9231
2018-04-18,3.3019
2018-04-19,4.1096
2018-04-20,0.0
2018-04-23,4.8246
2018-04-24,-1.2971
2018-04-25,0.8902
2018-04-26,-0.4202
2018-04-27,1.2658
2018-04-30,-4.5833
2018-05-01,3.4934
2018-05-02,-1.2658
2018-05-03,-0.4274
2018-05-04,0.4292
2018-05-07,-5.5556
2018-05-08,-4.0724
2018-05-09,2.8302
2018-05-10,-2.7523
2018-05-11,-4.717
2018-05-14,0.9901
2018-05-15,10.7843
2018-05-16,0.885
2018-05-17,-2.193
2018-05-18,2.6906
2018-05-21,-4.8035
2018-05-22,-5.5046
2018-05-23,5.3398
2018-05-24,-1.8433000000000002
2018-05-25,-1.8779
2018-05-29,-2.8708
2018-05-30,0.0
2018-05-31,-0.9852
2018-06-01,-1.99
2018-06-04,-1.0152
2018-06-05,2.0513
2018-06-06,1.005
2018-06-07,-2.9851
2018-06-08,-4.1026
2018-06-11,0.0
2018-06-12,4.4492
2018-06-13,2.3961
2018-06-14,-2.0
