ticker,BIZM US Equity
2013-10-31,5.8824
2013-11-01,5.5556
2013-11-04,-10.526299999999999
2013-11-05,-5.8824
2013-11-06,25.0
2013-11-08,-22.25
2013-11-12,-3.537
2013-11-13,0.0
2013-11-14,0.0
2013-11-15,0.0
2013-11-18,0.0
2013-11-19,0.0
2013-11-21,-13.3333
2013-11-22,15.3846
2013-11-25,-40.0
2013-11-26,-33.3333
2013-11-27,-16.6667
2013-11-29,-20.0
2013-12-02,25.0
2013-12-03,0.0
2013-12-04,20.0
2013-12-05,-83.3333
2013-12-06,0.0
2013-12-09,800.0
2013-12-10,-55.5556
2013-12-11,-50.0
2013-12-12,-50.0
2013-12-13,0.0
2013-12-16,10.0
2013-12-17,172.7273
2013-12-18,-30.0
2013-12-19,-4.7619
2013-12-20,0.0
2013-12-23,-50.0
2013-12-24,0.0
2013-12-26,0.0
2013-12-27,10.0
2013-12-30,-9.0909
2013-12-31,0.0
2014-01-07,0.0
2014-01-09,300.0
2014-01-13,-75.0
2014-01-14,0.0
2014-01-15,400.0
2014-01-16,-80.0
2014-01-17,200.0
2014-01-23,-66.6667
2014-01-24,0.0
2014-01-27,50.0
2014-01-28,-33.3333
2014-01-30,200.0
2014-02-06,-66.6667
2014-02-07,0.0
2014-02-10,100.0
2014-02-11,0.0
2014-02-13,-99.375
2014-02-14,31900.0
2014-02-18,-25.0
2014-02-21,-66.6667
2014-02-27,-98.75
2014-03-07,9500.0
2014-03-10,-16.6667
2014-03-12,150.0
2014-03-17,60.0
2014-03-18,-75.0
2014-03-21,0.0
2014-03-26,0.0
2014-04-15,0.0
2014-04-23,0.0
2014-04-24,0.0
2014-05-01,-90.0
2014-05-02,900.0
2014-05-05,0.0
2014-05-06,0.0
2014-05-07,0.0
2014-05-14,0.0
2014-05-16,0.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-06-02,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-16,0.0
2014-06-17,0.0
2014-06-18,0.0
2014-06-20,0.0
2014-06-23,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-09,0.0
2014-07-15,0.0
2014-07-17,-90.0
2014-07-21,200.0
2014-07-23,0.0
2014-07-24,0.0
2014-07-25,0.0
2014-07-28,66.6667
2014-08-12,-80.0
2014-08-13,-87.5
2014-08-19,0.0
2014-08-20,0.0
2014-08-25,0.0
2014-08-28,15900.0
2014-09-08,-99.375
2014-09-12,0.0
2014-09-19,0.0
2014-09-22,0.0
2014-10-03,300.0
2014-10-06,-75.0
2014-11-17,0.0
2014-11-21,0.0
2014-12-04,0.0
2015-01-29,0.0
2015-02-02,0.0
2015-02-10,0.0
2015-02-23,0.0
2015-03-09,0.0
2015-03-18,0.0
2015-03-30,0.0
2015-04-16,0.0
2015-06-11,0.0
2015-06-29,0.0
2016-01-04,0.0
2016-08-24,0.0
2017-08-02,700.0
2017-09-13,-99.0
2018-01-10,0.0
2018-02-01,0.0
2018-06-08,900.0
2018-06-15,-90.0
2018-06-21,0.0
2018-06-22,0.0
2018-07-03,0.0
2018-07-09,0.0
2018-07-10,0.0
2018-07-13,0.0
2018-07-17,0.0
2018-07-24,0.0
2018-08-02,0.0
2018-08-03,0.0
2018-08-08,0.0
2018-08-14,900.0
2018-08-20,0.0
2018-08-21,-90.0
2018-08-24,0.0
2018-09-06,-90.0
2018-09-14,9900.0
2018-09-17,-90.0
2018-09-20,0.0
2018-09-21,-90.0
2018-09-28,900.0
2018-10-17,900.0
2018-11-15,0.0
2018-12-11,0.0
2018-12-17,0.0
2018-12-21,0.0
2019-06-19,-80.0
