ticker,SM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-12-05,-3.2935
2014-12-08,-9.0416
2014-12-09,6.3286999999999995
2014-12-10,-5.9832
2014-12-11,0.3977
2014-12-12,1.8157999999999999
2014-12-15,-2.1077
2014-12-16,4.5379000000000005
2014-12-17,21.1027
2014-12-18,-3.3752
2014-12-19,4.9553
2014-12-22,-1.9866000000000001
2014-12-23,3.1324
2014-12-24,-0.8933
2014-12-26,-0.4121
2014-12-29,-0.1034
2014-12-30,-0.0777
2014-12-31,-0.0518
2015-01-02,-0.5443
2015-01-05,-6.6458
2015-01-06,0.2513
2015-01-07,-4.2328
2015-01-08,5.3504
2015-01-09,-1.2973
2015-01-12,-8.6969
2015-01-13,-0.3063
2015-01-14,3.3487
2015-01-15,-0.6837
2015-01-16,7.5127
2015-01-20,-4.8998
2015-01-21,4.918
2015-01-22,-0.0279
2015-01-23,0.2233
2015-01-26,3.9821999999999997
2015-01-27,1.8747
2015-01-28,-8.6488
2015-01-29,3.0791
2015-01-30,5.5835
2015-02-02,8.1703
2015-02-03,21.2662
2015-02-04,-2.5197000000000003
2015-02-05,0.5583
2015-02-06,-1.0076
2015-02-09,-1.2879
2015-02-10,-3.4091
2015-02-11,-1.2418
2015-02-12,5.2945
2015-02-13,1.7389000000000001
2015-02-17,2.0387
2015-02-18,-1.7962
2015-02-19,0.6165
2015-02-20,-3.5131
2015-02-23,-0.7197
2015-02-24,-1.3646
2015-02-25,14.4617
2015-02-26,-4.7592
2015-02-27,-3.7874
2015-03-02,-3.8335
2015-03-03,2.1646
2015-03-04,0.2517
2015-03-05,-3.1178
2015-03-06,-3.9093
2015-03-09,-1.5734
2015-03-10,-2.375
2015-03-11,4.8655
2015-03-12,-3.5913
2015-03-13,0.7867
2015-03-16,0.8953
2015-03-17,-1.8885
2015-03-18,9.3228
2015-03-19,-4.0942
2015-03-20,4.1584
2015-03-23,-2.3997
2015-03-24,4.9173
2015-03-25,2.3227
2015-03-26,3.5063
2015-03-27,0.3133
2015-03-30,2.1667
2015-03-31,-1.2610000000000001
2015-04-01,1.7221
2015-04-02,2.1495
2015-04-06,2.067
2015-04-07,-1.6238000000000001
2015-04-08,-2.0772
2015-04-09,2.0644
2015-04-10,1.8
2015-04-13,-0.6744
2015-04-14,4.4595
2015-04-15,2.6353
2015-04-16,-4.5532
2015-04-17,4.4118
2015-04-20,-1.3740999999999999
2015-04-21,-5.9909
2015-04-22,2.3712
2015-04-23,0.1811
2015-04-24,-1.7176
2015-04-27,0.6071
2015-04-28,1.024
2015-04-29,3.5656
2015-04-30,1.3107
2015-05-01,-3.0188
2015-05-04,2.5792
2015-05-05,-0.3295
2015-05-06,-1.5135999999999998
2015-05-07,-1.5015
2015-05-08,4.8063
2015-05-11,-0.9582
2015-05-12,1.9523000000000001
2015-05-13,-1.0168
2015-05-14,-3.2186
2015-05-15,-0.796
2015-05-18,1.3017
2015-05-19,-4.0134
2015-05-20,-0.2017
2015-05-21,2.1499
2015-05-22,-3.6517
2015-05-26,-2.2965
2015-05-27,1.6625
2015-05-28,-3.1579
2015-05-29,1.5528
2015-06-01,-3.2875
2015-06-02,4.3478
2015-06-03,-2.3106
2015-06-04,-4.5173
2015-06-05,-0.1624
2015-06-08,-1.2609
2015-06-09,-1.1123
2015-06-10,-3.0827
2015-06-11,1.0531
2015-06-12,-1.7439
2015-06-15,2.1212
2015-06-16,1.95
2015-06-17,-3.8254
2015-06-18,-2.4211
2015-06-19,-0.7975
2015-06-22,2.5234
2015-06-23,3.0277
2015-06-24,0.5285
2015-06-25,-0.7361
2015-06-26,0.3178
2015-06-29,-3.8226
2015-06-30,1.2736
2015-07-01,-5.2038
2015-07-02,-0.4346
2015-07-06,-3.5608
2015-07-07,5.5026
2015-07-08,-3.5221999999999998
2015-07-09,3.7912
2015-07-10,-4.239
2015-07-13,-0.1177
2015-07-14,1.9331
2015-07-15,-6.6142
2015-07-16,-5.894
2015-07-17,-3.3947
2015-07-20,-4.8216
2015-07-21,0.1431
2015-07-22,-1.086
2015-07-23,1.9647999999999999
2015-07-24,-5.3556
2015-07-27,-2.2754
2015-07-28,4.7488
2015-07-29,11.5238
2015-07-30,-0.5507
2015-07-31,-2.2416
2015-08-03,-4.7208
2015-08-04,-1.2174
2015-08-05,-3.4394
2015-08-06,9.7952
2015-08-07,-5.4339
2015-08-10,7.7759
2015-08-11,-0.6631
2015-08-12,6.4085
2015-08-13,-0.8532
2015-08-14,-3.8724
2015-08-17,-1.2902
2015-08-18,2.2939
2015-08-19,-5.0326
2015-08-20,-3.8715
2015-08-21,-5.7412
2015-08-24,-9.303
2015-08-25,-5.4126
2015-08-26,1.3776
2015-08-27,12.7178
2015-08-28,7.357
2015-08-31,5.6723
2015-09-01,-5.9946
2015-09-02,4.5507
2015-09-03,0.0554
2015-09-04,0.6096
2015-09-08,0.3856
2015-09-09,-5.4321
2015-09-10,1.4215
2015-09-11,0.7723
2015-09-14,-1.1922
2015-09-15,3.5335
2015-09-16,8.1576
2015-09-17,-0.3079
2015-09-18,-8.9295
2015-09-21,-1.0737
2015-09-22,-2.3993
2015-09-23,-5.8824
2015-09-24,-1.1194
2015-09-25,0.1572
2015-09-28,-6.4364
2015-09-29,0.6711
2015-09-30,6.8
2015-10-01,1.3421
2015-10-02,8.9929
2015-10-05,1.8649
2015-10-06,6.5187
2015-10-07,0.7292
2015-10-08,6.7477
2015-10-09,0.4117
2015-10-12,-5.6681
2015-10-13,-1.125
2015-10-14,2.4567
2015-10-15,1.3881999999999999
2015-10-16,-3.6097
2015-10-19,-2.9184
2015-10-20,0.1064
2015-10-21,-4.1722
2015-10-22,-1.3607
2015-10-23,-1.6047
2015-10-26,-9.299
2015-10-27,-5.3312
2015-10-28,0.8997
2015-10-29,3.3355
2015-10-30,6.5836
2015-11-02,3.3883
2015-11-03,2.2332
2015-11-04,1.5034999999999998
2015-11-05,2.3197
2015-11-06,-0.0273
2015-11-09,-0.0273
2015-11-10,-1.5577999999999999
2015-11-11,-6.9961
2015-11-12,-2.8955
2015-11-13,0.7685
2015-11-16,6.5283999999999995
2015-11-17,-6.0137
2015-11-18,-0.9445
2015-11-19,-3.9988
2015-11-20,-7.3374
2015-11-23,1.3485
2015-11-24,5.9365
2015-11-25,1.6747
2015-11-27,-6.2084
2015-11-30,-0.8105
2015-12-01,0.6469
2015-12-02,-4.1272
2015-12-03,-1.5526
2015-12-04,-6.4158
2015-12-07,-11.6813
2015-12-08,3.1657
2015-12-09,-2.0597
2015-12-10,3.4764
2015-12-11,-6.6363
2015-12-14,-2.2657
2015-12-15,4.5908999999999995
2015-12-16,-6.0409
