ticker,RAYT US Equity
2017-09-12,0.0
2017-09-13,-33.3333
2017-09-15,0.0
2017-10-11,0.0
2017-10-18,-20.0
2017-10-19,0.0
2017-11-09,12.5
2017-11-14,-11.1111
2017-11-15,25.0
2017-11-16,-10.0
2017-12-07,11.1111
2017-12-08,-20.0
2017-12-11,50.0
2017-12-12,10.9167
2017-12-13,125.3944
2017-12-14,-39.4667
2018-01-02,-26.3216
2018-01-03,-25.2616
2018-01-10,63.1
2018-01-11,0.0
2018-01-12,-8.0319
2018-01-17,-33.3333
2018-01-18,-10.0
2018-01-23,11.1111
2018-01-26,-10.0
2018-01-29,-1.0
2018-01-31,70.3176
2018-02-01,44.9724
2018-02-02,-22.7273
2018-02-05,194.1176
2018-02-06,-44.0
2018-02-07,35.7143
2018-02-08,-10.532399999999999
2018-02-09,14.7136
2018-02-12,-25.641
2018-02-13,34.4483
2018-02-14,-28.1867
2018-02-20,-21.4286
2018-02-21,-9.0909
2018-02-22,-25.0
2018-02-23,-33.3333
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,-0.1
2018-03-08,-9.9099
2018-03-09,-1.1111
2018-03-19,-1.1236
2018-03-27,0.0
2018-03-29,-9.0909
2018-04-02,20.0
2018-04-03,7.1875
2018-04-04,55.4908
2018-04-05,-3.125
2018-04-06,16.129
2018-04-09,-16.6667
2018-04-10,-26.6667
2018-04-11,-9.0909
2018-04-12,18.0
2018-04-13,-0.0847
2018-04-16,-40.6277
2018-04-17,41.4286
2018-04-18,1.0101
2018-04-19,0.0
2018-04-20,0.0
2018-04-23,-25.0
2018-04-24,6.6667
2018-04-25,2.5
2018-04-26,15.8537
2018-04-27,0.0
2018-04-30,-13.6842
2018-05-01,-2.561
2018-05-02,-18.398
2018-05-03,48.1595
2018-05-04,2.4845
2018-05-07,-1.0101
2018-05-08,-2.0408
2018-05-09,-9.4792
2018-05-10,-40.1611
2018-05-11,49.0385
2018-05-14,-3.2258
2018-05-15,40.0
2018-05-16,-4.7619
2018-05-17,0.0
2018-05-18,0.0
2018-05-21,30.0
2018-05-22,-11.538499999999999
2018-05-24,0.0
2018-05-25,-43.4783
2018-05-31,3.8462
2018-06-01,-3.7037
2018-06-05,-3.8462
2018-06-11,-3.6
2018-06-12,-17.0124
2018-06-14,0.0
2018-06-18,-25.0
2018-06-19,0.0
2018-06-20,0.0
2018-07-20,-26.6667
2018-07-30,81.8182
2018-08-03,-26.0
2018-08-07,-35.1351
2018-08-08,-47.9167
2018-08-09,112.0
2018-08-13,-41.5094
2018-08-14,0.0
2018-08-17,0.0
2018-08-22,141.9355
2018-08-23,-32.0
2018-08-29,0.0
2018-08-30,-37.2549
2018-09-05,71.875
2018-09-06,-41.8182
2018-09-19,0.0
2018-10-16,6.25
2018-11-02,0.0
2018-12-03,-8.8235
2018-12-06,-5.0
2018-12-11,5.2632
2018-12-13,3.2258
2018-12-17,6.25
2018-12-18,-5.8824
2018-12-20,12.5
2018-12-26,0.0
2018-12-27,0.0
2019-01-10,19.4444
2019-01-14,-41.8605
2019-01-15,0.0
2019-01-28,4.0
2019-02-05,0.0
2019-02-06,-11.538499999999999
2019-02-07,8.6957
2019-03-27,14.52
2019-04-02,33.8805
2019-04-12,-21.7323
2019-04-16,-33.3333
2019-05-08,145.0
2019-05-13,2.0408
2019-05-15,0.0
2019-06-20,0.0
2019-06-21,-60.0
2019-06-24,100.0
2019-06-25,-12.5
2019-06-26,42.8571
2019-09-06,-20.0
2019-10-11,-37.5
2019-10-30,0.0
2019-11-05,-29.96
2019-11-06,-14.3347
2019-12-04,-18.2
2019-12-05,0.0
2019-12-09,0.0
2019-12-31,-29.9104
2020-01-06,0.0
2020-01-10,0.0
2020-01-16,232.5581
2020-02-20,74.8252
2020-02-26,-82.8
2020-04-09,469.7674
2020-04-13,2.0408
2020-04-24,-2.0
2020-05-01,-40.8163
2020-05-08,-82.72409999999999
2020-05-28,39.7206
2020-06-03,314.2857
2020-06-09,-75.8621
2020-06-10,-7.1429
2020-06-22,7.6923
2020-07-21,0.0
