ticker,UBER US Equity
2019-09-27,-4.0545
2019-09-30,0.5943
2019-10-01,-4.3321
2019-10-02,-0.5146
2019-10-03,2.4828
2019-10-04,-0.1682
2019-10-07,2.3593
2019-10-08,-3.5891
2019-10-09,-0.7172
2019-10-10,-0.688
2019-10-11,4.3644
2019-10-14,3.2858
2019-10-15,2.8278
2019-10-16,-0.4063
2019-10-17,2.3533
2019-10-18,-1.7167
2019-10-21,-2.0274
2019-10-22,3.5657
2019-10-23,1.5985
2019-10-24,0.6959
2019-10-25,-1.7127
2019-10-28,1.5592000000000001
2019-10-29,-2.4082
2019-10-30,4.1024
2019-10-31,-6.6667
2019-11-01,-0.4127
2019-11-04,-0.9245
2019-11-05,-9.8456
2019-11-06,-3.8544
2019-11-07,1.6333
2019-11-08,-1.3514
2019-11-11,0.4813
2019-11-12,-1.6212
2019-11-13,0.0375
2019-11-14,-2.6955999999999998
2019-11-15,3.0781
2019-11-18,-0.1493
2019-11-19,1.1215
2019-11-20,3.6229
2019-11-21,5.1017
2019-11-22,0.3394
2019-11-25,-1.5223
2019-11-26,1.4428
2019-11-27,-0.1355
2019-11-29,0.373
2019-12-02,-2.0946
2019-12-03,0.138
2019-12-04,0.1378
2019-12-05,-1.4109
2019-12-06,-2.7574
2019-12-09,-0.6461
2019-12-10,0.7587
2019-12-11,1.9003
2019-12-12,0.95
2019-12-13,-0.6971
2019-12-16,5.4756
2019-12-17,-0.9983
2019-12-18,1.2772999999999999
2019-12-19,-0.4647
2019-12-20,1.5338
2019-12-23,-0.3941
2019-12-24,0.3627
2019-12-26,0.7556
2019-12-27,-1.6303
2019-12-30,-1.4253
2019-12-31,0.0
2020-01-02,4.2031
2020-01-03,1.2262
2020-01-06,0.6694
2020-01-07,3.8949
2020-01-08,3.4136
2020-01-09,0.1179
2020-01-10,0.1178
2020-01-13,0.3822
2020-01-14,2.0504
2020-01-15,0.4879
2020-01-16,-0.9426
2020-01-17,1.2976
2020-01-21,7.031
2020-01-22,-1.4894
2020-01-23,0.9719
2020-01-24,-1.6042999999999998
2020-01-27,-1.3587
2020-01-28,1.9559
2020-01-29,-0.054
2020-01-30,-0.8381
2020-01-31,-1.0632
2020-02-03,3.5823
2020-02-04,2.5007
2020-02-05,-4.4641
2020-02-06,0.7607
2020-02-07,9.5444
2020-02-10,-1.526
2020-02-11,3.1492
2020-02-12,-0.0485
2020-02-13,-2.8121
2020-02-14,-1.0726
2020-02-18,1.3111
2020-02-19,2.1653000000000002
2020-02-20,-0.3167
2020-02-21,-0.4888
2020-02-24,-5.9185
2020-02-25,-6.3169
2020-02-26,-4.0123
2020-02-27,-5.8055
2020-02-28,4.376
2020-03-02,-3.0115
2020-03-03,0.5784
2020-03-04,4.5097000000000005
2020-03-05,-6.7188
2020-03-06,-1.6455
2020-03-09,-11.0795
2020-03-10,2.8399
2020-03-11,-9.4235
2020-03-12,-13.8338
2020-03-13,-0.0442
2020-03-16,-10.2212
2020-03-17,-6.8014
2020-03-18,-21.6288
2020-03-19,38.2591
2020-03-20,4.0996
2020-03-23,5.0164
2020-03-24,17.8125
2020-03-25,-0.7579
2020-03-26,7.3692
2020-03-27,-2.9872
2020-03-30,2.0161
2020-03-31,0.3234
2020-04-01,-8.9542
2020-04-02,-6.845
2020-04-03,-3.6318
2020-04-06,13.8913
2020-04-07,-0.9619
2020-04-08,4.662
2020-04-09,0.631
2020-04-13,3.246
2020-04-14,-0.8574
2020-04-15,-1.2252
2020-04-16,-1.3864
2020-04-17,3.5886
2020-04-20,0.6786
2020-04-21,-3.5474
2020-04-22,3.8617
2020-04-23,0.3187
2020-04-24,4.0946
2020-04-27,2.0007
2020-04-28,0.133
2020-04-29,4.1501
2020-04-30,-3.5065
2020-05-01,-6.2108
2020-05-04,-3.4167
2020-05-05,2.3705
2020-05-06,-0.8906
2020-05-07,11.179
2020-05-08,6.0136
2020-05-11,-3.5072
2020-05-12,2.402
2020-05-13,1.9136
2020-05-14,-0.6965
2020-05-15,-0.9759
2020-05-18,3.5417
2020-05-19,-0.6544
2020-05-20,3.2335
2020-05-21,-0.6381
2020-05-22,1.6637
2020-05-26,-0.7752
2020-05-27,0.9259
2020-05-28,-2.0929
2020-05-29,6.3543
2020-06-01,-1.3767
2020-06-02,-0.0279
2020-06-03,2.625
2020-06-04,-0.8707
2020-06-05,2.1411
2020-06-08,-0.3494
2020-06-09,-1.3215
2020-06-10,-4.8101
2020-06-11,-10.7092
2020-06-12,3.6656
2020-06-15,1.3336999999999999
2020-06-16,2.5099
2020-06-17,-0.5972
2020-06-18,0.3304
2020-06-19,-3.2934
2020-06-22,1.1764999999999999
2020-06-23,1.1322
2020-06-24,-7.8366
2020-06-25,0.394
2020-06-26,-3.172
2020-06-29,0.0675
2020-06-30,4.8937
2020-07-01,-2.0914
2020-07-02,0.8216
2020-07-06,5.9974
2020-07-07,0.9225
2020-07-08,3.3821
2020-07-09,-2.2989
2020-07-10,-0.0302
2020-07-13,-4.2849
2020-07-14,-2.4905
2020-07-15,6.0782
2020-07-16,-1.4020000000000001
2020-07-17,0.6182
2020-07-20,3.4101
2020-07-21,-3.2977
2020-07-22,0.3379
2020-07-23,-1.5003
2020-07-24,-3.0774
2020-07-27,-0.6094
2020-07-28,-0.5808
2020-07-29,0.6816
2020-07-30,-2.5145
2020-07-31,0.0661
