ticker,ETRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-27,0.2463
2019-03-28,2.3096
2019-03-29,4.611
2019-04-01,0.5051
2019-04-02,-1.5074999999999998
2019-04-03,-0.0928
2019-04-04,-1.1606
2019-04-05,1.2212
2019-04-08,-1.1137
2019-04-09,-0.9385
2019-04-10,1.279
2019-04-11,-0.7016
2019-04-12,0.3297
2019-04-15,-0.4225
2019-04-16,1.3201
2019-04-17,1.3029
2019-04-18,-0.5972
2019-04-22,1.2015
2019-04-23,-1.4612
2019-04-24,0.2317
2019-04-25,-0.6935
2019-04-26,0.2328
2019-04-29,0.2322
2019-04-30,-3.4754
2019-05-01,1.4402
2019-05-02,-2.3663
2019-05-03,2.763
2019-05-06,-1.2264
2019-05-07,-1.9102000000000001
2019-05-08,0.3408
2019-05-09,-2.2804
2019-05-10,4.4687
2019-05-13,0.0951
2019-05-14,3.2023
2019-05-15,0.6112
2019-05-16,2.9907
2019-05-17,-1.6787999999999998
2019-05-20,-0.8768
2019-05-21,0.1397
2019-05-22,-1.1158
2019-05-23,-2.7268
2019-05-24,0.87
2019-05-28,-2.7312
2019-05-29,1.4778
2019-05-30,-1.7476
2019-05-31,-1.8775
2019-06-03,-0.3525
2019-06-04,2.476
2019-06-05,-4.5365
2019-06-06,0.2583
2019-06-07,0.7213
2019-06-10,0.2046
2019-06-11,0.3063
2019-06-12,0.6107
2019-06-13,0.1517
2019-06-14,-2.8283
2019-06-17,1.1435
2019-06-18,1.3361
2019-06-19,2.8398
2019-06-20,0.9862
2019-06-21,2.7344
2019-06-24,-0.9981
2019-06-25,-3.3605
2019-06-26,-0.8942
2019-06-27,-0.9524
2019-06-28,-0.253
2019-07-01,-1.4713
2019-07-02,-2.0597
2019-07-03,1.8927
2019-07-05,-0.9804
2019-07-08,-0.2084
2019-07-09,-0.7833
2019-07-10,0.7895
2019-07-11,-0.9399
2019-07-12,0.0
2019-07-15,-2.1612999999999998
2019-07-16,-1.347
2019-07-17,-1.2015
2019-07-18,-2.9298
2019-07-19,-0.1708
2019-07-22,1.5402
2019-07-23,-0.2809
2019-07-24,2.1408
2019-07-25,-0.1655
2019-07-26,-2.3204000000000002
2019-07-29,1.4706000000000001
2019-07-30,-4.4036
2019-07-31,-3.2653
2019-08-01,-2.6522
2019-08-02,0.8669
2019-08-05,-5.7704
2019-08-06,-3.127
2019-08-07,-1.883
2019-08-08,2.8787000000000003
2019-08-09,-2.9314
2019-08-12,-4.5985
2019-08-13,1.71
2019-08-14,-4.3129
2019-08-15,3.3613
2019-08-16,1.9956
2019-08-19,1.3768
2019-08-20,-0.2144
2019-08-21,0.5731
2019-08-22,-2.0655
2019-08-23,-3.0545
2019-08-26,-0.5251
2019-08-27,-3.4691
2019-08-28,3.75
2019-08-29,1.4307
2019-08-30,0.1485
2019-09-03,-5.8562
2019-09-04,2.6772
2019-09-05,0.3067
2019-09-06,-5.0459
2019-09-09,4.5894
2019-09-10,2.9253
2019-09-11,0.4488
2019-09-12,-0.968
2019-09-13,0.6767
2019-09-16,2.0911
2019-09-17,-0.5121
2019-09-18,0.0735
2019-09-19,-0.6613
2019-09-20,0.8876
2019-09-23,1.0264
2019-09-24,0.7257
2019-09-25,1.7290999999999999
2019-09-26,0.9207
2019-09-27,0.8421
2019-09-30,1.2526
2019-10-01,-0.8935
2019-10-02,-3.1207
2019-10-03,0.9306
2019-10-04,1.7730000000000001
2019-10-07,-0.9756
2019-10-08,-1.8296999999999999
2019-10-09,-0.7885
2019-10-10,0.5058
