ticker,TETAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-27,1.6667
2011-05-03,0.0
2011-06-13,9.8361
2011-09-13,0.597
2011-09-22,0.0
2011-10-04,-2.0772
2011-11-02,9.0909
2011-11-07,-12.5
2011-11-09,26.9841
2011-11-15,-19.75
2011-11-29,0.0
2011-12-01,4.3614
2011-12-07,0.0
2011-12-09,7.4627
2011-12-20,14.9444
2012-01-05,-32.4662
2012-01-10,18.5185
2012-01-11,-3.125
2012-01-12,0.0
2012-02-17,0.0
2012-03-02,0.0
2012-03-13,0.0
2012-05-03,0.6452
2012-05-08,-0.3205
2012-05-22,-3.537
2012-06-28,-13.3333
2012-07-25,0.5423
2012-07-26,-2.5286
2012-07-31,1.1774
2012-08-02,-4.9651
2012-08-08,6.1224
2012-08-10,-5.7692
2012-08-13,6.1224
2012-08-23,-5.7692
2012-09-20,6.1224
2012-11-02,0.7692
2012-11-08,14.5038
2012-12-03,33.3333
2012-12-11,5.0
2012-12-21,2.9412000000000003
2013-01-17,-17.0
2013-02-28,9.0075
2013-03-21,-2.6316
2013-03-22,-9.1892
2013-03-26,11.607099999999999
2013-04-04,-4.0
2013-04-16,5.5556
2013-04-25,-5.2632
2013-05-17,38.8889
2013-05-21,-20.0
2013-07-11,5.0
2013-09-23,8.0
2013-11-20,27.866
2013-11-21,0.0
2013-12-04,0.0
2013-12-09,0.1727
2013-12-11,3.4483
2013-12-13,3.3333
2013-12-16,-0.8065
2013-12-17,-2.439
2013-12-18,66.6667
2013-12-27,-23.5
2014-01-09,-18.3007
2014-01-10,2.4
2014-01-15,1.5625
2014-03-27,7.8582
2014-05-27,14.2857
2014-06-09,35.169
2014-06-13,-25.9259
2014-06-24,10.0
2014-06-25,-3.9773
2014-07-03,-0.5917
2014-07-07,-4.7619
2014-07-10,5.0
2014-07-17,-4.7619
2014-07-25,5.0
2014-08-07,9.5238
2014-08-11,0.0
2014-08-12,6.5217
2014-08-13,0.0
2014-08-14,22.449
2014-08-18,-13.3333
2014-08-19,-7.6923
2014-08-25,0.0417
2014-08-26,-0.0416
2014-09-16,8.4463
2014-10-14,-3.8462
2014-10-31,2.0
2014-11-03,0.4902
2014-11-11,1.4634
2014-12-18,0.1155
2014-12-29,-0.0192
2015-01-06,0.0577
2015-01-07,0.1153
2015-01-28,5.5865
2015-02-18,-3.6364
2015-02-20,-1.4151
2015-03-02,0.0383
2015-03-09,0.0
2015-04-22,7.2386
2015-04-27,0.0
2015-04-29,0.0
2015-05-05,-1.7856999999999998
2015-05-14,-5.3818
2015-07-14,-4.2123
2015-08-17,0.0
2015-08-20,-4.1165
2015-08-21,0.0
2015-10-14,-1.4675
2015-10-15,6.383
2015-10-16,-3.0
2015-10-19,-5.1546
2015-10-20,6.5217
2015-11-05,-0.5102
2015-11-11,0.5128
2015-11-12,0.0
2015-11-17,0.0
2016-01-27,0.0
2016-02-08,0.0
2016-02-11,-0.5107
2016-03-10,-9.6509
2016-03-17,0.1138
2016-04-04,-2.2724
2016-04-07,-4.7677
2016-05-13,-1.3431
2016-06-16,6.4436
2016-06-22,0.1164
2016-06-28,0.0
2016-06-30,0.0
2016-07-01,-0.2326
2016-07-05,-0.4662
2016-07-06,-0.4684
2016-07-11,0.0
2016-07-14,-0.1882
2016-07-19,-3.3475
2016-08-03,-1.7073
2016-08-12,0.4963
2016-08-22,-1.8519
2016-08-23,3.7233
2016-09-06,-4.8023
2016-09-08,-1.0191
2016-09-12,-2.268
2016-09-13,2.8481
2016-09-21,-1.4102999999999999
2016-10-26,-0.5202
2016-11-14,7.1895
2016-11-23,0.0
2017-01-18,5.0061
2017-01-20,4.6512
2017-02-14,0.3333
2017-02-24,-0.3322
2017-02-28,0.0
2017-03-07,0.0
2017-03-14,0.1112
2017-03-24,0.0
2017-05-17,-44.4444
2017-05-19,40.0
2017-05-22,0.0
2017-05-23,2.8571
2017-07-26,10.9875
2017-08-23,-3.5088
2017-08-31,1.2987
2017-09-06,1.2821
2017-09-07,0.0
2017-10-27,6.4639
2017-11-21,7.1429
2017-11-29,0.0
2018-01-10,15.6841
2018-03-09,-1.4423
2018-03-14,0.0
2018-06-12,-2.2483
2018-07-06,-2.0
2018-07-24,6.1224
2018-07-25,0.0
2018-08-27,-3.8462
2018-08-29,0.0
2018-10-05,3.1231
2018-10-17,0.0777
2018-10-25,-2.0369
2018-12-07,-0.7921
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,3.0938
2019-01-03,0.0
2019-01-08,0.0
2019-01-16,0.0
2019-02-04,0.0
2019-02-05,0.7752
2019-02-15,-5.7692
2019-02-21,0.0
2019-03-12,0.1021
2019-03-27,4.7347
2019-07-11,-16.1303
2019-07-26,4.6512
2019-08-06,0.0
2019-10-29,9.01
2019-11-14,2.3061
2019-11-26,-5.9443
2020-03-11,-0.0639
2020-03-12,-2.1245
2020-03-17,-2.2164
2020-03-20,0.0
2020-04-30,-1.1111
2020-05-11,0.0
2020-05-22,-0.9888
2020-06-15,-1.4299
