ticker,RFL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-08-17,-1.0753
2018-08-20,-0.2174
2018-08-21,-0.8715
2018-08-22,1.978
2018-08-23,4.0948
2018-08-24,-0.6211
2018-08-27,-4.4792
2018-08-28,1.9628999999999999
2018-08-29,0.6417
2018-08-30,-0.2125
2018-08-31,0.3195
2018-09-04,-3.3970000000000002
2018-09-05,1.4285999999999999
2018-09-06,-1.3001
2018-09-07,0.4391
2018-09-10,-1.6393
2018-09-11,3.5556
2018-09-12,0.9657
2018-09-13,-1.5939999999999999
2018-09-14,-0.6479
2018-09-17,-0.8696
2018-09-18,0.8772
2018-09-19,-1.5217
2018-09-20,0.6623
2018-09-21,-2.3026
2018-09-24,-2.1324
2018-09-25,-0.8028
2018-09-26,-0.2312
2018-09-27,-1.6221999999999999
2018-09-28,-1.0601
2018-10-01,-1.7856999999999998
2018-10-02,-0.6061
2018-10-03,-0.2439
2018-10-04,-0.3667
2018-10-05,2.0859
2018-10-08,-1.5625
2018-10-09,2.5641
2018-10-10,-3.2143
2018-10-11,-0.984
2018-10-12,4.8447
2018-10-15,1.3033000000000001
2018-10-16,3.0409
2018-10-17,2.3837
2018-10-18,-3.5477
2018-10-19,2.8736
2018-10-22,1.5642
2018-10-23,-1.3201
2018-10-24,-3.7904
2018-10-25,-2.4334
2018-10-26,-0.8314
2018-10-29,-2.2754
2018-10-30,1.2255
2018-10-31,-1.4527999999999999
2018-11-01,5.5283
2018-11-02,-2.4447
2018-11-05,1.3126
2018-11-06,3.6513999999999998
2018-11-07,-1.0227
2018-11-08,-6.3146
2018-11-09,1.9607999999999999
2018-11-12,-3.2452
2018-11-13,5.4658
2018-11-14,-0.2356
2018-11-15,-0.4723
2018-11-16,3.2028
2018-11-19,-1.2644
2018-11-20,-3.0268
2018-11-21,-1.8007
2018-11-23,4.5232
2018-11-26,-2.807
2018-11-27,0.0337
2018-11-28,-1.4772
2018-11-29,1.9536
2018-11-30,-0.5988
2018-12-03,1.3253
2018-12-04,-0.1189
2018-12-06,0.119
2018-12-07,0.5945
2018-12-10,0.4728
2018-12-11,5.7647
2018-12-12,1.2236
2018-12-13,0.0
2018-12-14,-1.5385
2018-12-17,-7.2545
2018-12-18,1.9254
2018-12-19,2.2432
2018-12-20,-8.1986
2018-12-21,0.0
2018-12-24,-1.7610000000000001
2018-12-26,-2.3047
2018-12-27,3.0144
2018-12-28,5.3435
2018-12-31,-4.2271
2019-01-02,4.5397
2019-01-03,1.3269
2019-01-04,1.3381
2019-01-07,1.7339
2019-01-08,0.5774
2019-01-09,4.4776
2019-01-10,30.0
2019-01-11,0.0
2019-01-14,3.6348000000000003
2019-01-15,6.1909
2019-01-16,-2.4119
2019-01-17,12.9477
2019-01-18,14.9129
2019-01-22,12.1286
2019-01-23,-8.2747
2019-01-24,1.7099
2019-01-25,2.2609
2019-01-28,0.0567
2019-01-29,0.5099
2019-01-30,-3.8331
2019-01-31,-9.6131
2019-02-01,2.5292
2019-02-04,-1.5813000000000001
2019-02-05,1.3496000000000001
2019-02-06,1.3951
2019-02-07,-0.6879
2019-02-08,4.534
2019-02-11,4.8795
2019-02-12,-3.5037000000000003
2019-02-13,-3.2738
2019-02-14,1.1077
2019-02-15,0.6086
2019-02-19,2.8433
2019-02-20,-3.1765
2019-02-21,0.243
2019-02-22,2.7273
2019-02-25,-4.8968
2019-02-26,0.4963
2019-02-27,-1.2346
2019-02-28,-1.25
2019-03-01,-0.6329
2019-03-04,2.3567
2019-03-05,-2.3024
2019-03-06,-4.3312
2019-03-07,-10.3196
2019-03-08,1.5590000000000002
2019-03-11,3.5819
2019-03-12,7.3394
2019-03-13,2.7613
2019-03-14,-5.1823
2019-03-15,-1.7544
2019-03-18,-0.6181
2019-03-19,-3.4554
2019-03-20,2.0759
2019-03-21,-1.7532
2019-03-22,-0.9993
2019-03-25,-2.6676
2019-03-26,-10.0
2019-03-27,-2.8807
2019-03-28,2.7965999999999998
2019-03-29,4.2869
2019-04-01,-2.7668
2019-04-02,8.1301
2019-04-03,1.5038
2019-04-04,3.7037
2019-04-05,2.7857
2019-04-08,-2.2933
2019-04-09,-2.7027
2019-04-10,3.4356999999999998
2019-04-11,3.5336
2019-04-12,-3.413
2019-04-15,-0.636
2019-04-16,3.2717
2019-04-17,-1.3085
2019-04-18,1.9539
2019-04-22,6.0917
2019-04-23,-4.6452
2019-04-24,6.7659
2019-04-25,2.3447
2019-04-26,1.548
2019-04-29,-1.3415
2019-04-30,0.1236
2019-05-01,0.0
2019-05-02,1.8519
2019-05-03,-3.0303
2019-05-06,-0.1875
2019-05-07,-5.3850999999999996
2019-05-08,10.7876
2019-05-09,1.2545
2019-05-10,-4.1888
2019-05-13,-5.4803
2019-05-14,4.5603
2019-05-15,0.3115
2019-05-16,-2.7329
2019-05-17,-2.3627000000000002
2019-05-20,0.654
2019-05-21,2.0143
2019-05-22,-1.5924
2019-05-23,-1.0356
2019-05-24,2.6814999999999998
2019-05-28,0.0
2019-05-29,2.5478
2019-05-30,8.5093
2019-05-31,-6.9834
2019-06-03,-1.1077
2019-06-04,2.6757999999999997
2019-06-05,0.6061
2019-06-06,1.0241
2019-06-07,7.7519
2019-06-10,7.9137
2019-06-11,-0.8205
2019-06-12,9.8759
2019-06-13,3.8588
2019-06-14,-0.4984
2019-06-17,-0.592
2019-06-18,13.3303
2019-06-19,-2.7486
2019-06-20,2.5769
2019-06-21,2.7553
2019-06-24,-5.3628
2019-06-25,10.5833
2019-06-26,0.1884
2019-06-27,3.3847
2019-06-28,4.5835
2019-07-01,-6.0522
2019-07-02,-9.1448
2019-07-03,-4.3195
2019-07-05,-4.3015
2019-07-08,0.9346
2019-07-09,-1.1023
2019-07-10,-0.9362
2019-07-11,-0.9451
2019-07-12,-0.7724
2019-07-15,-1.6941000000000002
2019-07-16,-3.9124
2019-07-17,2.2298
2019-07-18,0.9957
2019-07-19,-2.0188
2019-07-22,2.0604
2019-07-23,-2.1127
2019-07-24,1.9184999999999999
2019-07-25,-2.2588
2019-07-26,-1.637
2019-07-29,-3.0348
2019-07-30,4.7956
2019-07-31,-0.289
2019-08-01,-1.7873999999999999
2019-08-02,-0.5411
2019-08-05,-1.6815
2019-08-06,-3.8228999999999997
2019-08-07,-1.5167000000000002
2019-08-08,7.0101
2019-08-09,-6.2531
2019-08-12,3.1233
2019-08-13,3.6961
2019-08-14,-3.2178
2019-08-15,-1.1764999999999999
2019-08-16,6.0559
2019-08-19,-3.4651
2019-08-20,2.275
2019-08-21,-0.6426
2019-08-22,-1.4428
2019-08-23,-1.9687000000000001
2019-08-26,2.1112
2019-08-27,-2.5719
2019-08-28,0.6211
2019-08-29,0.7716
2019-08-30,3.1138
2019-09-03,2.9703
2019-09-04,-0.7692
2019-09-05,-2.1802
2019-09-06,-3.5661
2019-09-09,1.9517
2019-09-10,-1.5617
2019-09-11,9.826
2019-09-12,-2.7027
2019-09-13,-0.2395
2019-09-16,0.3841
2019-09-17,-6.6954
2019-09-18,4.1517
2019-09-19,1.7224
2019-09-20,8.031
2019-09-23,-4.7918
2019-09-24,-6.3029
2019-09-25,4.0161
2019-09-26,-5.9846
2019-09-27,0.2567
2019-09-30,7.3221
2019-10-01,2.5763
2019-10-02,-4.6977
2019-10-03,-1.3665
2019-10-04,-2.1771
2019-10-07,-1.3657
2019-10-08,0.4103
2019-10-09,0.1532
2019-10-10,-0.5099
2019-10-11,2.5628
2019-10-14,1.4493
2019-10-15,4.2365
2019-10-16,-7.0416
2019-10-17,1.5252
2019-10-18,-1.8528
2019-10-21,0.9694
2019-10-22,-2.3749000000000002
2019-10-23,-0.7764
2019-10-24,1.8779
2019-10-25,-1.2801
2019-10-28,-1.1929
2019-10-29,-4.7769
2019-10-30,0.9923
2019-10-31,-5.1856
2019-11-01,1.1514
2019-11-04,1.7644
2019-11-05,-1.6779
2019-11-06,-2.5028
2019-11-07,-4.9592
2019-11-08,0.1842
2019-11-11,-0.9191
2019-11-12,-4.3908
2019-11-13,1.8111000000000002
2019-11-14,3.0496
2019-11-15,0.6782
2019-11-18,-2.0821
2019-11-19,11.6948
2019-11-20,1.3437999999999999
2019-11-21,0.9945
2019-11-22,6.5098
2019-11-25,-6.8309999999999995
2019-11-26,-7.9383
2019-11-27,0.2395
2019-11-29,1.0753
2019-12-02,-1.6548
2019-12-03,1.9832
2019-12-04,6.8356
2019-12-05,1.7099
2019-12-06,9.2733
2019-12-09,0.3474
2019-12-10,-4.1543
2019-12-11,-0.8772
2019-12-12,2.9151
2019-12-13,4.8558
2019-12-16,-8.1524
2019-12-17,0.9454
2019-12-18,-3.0177
2019-12-19,-5.4185
2019-12-20,-1.5882
2019-12-23,6.8012
2019-12-24,0.7016
2019-12-26,-2.4116
2019-12-27,-0.2746
2019-12-30,-1.4868000000000001
2019-12-31,-0.2795
2020-01-02,-5.6054
2020-01-03,1.3658000000000001
2020-01-06,2.3433
2020-01-07,-0.8014
2020-01-08,3.4622
2020-01-09,3.0117
2020-01-10,-1.3535
2020-01-13,4.1712
2020-01-14,-2.3709
2020-01-15,9.2822
2020-01-16,0.1481
2020-01-17,1.3807
2020-01-21,0.1459
2020-01-22,0.5828
2020-01-23,9.0295
2020-01-24,-3.1444
2020-01-27,-5.8528
2020-01-28,-1.5056
2020-01-29,-0.2959
2020-01-30,2.0277
2020-01-31,-1.8904999999999998
2020-02-03,-0.3953
2020-02-04,-0.7937
2020-02-05,0.9
2020-02-06,0.6938
2020-02-07,-1.4272
2020-02-10,0.4993
2020-02-11,0.1987
2020-02-12,3.2721999999999998
2020-02-13,4.4647
2020-02-14,1.7004000000000001
2020-02-18,-6.0551
2020-02-19,-1.2987
2020-02-20,0.731
2020-02-21,1.9836
2020-02-24,-2.8937
2020-02-25,-4.2501
2020-02-26,-0.3571
2020-02-27,0.9729
2020-02-28,-4.8682
2020-03-02,2.2388
2020-03-03,-5.8916
2020-03-04,5.374
2020-03-05,-7.8339
2020-03-06,-4.7918
2020-03-09,-5.4524
2020-03-10,0.0
2020-03-11,-9.4423
2020-03-12,-19.1742
2020-03-13,21.3853
2020-03-16,-17.9743
2020-03-17,8.6957
2020-03-18,-10.32
2020-03-19,5.7984
2020-03-20,-12.3103
2020-03-23,4.4231
2020-03-24,18.14
2020-03-25,-10.9119
2020-03-26,4.4619
2020-03-27,-2.9313000000000002
2020-03-30,-2.2433
2020-03-31,13.0627
2020-04-01,-13.5051
2020-04-02,7.9422
2020-04-03,-1.505
2020-04-06,11.2903
2020-04-07,0.9153
2020-04-08,6.3492
2020-04-09,-1.1372
2020-04-13,-4.7448
2020-04-14,4.1509
2020-04-15,-5.2174
2020-04-16,-8.104
2020-04-17,11.5641
2020-04-20,-4.9963
2020-04-21,-5.416
2020-04-22,2.1577
2020-04-23,-3.818
2020-04-24,8.5304
2020-04-27,-0.5447
2020-04-28,13.615
2020-04-29,6.1295
2020-04-30,-8.4361
2020-05-01,-6.4493
2020-05-04,5.8333
2020-05-05,-4.5812
2020-05-06,-5.3263
2020-05-07,5.7052
2020-05-08,7.8711
2020-05-11,-9.2425
2020-05-12,-2.9096
2020-05-13,-0.2366
2020-05-14,0.8696
2020-05-15,0.627
2020-05-18,8.1776
2020-05-19,-1.7279
2020-05-20,2.8571
2020-05-21,2.7066
2020-05-22,5.5479
2020-05-26,10.5782
2020-05-27,2.7926
2020-05-28,-6.185
2020-05-29,6.5311
2020-06-01,-5.3788
2020-06-02,-6.6015
2020-06-03,4.5157
2020-06-04,-6.4496
2020-06-05,13.7216
2020-06-08,-7.8281
2020-06-09,-4.5338
2020-06-10,-2.5418
2020-06-11,-8.9224
2020-06-12,5.6518
2020-06-15,-0.5706
2020-06-16,5.165
2020-06-17,0.3411
2020-06-18,0.8838
2020-06-19,-6.5364
2020-06-22,2.0187
2020-06-23,-1.9788000000000001
2020-06-24,-4.2538
2020-06-25,3.1627
2020-06-26,8.3212
2020-06-29,-1.4151
2020-06-30,-1.7772000000000001
2020-07-01,2.5747999999999998
2020-07-02,-4.9525
2020-07-06,0.0
2020-07-07,-6.3526
2020-07-08,-2.8963
2020-07-09,-2.8257
2020-07-10,4.0388
2020-07-13,-3.1056
2020-07-14,5.1282
2020-07-15,5.4116
2020-07-16,3.0369
2020-07-17,-5.5439
2020-07-20,1.1144
2020-07-21,7.2006
2020-07-22,5.2776
2020-07-23,-6.7057
2020-07-24,-4.6754999999999995
2020-07-27,2.9283
2020-07-28,-1.7069999999999999
2020-07-29,7.3806
2020-07-30,-2.5606
2020-07-31,-3.3887
