ticker,BLKCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-29,-9.7403
2018-01-02,-1.6691
2018-01-03,-18.0714
2018-01-04,26.3351
2018-01-05,-1.0391
2018-01-08,-5.1429
2018-01-09,-9.6386
2018-01-10,49.1667
2018-01-11,-15.6425
2018-01-12,-5.1192
2018-01-16,-12.7521
2018-01-17,5.6
2018-01-18,8.3333
2018-01-19,-0.0909
2018-01-22,-5.3615
2018-01-23,0.9393
2018-01-24,6.7409
2018-01-26,-10.8045
2018-01-29,-6.1105
2018-01-30,-13.1148
2018-01-31,-10.3774
2018-02-01,-12.9474
2018-02-02,2.9021
2018-02-05,-14.9824
2018-02-06,17.4845
2018-02-07,12.1059
2018-02-08,-0.7241
2018-02-09,2.7548
2018-02-12,12.205
2018-02-13,-3.7315
2018-02-14,1.3237999999999999
2018-02-15,-1.6261
2018-02-16,-0.6306
2018-02-20,3.7308
2018-02-21,-11.9485
2018-02-22,-9.2957
2018-02-23,-0.1857
2018-02-26,3.3721
2018-02-27,16.9854
2018-02-28,-1.9558
2018-03-01,-7.8124
2018-03-02,-5.234
2018-03-05,3.278
2018-03-06,8.8261
2018-03-07,-8.2101
2018-03-08,-10.3373
2018-03-09,-13.3519
2018-03-12,-1.958
2018-03-13,-7.8571
2018-03-14,-0.8
2018-03-15,-3.8197
2018-03-16,16.9971
2018-03-19,5.5556
2018-03-20,-2.4211
2018-03-21,-5.0701
2018-03-22,-6.5057
2018-03-23,-4.0413
2018-03-26,-3.8949
2018-03-27,-7.743
2018-03-28,-0.0714
2018-03-29,-0.5004
2018-04-02,14.0445
2018-04-03,0.8189
2018-04-04,-7.5289
2018-04-05,7.9054
2018-04-06,-3.757
2018-04-09,-2.4073
2018-04-10,-0.2
2018-04-11,-9.8196
2018-04-12,14.8148
2018-04-13,5.6452
2018-04-16,-6.8702
2018-04-17,-1.6393
2018-04-18,16.0
2018-04-19,-0.5172
2018-04-20,4.766
2018-04-23,5.8726
2018-04-24,26.0417
2018-04-25,-11.157
2018-04-26,-6.9767
2018-04-27,3.25
2018-04-30,4.1162
2018-05-01,-3.4884
2018-05-02,-5.2048
2018-05-03,4.1434
2018-05-04,-3.588
2018-05-07,-11.3924
2018-05-08,-11.4286
2018-05-09,0.2871
2018-05-10,1.4828000000000001
2018-05-11,0.1585
2018-05-14,21.519
2018-05-15,-8.3854
2018-05-16,-0.5117
2018-05-17,2.8571
2018-05-18,0.0833
2018-05-21,7.688
2018-05-22,-0.8247
2018-05-23,-4.7375
2018-05-24,1.0721
2018-05-25,-3.7517
2018-05-29,-0.3646
2018-05-30,1.3228
2018-05-31,1.9444
2018-06-01,-0.545
2018-06-04,7.3972999999999995
2018-06-05,-4.1582
2018-06-06,-2.0495
2018-06-07,0.5435
2018-06-08,4.3243
2018-06-11,-7.772
2018-06-12,-3.6798
2018-06-13,-4.9286
2018-06-14,-5.6748
2018-06-15,-4.0813
2018-06-18,1.7122000000000002
2018-06-19,-6.6333
2018-06-20,-0.7497
2018-06-21,-3.8849
2018-06-22,-9.7305
2018-06-25,-3.3997
2018-06-26,-5.5794
2018-06-27,-13.6591
2018-06-28,-5.2382
2018-06-29,8.8889
2018-07-02,14.2347
2018-07-03,1.8312
2018-07-05,-7.0175
2018-07-06,-5.6604
2018-07-09,-8.35
2018-07-10,-2.455
2018-07-11,-1.0067
2018-07-12,-1.1299
2018-07-13,5.7143
2018-07-16,8.0541
2018-07-17,19.6098
2018-07-18,45.9014
2018-07-19,-15.3674
2018-07-20,-9.4203
2018-07-23,5.1282
2018-07-24,-3.4634
2018-07-25,-1.4654
2018-07-26,-2.5641
2018-07-27,-7.8421
2018-07-30,3.9406
2018-07-31,-3.8462
2018-08-01,-2.8571
2018-08-02,0.0
2018-08-03,-6.4882
2018-08-06,0.6479
2018-08-07,0.0
2018-08-08,-2.8125
2018-08-09,-4.5016
2018-08-10,-1.0101
2018-08-13,-1.3061
2018-08-14,-14.3231
2018-08-15,-3.4594
2018-08-16,33.3333
2018-08-17,-1.5625
2018-08-20,-12.6603
2018-08-21,5.4085
2018-08-22,0.669
2018-08-23,9.6116
2018-08-24,-7.5
2018-08-27,1.4541
2018-08-28,9.8886
2018-08-29,3.0303
2018-08-30,-7.2471
2018-08-31,1.8899
2018-09-04,-11.3656
2018-09-05,-7.5843
2018-09-06,-4.5783000000000005
2018-09-07,-8.3416
2018-09-10,5.2997
2018-09-11,-0.9901
2018-09-12,16.6667
2018-09-13,0.0
2018-09-14,-2.8571
2018-09-17,-5.4412
2018-09-18,-3.577
2018-09-19,4.8387
2018-09-20,-4.5862
2018-09-21,6.1449
2018-09-24,-2.2482
2018-09-25,-5.9829
2018-09-26,-1.2397
2018-09-27,-3.7657
2018-09-28,1.0087
2018-10-01,1.1536
2018-10-02,-2.1277
2018-10-03,-0.087
2018-10-04,-10.3568
2018-10-05,-9.2233
2018-10-08,-2.6738
2018-10-09,-7.6923
2018-10-10,1.0714
2018-10-11,2.4735
2018-10-12,8.046
2018-10-15,-4.2553
2018-10-16,3.3333
2018-10-17,-1.0753
2018-10-18,-2.1739
2018-10-19,-3.4444
2018-10-22,-3.3372
2018-10-23,-15.4762
2018-10-24,26.7606
2018-10-25,-5.5556
2018-10-26,0.0
2018-10-29,5.8824
2018-10-30,-10.0
2018-10-31,13.5802
2018-11-01,2.1739
