ticker,ALDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-22,-1.353
2014-09-23,-6.2998
2014-09-24,-4.386
2014-09-25,-6.1162
2014-09-26,-0.6515
2014-09-29,-5.4098
2014-09-30,2.6018
2014-10-01,1.1803
2014-10-02,0.1669
2014-10-03,0.0
2014-10-06,-0.6667
2014-10-07,-3.6913
2014-10-08,2.0906
2014-10-09,0.6826
2014-10-10,-0.339
2014-10-13,-1.8707
2014-10-14,3.8128
2014-10-15,-0.1669
2014-10-16,-3.1438
2014-10-17,-0.7251
2014-10-20,2.4348
2014-10-21,34.9724
2014-10-22,-9.5457
2014-10-23,9.1642
2014-10-24,-0.5096
2014-10-27,5.5698
2014-10-28,9.0358
2014-10-29,8.5651
2014-10-30,-23.1557
2014-10-31,-8.0
2014-11-03,-2.7536
2014-11-04,17.5857
2014-11-05,-6.4639
2014-11-06,4.607
2014-11-07,-7.772
2014-11-10,11.0955
2014-11-11,-5.0569
2014-11-12,0.1332
2014-11-13,5.1845
2014-11-14,-5.5611
2014-11-17,2.4096
2014-11-18,-5.6209
2014-11-19,1.5234999999999999
2014-11-20,-1.0914
2014-11-21,3.8621
2014-11-24,-0.2656
2014-11-25,-2.1263
2014-11-28,-1.7729
2014-12-01,1.662
2014-12-02,-1.0899
2014-12-03,3.9945
2014-12-04,-2.1192
2014-12-05,-2.7064
2014-12-08,8.484
2014-12-09,-1.1538
2014-12-10,1.8157999999999999
2014-12-11,0.6369
2014-12-12,-1.2658
2014-12-15,-2.5641
2014-12-16,-7.2368
2014-12-17,-4.3972
2014-12-18,10.6825
2014-12-19,-0.2681
2014-12-22,5.2419
2014-12-23,-6.5134
2014-12-24,2.7321999999999997
2014-12-26,-11.5691
2014-12-29,6.7669
2014-12-30,-1.2676
2014-12-31,2.9957000000000003
2015-01-02,1.108
2015-01-05,4.2466
2015-01-06,2.8909000000000002
2015-01-07,-4.47
2015-01-08,2.1390000000000002
2015-01-09,-2.0942
2015-01-12,4.5455
2015-01-13,0.6394
2015-01-14,-0.1271
2015-01-15,0.4707
2015-01-16,28.7831
2015-01-20,4.7198
2015-01-21,-11.455400000000001
2015-01-22,1.8028
2015-01-23,-7.7083
2015-01-26,11.2867
2015-01-27,11.2576
2015-01-28,5.6506
2015-01-29,2.1581
2015-01-30,2.1959
2015-02-02,-4.9597
2015-02-03,-7.1294
2015-02-04,3.839
2015-02-05,2.3445
2015-02-06,2.467
2015-02-09,-4.1273
2015-02-10,0.8969
2015-02-11,-2.31
2015-02-12,2.4556
2015-02-13,-2.2202
2015-02-17,1.1807
2015-02-18,-0.809
2015-02-19,7.06
2015-02-20,-11.2426
2015-02-23,-1.8094999999999999
2015-02-24,-4.4617
2015-02-25,4.0609
2015-02-26,0.1951
2015-02-27,-0.6816
2015-03-02,3.7255000000000003
2015-03-03,0.189
2015-03-04,-1.9811
2015-03-05,1.0587
2015-03-06,0.1905
2015-03-09,-4.8479
2015-03-10,4.5967
2015-03-11,1.4315
2015-03-12,-0.2825
2015-03-13,-1.6997
2015-03-16,10.0865
2015-03-17,-3.0541
2015-03-18,0.9901
2015-03-19,-5.5258
2015-03-20,1.8868
2015-03-23,-1.6667
2015-03-24,-0.0942
2015-03-25,0.2951
2015-03-26,-2.1737
2015-03-27,3.2661
2015-03-30,-5.8605
2015-03-31,0.5929
2015-04-01,-1.6699000000000002
2015-04-02,1.3986
2015-04-06,4.8276
2015-04-07,-0.282
2015-04-08,-4.6183
2015-04-09,1.2846
2015-04-10,0.353
2015-04-13,-1.6156000000000001
2015-04-14,3.2609
2015-04-15,0.3828
2015-04-16,0.9533
2015-04-17,3.5883000000000003
2015-04-20,-2.2789
2015-04-21,0.2799
2015-04-22,-13.4884
2015-04-23,4.7312
2015-04-24,-1.8479999999999999
2015-04-27,-0.1046
2015-04-28,-0.2094
2015-04-29,-2.2036
2015-04-30,1.3218
2015-05-01,-1.1985999999999999
2015-05-04,-0.6431
2015-05-05,-2.4811
2015-05-06,-7.6327
2015-05-07,-1.0778
2015-05-08,-8.5956
2015-05-11,-0.6623
2015-05-12,0.1333
2015-05-13,-0.2663
2015-05-14,-0.8011
2015-05-15,-5.5182
2015-05-18,3.8462
2015-05-19,0.2743
2015-05-20,-0.2736
2015-05-21,-0.9602
2015-05-22,-1.2465
2015-05-26,-3.6466
2015-05-27,8.7336
2015-05-28,0.2677
2015-05-29,-0.534
2015-06-01,1.6107
2015-06-02,0.3963
2015-06-03,3.2895
2015-06-04,-2.293
2015-06-05,0.6519
2015-06-08,1.8135
2015-06-09,-1.5267
2015-06-10,-1.5504
2015-06-11,8.9239
2015-06-12,-1.5663
2015-06-15,0.918
2015-06-16,3.6992000000000003
2015-06-17,0.5848
2015-06-18,-2.5581
2015-06-19,2.6253
2015-06-22,-1.8605
2015-06-23,-5.4502
2015-06-24,0.1253
2015-06-25,1.2516
2015-06-26,-4.2027
2015-06-29,2.0645
2015-06-30,-1.8963
2015-07-01,7.0876
2015-07-02,2.2864
2015-07-06,-1.5293999999999999
2015-07-07,1.3142
2015-07-08,-6.4858
2015-07-09,1.0088
2015-07-10,1.7478
2015-07-13,1.7178
2015-07-14,0.2413
2015-07-15,0.2407
2015-07-16,0.7203
2015-07-17,7.1514
2015-07-20,7.7864
2015-07-21,5.7792
2015-07-22,3.7073
2015-07-23,-4.1392
2015-07-24,-5.0049
2015-07-27,-6.5083
2015-07-28,-0.442
2015-07-29,1.3319
2015-07-30,0.3286
2015-07-31,-2.9476
2015-08-03,-4.7244
2015-08-04,-5.0767
2015-08-05,1.6169
2015-08-06,-0.3672
2015-08-07,1.7184
2015-08-10,-1.9308999999999998
2015-08-11,2.7094
2015-08-12,-7.7938
