ticker,BWVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-03-05,7.6923
2013-03-11,0.0
2013-03-22,-10.0
2013-04-01,-18.254
2013-04-03,16.5049
2013-04-15,-6.3125
2013-04-16,20.0578
2013-04-22,-18.5034
2013-04-24,24.5455
2013-04-25,-0.7299
2013-05-08,10.2941
2013-05-09,13.3333
2013-05-10,4.7059
2013-05-14,3.3708
2013-05-20,-33.6957
2013-05-21,39.3443
2013-05-22,0.0
2013-05-23,1.1764999999999999
2013-05-24,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,1.1628
2013-05-31,13.7931
2013-06-04,-0.5051
2013-06-05,0.5076
2013-06-10,1.0101
2013-06-12,0.0
2013-06-13,-14.5
2013-06-14,-3.1579
2013-06-18,2.657
2013-06-19,17.647100000000002
2013-06-20,-19.0
2013-06-21,-1.2346
2013-06-24,26.25
2013-06-25,3.9604
2013-06-26,-9.5238
2013-06-27,26.3158
2013-06-28,-0.8333
2013-07-01,-4.2017
2013-07-02,-11.4035
2013-07-03,7.9208
2013-07-05,-29.805
2013-07-08,-0.6698
2013-07-09,-1.3158
2013-07-12,16.0
2013-07-22,-13.7931
2013-07-23,0.0
2013-07-24,4.0
2013-08-09,14.0865
2013-08-21,-4.481
2013-08-22,-11.7647
2013-08-26,0.0
2013-08-30,0.0
2013-09-12,0.0167
2013-09-17,-0.0333
2013-09-19,-13.3189
2013-09-23,10.75
2013-09-24,-2.7609
2013-10-21,-28.5536
2013-10-22,21.9695
2013-10-24,0.0
2013-10-31,62.2951
2013-11-04,-19.1919
2013-11-21,0.0
2013-11-22,-24.8594
2013-12-05,-26.3048
2013-12-10,35.4402
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-19,0.0
2013-12-27,-3.3333
2013-12-31,-13.7931
2014-01-03,40.0
2014-01-07,0.0
2014-02-19,-14.2857
2014-02-20,0.0
2014-02-24,0.0
2014-02-26,0.0
2014-05-16,-50.0
2014-05-19,-16.6667
2014-05-21,20.0
2014-05-22,-16.6667
2014-05-23,-4.0
2014-05-27,-10.4167
2014-05-29,30.2326
2014-05-30,0.0
2014-06-16,0.0
2014-06-20,0.0
2014-06-24,0.0
2014-06-25,-14.2857
2014-06-26,0.0
2014-06-27,0.0
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,0.0
2014-07-03,0.0
2014-07-09,0.0
2014-07-10,-4.1667
2014-07-11,26.087
2014-07-14,-8.6207
2014-07-15,3.0189
2014-07-16,2.5641
2014-07-17,1.7856999999999998
2014-07-18,1.4035
2014-07-21,0.0
2014-07-22,-3.1142
2014-07-23,3.1696
2014-07-24,-1.3414
2014-07-25,-1.7982
2014-07-28,3.6177
2014-07-29,-27.5862
2014-07-30,90.4762
2014-07-31,-25.0
2014-08-01,26.625
2014-08-04,-5.2649
2014-08-05,-2.7786999999999997
2014-08-06,14.2908
2014-08-07,-2.4695
2014-08-08,2.5321
2014-08-11,-27.4773
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,-13.7931
2014-08-18,0.0
2014-08-19,36.0
2014-08-20,2.9412000000000003
2014-08-21,-14.2857
2014-08-22,-0.3958
2014-08-25,-0.0418
2014-08-26,-0.0209
2014-08-27,-0.0837
2014-08-28,-0.3351
2014-09-02,-6.1370000000000005
2014-09-04,-11.5092
2014-09-05,8.4261
2014-09-08,0.0
2014-09-09,-6.6511
2014-09-10,-4.0
2014-09-11,-3.3854
2014-09-12,-3.0189
2014-09-15,0.0
2014-09-16,0.0556
2014-09-17,2.2222
2014-09-22,0.0
2014-09-23,12.8261
2014-09-24,-3.7091
2014-10-01,-0.6003
2014-10-02,0.0
2014-10-06,-15.4504
2014-10-15,-0.0893
2014-10-21,-4.6768
2014-10-22,0.0
2014-10-23,0.0
2014-10-28,3.75
2014-10-30,-3.6145
2014-10-31,-15.0
2014-11-03,17.352899999999998
2014-11-04,0.0
2014-11-06,-23.8095
2014-11-07,37.8289
2014-11-10,-4.5346
2014-11-12,0.0
2014-11-13,0.0
2014-11-17,0.0
2014-11-20,-19.0
2014-11-21,23.4568
2014-11-24,0.0
2014-12-02,0.0
2014-12-04,0.0
2014-12-05,0.0
2014-12-08,0.0
2014-12-09,0.0
2014-12-10,0.0
2014-12-22,0.0
2014-12-26,0.0
2014-12-29,-25.0
2014-12-30,0.0
2014-12-31,33.3333
2015-01-02,0.0
2015-01-07,-20.0
2015-01-08,0.0
2015-01-09,0.0
2015-01-12,-25.0
2015-01-13,-16.6667
2015-01-14,15.0
2015-01-15,73.913
2015-01-16,0.0
2015-01-20,0.0
2015-01-21,0.0
2015-01-26,-5.0
2015-01-27,0.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-04,0.0
2015-02-09,1.3487
2015-02-10,22.0383
2015-02-11,0.0
2015-02-12,-14.8936
2015-02-13,50.0
2015-02-17,0.0
2015-02-25,-16.6667
2015-02-26,8.0
2015-03-03,11.1111
2015-03-09,0.0
2015-03-10,-31.6667
2015-03-11,46.3415
2015-03-12,-3.3333
2015-03-16,-13.7931
2015-03-17,20.0
2015-03-20,0.0
2015-03-23,0.0
2015-03-24,-40.0
2015-03-25,55.4861
2015-04-01,-0.3796
2015-04-17,-3.4521
2015-04-24,-0.3018
2015-04-30,-14.3456
2015-05-21,-12.9962
2015-05-26,-0.0625
2015-05-29,-17.4484
2015-06-01,0.0
2015-06-02,0.0
2015-06-04,2.4242
2015-06-05,0.5917
2015-06-08,0.0
2015-06-19,2.9412000000000003
2015-06-22,0.0
2015-06-25,-26.2857
2015-06-29,66.6667
2015-07-14,-6.9767
2015-07-22,0.0
2015-08-11,-45.0
2015-08-12,72.7273
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,-0.0987
2015-08-20,-20.9746
2015-08-21,-33.3333
2015-09-01,1.5
2015-09-02,37.069
2015-09-09,-0.5391
2015-09-14,-6.1427
2015-09-30,-52.2618
2015-10-01,45.1613
2015-10-02,0.0
2015-10-12,-0.1389
2015-10-14,11.2656
2015-10-15,0.0
2015-10-16,28.6875
2015-10-19,-6.7508
2015-10-22,66.6667
2015-10-28,10.0
2015-11-04,-9.0909
2015-11-05,0.0
2015-11-06,10.0
2015-11-09,-9.0909
2015-11-20,-20.0
2015-11-23,37.5
2015-11-24,0.0
2015-12-01,-23.1818
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,-6.8047
2015-12-11,-4.7619
2015-12-16,12.0
2015-12-24,-16.6667
2015-12-28,-35.7143
2015-12-29,33.3333
2015-12-30,8.3333
2016-01-06,7.6923
2016-01-07,18.5714
2016-01-13,26.506
2016-01-20,-28.5714
2016-01-21,46.6667
2016-01-25,2.2727
2016-01-26,-2.2222
2016-01-27,-9.5455
2016-01-28,-32.1608
2016-01-29,27.4074
2016-02-02,16.2791
2016-02-03,0.0
2016-02-08,-40.0
2016-02-10,8.3333
2016-02-11,53.0769
2016-02-16,-44.7236
2016-02-19,17.2727
2016-02-24,47.2868
2016-02-29,-20.0
2016-03-15,-24.3421
2016-03-16,56.413
2016-03-21,-49.9653
2016-03-22,55.5556
2016-04-18,-7.1429
2016-04-20,0.0
2016-05-06,0.0
2016-05-09,3.8462
2016-05-12,-25.9259
2016-05-13,35.0
2016-05-20,-37.037
2016-05-23,0.0
2016-05-26,0.0
2016-05-27,47.0588
2016-06-07,0.0
2016-06-14,-36.0
2016-06-15,0.0
2016-06-16,11.25
2016-06-22,40.4494
2016-06-23,-8.0
2016-06-27,0.0
2016-07-12,0.0
2016-07-19,0.0
2016-07-20,-4.3478
2016-07-22,9.0909
2016-07-25,-16.6667
2016-07-27,30.0
2016-07-28,0.0
2016-08-03,3.8462
2016-08-17,-25.9259
2016-08-26,-20.0
2016-08-31,143.75
2016-09-19,-33.3333
2016-09-20,0.0
2016-09-26,-7.6923
2016-09-29,-9.1667
2016-10-28,0.9174
2016-11-02,4.0909
2016-11-03,0.4367
2016-11-04,4.3478
2016-11-07,6.6667
2016-11-10,1.5625
2016-11-14,0.0
2016-11-15,-7.6923
2016-11-16,0.0
2016-11-17,8.3333
2016-11-21,0.0
2016-11-23,0.0
2016-12-02,15.3846
2016-12-05,0.0
2016-12-06,6.6667
2016-12-08,12.5
2016-12-09,-5.5556
2016-12-12,5.8824
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-19,-11.1111
2016-12-21,12.5
2016-12-23,-0.0694
2017-01-03,0.0695
2017-01-06,0.0
2017-01-09,1.2847
2017-01-10,9.7017
2017-01-11,0.0
2017-01-12,-20.0
2017-01-13,18.75
2017-01-17,-0.5921
2017-01-18,-9.9934
2017-01-19,-4.4853
2017-01-20,4.6959
2017-01-24,-2.8308999999999997
2017-01-25,2.8377
2017-01-27,-22.0015
2017-01-30,16.6038
2017-01-31,16.302599999999998
2017-02-01,0.1739
2017-02-02,0.0
2017-02-03,-22.2222
2017-02-06,28.5714
2017-02-07,-2.7778
2017-02-08,20.0
2017-02-09,12.1429
2017-02-10,-15.0743
2017-02-13,2.875
2017-02-14,-5.2248
2017-02-15,0.0
2017-02-16,2.5641
2017-02-17,0.0
2017-02-21,-10.0
2017-02-22,22.2222
2017-02-23,-20.4545
2017-02-24,0.6429
2017-02-27,5.039
2017-02-28,20.1351
2017-03-01,-5.4837
2017-03-02,33.2937
2017-03-03,-13.9286
2017-03-06,3.7344
2017-03-07,-14.05
2017-03-08,2.3851
2017-03-09,8.2386
2017-03-10,-3.4121
2017-03-13,0.0
2017-03-14,4.3478
2017-03-15,-16.6667
2017-03-16,0.0
2017-03-17,9.0625
2017-03-20,-8.6819
2017-03-21,-18.1676
2017-03-23,20.4371
2017-03-27,1.6874
2017-03-28,36.5999
2017-03-29,-26.656
2017-03-30,34.5
2017-04-03,-19.9349
2017-04-04,1.6251
2017-04-05,-8.0811
2017-04-06,-20.4722
2017-04-07,19.0625
2017-04-10,-8.1365
2017-04-11,11.4286
2017-04-12,2.5641
2017-04-13,0.0
2017-04-17,0.5
2017-04-19,2.4876
2017-04-20,-8.2524
2017-04-21,2.1164
2017-04-25,-11.9171
2017-04-26,-2.9412000000000003
2017-04-27,-3.0303
2017-04-28,0.0
