ticker,RACE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-14,-1.7067999999999999
2016-03-15,-1.4986
2016-03-16,2.0526
2016-03-17,1.0648
2016-03-18,-0.7258
2016-03-21,-0.8491
2016-03-22,-0.9039
2016-03-23,-2.3524
2016-03-24,1.1554
2016-03-28,-0.1215
2016-03-29,1.0219
2016-03-30,1.9026999999999998
2016-03-31,-1.4417
2016-04-01,-1.5588
2016-04-04,0.2436
2016-04-05,-2.1871
2016-04-06,2.8323
2016-04-07,-1.7879
2016-04-08,1.1808
2016-04-11,0.6078
2016-04-12,-0.0967
2016-04-13,1.4756
2016-04-14,1.2634
2016-04-15,3.5075
2016-04-18,-0.1137
2016-04-19,1.9353
2016-04-20,-0.6031
2016-04-21,-1.9775
2016-04-22,-1.4672
2016-04-25,-0.0465
2016-04-26,2.5605
2016-04-27,-0.227
2016-04-28,2.3658
2016-04-29,1.8889
2016-05-02,-2.879
2016-05-03,-1.3025
2016-05-04,-0.0455
2016-05-05,-2.2763
2016-05-06,0.6988
2016-05-09,-0.7171
2016-05-10,1.1883
2016-05-11,-0.6217
2016-05-12,-0.0695
2016-05-13,1.2057
2016-05-16,-0.0687
2016-05-17,-3.5305
2016-05-18,-0.5703
2016-05-19,-3.1549
2016-05-20,1.2586
2016-05-23,-1.0098
2016-05-24,3.0673
2016-05-25,1.6211
2016-05-26,-0.2381
2016-05-27,0.1909
2016-05-31,1.0719
2016-06-01,0.2593
2016-06-02,2.3272
2016-06-03,-0.804
2016-06-06,-0.4632
2016-06-07,3.0712
2016-06-08,-1.3544
2016-06-09,-0.4577
2016-06-10,-3.0805
2016-06-13,-1.8500999999999999
2016-06-14,-0.5558
2016-06-15,1.2151
2016-06-16,-0.6002
2016-06-17,1.7873999999999999
2016-06-20,2.0645
2016-06-21,-0.9533
2016-06-22,-1.0094
2016-06-23,3.8179
2016-06-24,-7.2864
2016-06-27,-4.2129
2016-06-28,3.1379
2016-06-29,-0.0249
2016-06-30,2.0953
2016-07-01,1.3437999999999999
2016-07-05,-3.5921
2016-07-06,0.2501
2016-07-07,-1.3719000000000001
2016-07-08,4.3247
2016-07-11,1.8909
2016-07-12,1.2848
2016-07-13,-1.151
2016-07-14,1.7348
2016-07-15,-1.0278
2016-07-18,-0.3776
2016-07-19,-0.1658
2016-07-20,0.0
2016-07-21,1.2814
2016-07-22,0.5623
2016-07-25,1.2814999999999999
2016-07-26,0.2991
2016-07-27,2.6835
2016-07-28,-1.2955
2016-07-29,2.2177
2016-08-01,1.3505
2016-08-02,1.5946
2016-08-03,0.817
2016-08-04,-0.4905
