ticker,EXAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-11-11,-12.5
2008-11-12,-4.0816
2008-11-13,-4.2553
2008-11-14,-11.4444
2008-11-17,-9.661200000000001
2008-11-18,36.1111
2008-11-19,0.0
2008-11-20,-8.1633
2008-11-21,-8.8889
2008-11-24,-14.6341
2008-11-25,5.7143
2008-11-26,10.8108
2008-11-28,7.2866
2008-12-01,-15.8852
2008-12-02,8.1081
2008-12-03,10.0
2008-12-04,-11.3636
2008-12-05,2.5641
2008-12-08,2.5
2008-12-09,0.0
2008-12-10,-7.3171
2008-12-11,2.5987
2008-12-12,-5.0978
2008-12-15,8.1081
2008-12-16,-5.0
2008-12-17,10.526299999999999
2008-12-18,42.8571
2008-12-19,-11.6667
2008-12-22,-13.2075
2008-12-23,8.6957
2008-12-24,9.975
2008-12-26,0.0227
2008-12-29,3.6364
2008-12-30,-3.5088
2008-12-31,3.6364
2009-01-02,1.7544
2009-01-05,12.069
2009-01-06,4.6154
2009-01-07,7.3529
2009-01-08,21.9178
2009-01-09,11.2219
2009-01-12,51.5343
2009-01-13,4.6667
2009-01-14,5.7325
2009-01-15,-0.6024
2009-01-16,-4.2424
2009-01-20,-10.1266
2009-01-21,-1.4085
2009-01-22,-1.4285999999999999
2009-01-23,3.6231999999999998
2009-01-26,0.6993
2009-01-27,3.4722
2009-01-28,9.396
2009-01-29,-9.816
2009-01-30,1.3605
2009-02-02,-0.6711
2009-02-03,0.0
2009-02-04,-1.3514
2009-02-05,-4.1096
2009-02-06,3.5714
2009-02-09,-1.3793
2009-02-10,0.0
2009-02-11,3.4965
2009-02-12,0.0
2009-02-13,-4.7297
2009-02-17,-16.3121
2009-02-18,8.4746
2009-02-19,-6.25
2009-02-20,-18.3333
2009-02-23,-10.2041
2009-02-24,2.2727
2009-02-25,2.2083
2009-02-26,-2.1606
2009-02-27,-5.5556
2009-03-02,0.1176
2009-03-03,-8.3431
2009-03-04,1.2821
2009-03-05,-1.2658
2009-03-06,-1.1298
2009-03-09,1.1427
2009-03-10,5.1282
2009-03-11,10.9756
2009-03-12,-6.5934
2009-03-13,-4.7059
2009-03-16,2.4691
2009-03-17,-2.3268
2009-03-18,2.3822
2009-03-19,39.759
2009-03-20,16.3793
2009-03-23,-4.4444
2009-03-24,-2.3256
2009-03-25,-0.7937
2009-03-26,7.2
2009-03-27,-4.4776
2009-03-30,0.0
2009-03-31,-2.3438
2009-04-01,-5.6
2009-04-02,-6.7797
2009-04-03,-7.2727
2009-04-06,6.8627
2009-04-07,0.9174
2009-04-08,0.0
2009-04-09,-2.7273
2009-04-13,5.6075
2009-04-14,7.9646
2009-04-15,18.0328
2009-04-16,-1.3889
2009-04-17,-0.0088
2009-04-20,0.7131
2009-04-21,-4.5455
2009-04-22,-4.7619
2009-04-23,3.0769
2009-04-24,3.7313
2009-04-27,2.8777
2009-04-28,9.7902
2009-04-29,2.5478
2009-04-30,6.2112
2009-05-01,4.6857
2009-05-04,10.6068
2009-05-05,-12.6926
2009-05-06,7.5961
2009-05-07,-4.3011
2009-05-08,-1.6854
