ticker,TCBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-14,0.9021
2007-06-15,1.4752
2007-06-18,0.0
2007-06-19,-0.9251
2007-06-20,-1.1561
2007-06-21,-0.5848
2007-06-22,0.4977
2007-06-25,-3.1517
2007-06-26,2.1153
2007-06-27,0.1593
2007-06-28,-0.1818
2007-06-29,1.776
2007-07-02,1.1633
2007-07-03,0.0
2007-07-05,-0.8846
2007-07-06,0.4462
2007-07-09,0.8885
2007-07-10,-3.8308999999999997
2007-07-11,-0.1832
2007-07-12,1.6972
2007-07-13,-0.7668
2007-07-16,-1.7727
2007-07-17,-0.8329
2007-07-18,0.4666
2007-07-19,6.549
2007-07-20,-2.2232
2007-07-23,0.1783
2007-07-24,-3.1598
2007-07-25,-1.2408
2007-07-26,-2.5593
2007-07-27,-2.7221
2007-07-30,0.9327
2007-07-31,-3.4047
2007-08-01,0.5035
2007-08-02,1.2525
2007-08-03,-3.81
2007-08-06,4.1152
2007-08-07,-0.5441
2007-08-08,4.7697
2007-08-09,-5.3106
2007-08-10,-1.7026
2007-08-13,4.381
2007-08-14,-0.7809
2007-08-15,-0.0492
2007-08-16,8.2677
2007-08-17,3.2273
2007-08-20,-1.9815
2007-08-21,2.6505
2007-08-22,0.6565
2007-08-23,-5.4783
2007-08-24,1.15
2007-08-27,-1.0914
2007-08-28,-2.4828
2007-08-29,4.1961
2007-08-30,-1.81
2007-08-31,0.553
2007-09-04,1.0082
2007-09-05,-3.0853
2007-09-06,0.7491
2007-09-07,-3.2528
2007-09-10,-0.048
2007-09-11,2.5469
2007-09-12,1.0309
2007-09-13,0.0
2007-09-14,0.5566
2007-09-17,0.369
2007-09-18,2.3437
2007-09-19,-1.392
2007-09-20,-1.275
2007-09-21,0.6458
2007-09-24,1.7415
2007-09-25,0.5856
2007-09-26,0.7613
2007-09-27,-0.4889
2007-09-28,-2.9031000000000002
2007-10-01,3.5879
2007-10-02,-0.1776
2007-10-03,-1.7349
2007-10-04,0.4074
2007-10-05,1.2173
2007-10-08,-1.0245
2007-10-09,-1.7551999999999999
2007-10-10,1.2368000000000001
2007-10-11,0.2715
2007-10-12,-1.8051
2007-10-15,-1.7463
2007-10-16,-2.2451
2007-10-17,-0.7656
2007-10-18,4.8216
2007-10-19,-4.5538
2007-10-22,5.1566
2007-10-23,0.8708
2007-10-24,-0.8178
2007-10-25,-0.3665
2007-10-26,1.0115
2007-10-29,0.0
2007-10-30,0.7738
2007-10-31,-0.0452
2007-11-01,-4.1573
2007-11-02,0.33
2007-11-05,-1.4098
2007-11-06,3.4795
2007-11-07,-2.6715999999999998
2007-11-08,0.5679
2007-11-09,-1.7412
2007-11-12,-1.1973
2007-11-13,1.3088
2007-11-14,1.1005
2007-11-15,-3.2655
2007-11-16,0.9785
2007-11-19,-2.8101000000000003
2007-11-20,0.2991
2007-11-21,2.0875
2007-11-23,3.3106
2007-11-26,-4.0528
2007-11-27,1.9646
2007-11-28,1.1561
2007-11-29,0.0
2007-11-30,0.381
2007-12-03,-1.6602999999999999
2007-12-04,-1.5436999999999999
2007-12-05,2.2538
2007-12-06,1.9165999999999999
2007-12-07,-2.3977
2007-12-10,0.1445
2007-12-11,-4.2328
2007-12-12,-0.4018
2007-12-13,-0.9077
2007-12-14,-3.5623
2007-12-17,-2.058
2007-12-18,-2.0474
2007-12-19,0.5501
2007-12-20,1.4769999999999999
2007-12-21,-1.779
2007-12-24,1.427
2007-12-26,2.0563
2007-12-27,-4.0297
2007-12-28,-1.0497
2007-12-31,1.8984
2008-01-02,-3.0685000000000002
2008-01-03,0.4522
2008-01-04,-4.7271
2008-01-07,3.3077
2008-01-08,-4.9171
2008-01-09,0.3007
2008-01-10,0.8393
2008-01-11,-2.5564999999999998
2008-01-14,0.5491
2008-01-15,-0.4854
2008-01-16,-5.6098
2008-01-17,-2.5194
2008-01-18,-0.8615
2008-01-22,0.5348
2008-01-23,7.7128
2008-01-24,-0.0617
2008-01-25,-0.1853
2008-01-28,4.2079
2008-01-29,-1.1283
2008-01-30,-0.4204
2008-01-31,5.1267
2008-02-01,0.459
2008-02-04,-3.084
2008-02-05,-1.9445999999999999
2008-02-06,0.4808
2008-02-07,1.256
2008-02-08,-0.8269
2008-02-11,-2.4419
2008-02-12,2.0147
2008-02-13,1.556
2008-02-14,-3.4767
2008-02-15,-1.16
2008-02-19,1.7295
2008-02-20,3.8251
2008-02-21,-3.6842
2008-02-22,0.425
2008-02-25,0.786
2008-02-26,-0.8998
2008-02-27,-2.0581
2008-02-28,-3.3375
2008-02-29,-4.3478
2008-03-03,1.8048
2008-03-04,1.9698
2008-03-05,-4.1211
2008-03-06,-2.6192
2008-03-07,1.5171999999999999
2008-03-10,-1.087
2008-03-11,10.0962
2008-03-12,-1.7467000000000001
2008-03-13,2.6667
2008-03-14,-2.6592000000000002
2008-03-17,0.8259
2008-03-18,2.3945
2008-03-19,-0.3077
2008-03-20,6.4815
2008-03-24,3.3043
2008-03-25,-2.2447
2008-03-26,-2.3536
2008-03-27,0.823
2008-03-28,-2.0408
2008-03-31,0.4762
2008-04-01,4.4431
2008-04-02,0.2836
2008-04-03,-2.5452
2008-04-04,-2.5537
2008-04-07,1.5485
2008-04-08,-2.0528
2008-04-09,-2.8743
2008-04-10,0.8631
2008-04-11,-2.3227
2008-04-14,-2.0651
2008-04-15,1.5974
2008-04-16,-0.1258
2008-04-17,10.8312
2008-04-18,1.5909
2008-04-21,-2.7405
2008-04-22,-2.2427
2008-04-23,0.7059
2008-04-24,4.7897
2008-04-25,3.2887
2008-04-28,1.1873
2008-04-29,-0.8
2008-04-30,-0.8065
2008-05-01,4.3902
2008-05-02,-1.2461
2008-05-05,0.2629
2008-05-06,-1.1012
2008-05-07,-3.3934
2008-05-08,-0.8782
2008-05-09,-2.2702
2008-05-12,2.6062
2008-05-13,1.27
2008-05-14,1.4722
2008-05-15,0.3761
2008-05-16,-0.3212
2008-05-19,0.2685
2008-05-20,-1.9818
2008-05-21,-0.3279
2008-05-22,1.4254
2008-05-23,-1.4595
2008-05-27,0.4937
2008-05-28,-0.3821
2008-05-29,1.3151
2008-05-30,-2.0011
2008-06-02,-1.8212000000000002
2008-06-03,-0.7307
2008-06-04,1.0193
2008-06-05,2.4103
2008-06-06,-3.5577
2008-06-09,-1.6459000000000001
2008-06-10,-4.0969
2008-06-11,-1.3839000000000001
