ticker,ETON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-10,3.3113
2019-04-11,-1.5385
2019-04-12,1.4323000000000001
2019-04-15,-1.7972000000000001
2019-04-16,-3.0065
2019-04-17,3.504
2019-04-18,-2.3438
2019-04-22,1.1053
2019-04-23,0.6211
2019-04-24,-3.6696999999999997
2019-04-25,3.1293
2019-04-26,-1.7149999999999999
2019-04-29,-1.3423
2019-04-30,0.1361
2019-05-01,0.5435
2019-05-02,0.6757
2019-05-03,-2.0134
2019-05-06,1.3699
2019-05-07,4.0541
2019-05-08,-0.7792
2019-05-09,-2.8796
2019-05-10,11.8598
2019-05-13,-2.1687
2019-05-14,-2.5862
2019-05-15,4.6776
2019-05-16,0.6039
2019-05-17,-0.3601
2019-05-20,-4.5783000000000005
2019-05-21,-0.2525
2019-05-22,1.2658
2019-05-23,0.0
2019-05-24,4.25
2019-05-28,0.5995
2019-05-29,-3.6949
2019-05-30,1.6089
2019-05-31,-1.3397999999999999
2019-06-03,0.4938
2019-06-04,-0.4914
2019-06-05,-0.3086
2019-06-06,-2.9102
2019-06-07,3.8265000000000002
2019-06-10,-2.0885
2019-06-11,-1.0038
2019-06-12,0.3802
2019-06-13,1.0101
2019-06-14,-3.125
2019-06-17,-6.9677
2019-06-18,1.9417
2019-06-19,0.1361
2019-06-20,0.5435
2019-06-21,0.2703
2019-06-24,-4.3126999999999995
2019-06-25,2.5352
2019-06-26,2.1978
2019-06-27,4.7043
2019-06-28,1.4121000000000001
2019-07-01,-5.0633
2019-07-02,0.2667
2019-07-03,-1.7287
2019-07-05,4.4655000000000005
2019-07-08,4.2746
2019-07-09,1.7391
2019-07-10,6.5018
2019-07-11,-1.9776
2019-07-12,-2.924
2019-07-15,-15.6627
2019-07-16,-0.8571
2019-07-17,-4.1787
2019-07-18,0.0
2019-07-19,-1.0526
2019-07-22,-0.4559
2019-07-23,-4.7328
2019-07-24,0.1603
2019-07-25,-0.8
2019-07-26,0.9677
2019-07-29,0.3195
2019-07-30,-0.6369
2019-07-31,-2.4038
2019-08-01,3.7767
2019-08-02,2.5316
2019-08-05,-5.5556
2019-08-06,-1.634
2019-08-07,3.3223
2019-08-08,0.6431
2019-08-09,-3.9936
2019-08-12,1.6639
2019-08-13,-2.9459999999999997
2019-08-14,-0.3373
2019-08-15,-4.2301
2019-08-16,0.0
2019-08-19,0.8834
2019-08-20,-0.5254
2019-08-21,1.2324
2019-08-22,0.1739
2019-08-23,-0.5208
2019-08-26,-2.4433
2019-08-27,-3.3989
2019-08-28,0.1852
2019-08-29,-0.9242
2019-08-30,4.291
2019-09-03,-5.9033999999999995
2019-09-04,-1.3308
2019-09-05,1.1561
2019-09-06,0.1905
2019-09-09,8.1749
2019-09-10,5.9754000000000005
2019-09-11,3.4826
2019-09-12,-0.4808
2019-09-13,0.4831
2019-09-16,1.6026
2019-09-17,8.3596
2019-09-18,-0.7278
2019-09-19,-2.1994
2019-09-20,7.0465
2019-09-23,-4.4818
2019-09-24,-1.0264
2019-09-25,-6.963
2019-09-26,0.7962
2019-09-27,-2.0537
2019-09-30,1.9355
2019-10-01,-6.962
2019-10-02,0.3401
2019-10-03,2.2034
2019-10-04,4.4776
2019-10-07,1.746
2019-10-08,-7.3323
2019-10-09,-2.5253
2019-10-10,2.2453
2019-10-11,4.7297
2019-10-14,1.9355
2019-10-15,0.2168
2019-10-16,-3.374
2019-10-17,0.1634
2019-10-18,-1.1419
2019-10-21,-3.7954
2019-10-22,10.2916
2019-10-23,-3.4215
2019-10-24,-5.6361
2019-10-25,0.6826
2019-10-28,-0.8475
2019-10-29,2.2222
