ticker,ENTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-10,10.02
2018-12-11,-10.929
2018-12-12,-5.9305
2018-12-13,-4.3478
2018-12-14,-10.0
2018-12-17,-1.7677
2018-12-18,0.2571
2018-12-19,-4.5436
2018-12-20,-14.0432
2018-12-21,1.5625
2018-12-24,5.5385
2018-12-26,-12.5394
2018-12-27,7.0136
2018-12-28,2.1711
2018-12-31,-7.0122
2019-01-02,-1.3115
2019-01-03,7.6411999999999995
2019-01-04,-2.8148
2019-01-07,2.2612
2019-01-08,0.3106
2019-01-09,6.8111
2019-01-10,-5.5072
2019-01-11,-3.3742
2019-01-14,3.8095
2019-01-15,-6.422
2019-01-16,28.1046
2019-01-17,1.2755
2019-01-18,-6.801
2019-01-22,-5.9459
2019-01-23,-2.2989
2019-01-24,8.8235
2019-01-25,2.7027
2019-01-28,6.3158
2019-01-30,-0.9901
2019-01-31,0.0
2019-02-01,4.4925
2019-02-04,1.6819
2019-02-05,1.8824
2019-02-06,-3.6952
2019-02-07,-0.4436
2019-02-08,1.4091
2019-02-11,14.9644
2019-02-12,-4.9587
2019-02-13,4.3478
2019-02-14,-0.8333
2019-02-15,-0.2101
2019-02-19,-5.6274
2019-02-20,-0.7295
2019-02-21,-7.4157
2019-02-22,10.1942
2019-02-25,-1.3216
2019-02-26,-3.125
2019-02-27,-0.2304
2019-02-28,0.4619
2019-03-01,1.8391
2019-03-04,-0.6772
2019-03-05,-2.0614
2019-03-06,-0.6869
2019-03-07,-3.9652
2019-03-08,9.4891
2019-03-11,-4.2222
2019-03-12,3.4803
2019-03-13,-1.5695000000000001
2019-03-15,-2.2779
2019-03-18,-3.7296
2019-03-19,0.4843
2019-03-20,0.9639
2019-03-21,0.9547
2019-03-25,-10.1655
2019-03-26,5.0
2019-03-27,4.01
2019-03-28,4.2265
2019-04-01,0.5687
2019-04-02,-1.8391
2019-04-03,-3.9813
2019-04-04,0.0
2019-04-05,-4.878
2019-04-08,7.6923
2019-04-10,0.2381
2019-04-11,1.4252
2019-04-12,-0.9391
2019-04-15,-0.4705
2019-04-16,2.1378
2019-04-17,-0.6977
2019-04-18,-1.6393
2019-04-22,2.1429
2019-04-23,-0.4662
2019-04-24,0.1358
2019-04-25,1.2676
2019-04-29,-0.0023
2019-04-30,1.619
2019-05-01,-1.1364
2019-05-02,0.0
2019-05-03,-6.8966
2019-05-06,-1.7778
2019-05-08,0.3972
2019-05-09,2.6591
2019-05-13,-4.878
2019-05-14,3.359
2019-05-17,-1.0171
2019-05-20,-0.2506
2019-05-21,-4.5226
2019-05-22,0.5263
2019-05-23,-3.4031000000000002
2019-05-24,-20.7263
2019-05-28,1.87
2019-05-29,7.3962
2019-05-30,5.9276
2019-05-31,1.7699
2019-06-03,-1.4522
2019-06-04,0.0
2019-06-05,4.4148
2019-06-06,2.8169
2019-06-07,4.6575
2019-06-10,0.0
2019-06-11,2.0942
2019-06-12,-7.4359
2019-06-13,5.2632
2019-06-14,1.8420999999999998
2019-06-17,-1.8088
2019-06-18,-1.8420999999999998
2019-06-19,2.1448
2019-06-20,-1.0499
2019-06-21,-0.5305
2019-06-24,-3.2
2019-06-25,-9.9174
2019-06-26,0.3058
2019-06-27,7.0122
2019-06-28,-2.2792
2019-07-01,-1.1662
2019-07-02,-0.885
2019-07-05,-2.3810000000000002
2019-07-08,-8.5366
2019-07-09,-1.0
2019-07-10,-1.3468
2019-07-11,0.3413
2019-07-12,10.5442
2019-07-15,1.2308
2019-07-16,0.0
2019-07-18,9.1185
2019-07-19,1.6713
2019-07-22,2.7397
2019-07-29,-12.0
2019-07-30,-0.303
2019-07-31,-0.6079
2019-08-01,-5.1988
2019-08-02,-6.129
2019-08-05,-5.4983
2019-08-06,3.6364
2019-08-07,-12.2807
2019-08-08,6.0
2019-08-09,9.434
2019-08-12,-15.8621
2019-08-13,-0.8197
2019-08-14,-12.8099
2019-08-15,23.2227
2019-08-16,-1.1538
2019-08-19,4.9572
2019-08-20,3.8037
2019-08-21,5.0
2019-08-22,-8.5034
2019-08-23,2.974
2019-08-26,1.083
2019-08-27,-1.7856999999999998
2019-08-30,-5.4545
2019-09-03,3.0154
2019-09-04,4.54
2019-09-06,0.0
2019-09-09,-1.0714
2019-09-11,-0.722
2019-09-12,-3.6364
2019-09-17,-4.9056999999999995
2019-09-18,2.1825
2019-09-19,0.5825
2019-09-20,-1.5444
2019-09-23,1.9569
2019-09-24,-11.1504
2019-09-25,6.0606
2019-09-26,1.6327
2019-09-30,0.0
2019-10-01,0.4016
2019-10-02,0.0
2019-10-03,-0.4
2019-10-07,-9.6386
2019-10-09,-8.0222
2019-10-10,-3.8415
2019-10-11,31.1558
2019-10-14,13.7893
2019-10-15,-3.027
2019-10-16,-19.3889
2019-10-17,0.1378
2019-10-18,-0.2065
2019-10-21,1.2931
2019-10-22,0.2128
2019-10-24,13.1635
2019-10-29,-11.257
2019-10-30,-12.8964
2019-10-31,17.9612
2019-11-04,-1.1111
2019-11-05,-0.1248
2019-11-06,0.0
2019-11-07,2.5
2019-11-08,-2.0325
2019-11-11,0.3527
2019-11-12,-4.4863
2019-11-13,5.1948
2019-11-14,1.8519
2019-11-18,2.0646
2019-11-19,-0.6373
2019-11-20,-0.3984
2019-11-21,-2.0
2019-11-22,-3.2653
2019-11-25,-6.3291
2019-11-26,1.3514
2019-11-27,-0.4444
2019-11-29,0.4464
2019-12-02,-4.8889
2019-12-03,2.5701
2019-12-04,-0.2278
2019-12-05,-4.5662
2019-12-06,7.6555
2019-12-09,-9.3333
2019-12-10,0.0
2019-12-11,-9.8039
2019-12-12,2.1739
2019-12-13,19.1489
2019-12-16,-9.0491
2019-12-17,10.4403
2019-12-18,-8.0
2019-12-19,-1.0966
2019-12-20,-3.2873
2019-12-23,-1.5152
2019-12-24,15.5692
2019-12-26,-10.8094
2019-12-30,1.99
2019-12-31,4.3902
2020-01-02,0.8178
2020-01-03,-1.2746
2020-01-06,-1.8779
2020-01-07,12.9187
2020-01-08,-4.661
2020-01-09,17.7778
2020-01-10,4.1509
2020-01-13,-1.1159
2020-01-14,1.8614000000000002
2020-01-15,0.7194
2020-01-16,-1.25
2020-01-17,3.0741
2020-01-21,-1.4035
2020-01-22,1.7793999999999999
2020-01-23,6.6434
2020-01-24,3.3377
2020-01-27,-3.5726
