ticker,IESC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-19,4.7059
2012-01-23,-6.367
2012-01-24,5.2
2012-01-25,-3.4221
2012-01-26,-1.5748
2012-01-30,-0.4
2012-01-31,-2.4096
2012-02-01,-6.5844000000000005
2012-02-02,-1.3216
2012-02-03,4.4643
2012-02-06,0.4274
2012-02-07,-0.4255
2012-02-08,2.5641
2012-02-09,-2.4167
2012-02-10,-6.1913
2012-02-13,8.7847
2012-02-14,-2.0868
2012-02-15,-2.1366
2012-02-16,5.2344
2012-02-17,0.0
2012-02-21,-2.9616
2012-02-22,9.466
2012-02-23,0.0
2012-02-24,-1.9531
2012-02-28,1.1952
2012-02-29,0.0
2012-03-01,9.4488
2012-03-05,-7.9137
2012-03-06,-0.3906
2012-03-07,7.8431
2012-03-08,-1.6726999999999999
2012-03-09,-3.1065
2012-03-12,-1.9083999999999999
2012-03-13,7.7821
2012-03-14,-5.4152000000000005
2012-03-15,3.4351
2012-03-16,4.797
2012-03-19,4.9296
2012-03-21,4.0227
2012-03-22,1.9396
2012-03-23,23.4177
2012-03-26,12.0513
2012-03-27,8.4668
2012-03-28,-7.173
2012-03-29,-3.4091
2012-03-30,-9.4118
2012-04-02,3.1169000000000002
2012-04-03,-1.2594
2012-04-04,17.3469
2012-04-05,-2.1739
2012-04-09,-0.2222
2012-04-10,0.2227
2012-04-11,-0.2222
2012-04-12,0.2227
2012-04-13,0.0
2012-04-16,-5.1111
2012-04-17,3.5129
2012-04-18,-1.81
2012-04-19,-1.6129
2012-04-20,0.9368
2012-04-23,-2.5522
2012-04-24,4.7619
2012-04-25,0.4545
2012-04-26,1.81
2012-04-27,-1.5556
2012-04-30,-0.2257
2012-05-02,-5.4299
2012-05-03,2.3923
2012-05-04,-1.8692
2012-05-07,0.0
2012-05-08,-12.381
2012-05-09,-1.6303999999999998
2012-05-10,-5.8011
2012-05-11,11.437
2012-05-15,-1.5789
2012-05-16,1.8717000000000001
2012-05-17,-7.874
2012-05-18,0.0
2012-05-21,-3.1339
2012-05-22,-7.0588
2012-05-23,-7.9114
2012-05-24,-0.3436
2012-05-25,7.069
2012-05-29,-3.0596
2012-05-30,0.9967
2012-05-31,9.2105
2012-06-01,-15.0602
2012-06-04,6.383
2012-06-05,-2.0
2012-06-06,5.4422
2012-06-07,-8.7097
2012-06-08,0.0
2012-06-11,1.0601
2012-06-12,4.1958
2012-06-13,-5.7047
2012-06-15,7.4733
2012-06-18,2.589
2012-06-19,-3.1692
2012-06-20,-2.0
2012-06-21,4.4218
2012-06-22,-5.8632
2012-06-25,-1.0381
2012-06-26,0.3497
2012-06-27,0.0
2012-06-28,-2.439
2012-06-29,-2.1429
2012-07-02,2.5547
2012-07-03,1.0676
2012-07-05,-1.0563
2012-07-06,3.2028
2012-07-09,-3.1034
2012-07-10,0.0
2012-07-11,0.0
2012-07-12,0.0
2012-07-16,7.6935
2012-07-17,2.4391
2012-07-18,-0.9677
2012-07-19,-7.8827
2012-07-20,9.6181
2012-07-23,-0.9677
2012-07-24,0.3257
2012-07-25,-8.4416
