ticker,GBGD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-02-10,-4.6154
2006-02-24,-17.7419
2006-03-02,16.6667
2006-03-03,-13.4454
2006-03-06,0.9709
2006-03-13,5.7692
2006-03-14,-6.3636
2006-03-15,-1.9417
2006-03-21,0.0
2006-03-22,0.0
2006-03-23,4.9505
2006-03-24,5.6604
2006-03-27,17.8571
2006-03-28,2.2727
2006-03-29,0.0
2006-03-30,0.0
2006-03-31,1.4815
2006-04-03,2.1898
2006-04-04,0.0
2006-04-05,7.1429
2006-04-06,16.6667
2006-04-07,0.0
2006-04-10,-8.5714
2006-04-11,0.0
2006-04-12,0.0
2006-04-13,15.625
2006-04-17,0.0
2006-04-18,0.0
2006-04-19,-6.4865
2006-04-20,5.2023
2006-04-21,1.6484
2006-04-24,-1.0811
2006-04-25,3.8251
2006-04-26,0.0
2006-04-27,-2.6316
2006-04-28,2.7027
2006-05-01,-4.7368
2006-05-02,2.2099
2006-05-04,-2.1622
2006-05-08,-0.5525
2006-05-09,0.0
2006-05-10,2.7778
2006-05-11,35.1351
2006-05-12,10.4
2006-05-15,-3.9855
2006-05-16,0.0
2006-05-17,-13.2075
2006-05-18,-2.1739
2006-05-19,0.0
2006-05-22,-2.2222
2006-05-23,2.2727
2006-05-25,0.0
2006-05-26,-11.1111
2006-05-30,0.0
2006-05-31,0.0
2006-06-01,-5.0
2006-06-02,-5.2632
2006-06-06,11.1111
2006-06-07,-10.0
2006-06-09,0.0
2006-06-12,-0.5556
2006-06-13,0.0
2006-06-14,-2.2346
2006-06-15,2.2857
2006-06-19,-3.9106
2006-06-20,-1.1628
2006-06-21,0.0
2006-06-23,-4.1176
2006-06-26,1.227
2006-06-28,3.0303
2006-06-30,2.9412000000000003
2006-07-05,2.2857
2006-07-06,-2.2346
2006-07-18,2.2857
2006-07-19,8.9385
2006-07-20,2.5641
2006-07-21,-2.5
2006-07-25,1.5385
2006-08-03,-9.0909
2006-08-04,-2.7778
2006-08-07,-2.8571
2006-08-11,2.9412000000000003
2006-08-16,0.0
2006-08-21,-5.7143
2006-08-22,-15.1515
2006-08-23,0.0
2006-08-25,-17.8571
2006-08-29,17.3913
2006-08-31,3.7037
2006-09-05,0.0
2006-09-06,17.8571
2006-09-07,-21.2121
2006-09-11,-7.6923
2006-09-13,20.8333
2006-09-18,-13.7931
2006-09-20,-8.0
2006-09-21,0.0
2006-09-22,4.3478
2006-09-25,4.1667
2006-09-26,-8.0
2006-09-27,-1.7391
2006-09-28,10.6195
2006-09-29,4.0
2006-10-02,-23.0769
2006-10-03,0.0
2006-10-04,0.0
2006-10-05,0.0
2006-10-09,0.0
2006-10-10,-20.0
2006-10-11,23.75
2006-10-12,-19.1919
2006-10-13,0.0
2006-10-17,0.0
2006-10-19,18.75
2006-10-23,-15.7895
2006-10-27,0.0
2006-10-31,18.75
2006-11-03,-2.1053
2006-11-13,-8.6022
2006-11-15,0.0
2006-11-16,-1.1764999999999999
2006-11-17,-4.7619
2006-11-20,6.25
2006-11-27,0.0
2006-11-28,5.8824
2006-11-30,0.0
2006-12-01,-1.1111
2006-12-04,0.0
2006-12-05,0.0
2006-12-06,1.1236
2006-12-13,0.0
2006-12-15,0.0
2006-12-18,0.0
2006-12-19,5.5556
2006-12-20,0.0
2006-12-21,-10.526299999999999
2006-12-26,9.4118
2006-12-27,8.6022
2006-12-28,-10.8911
2006-12-29,-2.2222
2007-01-03,2.2727
2007-01-04,0.0
2007-01-05,13.3333
2007-01-08,-15.6863
2007-01-09,0.0
2007-01-10,0.0
2007-01-11,0.0
2007-01-17,4.6512
2007-01-31,-11.1111
2007-02-01,-18.75
2007-02-07,29.2308
2007-02-09,30.9524
2007-02-12,-9.0909
2007-02-13,0.0
2007-02-14,0.0
2007-02-20,1.0
2007-02-23,-0.9901
2007-02-26,-10.0
2007-02-28,11.6667
2007-03-05,-0.4975
2007-03-08,-15.0
2007-03-09,-11.7647
2007-03-12,26.6667
2007-03-13,6.3158
2007-03-15,-25.7426
2007-03-16,34.6667
2007-03-22,0.0
2007-03-23,-5.9406
2007-03-28,-15.7895
2007-03-29,21.25
2007-04-02,-2.0619
2007-04-03,0.0
2007-04-04,-10.526299999999999
2007-04-05,0.0
2007-04-09,0.0
2007-04-10,0.0
2007-04-13,0.0
2007-04-16,23.5294
2007-04-17,-19.0476
2007-04-18,0.0
2007-04-20,4.7059
2007-04-25,-4.4944
2007-04-26,0.0
2007-04-27,0.0
2007-05-01,0.0
2007-05-08,0.0
2007-05-18,-18.8235
2007-05-21,20.2899
2007-05-22,-9.6386
2007-05-29,0.0
2007-05-30,13.3333
2007-05-31,-3.5294
2007-06-01,2.439
2007-06-08,-4.7619
2007-06-13,-12.5
2007-06-14,21.4286
2007-06-15,-4.7059
2007-06-20,4.9383
2007-06-21,-5.8824
2007-06-26,0.0
2007-06-27,6.25
2007-07-05,-5.8824
2007-07-06,-6.25
2007-07-10,2.6667
