ticker,SONM US Equity
2019-09-30,-5.178
2019-10-01,-3.413
2019-10-02,1.7668
2019-10-03,0.0
2019-10-04,1.3889
2019-10-07,7.8767
2019-10-08,-8.8889
2019-10-09,-1.3937
2019-10-10,0.7067
2019-10-11,2.807
2019-10-14,2.0478
2019-10-15,4.0134
2019-10-16,-0.3215
2019-10-17,-2.5806
2019-10-18,-0.3311
2019-10-21,0.0
2019-10-22,0.9967
2019-10-23,-0.3289
2019-10-24,-1.3201
2019-10-25,0.0
2019-10-28,0.6689
2019-10-29,6.3123000000000005
2019-10-30,-21.5625
2019-10-31,-4.7809
2019-11-01,-5.4393
2019-11-04,-1.3274
2019-11-05,1.7936999999999999
2019-11-06,0.8811
2019-11-07,-6.5502
2019-11-08,13.5514
2019-11-11,1.6461000000000001
2019-11-12,1.2146
2019-11-13,-0.8
2019-11-14,0.8065
2019-11-15,0.0
2019-11-18,-1.2
2019-11-19,1.2146
2019-11-20,-2.0
2019-11-21,1.2245
2019-11-22,-2.8226
2019-11-25,1.6598000000000002
2019-11-26,-7.3469
2019-11-27,3.5242
2019-11-29,18.2979
2019-12-02,-10.7914
2019-12-03,-3.2258
2019-12-04,1.25
2019-12-05,-4.1152
2019-12-06,1.2876
2019-12-09,-3.8136
2019-12-10,2.6432
2019-12-11,-1.7167
2019-12-12,5.6769
2019-12-13,1.6529
2019-12-16,11.7886
2019-12-17,1.4545
2019-12-18,1.7921
2019-12-19,7.7465
2019-12-20,-2.6144
2019-12-23,11.745
2019-12-24,0.0
2019-12-26,7.8078
2019-12-27,2.2284
2019-12-30,5.4496
2019-12-31,-6.2016
2020-01-02,-3.0303
2020-01-03,-3.6932
2020-01-06,7.0796
2020-01-07,-0.8264
2020-01-08,0.2778
2020-01-09,-1.385
2020-01-10,1.4045
2020-01-13,4.7091
2020-01-14,-3.1746
2020-01-15,-0.8197
2020-01-16,6.0606
2020-01-17,-4.1558
2020-01-21,-0.813
2020-01-22,0.0
2020-01-23,-2.1858
2020-01-24,-2.7933
2020-01-27,1.7241
2020-01-28,-0.565
2020-01-29,-2.5568
2020-01-30,-4.0816
2020-01-31,-2.4316
2020-02-03,0.9346
2020-02-04,-0.3086
2020-02-05,7.1207
2020-02-06,0.289
2020-02-07,0.5764
2020-02-10,-1.1461000000000001
2020-02-11,-5.5072
2020-02-12,-0.9202
2020-02-13,4.0248
2020-02-14,-0.2976
2020-02-18,-2.3881
2020-02-19,-1.2232
2020-02-20,-2.4768
2020-02-21,-1.5873
2020-02-24,3.871
2020-02-25,-0.9317
2020-02-26,-4.0752
2020-02-27,-1.9607999999999999
2020-02-28,-3.3333
2020-03-02,-2.4138
2020-03-03,-3.1802
2020-03-04,0.365
2020-03-05,-4.7273
2020-03-06,-5.7252
2020-03-09,-20.2429
2020-03-10,-2.0305
2020-03-11,-52.2228
2020-03-12,-24.596
2020-03-13,-8.7444
2020-03-16,-6.2411
2020-03-17,15.9859
2020-03-18,-0.8116
2020-03-19,6.6189
2020-03-20,-23.2561
2020-03-23,13.0714
2020-03-24,15.5875
2020-03-25,22.9676
2020-03-26,12.2222
2020-03-27,-16.8218
2020-03-30,-2.3449999999999998
2020-03-31,-14.6758
2020-04-01,22.0286
2020-04-02,-1.6623999999999999
2020-04-03,-9.9405
2020-04-06,11.0377
2020-04-07,-5.9524
2020-04-08,2.5316
2020-04-09,0.6543
2020-04-13,0.5887
2020-04-14,-3.6703
2020-04-15,-2.5316
2020-04-16,2.2468
2020-04-17,4.1534
2020-04-20,2.1951
2020-04-21,-5.7279
2020-04-22,19.9747
2020-04-23,-11.3737
2020-04-24,0.5952
2020-04-27,9.538499999999999
2020-04-28,-2.7658
2020-04-29,-2.3333
2020-04-30,11.4903
2020-05-01,-0.1429
2020-05-04,-2.9225
2020-05-05,11.5789
2020-05-06,-5.9623
2020-05-07,-6.0895
2020-05-08,7.8945
2020-05-11,-2.5446
2020-05-12,-7.2336
2020-05-13,-10.6232
2020-05-14,1.7032
2020-05-15,-6.5663
2020-05-18,9.6067
2020-05-19,1.9647000000000001
2020-05-20,6.2075
2020-05-21,15.1548
2020-05-22,-3.7736
2020-05-26,-4.3235
2020-05-27,-4.7136
2020-05-28,-11.27
2020-05-29,0.5939
2020-06-01,8.9157
2020-06-02,-5.2102
2020-06-03,-2.7891
2020-06-04,6.1585
2020-06-05,1.9677
2020-06-08,13.1197
2020-06-09,-2.549
2020-06-10,-4.5473
2020-06-11,-8.3052
2020-06-12,2.3563
2020-06-15,6.6815999999999995
2020-06-16,2.1053
2020-06-17,-2.9588
2020-06-18,-2.4009
2020-06-19,-2.3403
2020-06-22,3.5332
2020-06-23,-4.1877
2020-06-24,-1.3146
2020-06-25,-4.5656
2020-06-26,-2.5054
2020-06-29,-1.9824000000000002
2020-06-30,-0.0125
2020-07-01,0.3996
2020-07-02,2.1515
2020-07-06,-1.3392
2020-07-07,-1.2586
2020-07-08,2.6118
2020-07-09,-2.4479
2020-07-10,-0.7491
2020-07-13,-0.1384
2020-07-14,0.1512
2020-07-15,3.8108
2020-07-16,1.8052000000000001
2020-07-17,2.0826000000000002
2020-07-20,2.5297
2020-07-21,1.0915
2020-07-22,6.501
2020-07-23,-8.0368
2020-07-24,0.1952
2020-07-27,2.9112
2020-07-28,14.7121
2020-07-29,-6.767
2020-07-30,6.2168
2020-07-31,-6.902
