ticker,NXFI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-09-24,0.0
2010-09-27,0.0
2010-09-28,1.5385
2010-10-04,0.0
2010-10-07,-0.303
2010-10-11,-0.6079
2010-11-04,0.3058
2010-11-05,0.3049
2010-11-11,0.0
2010-11-17,0.0
2010-12-15,0.0
2010-12-17,-17.9331
2010-12-20,14.8148
2010-12-27,4.8387
2011-01-03,0.0
2011-01-06,0.0
2011-02-07,-4.6154
2011-02-08,4.8387
2011-02-10,0.0
2011-02-11,0.3077
2011-02-14,0.9202
2011-02-15,0.304
2011-02-16,0.6061
2011-02-17,0.9036
2011-02-18,0.8955
2011-02-22,0.5917
2011-02-23,0.8824
2011-02-25,0.5831
2011-02-28,-1.4493
2011-03-03,1.4706000000000001
2011-03-04,0.0
2011-03-08,-0.2899
2011-03-09,0.0
2011-03-10,0.2907
2011-03-11,0.0
2011-03-14,1.4493
2011-03-15,4.2857
2011-03-16,1.3699
2011-03-17,2.7027
2011-03-18,1.3158
2011-03-21,-0.7792
2011-03-22,3.4031000000000002
2011-03-23,1.0127
2011-03-24,0.2506
2011-03-25,12.5
2011-03-28,-1.1111
2011-03-30,10.1124
2011-03-31,2.0408
2011-04-01,10.0
2011-04-04,-5.4545
2011-04-05,-0.1923
2011-04-06,-0.1927
2011-04-07,-1.5444
2011-04-08,-0.9804
2011-04-11,1.7822
2011-04-13,-1.751
2011-04-14,0.0
2011-04-15,0.198
2011-04-18,0.5929
2011-04-19,2.1611
2011-04-21,0.0
2011-04-25,-1.7308
2011-04-26,0.7828
2011-04-27,-2.9126
2011-04-28,1.0
2011-04-29,0.0
2011-05-03,0.0
2011-05-04,-8.9109
2011-05-05,8.6957
2011-05-06,0.0
2011-05-09,-0.6
2011-05-11,0.6036
2011-05-12,0.0
2011-05-13,0.0
2011-05-16,-5.0
2011-05-17,5.2632
2011-05-19,0.0
2011-05-23,-0.2
2011-05-24,0.2004
2011-05-25,-12.0
2011-05-26,13.4091
2011-05-27,0.2004
2011-05-31,0.0
2011-06-02,0.0
2011-06-06,0.0
2011-06-07,4.0
2011-06-08,-3.8462
2011-06-13,0.0
2011-06-14,-11.8
2011-06-17,4.3084
2011-06-27,-0.2174
2011-06-28,0.2179
2011-06-29,0.0
2011-07-05,0.0
2011-07-06,-0.2174
2011-07-07,0.2179
2011-07-08,2.1739
2011-07-11,0.0
2011-07-12,0.0
2011-07-13,0.0
2011-07-14,6.383
2011-07-15,2.0
2011-07-18,1.9607999999999999
2011-07-19,0.0
2011-07-20,-1.9231
2011-07-21,-1.9607999999999999
2011-07-25,0.0
2011-07-26,4.0
2011-07-27,0.0
2011-08-02,-1.5385
2011-08-09,1.3672
2011-08-10,0.0
2011-08-12,-3.6609
2011-08-15,2.0
2011-08-16,1.7647
2011-08-17,0.0
2011-08-18,-5.5877
2011-08-19,2.0408
2011-08-22,0.0
2011-08-24,0.0
2011-08-30,4.0
2011-09-07,-1.9231
2011-09-16,-1.1764999999999999
2011-09-26,-2.7778
2011-09-27,-8.1633
2011-09-28,-10.0
2011-09-29,-13.5802
2011-09-30,17.1429
2011-10-03,-0.9756
2011-10-11,-13.7931
2011-10-12,0.0
2011-10-18,14.0
2011-10-19,0.0
2011-10-21,0.0
2011-10-24,0.0
2011-10-26,0.0
2011-10-27,-6.015
2011-10-28,-6.6667
2011-11-01,2.8571
2011-11-02,2.7778
2011-11-03,0.0
2011-11-04,1.3514
2011-11-09,13.3333
2011-11-11,0.0
2011-11-18,-6.1176
2011-11-21,6.5163
