ticker,RPMT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-21,3.5714
2013-05-22,3.8314
2013-05-23,12.5461
2013-05-24,7.541
2013-05-28,-3.0488
2013-05-29,-3.8365
2013-05-30,-0.5886
2013-05-31,-3.9474
2013-06-03,-11.9863
2013-06-04,2.3346
2013-06-05,6.4639
2013-06-06,-1.7856999999999998
2013-06-07,-4.7273
2013-06-10,-0.3817
2013-06-11,3.8314
2013-06-12,1.107
2013-06-13,-1.4599
2013-06-14,-1.8519
2013-06-17,-2.2641999999999998
2013-06-18,0.3861
2013-06-19,-2.6923
2013-06-20,-5.1383
2013-06-21,0.0
2013-06-24,4.1667
2013-06-25,-8.4
2013-06-26,-6.1135
2013-06-27,1.0233
2013-06-28,7.2744
2013-07-01,1.2876
2013-07-02,7.2034
2013-07-03,0.0
2013-07-05,0.7905
2013-07-08,-1.9607999999999999
2013-07-09,0.0
2013-07-10,0.0
2013-07-11,1.12
2013-07-12,2.4525
2013-07-15,0.7722
2013-07-16,-4.9808
2013-07-17,4.0323
2013-07-18,1.1628
2013-07-19,0.3831
2013-07-22,-2.2901
2013-07-23,-1.1719
2013-07-24,1.581
2013-07-25,-1.9455
2013-07-26,-0.7937
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,-3.2
2013-08-01,-3.3058
2013-08-02,0.4274
2013-08-05,2.1277
2013-08-06,-5.0
2013-08-07,3.0702
2013-08-08,-4.2553
2013-08-09,0.0
2013-08-12,-4.0
2013-08-13,1.8519
2013-08-14,-2.2727
2013-08-15,-2.3256
2013-08-16,-2.8571
2013-08-19,-1.9607999999999999
2013-08-20,1.0
2013-08-21,-0.9901
2013-08-22,4.5
2013-08-23,-0.9569
2013-08-26,-3.3816
2013-08-27,0.0
2013-08-28,1.5
2013-08-29,0.0
2013-08-30,-0.9852
2013-09-03,0.4975
2013-09-04,0.0
2013-09-05,0.0
2013-09-06,-0.9901
2013-09-09,-1.5
2013-09-10,1.5228000000000002
2013-09-11,0.0
2013-09-12,0.0
2013-09-13,0.0
2013-09-16,-1.0
2013-09-17,-5.5556
2013-09-18,-14.4385
2013-09-19,-4.375
2013-09-20,-1.3072
2013-09-23,-43.7086
2013-09-24,32.9412
2013-09-25,6.1947
2013-09-26,-5.8333
2013-09-27,3.5398
2013-09-30,-3.4188
2013-10-01,3.5398
2013-10-02,3.4188
2013-10-03,0.8264
2013-10-04,-4.0984
2013-10-07,-9.4017
2013-10-08,2.8302
2013-10-09,0.9174
2013-10-10,-9.0909
2013-10-11,5.0
2013-10-14,0.9524
2013-10-15,0.0
2013-10-16,-0.9434
2013-10-17,0.0
2013-10-18,0.9524
2013-10-21,2.8302
2013-10-22,-1.8349
2013-10-23,-3.7382999999999997
2013-10-24,7.767
2013-10-25,-4.5045
2013-10-28,-4.717
2013-10-29,0.0
2013-10-30,0.0
2013-10-31,4.9505
2013-11-01,-1.8868
2013-11-04,-2.8846
2013-11-05,1.9802
2013-11-06,0.7767
2013-11-07,0.1927
2013-11-08,3.8462
2013-11-11,-5.7407
2013-11-12,2.1611
2013-11-13,-3.8462
2013-11-14,9.0
2013-11-15,4.5872
2013-11-18,12.2807
2013-11-19,-3.125
2013-11-20,8.0645
2013-11-21,-8.9552
2013-11-22,-1.6393
2013-11-25,-2.5
2013-11-26,1.7094
2013-11-27,5.8824
2013-11-29,7.9365
2013-12-02,-10.2941
2013-12-03,1.6393
2013-12-04,-3.2258
2013-12-05,-1.6667
2013-12-06,-4.2373
2013-12-09,-2.6549
2013-12-10,-0.9091
2013-12-11,0.0
2013-12-12,-3.6696999999999997
2013-12-13,-2.8571
2013-12-16,-2.1569
2013-12-17,-0.8016
2013-12-18,0.0
2013-12-19,1.0101
2013-12-20,9.0
2013-12-23,-6.422
2013-12-24,0.9804
2013-12-26,1.9417
2013-12-27,-0.9524
2013-12-30,-0.9615
2013-12-31,-1.9417
2014-01-02,-1.9802
2014-01-03,1.0101
2014-01-06,-2.0
2014-01-07,3.0612
2014-01-08,3.9604
2014-01-09,-3.8095
2014-01-10,0.0
2014-01-13,0.9901
2014-01-14,-0.9804
2014-01-15,-0.9901
2014-01-16,3.0
2014-01-17,0.7767
2014-01-21,-2.6975
2014-01-22,1.9802
2014-01-23,0.0
2014-01-24,-1.9417
2014-01-27,0.9901
2014-01-28,0.9804
2014-01-29,0.0
2014-01-30,14.5631
2014-01-31,-6.7797
2014-02-03,-1.8182
2014-02-04,-7.4074
2014-02-05,10.0
2014-02-06,-4.5455
2014-02-07,12.381
2014-02-10,-4.2373
2014-02-11,4.4248
2014-02-12,-4.2373
2014-02-13,-2.6549
2014-02-14,-0.9091
2014-02-18,-3.6696999999999997
2014-02-19,-3.8095
2014-02-20,1.9802
2014-02-21,8.7379
2014-02-24,5.3571
2014-02-25,-4.2373
2014-02-26,-4.4248
2014-02-27,10.1852
2014-02-28,0.8403
2014-03-03,11.6667
2014-03-04,4.4776
2014-03-05,18.5714
2014-03-06,4.2169
2014-03-07,0.0
2014-03-10,-11.5607
2014-03-11,0.6536
2014-03-12,-7.1429
2014-03-13,-0.6993
2014-03-14,7.7465
2014-03-17,7.8431
2014-03-18,2.4242
2014-03-19,-2.3669000000000002
2014-03-20,-4.8485
2014-03-21,1.9108
2014-03-24,0.0
2014-03-25,-1.875
2014-03-26,-4.4586
2014-03-27,-3.3333
2014-03-28,0.0
2014-03-31,0.0
2014-04-01,0.6897
2014-04-02,-4.1096
2014-04-03,-10.7143
2014-04-04,4.0
2014-04-07,-2.3077
2014-04-08,-5.5118
2014-04-09,0.8333
2014-04-10,-0.8264
2014-04-11,-5.0
2014-04-14,-12.2807
2014-04-15,0.0
2014-04-16,20.0
2014-04-17,-1.6667
2014-04-21,-2.5423999999999998
2014-04-22,0.0
2014-04-23,-3.4783
2014-04-24,3.6036
2014-04-25,-3.4783
2014-04-28,-3.6036
2014-04-29,3.7382999999999997
2014-04-30,-4.5045
2014-05-01,1.8868
2014-05-02,2.7778
2014-05-05,-3.6036
2014-05-06,-1.8692
2014-05-07,-3.8095
2014-05-08,0.0
2014-05-09,0.9901
2014-05-12,0.9804
2014-05-13,-1.9417
2014-05-14,2.9703
2014-05-15,-1.9231
2014-05-16,-6.8627
2014-05-19,-3.6842
2014-05-20,-1.6393
2014-05-21,0.0
2014-05-22,-5.5556
2014-05-23,2.3529
2014-05-27,3.4483
2014-05-28,0.0
2014-05-29,2.2222
2014-05-30,-4.3478
2014-06-02,-1.1364
2014-06-03,12.069
2014-06-04,-5.1282
2014-06-05,2.7027
2014-06-06,11.5789
2014-06-09,-11.6038
2014-06-10,6.7236
2014-06-11,0.0
2014-06-12,-3.0
2014-06-13,8.2474
2014-06-16,3.8095
2014-06-17,-0.9174
2014-06-18,-3.7037
2014-06-19,-0.9615
2014-06-20,1.9417
2014-06-23,0.0
2014-06-24,-11.4286
2014-06-25,5.3763
2014-06-26,-7.1429
2014-06-27,12.0879
2014-06-30,1.9607999999999999
2014-07-01,-2.8846
2014-07-02,1.9802
2014-07-03,1.9417
2014-07-07,-4.7619
2014-07-08,2.0
2014-07-09,0.0
2014-07-10,-3.9215999999999998
2014-07-11,3.0612
2014-07-14,3.9604
2014-07-15,-1.9048
2014-07-16,-2.9126
2014-07-17,0.0
2014-07-18,0.0
2014-07-21,1.0
2014-07-22,-2.9703
2014-07-23,0.0
2014-07-24,-6.1224
2014-07-25,4.3478
2014-07-28,2.0833
2014-07-29,-1.0204
2014-07-30,-5.1546
2014-07-31,-1.087
2014-08-01,2.1978
2014-08-04,6.4516
2014-08-05,-1.0101
2014-08-06,-3.0612
2014-08-07,-1.5789
2014-08-08,2.6738
2014-08-11,-1.0417
2014-08-12,-3.1579
2014-08-13,5.9783
2014-08-14,2.5641
2014-08-15,0.0
2014-08-18,0.0
2014-08-19,0.0
