ticker,CESX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-11,33.3333
2014-07-14,-1.0
2014-07-15,-14.1414
2014-07-16,5.8824
2014-07-17,0.0
2014-07-18,-28.8889
2014-07-21,24.8438
2014-07-22,12.6408
2014-07-23,-22.2222
2014-07-24,0.0
2014-07-25,28.5714
2014-07-29,-11.1111
2014-07-30,6.25
2014-07-31,-5.8824
2014-08-01,-12.5
2014-08-04,14.2857
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,8.75
2014-08-08,3.4483
2014-08-11,5.5556
2014-08-12,15.7895
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,0.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,0.0
2014-08-21,-13.1818
2014-08-22,15.1832
2014-08-25,0.0
2014-08-26,9.0909
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-09-02,0.0
2014-09-03,0.0
2014-09-04,0.0
2014-09-05,0.0
2014-09-08,1.6667
2014-09-09,-2.459
2014-09-10,0.0
2014-09-11,0.0
2014-09-12,0.8403
2014-09-15,-8.3333
2014-09-16,0.0
2014-09-17,-16.3523
2014-09-18,7.5941
2014-09-19,1.0101
2014-09-22,0.0
2014-09-23,3.0
2014-09-24,0.0
2014-09-25,1.9417
2014-09-26,0.0
2014-09-29,2.8571
2014-09-30,1.8519
2014-10-01,-3.6364
2014-10-02,-5.6604
2014-10-03,10.0
2014-10-06,-9.0909
2014-10-07,8.0
2014-10-08,-0.9259
2014-10-09,0.9346
2014-10-10,0.0
2014-10-13,0.0
2014-10-14,-4.6296
2014-10-15,1.9417
2014-10-16,2.8571
2014-10-17,0.0
2014-10-20,-1.8519
2014-10-21,-9.0566
2014-10-22,13.0705
2014-10-23,-1.8349
2014-10-24,-6.5421
2014-10-27,-30.8
2014-10-28,8.3815
2014-10-29,18.6667
2014-10-30,0.0
2014-10-31,-8.9888
2014-11-03,8.642
2014-11-04,-4.5455
2014-11-05,7.1429
2014-11-06,-5.5556
2014-11-07,-15.1765
2014-11-10,-19.5562
2014-11-11,-22.4138
2014-11-12,31.1111
2014-11-13,0.0
2014-11-14,0.0
2014-11-17,18.6441
2014-11-18,-8.5714
2014-11-19,6.25
