ticker,BKOR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-04,-2.7184
2009-11-11,2.5449
2009-11-12,0.2433
2009-11-18,8.5437
2009-11-23,0.0
2009-11-30,-6.0823
2009-12-07,-2.6667
2009-12-08,9.9804
2009-12-10,-2.133
2009-12-11,-0.1841
2009-12-14,-1.6393
2009-12-16,0.0
2009-12-21,-1.8519
2009-12-28,-12.2642
2009-12-29,-3.2258
2009-12-30,-5.5556
2010-01-05,17.6441
2010-01-06,-9.9977
2010-01-11,-2.2194
2010-01-15,-1.1392
2010-01-20,11.4943
2010-01-25,-1.6495
2010-01-26,-8.805
2010-02-04,0.2299
2010-02-18,-0.5734
2010-02-22,-0.8074
2010-03-05,3.4884
2010-03-08,-1.3483
2010-03-10,2.5057
2010-03-16,3.5583
2010-03-18,3.0015
2010-03-23,-3.125
2010-03-26,2.1505
2010-03-29,-2.1053
2010-03-31,1.7204000000000002
2010-04-01,1.4799
2010-04-05,0.0
2010-04-15,8.3333
2010-04-16,0.9591
2010-04-20,-2.8548
2010-04-27,5.6863
2010-04-29,0.1855
2010-04-30,-2.037
2010-05-03,-2.6465
2010-05-05,0.0
2010-05-07,4.8544
2010-05-10,1.8519
2010-05-11,-0.5307
2010-05-12,0.1679
2010-05-13,6.4599
2010-05-17,-8.8104
2010-05-19,3.3835
2010-05-20,7.0909
2010-05-28,-10.8659
2010-06-01,1.1429
2010-06-10,-0.6474
2010-06-11,-0.789
2010-06-25,-0.6496
2010-06-28,-0.9615
2010-07-01,14.3665
2010-07-07,-12.5618
2010-07-08,0.9709
2010-07-13,0.0
2010-07-14,-3.6538
2010-07-19,-4.99
2010-07-22,0.8403
2010-07-28,3.9583
2010-07-30,4.2084
2010-08-04,9.4207
2010-08-12,-11.0701
2010-08-17,3.5968
2010-08-18,-8.0504
2010-08-19,3.7344
2010-08-25,-5.0
2010-08-26,5.2632
2010-08-30,-16.0
2010-09-09,13.0952
2010-09-10,-2.1053
2010-09-13,-1.7177
2010-09-15,3.9359
2010-09-20,-3.1579
2010-09-21,2.1739
2010-09-22,0.0
2010-09-24,1.0612
2010-09-28,-5.0501
2010-10-01,5.3215
2010-10-12,-11.3684
2010-10-14,3.848
2010-10-20,0.8692
2010-10-21,0.2268
2010-10-29,13.1222
