ticker,SITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-29,-0.6405
2016-09-30,0.7007
2016-10-03,0.6958
2016-10-04,1.8519
2016-10-05,-0.7056
2016-10-06,-1.2025000000000001
2016-10-07,0.2766
2016-10-10,1.1034
2016-10-11,-1.7189999999999999
2016-10-12,0.9439
2016-10-13,-4.813
2016-10-14,0.4912
2016-10-17,-3.1915
2016-10-18,-3.8016
2016-10-19,-0.2161
2016-10-20,-1.1139000000000001
2016-10-21,-0.6571
2016-10-24,1.1654
2016-10-25,-1.1831
2016-10-26,-1.5753
2016-10-27,-2.8809
2016-10-28,1.4173
2016-10-31,1.3325
2016-11-01,-2.1488
2016-11-02,-0.7539
2016-11-03,-0.9908
2016-11-04,-0.5337
2016-11-07,2.3139
2016-11-08,-1.9666000000000001
2016-11-09,8.0241
2016-11-10,-5.1377
2016-11-11,4.5024
2016-11-14,7.0871
2016-11-15,2.7405
2016-11-16,-1.504
2016-11-17,1.7862
2016-11-18,-0.9057
2016-11-21,-1.7138
2016-11-22,4.5626
2016-11-23,-0.6392
2016-11-25,-0.4196
2016-11-28,-1.4888
2016-11-29,-3.7923999999999998
2016-11-30,-0.7113
2016-12-01,-3.5821
2016-12-02,-0.743
2016-12-05,3.4934
2016-12-06,-2.2303
2016-12-07,1.7879
2016-12-08,1.4839
2016-12-09,-0.2984
2016-12-12,-1.8258
2016-12-13,-1.7683
2016-12-14,-1.5518
2016-12-15,4.5712
2016-12-16,1.5074
2016-12-19,3.9798
2016-12-20,0.9997
2016-12-21,-0.4242
2016-12-22,0.1704
2016-12-23,-0.7655
2016-12-27,1.4285999999999999
2016-12-28,-1.662
2016-12-29,0.3437
2016-12-30,-0.8564
2017-01-03,2.8506
2017-01-04,2.9395
2017-01-05,-0.8703
2017-01-06,0.1372
2017-01-09,0.1644
2017-01-10,0.0
2017-01-11,0.9026
2017-01-12,-1.3825
2017-01-13,-0.8246
2017-01-17,0.4435
2017-01-18,0.8554
2017-01-19,0.8208
2017-01-20,1.1126
2017-01-23,-0.4563
2017-01-24,0.7819
2017-01-25,1.1771
2017-01-26,-0.0264
2017-01-27,0.0529
2017-01-30,0.5022
2017-01-31,1.0521
2017-02-01,-0.885
2017-02-02,0.105
2017-02-03,0.1312
2017-02-06,0.0262
2017-02-07,0.6548
2017-02-08,-1.0669
2017-02-09,-0.1315
2017-02-10,1.9752
2017-02-13,-0.3616
2017-02-14,0.7258
2017-02-15,-0.6948
2017-02-16,0.6997
2017-02-17,-0.3345
2017-02-21,1.6266
2017-02-22,0.3049
2017-02-23,0.1266
2017-02-24,-0.6071
2017-02-27,0.7126
2017-02-28,-0.9098
2017-03-01,1.5047000000000001
2017-03-02,-0.9548
2017-03-03,1.3191
2017-03-06,-0.2754
2017-03-07,-1.1298
2017-03-08,1.2951
2017-03-09,-0.3259
2017-03-10,0.7545
2017-03-13,1.5227
2017-03-14,0.6885
2017-03-15,7.2039
2017-03-16,2.3462
2017-03-17,0.868
2017-03-20,0.3972
2017-03-21,-1.4505
2017-03-22,3.992
2017-03-23,0.1501
2017-03-24,0.3212
2017-03-27,-0.2348
2017-03-28,0.92
2017-03-29,-0.5936
2017-03-30,1.4075
2017-03-31,1.8086
2017-04-03,-0.062
2017-04-04,1.2814999999999999
2017-04-05,-1.2449
2017-04-06,2.4798999999999998
2017-04-07,-0.8469
2017-04-10,-0.1424
2017-04-11,-0.8147
2017-04-12,-3.2444
2017-04-13,-1.8676
2017-04-17,1.7301
2017-04-18,-0.8503
2017-04-19,3.0875
2017-04-20,-0.416
2017-04-21,0.8563
2017-04-24,0.642
2017-04-25,-0.823
2017-04-26,-1.4523
2017-04-27,1.0737
2017-04-28,-0.4166
2017-05-01,1.4849999999999999
2017-05-02,-0.9068
2017-05-03,1.0607
2017-05-04,0.0823
2017-05-05,1.5834000000000001
2017-05-08,0.0405
2017-05-09,0.0202
2017-05-10,1.315
2017-05-11,-0.0399
2017-05-12,-2.0775
2017-05-15,-0.2652
2017-05-16,0.9818
2017-05-17,-2.7547
2017-05-18,1.7913000000000001
2017-05-19,1.3301
2017-05-22,1.0501
2017-05-23,1.279
2017-05-24,-0.6709
2017-05-25,3.1585
2017-05-26,0.1348
2017-05-30,-0.7885
2017-05-31,3.082
2017-06-01,-0.9778
2017-06-02,0.7406
2017-06-05,-0.6975
2017-06-06,-2.4867
2017-06-07,0.0779
2017-06-08,0.7003
2017-06-09,-2.0282
2017-06-12,-1.7547000000000001
2017-06-13,1.0034
2017-06-14,0.5961
2017-06-15,-0.8098
2017-06-16,-0.9558
2017-06-19,2.1311
2017-06-20,0.6299
2017-06-21,0.313
2017-06-22,0.9165
2017-06-23,0.7923
2017-06-26,-0.2684
2017-06-27,-1.4994
2017-06-28,1.3075999999999999
2017-06-29,-0.9054
2017-06-30,1.2053
2017-07-03,0.0576
2017-07-05,2.7069
2017-07-06,-0.8411
2017-07-07,0.8483
2017-07-10,-1.6636
2017-07-11,0.4942
2017-07-12,0.8701
2017-07-13,-0.8813
2017-07-14,-0.6243
2017-07-17,0.0952
2017-07-18,-1.6545999999999998
2017-07-19,-0.9669
2017-07-20,1.1521
2017-07-21,1.583
2017-07-24,1.5773000000000001
2017-07-25,-1.0664
2017-07-26,0.416
2017-07-27,-2.4105
2017-07-28,1.2543
2017-07-31,0.0572
2017-08-01,0.0762
2017-08-02,-0.9517
2017-08-03,0.1922
2017-08-04,1.0549
2017-08-07,0.1708
2017-08-08,-0.4168
2017-08-09,-0.4756
2017-08-10,-2.5617
2017-08-11,-0.1766
2017-08-14,1.0417
2017-08-15,-0.8559
2017-08-16,0.569
2017-08-17,-1.3461
2017-08-18,-2.4323
2017-08-21,-0.831
2017-08-22,0.9401
2017-08-23,-0.4454
2017-08-24,-1.3016
2017-08-25,-0.2679
2017-08-28,1.343
2017-08-29,-0.1019
2017-08-30,1.4082
2017-08-31,1.1069
2017-09-01,1.2142
2017-09-05,0.6096
2017-09-06,-0.0782
2017-09-07,0.9977
2017-09-08,0.0775
2017-09-11,0.8322
2017-09-12,0.1919
2017-09-13,0.4789
2017-09-14,0.4766
2017-09-15,0.6262
2017-09-18,1.2069
2017-09-19,2.18
2017-09-20,2.1517
2017-09-21,0.5534
2017-09-22,-0.5326
2017-09-25,-0.1428
2017-09-26,0.5183
2017-09-27,2.1871
2017-09-28,-0.1392
2017-09-29,1.2371
2017-10-02,1.463
2017-10-03,1.8151000000000002
2017-10-04,2.7824
2017-10-05,-0.1297
2017-10-06,1.3634
2017-10-09,-0.4163
2017-10-10,-0.0965
2017-10-11,0.2414
2017-10-12,0.8349
2017-10-13,-0.8121
2017-10-16,0.4495
2017-10-17,-1.0388
2017-10-18,0.759
2017-10-19,-0.9617
2017-10-20,1.3109
2017-10-23,0.4952
2017-10-24,-0.0318
2017-10-25,-0.5565
2017-10-26,0.5117
2017-10-27,0.875
2017-10-30,-1.0724
2017-10-31,1.2434
2017-11-01,-0.1417
2017-11-02,1.4822
2017-11-03,-1.2119
2017-11-06,0.6763
2017-11-07,-0.0156
2017-11-08,-2.4375
2017-11-09,1.7136
2017-11-10,5.0701
2017-11-13,2.8623
2017-11-14,1.384
2017-11-15,-1.7675
2017-11-16,0.9362
2017-11-17,3.1884
2017-11-20,1.0534
2017-11-21,0.417
2017-11-22,-0.8581
2017-11-24,0.3909
2017-11-27,-1.5019
2017-11-28,2.8378
2017-11-29,0.4119
2017-11-30,2.2423
2017-12-01,0.2942
2017-12-04,-0.8667
2017-12-05,-3.2683
2017-12-06,-1.8075999999999999
2017-12-07,0.4956
2017-12-08,-0.2677
2017-12-11,0.4945
2017-12-12,-0.6748
2017-12-13,0.5096
2017-12-14,-1.704
2017-12-15,2.894
2017-12-18,0.6823
2017-12-19,-0.2489
2017-12-20,3.1055
2017-12-21,-0.363
2017-12-22,0.3239
2017-12-26,2.1388
2017-12-27,0.3029
2017-12-28,0.5252
2017-12-29,0.1829
2018-01-02,-0.5476
2018-01-03,-3.4872
2018-01-04,-0.4754
2018-01-05,-0.4777
2018-01-08,-0.8502
2018-01-09,-0.5533
2018-01-10,-1.3908
2018-01-11,0.7052
2018-01-12,0.112
2018-01-16,-0.4197
2018-01-17,1.5312999999999999
2018-01-18,-1.2038
2018-01-19,2.7031
2018-01-22,1.9092
2018-01-23,-2.77
2018-01-24,0.9772
2018-01-25,1.7309999999999999
2018-01-26,5.6404
2018-01-29,-0.2283
2018-01-30,-1.1949
2018-01-31,-2.0198
2018-02-01,-1.1029
2018-02-02,-1.4604
2018-02-05,-2.8429
2018-02-06,0.9569
2018-02-07,0.3846
2018-02-08,-1.9157
2018-02-09,1.1858
2018-02-12,2.7298999999999998
2018-02-13,0.5637
2018-02-14,2.816
2018-02-15,1.3889
2018-02-16,0.8066
2018-02-20,-6.731
2018-02-21,-2.2331
2018-02-22,0.585
2018-02-23,2.4924
2018-02-26,0.5944
2018-02-27,-4.1096
2018-02-28,-3.5854
2018-03-01,-0.5665
2018-03-02,2.1037
2018-03-05,2.1605
2018-03-06,1.0364
2018-03-07,1.6634
2018-03-08,-0.8454
2018-03-09,0.8113
2018-03-12,0.5729
2018-03-13,0.6375
2018-03-14,0.9838
2018-03-15,-2.5757
2018-03-16,1.3836
2018-03-19,-0.3378
2018-03-20,1.9929999999999999
2018-03-21,0.9969
2018-03-22,-3.3298
2018-03-23,-0.953
2018-03-26,4.8934999999999995
2018-03-27,-1.7429000000000001
2018-03-28,-1.9872
2018-03-29,4.8306000000000004
2018-04-02,-4.3873
2018-04-03,1.2354
2018-04-04,2.9637000000000002
2018-04-05,1.3545
2018-04-06,-0.5397
2018-04-09,-0.6848
2018-04-10,0.4293
2018-04-11,-1.3212
2018-04-12,0.7745
2018-04-13,0.6643
2018-04-16,1.2811
2018-04-17,1.3926
2018-04-18,-0.9451
2018-04-19,-1.4756
2018-04-20,-2.3628
2018-04-23,-2.0233
