ticker,TXIC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-09,-4.5802
2011-06-10,0.8
2011-06-13,3.1746
2011-06-14,-5.3846
2011-06-15,-2.439
2011-06-16,-1.6667
2011-06-17,-3.3898
2011-06-20,-3.5088
2011-06-21,2.7273
2011-06-22,-0.885
2011-06-23,-5.3571
2011-06-24,6.6038
2011-06-27,-7.9646
2011-06-28,7.6923
2011-06-29,0.0
2011-06-30,-7.1429
2011-07-01,0.9615
2011-07-05,4.7619
2011-07-06,-0.9091
2011-07-07,5.5046
2011-07-08,4.3478
2011-07-11,4.1667
2011-07-12,12.0
2011-07-13,14.2857
2011-07-14,14.375
2011-07-15,-2.7321999999999997
2011-07-18,-7.8652
2011-07-19,3.6585
2011-07-20,-13.5294
2011-07-21,10.8844
2011-07-22,-1.8405
2011-07-25,-1.25
2011-07-26,-6.3291
2011-07-27,0.6757
2011-07-28,0.0
2011-07-29,-1.3423
2011-08-01,-5.4422
2011-08-02,0.0
2011-08-03,-6.4748
2011-08-04,-9.2308
2011-08-05,-6.7797
2011-08-08,-4.5455
2011-08-09,17.1429
2011-08-10,-7.3171
2011-08-11,22.807
2011-08-12,-1.4285999999999999
2011-08-15,1.4493
2011-08-16,-10.0
2011-08-17,0.0
2011-08-18,-8.7302
2011-08-19,-4.3478
2011-08-22,1.8182
2011-08-23,6.25
2011-08-24,0.8403
2011-08-25,1.6667
2011-08-26,0.0
2011-08-29,4.0984
2011-08-30,-2.3622
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,-3.2258
2011-09-06,0.0
2011-09-07,-9.1667
2011-09-08,10.0917
2011-09-09,-0.8333
2011-09-12,-1.6806999999999999
2011-09-13,0.8547
2011-09-14,-0.8475
2011-09-15,0.0
2011-09-16,-11.9658
2011-09-19,3.8834999999999997
2011-09-20,-1.8692
2011-09-21,0.0
2011-09-22,-0.9524
2011-09-23,0.0
2011-09-26,-4.8077
2011-09-27,-5.0505
2011-09-28,0.0
2011-09-29,-3.1915
2011-09-30,-2.1978
2011-10-03,-4.4944
2011-10-04,0.0
