ticker,WRLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-08,6.383
2007-01-19,0.0
2007-01-25,8.3333
2007-02-02,7.3846
2007-02-05,-6.8768
2007-03-06,7.3846
2007-04-17,0.8646
2007-05-15,0.0
2007-08-16,4.8850999999999996
2007-08-17,0.274
2007-09-17,-1.0989
2008-02-28,3.2349
2008-03-25,9.6642
2008-04-07,6.25
2008-04-08,-1.1764999999999999
2008-04-16,0.0
2008-04-21,7.1429
2008-04-22,0.0
2008-04-25,0.0
2008-05-09,2.8889
2008-05-13,1.5119
2008-05-19,5.3191
2008-05-23,2.0202
2008-05-28,1.4356
2008-06-16,1.9607999999999999
2008-06-17,-12.5
2008-07-01,4.3956
2008-07-15,-4.0
2008-07-17,2.8509
2008-07-18,-14.7122
2008-07-28,7.5
2008-07-31,-1.1628
2008-08-04,0.0
2008-08-11,-1.1764999999999999
2008-08-26,-4.7619
2008-09-15,9.3652
2008-09-16,8.046
2008-09-30,-2.1277
2008-10-06,-5.4348
2008-10-14,1.1494
2008-10-30,-6.8182
2008-11-03,-8.5366
2008-11-06,8.0
2008-11-07,-3.7037
2008-11-10,0.0
2008-11-11,0.0
2008-11-12,0.0
2008-11-13,0.0
2008-11-18,1.2821
2008-11-20,-1.2658
2008-11-21,0.0
2008-11-24,1.2821
2008-12-05,0.5803
2008-12-08,0.0
2008-12-09,0.7692
2008-12-12,-4.5802
2008-12-16,6.6667
2008-12-17,-6.25
2008-12-18,0.0
2008-12-22,1.3333
2009-02-26,-7.2233
2009-03-04,0.0
2009-03-05,4.2857
2009-03-06,0.0
2009-03-09,4.1096
2009-03-10,-10.526299999999999
2009-03-13,11.7647
2009-03-16,0.0
2009-03-18,0.0
2009-03-20,-10.526299999999999
2009-03-23,0.0
2009-03-26,-1.4706000000000001
2009-03-31,0.8955
2009-04-06,0.5917
2009-04-14,0.0
2009-04-16,-5.8824
2009-04-22,6.25
2009-04-23,0.0
2009-04-24,0.0
2009-04-27,-2.9412000000000003
2009-04-28,0.0
2009-04-30,3.0303
2009-05-01,-5.8824
2009-05-12,6.25
2009-05-13,-5.8824
2009-05-21,6.875
2009-06-09,-4.2004
2009-06-11,4.6154
2009-06-15,0.0
2009-06-18,0.0
2009-06-22,0.0
2009-06-24,0.0
2009-07-06,0.0
2009-07-08,-2.9412000000000003
2009-07-21,3.0303
2009-07-23,0.0
2009-08-06,0.0
2009-08-20,0.0
2009-08-26,0.0
2009-09-16,-2.1497
2009-09-17,0.0
2009-09-23,3.0303
2009-09-29,-2.9412000000000003
2009-10-06,3.0303
2009-10-08,0.0
2009-10-12,0.0
2009-10-13,0.0
2009-10-14,-1.4706000000000001
2009-10-26,0.0
2009-10-29,0.0
2009-11-02,0.8955
2009-11-04,-6.5089
2009-11-05,3.7975
2009-11-16,0.0
2009-12-03,0.8534
2009-12-14,4.0
2009-12-15,-3.8462
2009-12-16,0.0
2010-01-20,4.0
2010-01-25,-0.8876
2010-01-28,1.4925
2010-01-29,0.0
2010-02-04,0.0
2010-02-09,0.0
2010-02-16,0.0
2010-02-18,0.0
2010-02-19,0.7353
2010-03-01,1.1782
2010-03-15,-0.9898
2010-03-16,4.3781
2010-03-22,-0.2789
2010-03-29,0.0
2010-03-31,0.2825
2010-04-05,0.0
2010-04-06,1.4085
2010-04-07,-1.3889
2010-04-08,0.0
2010-04-12,0.7042
2010-04-14,0.6993
2010-04-15,-0.8333
2010-04-19,2.2409
2010-04-21,-2.7397
2010-04-26,4.2254
2010-04-30,0.0
2010-05-05,-3.2432
2010-05-12,0.5587
2010-05-13,2.5
2010-05-20,-2.439
2010-05-21,0.4167
2010-06-14,-4.6025
2010-06-29,0.2924
2010-06-30,2.0408
2010-07-02,0.0
2010-07-26,-1.4285999999999999
2010-07-27,5.7971
2010-08-09,-5.4795
2010-08-11,0.0
2010-08-16,1.4493
2010-08-19,4.0
2010-09-02,-0.277
2010-09-08,3.3333
2010-09-09,-2.6882
2010-09-13,-4.9724
2010-09-16,0.5814
2010-09-17,2.6012
2010-09-24,12.662
2010-09-27,-11.2389
2010-10-04,0.2817
2010-10-06,1.1236
2010-11-04,0.0
2010-11-05,0.0
2010-11-08,0.0
2010-11-12,10.8333
2010-11-16,-13.2832
2010-12-07,2.3739
2010-12-15,45.2174
2010-12-21,-10.1796
2010-12-31,-7.7778
2011-01-14,20.7229
2011-01-19,-27.1457
2011-01-20,5.4795
2011-02-24,4.6753
2011-02-25,0.0
2011-03-21,6.25
2011-03-24,-5.8824
2011-03-25,12.5
2011-04-07,-10.8889
2011-04-14,2.2444
2011-04-15,9.7561
2011-04-18,0.0
2011-04-28,-3.3378
2011-05-03,0.0023
2011-05-04,-5.745
2011-05-10,9.7561
2011-05-25,-1.3333
2011-06-01,0.9048
2011-06-06,0.0
2011-06-09,0.0
2011-06-28,-7.1889
2011-07-05,2.9055999999999997
2011-07-06,2.3529
2011-07-20,2.2989
2011-07-22,-0.6742
2011-08-04,-3.8462
2011-08-09,-3.5294
2011-08-10,0.4878
2011-09-19,-8.313
2011-09-20,6.6667
2011-10-04,-11.25
2011-10-10,12.6761
2011-10-11,6.25
2011-10-12,1.1764999999999999
2011-10-13,0.6977
2011-10-25,5.7737
2011-10-26,-2.8384
2011-10-27,6.7416
2011-10-31,-6.3158
2011-11-01,0.0
2011-11-04,0.0
2011-11-07,0.0
2011-11-11,6.7416
2011-11-23,-8.8421
2011-11-28,0.0
2012-01-18,0.6977
2012-02-03,3.9261
2012-02-15,1.7222
2012-03-09,1.4294
2012-03-21,-2.4715
2012-03-22,-4.1903
2012-03-27,3.2483
2012-04-13,2.2472
2012-05-16,-3.2967
2012-06-14,-3.1818
2012-06-25,-5.8685
2012-06-27,4.7382
2012-06-29,-5.6571
2012-07-02,6.7535
2012-07-16,0.0
2012-08-06,4.7619
2012-08-15,-2.7841
2012-08-17,5.2016
2012-08-24,-10.6111
2012-08-27,4.4127
2012-09-04,-0.7177
2012-09-05,-7.2289
2012-09-06,2.5974
2012-09-17,-11.3924
2012-09-20,0.5714
2012-09-21,0.5682
2012-09-25,-1.4123999999999999
2012-09-26,1.4327
2012-09-27,-1.1299
2012-10-05,1.1429
2012-10-08,-1.9774
2012-10-22,0.0951
2012-10-25,-0.095
2012-10-26,-0.2882
2012-10-31,0.0
2012-11-02,-0.289
2012-11-07,0.5797
2012-11-26,1.1527
2012-11-28,1.4245
2012-11-29,0.0
2012-11-30,-2.2599
2012-12-03,0.0
2012-12-11,1.8786
2012-12-12,-3.5461
2012-12-13,1.4706000000000001
2012-12-14,3.1884
2012-12-21,-1.9663
2012-12-24,-2.5788
2012-12-26,2.9412000000000003
2012-12-31,-3.9943
2013-01-31,4.1605
2013-02-05,4.2857
2013-02-12,4.1068
2013-02-13,-2.629
2013-02-20,-0.6757
2013-02-21,3.3986
2013-02-27,-2.6211
2013-02-28,0.8026
2013-03-01,1.0836
2013-03-08,-0.0053
2013-03-11,-2.6667
2013-03-19,2.7397
2013-03-21,0.0
2013-03-26,-2.6667
2013-04-19,2.7397
2013-04-22,-1.3333
2013-04-23,0.0
2013-04-25,1.3514
2013-04-29,-2.4
2013-05-01,0.2732
2013-05-21,0.8174
2013-05-28,0.0
2013-06-07,0.5435
2013-06-18,1.3514
2013-06-26,-1.3333
2013-07-01,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,-1.3514
2013-07-19,0.0
2013-07-31,0.6164
2013-08-15,1.2934
2013-09-03,1.3514
2013-09-16,-2.1307
2013-09-26,1.9045999999999998
2013-09-30,0.0
2013-10-04,-1.0722
2013-10-07,-0.8081
2013-10-11,-0.2725
2013-10-16,0.0027
2013-10-18,-0.2759
2013-10-30,0.0
2013-11-04,1.3699
2013-11-05,1.3514
2013-11-07,-1.3333
2013-11-19,-1.3514
2013-11-20,0.0
2013-12-04,0.0
2013-12-05,0.2755
2013-12-06,-0.0778
2013-12-09,0.3528
2013-12-10,-0.274
2013-12-11,0.0
2013-12-20,0.0
2013-12-23,1.6484
2013-12-26,-0.5405
2013-12-27,0.5435
2013-12-30,0.5405
2014-01-06,-1.0753
2014-01-10,0.0
2014-01-14,0.0
2014-01-21,0.0
2014-02-03,-1.6303999999999998
2014-02-04,0.8287
2014-02-19,-0.8219
2014-02-20,0.0
2014-03-05,3.4051
2014-03-10,0.0
2014-03-14,0.0
2014-03-18,2.1505
2014-03-20,-0.5263
2014-03-21,0.0
2014-04-01,-2.7116
2014-04-07,3.3311
2014-04-11,-1.3158
2014-04-15,-0.2667
2014-04-16,-3.2086
2014-04-17,0.0
2014-04-21,2.2099
2014-04-23,5.4054
2014-04-24,0.0051
2014-04-28,0.0
2014-04-29,2.5537
2014-05-05,0.005
2014-05-06,-3.75
2014-05-08,0.0
2014-05-12,3.6364
2014-05-19,-8.5213
2014-05-20,8.2192
2014-05-27,-8.3544
2014-05-28,0.0663
2014-05-30,-1.3860999999999999
2014-06-04,0.0
2014-06-05,-0.8451
2014-06-06,0.8523
2014-06-09,0.0
2014-06-11,-0.8225
2014-06-12,0.0
2014-06-13,0.2613
2014-06-16,0.5666
2014-06-18,5.6338
2014-06-20,-5.3333
2014-07-16,2.8169
2014-07-21,0.0
2014-07-22,2.7397
2014-08-04,-2.6667
2014-08-08,2.7397
2014-08-15,-2.664
2014-08-21,2.7369
2014-08-22,0.0
2014-08-28,4.6278
2014-09-18,1.2821
2014-09-23,0.0
2014-09-24,0.0
2014-10-15,-3.038
2014-10-16,-2.0888
2014-10-17,-1.8667
2014-10-23,1.9022000000000001
2014-10-24,0.0
2014-11-05,0.0
2014-11-07,-1.8667
2014-11-10,4.6196
2014-11-14,-2.5974
2014-11-17,5.3333
2014-11-25,-4.2405
2014-11-26,0.0
2014-12-01,6.6667
2014-12-12,-6.25
2014-12-18,0.0
2015-01-06,-1.8667
2015-01-23,1.9022000000000001
2015-02-19,-5.3333
2015-02-20,-2.2535
2015-02-25,1.0086
2015-02-27,0.5747
2015-03-05,1.4285999999999999
2015-03-06,1.4085
2015-03-09,0.0
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,-2.7778
2015-03-20,0.0
2015-03-23,0.0
2015-03-27,0.0
2015-03-30,0.0
2015-03-31,0.0
2015-04-02,1.4285999999999999
2015-04-07,0.0
2015-04-08,-1.4085
2015-04-09,0.0
2015-04-10,1.4285999999999999
2015-04-13,1.4085
2015-05-04,-2.2222
2015-05-14,1.7045
2015-05-18,0.5587
2015-05-19,-5.2778
2015-05-22,5.5718
2015-05-28,1.3889
2015-06-02,0.0
2015-06-04,0.0
2015-06-16,1.3699
2015-06-22,1.0811
2015-06-24,-1.0695000000000001
2015-06-26,0.0
2015-07-07,1.0811
2015-07-21,0.0
2015-07-29,-1.0695000000000001
2015-08-03,6.7568
2015-08-05,-3.7948
2015-08-10,1.313
2015-08-13,3.3766
2015-08-17,-10.0503
2015-08-18,-3.6313
2015-08-27,5.7971
2015-09-09,-4.1096
2015-09-14,0.2857
2015-09-29,-1.1396
2015-10-19,1.1527
2015-10-20,-0.2849
2015-11-04,0.2857
2015-11-09,-0.2849
2015-11-10,0.0
2015-11-18,4.2857
2015-11-25,-1.3699
2015-12-01,-2.7778
2015-12-03,-2.8571
2015-12-09,2.9412000000000003
2015-12-14,1.4285999999999999
2015-12-16,-4.507
2015-12-31,-3.8348
2016-01-15,-3.3742
2016-02-02,1.5873
2016-02-17,0.0
2016-02-25,15.6125
2016-03-11,-1.3407
2016-03-23,0.0
2016-03-28,-12.3288
2016-03-31,12.4969
2016-04-01,-9.7197
2016-04-06,3.0831
2016-04-19,6.5698
2016-04-25,-1.9689999999999999
2016-05-02,-1.4285999999999999
2016-05-05,1.4493
2016-05-09,0.0
2016-05-11,0.0
2016-05-13,0.8571
2016-05-16,1.983
2016-05-23,1.3889
2016-05-27,0.0
2016-05-31,-4.1096
2016-06-01,0.0
2016-06-03,4.2857
2016-06-28,0.0
2016-07-13,1.3699
2016-07-15,0.0
2016-07-21,0.0
2016-07-25,1.3405
2016-07-28,-6.6567
2016-07-29,0.5714
2016-08-01,-0.5682
2016-08-02,0.2857
2016-08-12,-0.1425
2016-09-01,-1.2839
2016-09-06,-1.6821000000000002
2016-09-13,-4.4623
2016-09-20,-0.4615
2016-09-27,-1.0819
2016-09-29,-1.5625
2016-10-21,3.1429
2016-11-01,-1.5082
2016-11-07,6.25
2016-11-10,0.0
2016-11-18,13.2353
2016-11-21,3.8961
2016-11-22,-18.5
2016-11-28,5.8282
2016-11-29,1.1594
2016-11-30,0.0
2016-12-02,0.0
2016-12-06,-5.1576
2016-12-08,-4.5317
2016-12-09,2.8481
2016-12-12,6.6154
2016-12-15,-0.1443
2016-12-16,0.0
2016-12-19,1.1561
2016-12-20,0.4314
2016-12-22,6.6826
2016-12-23,-0.2667
2016-12-28,0.2674
2016-12-29,4.0
2016-12-30,2.5641
2017-01-10,-1.25
2017-01-12,0.0
2017-01-13,0.0
2017-01-18,-1.2658
2017-01-23,-10.2564
2017-01-24,1.4285999999999999
2017-01-25,-0.8451
2017-01-30,2.2727
2017-01-31,0.0
2017-02-01,0.0
2017-02-03,-2.2222
2017-02-07,-2.8409
2017-02-09,0.2924
2017-02-10,2.0408
2017-02-13,0.0
2017-02-28,-2.8571
2017-03-01,-0.1471
2017-03-08,-1.025
2017-03-10,-0.3036
2017-03-13,4.1791
2017-03-15,-4.0115
2017-03-20,1.791
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,-0.8798
2017-03-31,0.8876
2017-04-03,0.0
2017-04-04,-0.2933
2017-04-05,0.0
2017-04-06,-1.7647
2017-04-18,1.7964
2017-04-19,-1.4706000000000001
2017-04-20,0.0
2017-04-21,0.0
2017-05-11,4.7761
2017-05-31,-2.4217
2017-06-12,3.6496
2017-06-15,-1.4085
2017-06-19,1.4285999999999999
2017-06-26,0.0028
2017-07-06,-1.4112
2017-07-10,-2.1429
2017-07-11,0.0
2017-07-12,2.1898
2017-07-17,-2.8543
2017-07-18,4.4087
2017-07-27,-5.3521
2017-08-02,-4.7619
2017-08-08,-1.5625
2017-08-14,5.0
2017-08-15,-0.2268
2017-08-21,-3.0242
2017-09-05,9.3682
2017-09-06,1.4285999999999999
2017-09-07,0.0
2017-09-08,0.0
2017-09-14,0.0
2017-09-18,0.1577
2017-09-20,2.8378
2017-09-21,0.0
2017-09-22,1.1897
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-10-11,3.4622
2017-10-16,1.8782
2017-10-17,-9.8718
2017-10-18,4.4097
2017-10-19,3.5422000000000002
2017-10-20,2.6316
2017-10-23,1.2821
2017-10-24,-0.2532
2017-10-25,-1.7792
2017-10-30,-5.6823
2017-11-02,1.3699
2017-11-14,-2.7027
2017-11-16,-1.9444
2017-11-17,9.3484
2017-11-20,0.0
2017-11-29,-7.7668
2017-12-01,8.14
2017-12-04,0.0
2017-12-11,-7.013
2017-12-15,0.0
2017-12-19,6.1453
2017-12-21,-5.7895
2018-01-16,6.1453
2018-01-18,0.0
2018-01-19,1.3158
2018-01-22,0.0
2018-01-23,0.0
2018-01-24,0.0
2018-01-26,-1.039
2018-02-08,-5.5118
2018-02-09,-1.9444
2018-02-12,-0.8499
2018-02-13,-1.4285999999999999
2018-02-15,0.0
2018-03-02,8.1159
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,-4.0214
2018-03-09,0.5587
2018-03-15,1.9444
2018-03-19,-1.6349
2018-03-29,-0.277
2018-04-02,0.0
2018-04-04,-0.275
2018-04-10,6.6823
2018-04-16,0.0
2018-04-17,0.7833
2018-04-19,0.0
2018-04-20,-0.7772
2018-05-04,2.6109999999999998
2018-05-09,1.7812000000000001
2018-05-11,0.0
2018-05-15,-0.5
2018-05-18,-1.2563
2018-05-23,-2.0356
2018-05-31,1.2987
2018-06-01,-2.5641
2018-06-04,0.0
2018-06-12,0.7895
2018-06-19,0.5222
2018-06-21,-0.2597
2018-06-22,-0.2604
2018-06-26,0.0
2018-06-28,1.0444
2018-06-29,3.3592
2018-07-02,2.0
2018-07-03,-1.9607999999999999
2018-07-05,4.0
2018-07-10,-3.8462
2018-07-11,0.0
2018-07-12,4.5
2018-07-18,-0.7177
2018-07-19,8.4337
2018-07-24,-2.2222
2018-07-25,-2.2727
2018-07-27,-0.6977
2018-07-31,0.7026
2018-08-03,-2.093
2018-08-06,0.0
2018-08-14,-0.2375
2018-08-15,-2.3810000000000002
2018-08-16,0.0
2018-08-17,1.2195
2018-08-23,0.0
2018-08-24,1.2048
2018-08-27,-1.1905000000000001
2018-08-28,0.0
2018-08-29,-2.4096
2018-09-06,1.2346
2018-09-13,0.0
2018-09-17,-2.439
2018-09-20,2.25
2018-09-25,-1.2225
2018-10-03,1.4851
2018-10-05,0.0
2018-10-11,-2.439
2018-10-15,2.5
2018-10-25,-2.439
2018-10-29,0.0
2018-10-31,2.5
2018-11-01,-1.2195
2018-11-06,0.0
2018-11-13,-2.4691
2018-11-15,0.0
2018-11-19,0.0
2018-11-26,0.0
2018-11-27,0.0
2018-11-29,0.0
2018-12-03,0.0
2018-12-04,3.7975
2018-12-06,0.0
2018-12-07,-0.9756
2018-12-11,0.0
2018-12-14,0.9852
2018-12-18,0.0
2018-12-24,0.0
2018-12-28,-2.439
2018-12-31,2.5
2019-01-10,-1.7073
2019-01-11,-1.4888
2019-01-16,-1.5112999999999999
2019-01-22,4.8593
2019-01-28,0.0
2019-01-29,0.0
2019-02-11,-1.2195
2019-02-12,0.0
2019-02-14,-3.7037
2019-02-15,0.0
2019-02-20,2.5641
2019-02-22,-2.0
2019-02-25,2.0408
2019-03-04,-0.5
2019-03-05,0.0
2019-03-11,1.7588
2019-03-14,-1.7284000000000002
2019-03-27,1.7588
2019-04-09,0.0
2019-04-10,0.0
2019-04-12,-6.1728
2019-04-15,5.2632
2019-04-22,0.0
2019-04-24,-5.0
2019-04-25,-3.9474
2019-04-26,-1.3699
2019-04-29,-1.3889
2019-04-30,2.8169
2019-05-01,0.8252
2019-05-02,-4.8944
2019-05-03,0.0
2019-05-06,2.8571
2019-05-09,-2.7778
2019-05-10,0.0
2019-05-14,-0.8571
2019-05-16,0.0
2019-05-17,-0.5764
2019-05-22,-0.2899
2019-05-23,-0.5814
2019-05-30,2.0468
2019-05-31,-1.4327
2019-06-03,0.0
2019-06-11,1.4535
2019-06-13,-1.4327
2019-06-18,-0.2907
2019-06-24,0.2915
2019-06-25,-1.1628
2019-06-26,0.0
2019-06-27,-2.0147
2019-07-03,0.5553
2019-07-05,1.4925
2019-07-09,-1.4706000000000001
2019-07-10,-4.4776
2019-07-12,6.25
2019-07-15,0.0
2019-07-19,-2.9412000000000003
2019-07-24,-8.1455
2019-07-25,-0.0396
2019-07-26,5.6106
2019-07-29,1.5625
2019-07-30,3.0769
2019-08-08,1.4925
2019-08-09,-7.3529
2019-08-12,-3.1746
2019-08-13,4.918
2019-08-15,-3.125
2019-08-19,3.2096999999999998
2019-08-21,4.7039
2019-08-29,1.4925
2019-09-03,0.0
2019-09-04,0.3676
2019-09-09,0.2198
2019-09-20,0.5848
2019-09-25,0.0
2019-09-27,0.0
2019-10-02,0.0
2019-10-09,-1.1628
2019-10-11,-2.6471
2019-10-24,0.6042
2019-10-25,4.5045
2019-10-30,-1.4368
2019-11-05,0.0
2019-11-06,-0.0029
2019-11-08,0.0029
2019-11-13,-3.7901
2019-11-14,0.0
2019-11-15,0.0
